Year,Mass balance (Gt/yr),Mass balance uncertainty (Gt/yr),Cumulative mass balance (Gt),Cumulative mass balance uncertainty (Gt)
2016.9167,-53.4743,102.2477,-2158.0384,462.729
2017,-85.5807,104.6777,-2165.1701,463.7146
2017.0833,-88.5008,106.8253,-2172.5452,464.7388
2017.1667,-89.4769,108.1527,-2180.0016,465.7864
2017.25,-89.4899,107.9621,-2187.4591,466.8279
2017.3333,-59.131,108.9433,-2192.3867,467.886
2017.4167,-61.7633,108.672,-2197.5336,468.9365
2017.5,-66.1191,109.0097,-2203.0435,469.9912
2017.5833,-70.2424,108.6055,-2208.8971,471.0357
2017.6667,-74.0002,107.8209,-2215.0637,472.0629
2017.75,-77.3406,105.7528,-2221.5088,473.049
2017.8333,-76.1265,107.0598,-2227.8527,474.0575
2017.9167,-79.1033,105.3058,-2234.4446,475.0312
2018,-158.0597,106.2261,-2247.6162,476.0199
2018.0833,-154.2595,106.4804,-2260.4712,477.0113
2018.1667,-149.386,105.0625,-2272.92,477.9745
2018.25,-145.9745,106.8641,-2285.0846,478.969
2018.3333,-145.3851,106.833,-2297.2,479.9609
2018.4167,-146.784,107.8177,-2309.432,480.969
2018.5,-146.6883,109.2862,-2321.656,482.0025
2018.5833,-205.1776,115.2033,-2338.7542,483.1485
2018.6667,-208.7174,119.1777,-2356.1473,484.3718
2018.75,-213.828,115.0864,-2373.9663,485.5098
2018.8333,-215.1243,115.4635,-2391.8933,486.6526
2018.9167,-217.5781,115.1342,-2410.0248,487.7862
2019,-220.9938,126.3206,-2428.441,489.1474
2019.0833,-176.1731,130.0655,-2443.1221,490.5863
2019.1667,-162.8193,136.6267,-2456.6903,492.1692
2019.25,-161.0536,136.4636,-2470.1115,493.7432
2019.3333,-161.4936,136.2279,-2483.5693,495.3068
2019.4167,-161.9594,136.0974,-2497.0659,496.8625
2019.5,-161.9594,136.0974,-2510.5625,498.4134
2019.5833,-161.9594,136.0974,-2524.0591,499.9595
2019.6667,-161.9594,136.0974,-2537.5557,501.5008
2019.75,-160.3507,136.4517,-2550.9183,503.0453
2019.8333,-160.3507,136.4517,-2564.2808,504.5852
2019.9167,-160.8541,137.0081,-2577.6854,506.1329
2020,-160.8541,137.0081,-2591.0899,507.6758
2020.0833,-86.6646,158.3368,-2598.3119,509.7293
2020.1667,-86.6646,158.3368,-2605.534,511.7745
2020.25,-86.6646,158.3368,-2612.756,513.8116
2020.3333,-86.6646,158.3368,-2619.9781,515.8407
2020.4167,-86.6646,158.3368,-2627.2001,517.8617
2020.5,-86.6646,158.3368,-2634.4222,519.875
2020.5833,-86.6646,158.3368,-2641.6442,521.8805
2020.6667,-86.6646,158.3368,-2648.8663,523.8783
2020.75,-86.6646,158.3368,-2656.0883,525.8685
2020.8333,-86.6646,158.3368,-2663.3104,527.8512
2020.9167,-86.6646,158.3368,-2670.5324,529.8264
