year,delta_slr_p05_unw_cm,delta_slr_p17_unw_cm,delta_slr_p50_unw_cm,delta_slr_p83_unw_cm,delta_slr_p95_unw_cm,delta_slr_p05_cm,delta_slr_p17_cm,delta_slr_p50_cm,delta_slr_p83_cm,delta_slr_p95_cm,delta_slr_mean_cm,delta_slr_mean_unw_cm,n_tuples
2146,-0.010095835660182217,-0.008331076029730013,-0.006451014104914776,-0.004920497015352865,-0.004004776271043298,-0.010724111344702547,-0.009095420165802929,-0.007265507283429349,-0.005728167397783845,-0.004603707604634033,-0.020587853049418032,-0.02314805199557719,10000
2147,-0.010153435210993678,-0.008373572600717125,-0.006478613468516414,-0.004936302794269025,-0.004016771265924037,-0.01078506643563146,-0.00913662476510185,-0.007298634718814104,-0.005746844504826785,-0.004616439386564856,-0.02078692552941937,-0.023530249105598394,10000
2148,-0.01021100966607662,-0.008413647201188042,-0.006503734424299523,-0.0049498048343699,-0.004023137596890081,-0.010843407056825297,-0.009178305835190102,-0.0073319931036335455,-0.0057644481281905685,-0.004625688965346398,-0.02081643377804145,-0.02355380182904957,10000
2149,-0.010267846739876062,-0.008455960865485536,-0.0065262486061108405,-0.00496528990367004,-0.004028383788875801,-0.010907570999665413,-0.009226015028144255,-0.0073655826451611795,-0.005784168989649451,-0.004631426486942158,-0.02089933627770613,-0.023666415570772058,10000
2150,-0.010335523961568071,-0.008499878370068928,-0.006553534491807511,-0.004977496722517856,-0.004036886192021427,-0.010970040036220758,-0.009267182924267358,-0.00739946743431911,-0.005801893915656975,-0.00463770982389479,-0.021125891158923066,-0.02386019388586641,10000
2151,-0.010392831417851767,-0.008542803923880057,-0.006579569878013558,-0.0049925284915237,-0.0040442968296204645,-0.011033702981399518,-0.009308727026215066,-0.007430013917759947,-0.005816336577800825,-0.004647776552707001,-0.0213028488800562,-0.02421328148218535,10000
2152,-0.010440476813731437,-0.008583230357226626,-0.006602293394465164,-0.005006224208256356,-0.004050512251650318,-0.011084529605486289,-0.009347192395851208,-0.007460734011198616,-0.005838615629417357,-0.004660075867665145,-0.02133101387899072,-0.024235341289111836,10000
2153,-0.010490947254996285,-0.00862449468054706,-0.006626286749792598,-0.005019935225534482,-0.004058107086216367,-0.011166773139715067,-0.009394450164275762,-0.007492072092504901,-0.005858473309147872,-0.004672130460170826,-0.02169393478767402,-0.024433251403873497,10000
2154,-0.010548656192135297,-0.00866350889701664,-0.0066500248313872135,-0.005030645409344671,-0.004066802380661727,-0.011242297456066523,-0.009440044024671601,-0.007523882145128095,-0.005874887289473361,-0.004683912653896751,-0.021850711033778555,-0.02466542099399515,10000
2155,-0.010612161620927906,-0.008699859495408191,-0.006673413676431039,-0.0050435288106695,-0.004075770959790149,-0.011294849022056862,-0.009482885954332587,-0.0075556974627598965,-0.0058933794168102545,-0.0046974061717094465,-0.021878030558641594,-0.02468569288390212,10000
2156,-0.010669853942785324,-0.008742767883264264,-0.006697217103948105,-0.005057735930506268,-0.004083736407133642,-0.011350694114423838,-0.009517464606821143,-0.007584084682480225,-0.0059128119889837365,-0.004703760976097498,-0.021914713613904693,-0.024944053084039953,10000
2157,-0.010733966334699118,-0.008777693704798252,-0.006724537401076702,-0.00507069995504203,-0.004091221782033472,-0.011406702349761252,-0.009559512184817194,-0.0076146516060643914,-0.005930883092476003,-0.004718729421620945,-0.021952263887997932,-0.025084029551086854,10000
2158,-0.01078984816118691,-0.008816931011319582,-0.006748782251627006,-0.005086579593421874,-0.004093969272238241,-0.011472009955523202,-0.009593634803935411,-0.007646675854603395,-0.005949813516578169,-0.004730290500953742,-0.022037537083203707,-0.025189517706118863,10000
2159,-0.010850701756348257,-0.008855889190272137,-0.00676989575984166,-0.005098231070926431,-0.004102112338679476,-0.011555048800437945,-0.009637185962333704,-0.007675009853303039,-0.005966910626943067,-0.004743712676335057,-0.022076576696362746,-0.025419995221296243,10000
2160,-0.010901390554951717,-0.008893967816222386,-0.006793434713529223,-0.00511311594054348,-0.004110586503156455,-0.011616233214518218,-0.009674641744433313,-0.007702900680122265,-0.005983832211983815,-0.004756127692550989,-0.022102079692353716,-0.025439005662067627,10000
2161,-0.010960765184513832,-0.008929630660118731,-0.006815625287856619,-0.005125264028655181,-0.004117539744402876,-0.0116899532517845,-0.009712696883765144,-0.007729771208093248,-0.005996734937516393,-0.004767784121003253,-0.02217368578608081,-0.025542851274565317,10000
2162,-0.011013941223583856,-0.00896670415428332,-0.006840898769979731,-0.005136978835340997,-0.004125189598918766,-0.01174017666849391,-0.009750594314970057,-0.007758538969594641,-0.006008484124708441,-0.004769766338572678,-0.022204234479967694,-0.02564712268896106,10000
2163,-0.011063992254776167,-0.009005272266151962,-0.006866815529591008,-0.005148655152775916,-0.004135378601328556,-0.011798638230423413,-0.009786911162094118,-0.007787007270507267,-0.006025070688952561,-0.004773724672274018,-0.02222919282532727,-0.025664687257513787,10000
2164,-0.01112411349071465,-0.009042474704878315,-0.006888167019695857,-0.005162318035562805,-0.004140182100426416,-0.011854221526186098,-0.009827515785990055,-0.00781673000687655,-0.0060443351604085324,-0.004782638966008748,-0.022478057228029265,-0.025887777012961088,10000
2165,-0.011180178640918826,-0.009074185133333969,-0.006910717733489946,-0.005173898631032472,-0.004146180991346426,-0.01190724445588428,-0.009875027071327392,-0.00784880070821424,-0.006058383649416544,-0.00479291332653317,-0.02267910012473262,-0.026112275492047435,10000
2166,-0.011234433729423187,-0.009109367266579226,-0.006931455413720755,-0.005183958171566303,-0.00414869360711947,-0.011964141801038341,-0.009922607697202868,-0.007875661024870884,-0.006081236539947134,-0.0047928031379215665,-0.02275098501598479,-0.026222266319105136,10000
2167,-0.011287171773531668,-0.009145980462988063,-0.00695085138893603,-0.005194085054461368,-0.0041516923858175405,-0.012020337120641877,-0.009961457834558773,-0.007904314883029997,-0.006097762747286346,-0.004799041377120203,-0.02277541455821505,-0.026238998684901458,10000
2168,-0.011345323332182033,-0.009186164794727461,-0.006972337536851114,-0.005206270062681639,-0.0041564956335289355,-0.012073798218705016,-0.01000177268789279,-0.00793065724906597,-0.006106930710014822,-0.004809567424681951,-0.022813001021737195,-0.026341401088431995,10000
