version,species,unit,component,year,n,ess_fraction,q05,q50,q95,mean,q05u,q50u,q95u,meanu
brick2,co2,cm/GtCO2,gis,2300,10000,0.5,0.00035652565763095913,0.0016218684867653405,0.005267605147458522,0.0020716563425893894,0.00035319462909910693,0.0016005808411990211,0.0052026549653321945,0.002035041586139137
brick2,co2,cm/GtCO2,te,2100,10000,0.5,0.0017990788982366706,0.003061871121861928,0.004895905898683292,0.003175697468797534,0.0017046812768484133,0.0028685340620171716,0.004523125105748849,0.00295856557440386
brick2,co2,cm/GtCO2,te,2150,10000,0.5,0.0021642044861211345,0.004006102707248314,0.0066088208914768885,0.004158550304616992,0.00203490069647926,0.0037584353286490894,0.0061076192359625445,0.003877687319990022
brick2,co2,cm/GtCO2,te,2300,10000,0.5,0.002410450012892634,0.005528578817433417,0.010052891402982368,0.005772079456669171,0.002273158419363594,0.005160486458422139,0.009283639592898544,0.005385832265030561
brick2,co2,cm/GtCO2,lws,2100,10000,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brick2,co2,cm/GtCO2,lws,2150,10000,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brick2,co2,cm/GtCO2,lws,2300,10000,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brick2,ch4,cm/Tg,total,2100,10000,0.5,0.0002003903103291589,0.00032436559416003504,0.000536976917241872,0.0013898544163340595,0.00019200209464997808,0.0003070865855505677,0.0005110037344879109,0.0013611997684849833
brick2,ch4,cm/Tg,total,2150,10000,0.5,0.0001579193549592068,0.0002827818185824733,0.0005163810548922331,0.0013332599142895727,0.00015273874015520048,0.00026895378724135386,0.0004936446139538604,0.001307509245930722
brick2,ch4,cm/Tg,total,2300,10000,0.5,5.976818424292645e-05,0.0001826977202197346,0.0004897270042231691,0.0011930836250541837,5.916923686299914e-05,0.00017427225202482725,0.00046661246983629865,0.0011727720721591694
brick2,ch4,cm/Tg,ais,2100,10000,0.5,-5.13677147662804e-05,4.6687477286625214e-06,0.00011333584137840766,0.001065218068799057,-5.0014316587799046e-05,4.251831285278601e-06,0.0001117113243263136,0.0010525614322252816
brick2,ch4,cm/Tg,ais,2150,10000,0.5,-5.605234646383135e-05,9.926343660863147e-06,0.0001601792444412327,0.001057298365893,-5.3803008281950016e-05,8.919088266170669e-06,0.0001560453738852844,0.0010439739602647272
brick2,ch4,cm/Tg,ais,2300,10000,0.5,-5.9088750712490944e-05,2.064986073807035e-05,0.00027971444378559884,0.001032351581166432,-5.7681433595746566e-05,1.863504633093266e-05,0.00026924926146444764,0.001018526107500161
brick2,ch4,cm/Tg,gsic,2100,10000,0.5,7.140054198272361e-05,0.00010378471705442177,0.00014791960228998556,0.00010614812740415178,6.965850715978661e-05,0.0001015615346311479,0.00014537210021363275,0.00010368013986832932
brick2,ch4,cm/Tg,gsic,2150,10000,0.5,4.468066289316332e-05,8.254133447503784e-05,0.0001276677881412424,8.386400281139499e-05,4.4947729673339e-05,8.121536676953075e-05,0.00012537795766223147,8.272422839456333e-05
brick2,ch4,cm/Tg,gsic,2300,10000,0.5,0.0,1.8168617930881898e-05,7.511120115508644e-05,2.5374967857277858e-05,0.0,1.922622834271955e-05,7.560014120857522e-05,2.6063758262250404e-05
brick2,ch4,cm/Tg,gis,2100,10000,0.5,8.05410832586659e-06,3.490207044956153e-05,0.0001008922148287275,4.1841238020217815e-05,7.901661902565075e-06,3.4340041743520905e-05,9.881918892248263e-05,4.1122365899163694e-05
brick2,ch4,cm/Tg,gis,2150,10000,0.5,8.906821347736496e-06,3.8692641439281764e-05,0.00011323675814459474,4.6738656520390995e-05,8.69748912890597e-06,3.808550275153151e-05,0.00011119099818319774,4.583563608224823e-05
brick2,ch4,cm/Tg,gis,2300,10000,0.5,9.442361072825971e-06,4.016518868450997e-05,0.0001215482550767887,4.948978258089701e-05,9.272395207204885e-06,3.9396940110239087e-05,0.0001196451809733167,4.835317860082977e-05
brick2,ch4,cm/Tg,te,2100,10000,0.5,0.00010004139634490718,0.0001693222475297803,0.0002771864327340513,0.00017664698211052125,9.339753361992108e-05,0.00015764431250531503,0.0002559004406706349,0.00016383583049204962
