,rgi_reg,model_author,temp_ch_ipcc,gcm_period_scenario,min_perc_change,resp_time_-50%,resp_time_-80%,resp_time_-90%,diff_resp_time_-50%,diff_resp_time_-80%,diff_resp_time_-90%
1155,RGI04,GLIMB,2.843937216517189,ipsl-cm6a-lr_2041-2060_ssp585,25,112.0,301.0,462.0,60.0,200.0,332.0
1156,RGI04,GLIMB,2.950346953824412,mpi-esm1-2-hr_2061-2080_ssp585,25,138.0,393.0,631.0,52.5,212.5,373.0
1157,RGI04,GLIMB,2.951472321285355,ukesm1-0-ll_2061-2080_ssp126,25,112.0,301.0,466.0,66.0,210.5,350.0
1158,RGI04,GLIMB,3.038482494458876,ukesm1-0-ll_2081-2100_ssp126,25,114.0,309.0,479.0,68.5,219.0,365.0
1159,RGI04,GLIMB,3.048039247761285,gfdl-esm4_2061-2080_ssp585,25,139.0,390.0,628.0,73.5,259.0,457.5
1160,RGI04,GLIMB,3.105613246951532,mri-esm2-0_2061-2080_ssp370,25,108.0,288.0,441.0,56.0,186.0,312.0
1161,RGI04,GLIMB,3.414119753355767,ukesm1-0-ll_2041-2060_ssp370,25,107.0,289.0,449.0,61.0,199.5,335.0
1162,RGI04,GLIMB,3.4545105505178424,mpi-esm1-2-hr_2081-2100_ssp370,25,163.0,481.0,789.0,66.5,274.0,489.5
1163,RGI04,GLIMB,3.5131147480935234,ipsl-cm6a-lr_2061-2080_ssp370,25,81.0,211.0,321.0,47.5,147.0,237.5
1164,RGI04,GLIMB,3.5323191142029637,gfdl-esm4_2081-2100_ssp370,25,136.0,377.0,607.0,70.5,245.5,437.0
1165,RGI04,GLIMB,3.541685753482952,mri-esm2-0_2061-2080_ssp585,25,98.0,262.0,404.0,53.5,176.0,295.0
1166,RGI04,GLIMB,3.646967337572662,ukesm1-0-ll_2041-2060_ssp585,25,100.0,270.0,416.0,56.0,184.5,307.5
1167,RGI04,GLIMB,3.811452139882864,mri-esm2-0_2081-2100_ssp370,25,90.0,235.0,358.0,47.5,153.5,255.5
1168,RGI04,GLIMB,3.9907986846486527,mpi-esm1-2-hr_2081-2100_ssp585,25,125.0,359.0,590.0,48.5,190.5,346.0
1169,RGI04,GLIMB,4.001455331400752,gfdl-esm4_2081-2100_ssp585,25,112.0,309.0,492.0,61.0,207.5,358.0
1170,RGI04,GLIMB,4.16009837781178,ipsl-cm6a-lr_2061-2080_ssp585,25,62.0,155.0,230.0,36.5,105.5,165.5
1171,RGI04,GLIMB,4.439976778002009,ukesm1-0-ll_2061-2080_ssp370,25,79.0,206.0,313.0,45.5,141.0,231.0
1172,RGI04,GLIMB,4.5943250252311145,mri-esm2-0_2081-2100_ssp585,25,77.0,199.0,299.0,43.5,134.0,216.0
1173,RGI04,GLIMB,4.677751174879019,ipsl-cm6a-lr_2081-2100_ssp370,25,55.0,137.0,203.0,31.5,92.0,144.0
1174,RGI04,GLIMB,5.23054329301376,ukesm1-0-ll_2061-2080_ssp585,25,67.0,175.0,263.0,40.0,121.5,195.0
1175,RGI04,GLIMB,5.840495049230714,ukesm1-0-ll_2081-2100_ssp370,25,53.0,133.0,198.0,30.0,88.5,141.5
1176,RGI04,GLIMB,5.849304978170279,ipsl-cm6a-lr_2081-2100_ssp585,25,42.0,105.0,154.0,24.0,69.5,107.5
1177,RGI04,GLIMB,6.884360785697311,ukesm1-0-ll_2081-2100_ssp585,25,39.0,98.0,144.0,22.0,64.5,100.5
1178,RGI04,GloGEMflow,-0.1435287736460142,ipsl-cm6a-lr_1901-1920_hist,25,285.0,527.0,913.0,50.0,75.5,188.0
1179,RGI04,GloGEMflow,-0.1319133257011855,ipsl-cm6a-lr_1851-1870_hist,25,241.0,555.0,1299.0,39.0,109.0,389.5
1180,RGI04,GloGEMflow,0.0833736138284337,mpi-esm1-2-hr_1851-1870_hist,25,276.0,514.0,640.0,50.5,64.5,28.0
1181,RGI04,GloGEMflow,0.1016562514146834,mpi-esm1-2-hr_1901-1920_hist,25,465.0,755.0,873.0,146.5,110.5,-19.0
1182,RGI04,GloGEMflow,0.2314087884401598,gfdl-esm4_1851-1870_hist,25,302.0,593.0,794.0,64.5,119.0,143.5
1183,RGI04,GloGEMflow,0.3028923844731737,ipsl-cm6a-lr_1951-1970_hist,25,237.0,464.0,692.0,38.5,69.0,121.0
1184,RGI04,GloGEMflow,0.3530089022449858,mpi-esm1-2-hr_1951-1970_hist,25,300.0,543.0,659.0,58.5,66.0,16.5
1185,RGI04,GloGEMflow,0.3535286605061203,ukesm1-0-ll_1901-1920_hist,25,268.0,517.0,661.0,38.5,66.0,54.0
1186,RGI04,GloGEMflow,0.373094646035073,ukesm1-0-ll_1851-1870_hist,25,355.0,700.0,862.0,60.5,90.5,18.5
1187,RGI04,GloGEMflow,0.3826520320932922,mri-esm2-0_1951-1970_hist,25,351.0,622.0,782.0,69.0,73.0,54.0
1188,RGI04,GloGEMflow,0.3922811293371855,gfdl-esm4_1951-1970_hist,25,244.0,466.0,610.0,45.0,74.0,78.5
1189,RGI04,GloGEMflow,0.478288564324949,gfdl-esm4_1901-1920_hist,25,214.0,436.0,667.0,36.5,75.0,134.0
1190,RGI04,GloGEMflow,0.9014667339962784,gfdl-esm4_1995-2014_hist,25,206.0,423.0,682.0,37.0,77.0,156.0
1191,RGI04,GloGEMflow,0.9049395549636868,mpi-esm1-2-hr_1995-2014_hist,25,222.0,435.0,584.0,40.0,70.0,88.5
1192,RGI04,GloGEMflow,0.913313145803356,ipsl-cm6a-lr_1995-2014_hist,25,204.0,412.0,664.0,33.5,67.5,145.0
1193,RGI04,GloGEMflow,0.9222489478058092,mri-esm2-0_1995-2014_hist,25,192.0,384.0,584.0,15.5,29.5,67.0
1194,RGI04,GloGEMflow,1.0587674077643272,ukesm1-0-ll_1995-2014_hist,25,168.0,351.0,535.0,19.0,46.0,91.0
1195,RGI04,GloGEMflow,1.4691135287002737,mpi-esm1-2-hr_2021-2040_ssp126,25,203.0,427.0,566.0,42.5,94.0,122.0
1196,RGI04,GloGEMflow,1.4885639337566965,gfdl-esm4_2021-2040_ssp370,25,177.0,359.0,570.0,30.5,65.0,130.0
1197,RGI04,GloGEMflow,1.4937790687750323,mpi-esm1-2-hr_2021-2040_ssp370,25,152.0,305.0,435.0,28.0,58.5,82.5
1198,RGI04,GloGEMflow,1.493791625332881,gfdl-esm4_2021-2040_ssp126,25,154.0,314.0,471.0,26.5,56.0,102.5
1199,RGI04,GloGEMflow,1.5283027574212975,mpi-esm1-2-hr_2021-2040_ssp585,25,175.0,357.0,483.0,35.0,74.0,91.5
1200,RGI04,GloGEMflow,1.5298023875255358,gfdl-esm4_2021-2040_ssp585,25,134.0,274.0,400.0,19.0,42.0,73.5
1201,RGI04,GloGEMflow,1.636714986028974,ipsl-cm6a-lr_2021-2040_ssp126,25,121.0,246.0,322.0,15.5,35.0,45.0
1202,RGI04,GloGEMflow,1.656830649489223,mpi-esm1-2-hr_2041-2060_ssp126,25,159.0,321.0,471.0,27.0,58.0,99.5
1203,RGI04,GloGEMflow,1.6599956464695365,mpi-esm1-2-hr_2081-2100_ssp126,25,157.0,315.0,438.0,24.5,50.0,77.5
1204,RGI04,GloGEMflow,1.664909941388102,ipsl-cm6a-lr_2021-2040_ssp585,25,125.0,255.0,339.0,14.0,31.5,42.0
1205,RGI04,GloGEMflow,1.6781632715811343,ipsl-cm6a-lr_2021-2040_ssp370,25,148.0,312.0,487.0,18.5,43.0,90.0
1206,RGI04,GloGEMflow,1.6787497715238051,gfdl-esm4_2041-2060_ssp126,25,165.0,341.0,543.0,28.5,62.5,126.5
1207,RGI04,GloGEMflow,1.6844760802167618,gfdl-esm4_2081-2100_ssp126,25,121.0,244.0,364.0,14.5,32.5,64.0
1208,RGI04,GloGEMflow,1.695689895147091,mpi-esm1-2-hr_2061-2080_ssp126,25,192.0,399.0,556.0,38.5,85.0,113.0
1209,RGI04,GloGEMflow,1.7054887108734946,mri-esm2-0_2021-2040_ssp370,25,111.0,221.0,303.0,7.5,16.5,30.0
1210,RGI04,GloGEMflow,1.7263241376269964,mri-esm2-0_2021-2040_ssp126,25,89.0,178.0,227.0,3.0,7.5,8.5
1211,RGI04,GloGEMflow,1.7300556075408982,gfdl-esm4_2061-2080_ssp126,25,144.0,296.0,510.0,22.0,48.5,121.5
1212,RGI04,GloGEMflow,1.9117346788457827,mri-esm2-0_2021-2040_ssp585,25,133.0,273.0,360.0,17.0,37.5,51.0
1213,RGI04,GloGEMflow,1.9477879408841847,mri-esm2-0_2081-2100_ssp126,25,110.0,217.0,303.0,7.0,14.5,30.0
1214,RGI04,GloGEMflow,1.996245046811256,mri-esm2-0_2041-2060_ssp126,25,90.0,182.0,232.0,3.5,10.0,11.5
1215,RGI04,GloGEMflow,2.049075466844948,ipsl-cm6a-lr_2041-2060_ssp126,25,80.0,161.0,214.0,4.5,12.0,17.5
1216,RGI04,GloGEMflow,2.0496075314919837,gfdl-esm4_2041-2060_ssp370,25,129.0,264.0,405.0,15.0,34.0,72.5
1217,RGI04,GloGEMflow,2.0912659163195166,mri-esm2-0_2061-2080_ssp126,25,98.0,198.0,252.0,7.5,17.5,21.0
1218,RGI04,GloGEMflow,2.092677030991532,mpi-esm1-2-hr_2041-2060_ssp370,25,130.0,270.0,364.0,20.0,47.5,53.5
1219,RGI04,GloGEMflow,2.1396524250416253,mpi-esm1-2-hr_2041-2060_ssp585,25,173.0,365.0,502.0,36.0,82.0,102.5
1220,RGI04,GloGEMflow,2.1712205231308155,ipsl-cm6a-lr_2081-2100_ssp126,25,59.0,113.0,143.0,2.5,5.0,5.0
1221,RGI04,GloGEMflow,2.1761438977250376,ukesm1-0-ll_2021-2040_ssp126,25,89.0,173.0,224.0,5.5,10.0,12.5
1222,RGI04,GloGEMflow,2.189115489502097,gfdl-esm4_2041-2060_ssp585,25,102.0,204.0,270.0,13.0,26.5,30.0
1223,RGI04,GloGEMflow,2.191208340613269,ipsl-cm6a-lr_2061-2080_ssp126,25,64.0,132.0,178.0,1.5,7.0,11.5
1224,RGI04,GloGEMflow,2.3197325111266047,ukesm1-0-ll_2021-2040_ssp585,25,84.0,164.0,229.0,4.5,9.5,21.0
1225,RGI04,GloGEMflow,2.3233173057330725,ukesm1-0-ll_2021-2040_ssp370,25,90.0,176.0,251.0,6.0,11.5,26.0
1226,RGI04,GloGEMflow,2.404955505633247,mri-esm2-0_2041-2060_ssp370,25,78.0,149.0,189.0,6.0,10.0,12.5
1227,RGI04,GloGEMflow,2.5948271367994478,ipsl-cm6a-lr_2041-2060_ssp370,25,73.0,149.0,199.0,2.5,8.0,12.5
1228,RGI04,GloGEMflow,2.687006726396547,mri-esm2-0_2041-2060_ssp585,25,49.0,94.0,119.0,0.0,-0.5,-0.5
1229,RGI04,GloGEMflow,2.718961154542893,mpi-esm1-2-hr_2061-2080_ssp370,25,102.0,215.0,291.0,13.0,33.0,35.0
1230,RGI04,GloGEMflow,2.7398348752990143,ukesm1-0-ll_2041-2060_ssp126,25,59.0,114.0,146.0,2.0,3.0,4.0
1231,RGI04,GloGEMflow,2.8141615409733487,gfdl-esm4_2061-2080_ssp370,25,84.0,163.0,239.0,7.0,12.5,29.5
1232,RGI04,GloGEMflow,2.843937216517189,ipsl-cm6a-lr_2041-2060_ssp585,25,54.0,104.0,133.0,2.0,3.0,3.0
1233,RGI04,GloGEMflow,2.950346953824412,mpi-esm1-2-hr_2061-2080_ssp585,25,99.0,212.0,288.0,13.5,31.5,30.0
1234,RGI04,GloGEMflow,2.951472321285355,ukesm1-0-ll_2061-2080_ssp126,25,45.0,89.0,114.0,-1.0,-1.5,-2.0
1235,RGI04,GloGEMflow,3.038482494458876,ukesm1-0-ll_2081-2100_ssp126,25,46.0,92.0,116.0,0.5,2.0,2.0
1236,RGI04,GloGEMflow,3.048039247761285,gfdl-esm4_2061-2080_ssp585,25,71.0,140.0,181.0,5.5,9.0,10.5
1237,RGI04,GloGEMflow,3.105613246951532,mri-esm2-0_2061-2080_ssp370,25,52.0,103.0,131.0,0.0,1.0,2.0
1238,RGI04,GloGEMflow,3.414119753355767,ukesm1-0-ll_2041-2060_ssp370,25,45.0,88.0,112.0,-1.0,-1.5,-2.0
1239,RGI04,GloGEMflow,3.4545105505178424,mpi-esm1-2-hr_2081-2100_ssp370,25,110.0,237.0,321.0,13.5,30.0,21.5
1240,RGI04,GloGEMflow,3.5131147480935234,ipsl-cm6a-lr_2061-2080_ssp370,25,31.0,59.0,77.0,-2.5,-5.0,-6.5
1241,RGI04,GloGEMflow,3.5323191142029637,gfdl-esm4_2081-2100_ssp370,25,69.0,140.0,180.0,3.5,8.5,10.0
1242,RGI04,GloGEMflow,3.541685753482952,mri-esm2-0_2061-2080_ssp585,25,45.0,87.0,110.0,0.5,1.0,1.0
1243,RGI04,GloGEMflow,3.646967337572662,ukesm1-0-ll_2041-2060_ssp585,25,44.0,85.0,107.0,0.0,-0.5,-1.5
1244,RGI04,GloGEMflow,3.811452139882864,mri-esm2-0_2081-2100_ssp370,25,43.0,81.0,101.0,0.5,-0.5,-1.5
1245,RGI04,GloGEMflow,3.9907986846486527,mpi-esm1-2-hr_2081-2100_ssp585,25,86.0,199.0,273.0,9.5,30.5,29.0
1246,RGI04,GloGEMflow,4.001455331400752,gfdl-esm4_2081-2100_ssp585,25,54.0,107.0,138.0,3.0,5.5,4.0
1247,RGI04,GloGEMflow,4.16009837781178,ipsl-cm6a-lr_2061-2080_ssp585,25,24.0,45.0,57.0,-1.5,-4.5,-7.5
1248,RGI04,GloGEMflow,4.439976778002009,ukesm1-0-ll_2061-2080_ssp370,25,30.0,58.0,73.0,-3.5,-7.0,-9.0
1249,RGI04,GloGEMflow,4.5943250252311145,mri-esm2-0_2081-2100_ssp585,25,32.0,61.0,78.0,-1.5,-4.0,-5.0
1250,RGI04,GloGEMflow,4.677751174879019,ipsl-cm6a-lr_2081-2100_ssp370,25,19.0,36.0,47.0,-4.5,-9.0,-12.0
1251,RGI04,GloGEMflow,5.23054329301376,ukesm1-0-ll_2061-2080_ssp585,25,25.0,47.0,59.0,-2.0,-6.5,-9.0
1252,RGI04,GloGEMflow,5.840495049230714,ukesm1-0-ll_2081-2100_ssp370,25,20.0,37.0,47.0,-3.0,-7.5,-9.5
1253,RGI04,GloGEMflow,5.849304978170279,ipsl-cm6a-lr_2081-2100_ssp585,25,16.0,31.0,39.0,-2.0,-4.5,-7.5
1254,RGI04,GloGEMflow,6.884360785697311,ukesm1-0-ll_2081-2100_ssp585,25,14.0,27.0,34.0,-3.0,-6.5,-9.5
1255,RGI04,OGGM_v16,-0.1435287736460142,ipsl-cm6a-lr_1901-1920_hist,25,177.0,376.0,537.0,-58.0,-75.5,-188.0
1256,RGI04,OGGM_v16,-0.1319133257011855,ipsl-cm6a-lr_1851-1870_hist,25,140.0,313.0,520.0,-62.0,-133.0,-389.5
1257,RGI04,OGGM_v16,0.0833736138284337,mpi-esm1-2-hr_1851-1870_hist,25,175.0,385.0,584.0,-50.5,-64.5,-28.0
1258,RGI04,OGGM_v16,0.1016562514146834,mpi-esm1-2-hr_1901-1920_hist,25,231.0,534.0,911.0,-87.5,-110.5,19.0
1259,RGI04,OGGM_v16,0.1909476951352631,mri-esm2-0_1851-1870_hist,25,155.0,329.0,474.0,-133.0,-340.0,-591.0
1260,RGI04,OGGM_v16,0.2314087884401598,gfdl-esm4_1851-1870_hist,25,139.0,285.0,397.0,-98.5,-189.0,-253.5
1261,RGI04,OGGM_v16,0.2374210262441569,ukesm1-0-ll_1951-1970_hist,25,214.0,399.0,520.0,-39.0,-160.0,-350.0
1262,RGI04,OGGM_v16,0.2524779717488781,mri-esm2-0_1901-1920_hist,25,169.0,346.0,514.0,-112.0,-272.0,-339.0
1263,RGI04,OGGM_v16,0.3028923844731737,ipsl-cm6a-lr_1951-1970_hist,25,126.0,245.0,327.0,-72.5,-150.0,-244.0
1264,RGI04,OGGM_v16,0.3530089022449858,mpi-esm1-2-hr_1951-1970_hist,25,165.0,357.0,541.0,-76.5,-120.0,-101.5
1265,RGI04,OGGM_v16,0.3535286605061203,ukesm1-0-ll_1901-1920_hist,25,159.0,336.0,531.0,-70.5,-115.0,-76.0
1266,RGI04,OGGM_v16,0.373094646035073,ukesm1-0-ll_1851-1870_hist,25,164.0,352.0,506.0,-130.5,-257.5,-337.5
1267,RGI04,OGGM_v16,0.3826520320932922,mri-esm2-0_1951-1970_hist,25,146.0,309.0,460.0,-136.0,-240.0,-268.0
1268,RGI04,OGGM_v16,0.3922811293371855,gfdl-esm4_1951-1970_hist,25,134.0,280.0,424.0,-65.0,-112.0,-107.5
1269,RGI04,OGGM_v16,0.478288564324949,gfdl-esm4_1901-1920_hist,25,125.0,252.0,380.0,-52.5,-109.0,-153.0
1270,RGI04,OGGM_v16,0.9014667339962784,gfdl-esm4_1995-2014_hist,25,111.0,223.0,314.0,-58.0,-123.0,-212.0
1271,RGI04,OGGM_v16,0.9049395549636868,mpi-esm1-2-hr_1995-2014_hist,25,126.0,259.0,375.0,-56.0,-106.0,-120.5
1272,RGI04,OGGM_v16,0.913313145803356,ipsl-cm6a-lr_1995-2014_hist,25,126.0,256.0,365.0,-44.5,-88.5,-154.0
1273,RGI04,OGGM_v16,0.9222489478058092,mri-esm2-0_1995-2014_hist,25,115.0,226.0,316.0,-61.5,-128.5,-201.0
1274,RGI04,OGGM_v16,1.0587674077643272,ukesm1-0-ll_1995-2014_hist,25,110.0,226.0,326.0,-39.0,-79.0,-118.0
1275,RGI04,OGGM_v16,1.4691135287002737,mpi-esm1-2-hr_2021-2040_ssp126,25,103.0,213.0,312.0,-57.5,-120.0,-132.0
1276,RGI04,OGGM_v16,1.4885639337566965,gfdl-esm4_2021-2040_ssp370,25,102.0,204.0,299.0,-44.5,-90.0,-141.0
1277,RGI04,OGGM_v16,1.4937790687750323,mpi-esm1-2-hr_2021-2040_ssp370,25,94.0,188.0,270.0,-30.0,-58.5,-82.5
1278,RGI04,OGGM_v16,1.493791625332881,gfdl-esm4_2021-2040_ssp126,25,93.0,185.0,264.0,-34.5,-73.0,-104.5
1279,RGI04,OGGM_v16,1.5283027574212975,mpi-esm1-2-hr_2021-2040_ssp585,25,104.0,209.0,300.0,-36.0,-74.0,-91.5
1280,RGI04,OGGM_v16,1.5298023875255358,gfdl-esm4_2021-2040_ssp585,25,90.0,178.0,248.0,-25.0,-54.0,-78.5
1281,RGI04,OGGM_v16,1.636714986028974,ipsl-cm6a-lr_2021-2040_ssp126,25,80.0,157.0,210.0,-25.5,-54.0,-67.0
1282,RGI04,OGGM_v16,1.656830649489223,mpi-esm1-2-hr_2041-2060_ssp126,25,97.0,193.0,272.0,-35.0,-70.0,-99.5
1283,RGI04,OGGM_v16,1.6599956464695365,mpi-esm1-2-hr_2081-2100_ssp126,25,100.0,201.0,283.0,-32.5,-64.0,-77.5
1284,RGI04,OGGM_v16,1.664909941388102,ipsl-cm6a-lr_2021-2040_ssp585,25,83.0,168.0,239.0,-28.0,-55.5,-58.0
1285,RGI04,OGGM_v16,1.6781632715811343,ipsl-cm6a-lr_2021-2040_ssp370,25,92.0,194.0,283.0,-37.5,-75.0,-114.0
1286,RGI04,OGGM_v16,1.6787497715238051,gfdl-esm4_2041-2060_ssp126,25,96.0,196.0,282.0,-40.5,-82.5,-134.5
1287,RGI04,OGGM_v16,1.6844760802167618,gfdl-esm4_2081-2100_ssp126,25,81.0,157.0,212.0,-25.5,-54.5,-88.0
1288,RGI04,OGGM_v16,1.695689895147091,mpi-esm1-2-hr_2061-2080_ssp126,25,109.0,224.0,330.0,-44.5,-90.0,-113.0
1289,RGI04,OGGM_v16,1.7054887108734946,mri-esm2-0_2021-2040_ssp370,25,81.0,160.0,221.0,-22.5,-44.5,-52.0
1290,RGI04,OGGM_v16,1.7263241376269964,mri-esm2-0_2021-2040_ssp126,25,70.0,138.0,188.0,-16.0,-32.5,-30.5
1291,RGI04,OGGM_v16,1.7300556075408982,gfdl-esm4_2061-2080_ssp126,25,94.0,189.0,267.0,-28.0,-58.5,-121.5
1292,RGI04,OGGM_v16,1.9117346788457827,mri-esm2-0_2021-2040_ssp585,25,85.0,177.0,251.0,-31.0,-58.5,-58.0
1293,RGI04,OGGM_v16,1.9477879408841847,mri-esm2-0_2081-2100_ssp126,25,79.0,161.0,225.0,-24.0,-41.5,-48.0
1294,RGI04,OGGM_v16,1.996245046811256,mri-esm2-0_2041-2060_ssp126,25,69.0,139.0,188.0,-17.5,-33.0,-32.5
1295,RGI04,OGGM_v16,2.049075466844948,ipsl-cm6a-lr_2041-2060_ssp126,25,65.0,124.0,164.0,-10.5,-25.0,-32.5
1296,RGI04,OGGM_v16,2.0496075314919837,gfdl-esm4_2041-2060_ssp370,25,78.0,153.0,213.0,-36.0,-77.0,-119.5
1297,RGI04,OGGM_v16,2.0912659163195166,mri-esm2-0_2061-2080_ssp126,25,71.0,141.0,195.0,-19.5,-39.5,-36.0
1298,RGI04,OGGM_v16,2.092677030991532,mpi-esm1-2-hr_2041-2060_ssp370,25,88.0,175.0,257.0,-22.0,-47.5,-53.5
1299,RGI04,OGGM_v16,2.1396524250416253,mpi-esm1-2-hr_2041-2060_ssp585,25,98.0,201.0,297.0,-39.0,-82.0,-102.5
1300,RGI04,OGGM_v16,2.1712205231308155,ipsl-cm6a-lr_2081-2100_ssp126,25,49.0,93.0,122.0,-7.5,-15.0,-16.0
1301,RGI04,OGGM_v16,2.1761438977250376,ukesm1-0-ll_2021-2040_ssp126,25,74.0,145.0,199.0,-9.5,-18.0,-12.5
1302,RGI04,OGGM_v16,2.189115489502097,gfdl-esm4_2041-2060_ssp585,25,76.0,151.0,210.0,-13.0,-26.5,-30.0
1303,RGI04,OGGM_v16,2.191208340613269,ipsl-cm6a-lr_2061-2080_ssp126,25,50.0,96.0,127.0,-12.5,-29.0,-39.5
1304,RGI04,OGGM_v16,2.3197325111266047,ukesm1-0-ll_2021-2040_ssp585,25,64.0,127.0,170.0,-15.5,-27.5,-38.0
1305,RGI04,OGGM_v16,2.3233173057330725,ukesm1-0-ll_2021-2040_ssp370,25,65.0,128.0,174.0,-19.0,-36.5,-51.0
1306,RGI04,OGGM_v16,2.404955505633247,mri-esm2-0_2041-2060_ssp370,25,61.0,122.0,164.0,-11.0,-17.0,-12.5
1307,RGI04,OGGM_v16,2.5948271367994478,ipsl-cm6a-lr_2041-2060_ssp370,25,54.0,104.0,139.0,-16.5,-37.0,-47.5
1308,RGI04,OGGM_v16,2.687006726396547,mri-esm2-0_2041-2060_ssp585,25,46.0,89.0,115.0,-3.0,-5.5,-4.5
1309,RGI04,OGGM_v16,2.718961154542893,mpi-esm1-2-hr_2061-2080_ssp370,25,74.0,149.0,221.0,-15.0,-33.0,-35.0
1310,RGI04,OGGM_v16,2.7398348752990143,ukesm1-0-ll_2041-2060_ssp126,25,51.0,99.0,132.0,-6.0,-12.0,-10.0
1311,RGI04,OGGM_v16,2.8141615409733487,gfdl-esm4_2061-2080_ssp370,25,61.0,120.0,165.0,-16.0,-30.5,-44.5
1312,RGI04,OGGM_v16,2.843937216517189,ipsl-cm6a-lr_2041-2060_ssp585,25,43.0,83.0,108.0,-9.0,-18.0,-22.0
1313,RGI04,OGGM_v16,2.950346953824412,mpi-esm1-2-hr_2061-2080_ssp585,25,72.0,149.0,228.0,-13.5,-31.5,-30.0
1314,RGI04,OGGM_v16,2.951472321285355,ukesm1-0-ll_2061-2080_ssp126,25,41.0,81.0,105.0,-5.0,-9.5,-11.0
1315,RGI04,OGGM_v16,3.038482494458876,ukesm1-0-ll_2081-2100_ssp126,25,41.0,80.0,104.0,-4.5,-10.0,-10.0
1316,RGI04,OGGM_v16,3.048039247761285,gfdl-esm4_2061-2080_ssp585,25,56.0,115.0,160.0,-9.5,-16.0,-10.5
1317,RGI04,OGGM_v16,3.105613246951532,mri-esm2-0_2061-2080_ssp370,25,46.0,89.0,116.0,-6.0,-13.0,-13.0
1318,RGI04,OGGM_v16,3.414119753355767,ukesm1-0-ll_2041-2060_ssp370,25,40.0,78.0,101.0,-6.0,-11.5,-13.0
1319,RGI04,OGGM_v16,3.4545105505178424,mpi-esm1-2-hr_2081-2100_ssp370,25,83.0,177.0,278.0,-13.5,-30.0,-21.5
1320,RGI04,OGGM_v16,3.5131147480935234,ipsl-cm6a-lr_2061-2080_ssp370,25,29.0,58.0,75.0,-4.5,-6.0,-8.5
1321,RGI04,OGGM_v16,3.5323191142029637,gfdl-esm4_2081-2100_ssp370,25,55.0,109.0,151.0,-10.5,-22.5,-19.0
1322,RGI04,OGGM_v16,3.541685753482952,mri-esm2-0_2061-2080_ssp585,25,41.0,78.0,102.0,-3.5,-8.0,-7.0
1323,RGI04,OGGM_v16,3.646967337572662,ukesm1-0-ll_2041-2060_ssp585,25,37.0,73.0,94.0,-7.0,-12.5,-14.5
1324,RGI04,OGGM_v16,3.811452139882864,mri-esm2-0_2081-2100_ssp370,25,38.0,73.0,95.0,-4.5,-8.5,-7.5
1325,RGI04,OGGM_v16,3.9907986846486527,mpi-esm1-2-hr_2081-2100_ssp585,25,65.0,138.0,215.0,-11.5,-30.5,-29.0
1326,RGI04,OGGM_v16,4.001455331400752,gfdl-esm4_2081-2100_ssp585,25,47.0,95.0,130.0,-4.0,-6.5,-4.0
1327,RGI04,OGGM_v16,4.16009837781178,ipsl-cm6a-lr_2061-2080_ssp585,25,23.0,45.0,59.0,-2.5,-4.5,-5.5
1328,RGI04,OGGM_v16,4.439976778002009,ukesm1-0-ll_2061-2080_ssp370,25,29.0,56.0,72.0,-4.5,-9.0,-10.0
1329,RGI04,OGGM_v16,4.5943250252311145,mri-esm2-0_2081-2100_ssp585,25,32.0,62.0,80.0,-1.5,-3.0,-3.0
1330,RGI04,OGGM_v16,4.677751174879019,ipsl-cm6a-lr_2081-2100_ssp370,25,22.0,42.0,55.0,-1.5,-3.0,-4.0
1331,RGI04,OGGM_v16,5.23054329301376,ukesm1-0-ll_2061-2080_ssp585,25,24.0,48.0,61.0,-3.0,-5.5,-7.0
1332,RGI04,OGGM_v16,5.840495049230714,ukesm1-0-ll_2081-2100_ssp370,25,21.0,41.0,52.0,-2.0,-3.5,-4.5
1333,RGI04,OGGM_v16,5.849304978170279,ipsl-cm6a-lr_2081-2100_ssp585,25,17.0,33.0,43.0,-1.0,-2.5,-3.5
1334,RGI04,OGGM_v16,6.884360785697311,ukesm1-0-ll_2081-2100_ssp585,25,15.0,30.0,39.0,-2.0,-3.5,-4.5
1335,RGI04,PyGEM-OGGM_v13,-0.1435287736460142,ipsl-cm6a-lr_1901-1920_hist,25,185.0,369.0,517.0,-50.0,-82.5,-208.0
1336,RGI04,PyGEM-OGGM_v13,-0.1319133257011855,ipsl-cm6a-lr_1851-1870_hist,25,163.0,337.0,485.0,-39.0,-109.0,-424.5
1337,RGI04,PyGEM-OGGM_v13,0.0833736138284337,mpi-esm1-2-hr_1851-1870_hist,25,168.0,350.0,486.0,-57.5,-99.5,-126.0
1338,RGI04,PyGEM-OGGM_v13,0.1016562514146834,mpi-esm1-2-hr_1901-1920_hist,25,185.0,387.0,534.0,-133.5,-257.5,-358.0
1339,RGI04,PyGEM-OGGM_v13,0.1909476951352631,mri-esm2-0_1851-1870_hist,25,288.0,669.0,1065.0,0.0,0.0,0.0
1340,RGI04,PyGEM-OGGM_v13,0.2314087884401598,gfdl-esm4_1851-1870_hist,25,173.0,355.0,507.0,-64.5,-119.0,-143.5
1341,RGI04,PyGEM-OGGM_v13,0.2374210262441569,ukesm1-0-ll_1951-1970_hist,25,253.0,559.0,870.0,0.0,0.0,0.0
1342,RGI04,PyGEM-OGGM_v13,0.2524779717488781,mri-esm2-0_1901-1920_hist,25,281.0,618.0,853.0,0.0,0.0,0.0
