year,mean,p5,p50,p95,mean_AIS_tipping,mean_AIS_quiescent,frac_AIS_tipping
2093,0.08177640577652433,0.01785111819806673,0.035534990873586025,0.0775012723083961,0.13108339757066667,0.04068949703967955,0.45453187101667497
2094,0.08235481212918376,0.018108548526626578,0.03613115385243759,0.0790310877774516,0.13176664217725892,0.04118054296707816,0.45453187101667497
2095,0.0829381226862466,0.01837603068366178,0.036705782480837,0.08063101132887596,0.13244916761235898,0.0416811789887268,0.45453187101667497
2096,0.0835134215375321,0.018632817633559284,0.03727013411406688,0.08202357799575566,0.13312941210571103,0.042169027929542836,0.45453187101667497
2097,0.08408686108625472,0.01889212212525848,0.03782739857837214,0.08339258863543364,0.13380726109796784,0.0426554643754263,0.45453187101667497
2098,0.08663873086290602,0.019151277749557494,0.03830766858542489,0.08529779311407992,0.1344856949949407,0.04676844518748703,0.45453187101667497
2099,0.08722472825397894,0.019408397232176355,0.03880515393714745,0.0868384242099296,0.13516360511574765,0.047277852833355005,0.45453187101667497
2100,0.08779437413394386,0.01966304069928526,0.03929740059164999,0.08840311663041689,0.13583930855213586,0.04775912225831717,0.45453187101667497
2101,0.08836191291591841,0.019919034350728282,0.039769594215442794,0.089957870304886,0.13651261731498285,0.04823852421845218,0.45453187101667497
2102,0.08892998387779932,0.020176508516200897,0.04027584600903111,0.0914290443696757,0.13718696615819367,0.048718035131300325,0.45453187101667497
2103,0.08949661174510547,0.02042818603576535,0.0408363788178292,0.09291980946011336,0.13786012451929824,0.04919589245071618,0.45453187101667497
2104,0.09006234184555545,0.020684335955905908,0.041403037889196526,0.09446844973240331,0.13853191002918208,0.049673247885223225,0.45453187101667497
2105,0.09062675739502823,0.020932383344394623,0.0418753896828008,0.09601015574057215,0.13920423391831557,0.05014774474482556,0.45453187101667497
2106,0.09119084609488651,0.02117000480681952,0.04246259046986722,0.09755382576770444,0.13987342176099318,0.05062425562392835,0.45453187101667497
2107,0.09175258567163298,0.02140985770562054,0.043047361962280206,0.0990672339006835,0.14054034935631626,0.051098343320845924,0.45453187101667497
2108,0.09340443866730466,0.021651581918824547,0.04370184241643926,0.1075093097781803,0.14120661464847775,0.05357147440615133,0.45453187101667497
2109,0.0939702203774689,0.021901080817968932,0.0442059076019774,0.10885012883144896,0.14186732066706506,0.054058156859695526,0.45453187101667497
2110,0.09534314932087096,0.022147220747001484,0.044701718594765794,0.1342119561496986,0.1425265309890434,0.05602581873640353,0.45453187101667497
2111,0.09715434423773608,0.022395561290039723,0.04521867768021082,0.1364573896761101,0.1431837545200172,0.058798603790728224,0.45453187101667497
2112,0.09771524876953282,0.02263657554922105,0.04575849730535708,0.1387176514962789,0.14383989889927443,0.059280146131112876,0.45453187101667497
2113,0.10189969096052022,0.02287727719077992,0.04641176930624624,0.5303200772056584,0.14449458918659025,0.066405887092371,0.45453187101667497
2114,0.10248917827558665,0.023119426892094452,0.04696030825937214,0.5308864499249069,0.14514735220504596,0.06694264754344076,0.45453187101667497
2115,0.10303485847793453,0.02336417788309575,0.04754926866826281,0.5314657638795239,0.14579821628304995,0.0674006793182043,0.45453187101667497
2116,0.10357757334605625,0.023590527910258174,0.04816805386232659,0.5320780459088184,0.1464460431266678,0.06785580567225909,0.45453187101667497
2117,0.10638248006213359,0.023763072620596404,0.04878077004747183,0.5683398956798271,0.14709235634169704,0.07245944175612658,0.45453187101667497
2118,0.11056856770042268,0.02393070178891321,0.049372626536012376,0.5682180130359598,0.14773524736285748,0.07959803147875401,0.45453187101667497
2119,0.11114483260618965,0.024097172384223597,0.049906129466165794,0.5680860134171581,0.1483759699098156,0.08012058462631705,0.45453187101667497
2120,0.11167731387837779,0.024263319953909956,0.05051609477359875,0.5679769817443372,0.14901332105730222,0.08056567912354995,0.45453187101667497
2121,0.11493643189179133,0.024426214388647338,0.05108801894878923,0.7607419691483841,0.1496483041287565,0.0860114564513988,0.45453187101667497
2122,0.11764511056705028,0.024581141991461664,0.0516990006813387,0.7613270240902921,0.15027951340896986,0.09045126477646871,0.45453187101667497
2123,0.11818819018127148,0.024713825282177027,0.052315899111818,0.7618868500512974,0.15090868825838047,0.09092260229201,0.45453187101667497
2124,0.11871224360236454,0.024838615831072275,0.052756015764003905,0.7624637777458076,0.15153745514372424,0.09135939927354678,0.45453187101667497
2125,0.11923549893705179,0.02496633942124049,0.0532124849123079,0.7630290500539019,0.15216540024981803,0.09179541791163287,0.45453187101667497
2126,0.11976786432100414,0.02508884455218663,0.05366324852059279,0.7635932213983665,0.1528152576795688,0.09222987862147367,0.45453187101667497
2127,0.12028488485061799,0.025246373457875393,0.05411654398517385,0.7641306495608688,0.1534348462331855,0.09266143048045522,0.45453187101667497
2128,0.12079920955596592,0.02544298644509979,0.054565262316373264,0.7646914139092331,0.15405113006878796,0.09309079389882897,0.45453187101667497
2129,0.12131134119581467,0.02564219342966112,0.05499950059564185,0.7652474568689769,0.15466472767286327,0.09351837520087823,0.45453187101667497
2130,0.12182063412825023,0.02583659481387457,0.0554345313630904,0.7658211307640954,0.15527619574949303,0.0939425268445852,0.45453187101667497
2131,0.12360094228295464,0.02603852262090811,0.05586682924700881,0.7663723624211229,0.15588364364763888,0.09670016499994119,0.45453187101667497
2132,0.12411574136446757,0.026232374644287404,0.05636406822520712,0.7669218706265468,0.1564878862455499,0.09714043190129809,0.45453187101667497
2133,0.12462020249384376,0.026428074689569314,0.056924254755415404,0.7674393582566807,0.15709025535142818,0.09756330752020663,0.45453187101667497
2134,0.12817281629744046,0.02662861521763915,0.057505896593227135,0.8255725429523295,0.16440117583164626,0.09798417067732071,0.45453187101667497
2135,0.12869517832844754,0.026828884365826866,0.05801727223342823,0.825876527407388,0.16504832016367807,0.09840255315436147,0.45453187101667497
2136,0.12984156807715916,0.027023865858438967,0.05862247871210258,0.8261723994246495,0.16564157294725312,0.1000098651207664,0.45453187101667497
2137,0.1303395242732002,0.027214318025642115,0.05904883184144438,0.8264689315508633,0.16623162753867068,0.10043107685871022,0.45453187101667497
2138,0.13334536398759142,0.02740281598615013,0.05948454046030349,0.8267627259515962,0.16681754675131555,0.10545340651069049,0.45453187101667497
2139,0.13385894144174043,0.027591227280424846,0.05994461847964061,0.8270413015409304,0.16740147452850535,0.10590836190745556,0.45453187101667497
2140,0.13434407371087118,0.027784757442873342,0.06040251234848881,0.8273230151989992,0.16798061925601315,0.10631515475337448,0.45453187101667497
2141,0.1348255940211427,0.027973078282897745,0.06085080158325695,0.8275959135023925,0.1685563211807594,0.1067181946847422,0.45453187101667497
2142,0.1353039235650816,0.028152669049106294,0.06133511946833892,0.8278619772025877,0.16912784255456342,0.10711886862509701,0.45453187101667497
2143,0.13577857045984104,0.02833882690615752,0.061814797220506534,0.8281233195069433,0.1696934649465699,0.10751770675893502,0.45453187101667497
2144,0.13742032773176371,0.028542405995665376,0.06232620513122811,0.8283831304070759,0.17025902172546442,0.11005624864153125,0.45453187101667497
2145,0.13946921296189355,0.028760728011889114,0.06283635334085602,0.82863848340034,0.17082134779656466,0.11334386530256993,0.45453187101667497
2146,0.1421578690654814,0.028985167780213317,0.06426383907077593,0.8288874002051045,0.17138060384070047,0.11780692423876647,0.45453187101667497
2147,0.14428504460004354,0.02919266533567111,0.06475545930743465,0.8291425426939725,0.17193600542087034,0.12124383964325787,0.45453187101667497
2148,0.14475732471741729,0.029404328920627165,0.06518666084173219,0.8293947050094346,0.17248744833140767,0.12165015438047531,0.45453187101667497
2149,0.14521806919329214,0.02961513555638362,0.06565084459882087,0.8296434645442332,0.17303639338990176,0.12203740239759754,0.45453187101667497
2150,0.14567575288877396,0.029805828220979436,0.06612066450367138,0.8298770750454594,0.1735809319399008,0.12242271101297315,0.45453187101667497
2151,0.14711812835031876,0.029996519258901344,0.06691361808429974,0.8301115032176654,0.1741212841694193,0.12461673131968527,0.45453187101667497
2152,0.14757728499464534,0.030184760267957245,0.06738687272601851,0.8303410103871727,0.1746615441695489,0.1250083055369183,0.45453187101667497
2153,0.15025863652219115,0.03044465099202398,0.06789719460206811,0.8811048800140497,0.17519691380686225,0.12947787733235272,0.45453187101667497
2154,0.1507275705316861,0.030618786367625717,0.06839359088974106,0.8812625792712367,0.1757288261038085,0.12989433231088757,0.45453187101667497
2155,0.15117316032690414,0.030788235091002036,0.06890112284207817,0.8814072950209209,0.17625872927599623,0.13026966480792546,0.45453187101667497
2156,0.15161701299405958,0.030953120237953158,0.06938782572407831,0.8815425131044776,0.17678638991188117,0.13064368132736,0.45453187101667497
2157,0.15205889884719187,0.031132689903820676,0.06988695949831936,0.8816776762410257,0.17731051331298905,0.131017039645036,0.45453187101667497
2158,0.15249907144213504,0.03131679340405924,0.07035652806402481,0.8818066727911571,0.17783184252288398,0.13138958543269316,0.45453187101667497
2159,0.15426855064201897,0.03149895956705251,0.07081527965374335,0.881928933164744,0.17834915738364077,0.1342024777481052,0.45453187101667497
2160,0.15546466938146009,0.03168344442823212,0.07125764392392853,0.8820537076916821,0.17886334163701312,0.1359668440924823,0.45453187101667497
2161,0.1559024159623168,0.03186734581691297,0.07166722517246171,0.8821709030385136,0.17937355284300371,0.1363442067940718,0.45453187101667497
2162,0.15633009316757882,0.03204768410803638,0.072061213995255,0.8822803297620112,0.17987864633465978,0.1367073739617494,0.45453187101667497
2163,0.15675359691182458,0.03222469328536448,0.07246633255768131,0.8823826789818554,0.1803790635939039,0.13706678662161986,0.45453187101667497
2164,0.15717547259868606,0.03239840835300356,0.0728902389330699,0.8824733082131502,0.18087653192907543,0.13742567188604274,0.45453187101667497
2165,0.15759475779153154,0.03257066287878985,0.0733661295780621,0.8825612645765091,0.1813708644516621,0.137782421063694,0.45453187101667497
2166,0.1580138900079763,0.03274377969256648,0.07383790589651085,0.882642495435789,0.18186315870792433,0.1381405882538088,0.45453187101667497
2167,0.15843173434576702,0.03291752042227358,0.07430526033010665,0.8827119684949594,0.18235228418196778,0.13849903489903484,0.45453187101667497
2168,0.1588458484926575,0.03309320785904646,0.07476798567708443,0.882780818439528,0.18284022079503714,0.13885163369444578,0.45453187101667497
2169,0.15925706928311478,0.03327057173794401,0.07523527844415412,0.8828413449947448,0.1833245503082955,0.13920193388698585,0.45453187101667497
2170,0.15966435622123187,0.03344124529023418,0.07569126911943158,0.8828915592008002,0.18380343814172923,0.13954955668125016,0.45453187101667497
2171,0.16007003338861903,0.033611893432649254,0.07615222842852631,0.8829382410980315,0.18427931582696827,0.13989673662207155,0.45453187101667497
2172,0.16180390812238793,0.033786170897400325,0.07661984606087913,0.8829752699790561,0.18474999838055406,0.14268321383544347,0.45453187101667497
2173,0.16221106900187712,0.03395713624903607,0.07707861065449606,0.8830037759668699,0.1852182093546433,0.1430395024233177,0.45453187101667497
2174,0.16260770472627084,0.0341264363181466,0.07753098087874832,0.8830308951077086,0.1856814137255825,0.14338066731475596,0.45453187101667497
2175,0.16300212612342238,0.034293731627762725,0.07798927625515262,0.8830474673202957,0.1861426974086178,0.14371937319290942,0.45453187101667497
2176,0.1633955694193622,0.03445855379643348,0.07844641285555554,0.8830570428705187,0.18660081420639307,0.1440589248566301,0.45453187101667497
2177,0.16378648956945324,0.03462106965526601,0.07889979264311364,0.8830630785420226,0.1870567764240991,0.14439564625317902,0.45453187101667497
2178,0.16417521506736682,0.03478458675322571,0.07935826367960885,0.8830624241980445,0.18750895181692398,0.14473149973544688,0.45453187101667497
2179,0.16456121675822777,0.034950694342434474,0.07980612245933116,0.8830534062445281,0.187957942223263,0.14506501370580152,0.45453187101667497
2180,0.16494492144921236,0.03508711243318885,0.08025164458015865,0.8830352882760621,0.18840321198423365,0.14539741698252712,0.45453187101667497
2181,0.1653267814794714,0.03523176154308061,0.08069057967080084,0.8830158218576685,0.18884539757518504,0.1457290084663494,0.45453187101667497
2182,0.1657048554944228,0.03538252121806096,0.08113170751843768,0.8829851390860313,0.18928378642851304,0.14605682286963745,0.45453187101667497
2183,0.16608014166384122,0.03554512988190339,0.08153028338335844,0.8829495927663515,0.189718161682479,0.14638287083295556,0.45453187101667497
2184,0.1664536082952852,0.03569461311159472,0.08196970497237999,0.8829041504020552,0.1901479776361247,0.14670938226850444,0.45453187101667497
2185,0.16682329978235755,0.03585235830730937,0.08241585690348074,0.8828526221338961,0.19057386836810475,0.1470322436172419,0.45453187101667497
2186,0.16852211611513893,0.03595677481965254,0.08285608910802011,0.8827941073998886,0.19099631066713652,0.14979464670578593,0.45453187101667497
