year,mean,p5,p50,p95
2095,0.019360576605752258,0.003656213476688208,0.0052359781335553635,0.007183442907887638
2096,0.019402022999360644,0.0037017130750882643,0.005291886604652518,0.0072017396533397005
2097,0.019443141077056192,0.003717916618484196,0.00533827385567065,0.007304855769518781
2098,0.01949064117299995,0.0037473310378288716,0.005369777505848106,0.007407796317693283
2099,0.019532171707991552,0.0037853725032732655,0.00541955207609135,0.007482510093836936
2100,0.019573595412794607,0.003804987420608086,0.005463461130261749,0.007559381906219187
2101,0.019614853170473203,0.0038197139517137657,0.005509712377715914,0.007590433065729485
2102,0.0196585861924235,0.0038397198139250577,0.005551884156318465,0.007673003112529386
2103,0.019698526497480634,0.0038609689738677844,0.005611328033694463,0.007696760259534585
2104,0.019739382168612145,0.0038865131834597832,0.005658066652358684,0.007825703012542817
2105,0.01977987901519326,0.003917379331142001,0.005699607069686863,0.007896087457481826
2106,0.019818533025025214,0.003967876116206526,0.005740460623826493,0.007936230281302414
2107,0.019855927403732227,0.00395327870279516,0.005785469965502443,0.008010007094583216
2108,0.0198957783483191,0.004009127202664331,0.005830027440367758,0.008098390568989089
2109,0.01993694517226731,0.004035721748607557,0.005871995942641206,0.008173984880954777
2110,0.019973993973404536,0.004050965356583447,0.005913691096282037,0.008218118169622812
2111,0.020011814676301018,0.004076430654720298,0.005961659672948372,0.008245058337763567
2112,0.02004969679192133,0.004094612647520535,0.006004027653716548,0.00834933010196437
2113,0.020083723896912493,0.0041087960696017944,0.006043553409540436,0.008404553602758824
2114,0.02012113181686494,0.004139970117478242,0.006086382114744993,0.008481842849050736
2115,0.020155796372479592,0.00414663985424113,0.0061139081566352615,0.008564106647668268
2116,0.020193087757433146,0.0041648771201607815,0.0061664476760370235,0.008629307808405429
2117,0.020227197978778446,0.004177717543996096,0.006194662330472056,0.008678339712275829
2118,0.020264246969167152,0.004190685957894402,0.006232133904404691,0.00875497484855714
2119,0.020298308453876715,0.004209930094134506,0.006286895531104619,0.008800158286703663
2120,0.020330877269759268,0.004211400086262529,0.0063212728591111045,0.008847109764076322
2121,0.020370397798430962,0.004228952828100319,0.006375442392680952,0.00892747445675468
2122,0.02039946728088754,0.004240712483749576,0.006397873822550082,0.00896478492506958
2123,0.020435846756871306,0.004252558343864621,0.006448881728715605,0.00901973270401868
2124,0.020463877762258914,0.0042905986830987786,0.006480059357727441,0.009121736960082671
2125,0.020497542986390827,0.004317088533412061,0.006522146729537326,0.009230840316831745
2126,0.020532105729798068,0.0043272959842965975,0.006559990819710038,0.00925910723594825
2127,0.020561403691546864,0.004350412922349278,0.006589651397348462,0.009288685757269377
2128,0.020588522315253585,0.004356737048283321,0.006624719547687619,0.009354369737479828
2129,0.020628033602706132,0.0043740835522498855,0.006676672524008609,0.009431409574744976
2130,0.020659088548529794,0.004392159942767648,0.006716435248677044,0.009499977753080202
2131,0.020687026243393254,0.004390073470972311,0.006739828191371089,0.009574144698376585
2132,0.0207183993490524,0.004425327465185092,0.006780789945537435,0.009620331360338241
2133,0.020747909344575523,0.004444021124072606,0.006813501056512905,0.009657008808972023
2134,0.020777928541227696,0.0044540952742977424,0.006833148947293921,0.009762593163031852
2135,0.020807482573432862,0.0044511305532068945,0.006878200797189038,0.009834340445991074
2136,0.020834989651549847,0.004469405060092413,0.006898467827909371,0.009845703377209247
2137,0.0208667479786841,0.004488321198437006,0.00693431130684985,0.009896863474523343
2138,0.020893765747546207,0.004513028855512857,0.0069880319188087014,0.009912545692714048
2139,0.020921004334482456,0.004509030171107042,0.007024003690503378,0.010011490115857669
2140,0.020951503109699877,0.004513852553600373,0.00704822419663742,0.01008415007390795
2141,0.020978240399560984,0.0045283510246463266,0.007087703147590219,0.010120351441855746
2142,0.021007222234371573,0.004544888341229125,0.007139074031670134,0.010189418722461596
2143,0.021035450157884085,0.004540665601382443,0.007154563684252935,0.010243020460620755
2144,0.02105894195389585,0.004548994563435826,0.007182971097563495,0.010300239702587533
2145,0.021090021551122298,0.004573979956035146,0.0072146185544852415,0.010422147676081295
2146,0.021112286984548836,0.0045740473296973505,0.007241854507356038,0.010439681150842262
2147,0.02113727935772614,0.004586305732345863,0.007276473945694306,0.01046844491270349
2148,0.02116489237320586,0.004586446110010911,0.007313627995131355,0.010493680116496762
2149,0.0211937283332675,0.0045924001199182385,0.00734313453847335,0.010552358159543473
2150,0.021218222817639916,0.0046139837081682344,0.007361965666063952,0.01061126095862619
2151,0.02124483394445991,0.004625755765630402,0.007403326031862889,0.010633983649199763
2152,0.021272638379582386,0.0046439260103170454,0.0074402523353001015,0.010772671072345474
2153,0.021293025148904597,0.0046496180203803306,0.0074631526601365294,0.010792296887984776
2154,0.021322913661148853,0.004648706894272436,0.007497723660776501,0.01083752550812278
2155,0.021347369158573742,0.004641417359607658,0.007512127888276154,0.01096154683466466
2156,0.02137110816547786,0.004684162354351429,0.007541875606875692,0.010977850340054829
2157,0.02139924476198429,0.004678689339243647,0.0075761360079695805,0.011014529314934407
2158,0.021420624232681627,0.004691394248368397,0.00760540606847826,0.011068051489360187
2159,0.021440772957317382,0.00470169258619535,0.007631169691535433,0.011094864402139137
2160,0.02146491777158522,0.004718039838280674,0.007650749455478945,0.011126100898195546
2161,0.021490473519208145,0.0047315786559920525,0.007698743538497865,0.011204933412045648
2162,0.0215144789554667,0.004705516158765022,0.007703771584033348,0.0112425554902984
2163,0.021540239360718794,0.004735525467935986,0.00775438854816457,0.011304001938583497
2164,0.02156188793099291,0.004735524856869233,0.007783910575653863,0.011329662024195386
2165,0.021579140287876532,0.004755415096724391,0.0077885093475060785,0.011451834615172629
2166,0.021601657852273772,0.004748189076053677,0.007839139583865062,0.01141699278264241
2167,0.021626183435520075,0.004788904280417228,0.007849883348853837,0.011515076167256666
2168,0.021646433514465734,0.004759032430001753,0.007873675335190455,0.011514279827906648
2169,0.0216739361238213,0.004750525815211404,0.007919012217882937,0.01158029288887974
2170,0.021693156868632185,0.004804099975785903,0.007939886901908721,0.011659375488193291
2171,0.02171890842005198,0.004792748970317007,0.007976029297651621,0.011769516970616678
2172,0.02173633171179809,0.004791738555809388,0.007994009560263748,0.011797460697948736
2173,0.021762325523312316,0.0047638195582067056,0.008015221652613036,0.01183133959443694
2174,0.021785495571080844,0.004778201986255226,0.0080681254303272,0.011959582124632107
2175,0.021806950364072604,0.004834714582102606,0.00807965712965597,0.011959638652569993
2176,0.021825325473056666,0.00482841434745751,0.008088012705798064,0.012011822818180917
2177,0.021848495434386207,0.004814725099322459,0.008107092651243875,0.012093780989630432
2178,0.021868235394116416,0.004827863159562185,0.008151190741045866,0.012103039699695728
2179,0.02189531018688833,0.004839788303456771,0.008165923827618826,0.012144248069034802
2180,0.021909305015271094,0.004852677835742725,0.00820845527016445,0.01222435349461648
2181,0.02193045761550961,0.0048568598003839725,0.008195685100531591,0.012227871405912083
2182,0.021952975766229725,0.004883265961552752,0.00825909287129889,0.01226044899453882
2183,0.02197655910703948,0.004886872488896188,0.008281184349812065,0.01233891378547014
2184,0.021997590601475384,0.004898248261042681,0.008304430400585261,0.01239162294837115
2185,0.022017378213574045,0.004891251074923275,0.008324970136186494,0.012414948648142854
2186,0.0220328906007259,0.00487801515589581,0.008356515536434017,0.01244641831590343
2187,0.02205623485005253,0.004911848586175438,0.008363537119748798,0.012502923124202425
2188,0.022074503227592274,0.004896686678534934,0.008385853263348508,0.012602290752283807
2189,0.022095299437692013,0.004863931951604172,0.008417658412440687,0.012628970313244281
2190,0.022116929900225388,0.004913542127127357,0.008439991785280654,0.01272558379810107
2191,0.022135200681588404,0.004924734039946088,0.008475521777029371,0.012845865205690643
2192,0.022154043078718887,0.0048691857585936305,0.0084788245345635,0.012912634437611814
2193,0.022175752163786,0.004922467167034483,0.008523389959691485,0.012953042465824183
2194,0.022191619398786947,0.004949356969063956,0.008541615909507527,0.01297828464430495
2195,0.022214838984701387,0.0049130118085827235,0.008566439021251426,0.012948576758731178
2196,0.022235707637194825,0.0049369362301376896,0.008603356184266886,0.012987939729214304
2197,0.0222543691794092,0.004958741797622679,0.008616033517228061,0.013021065393559184
2198,0.022275538746619954,0.0049413114908247735,0.008647176950660196,0.01313499388118089
2199,0.022295094431135573,0.00498568659850207,0.008657526095134926,0.013208908822548437
2200,0.02231416958935756,0.004933515160132629,0.008672753708083292,0.013269128419324261
2201,0.022330714780214672,0.004916173747915309,0.008686276932223791,0.013285469279367135
2202,0.02235143219072662,0.0049629396599470965,0.008733206570354923,0.013393340202583204
2203,0.02237465656784269,0.0049921660036034154,0.008742866879174471,0.013446419114870878
2204,0.022389085294260654,0.005012530164094642,0.00877281137547925,0.013459897746770366
2205,0.022408640082550516,0.004971551536669949,0.008774301019798258,0.013480556066269855
2206,0.02242600044845707,0.0049978923982507695,0.008792935201995533,0.013574650606074101
2207,0.022439781383726244,0.005010721207554525,0.008830728228303997,0.013598080471410867
2208,0.022465478974537,0.004953577749233773,0.008867391358080567,0.013647625496560067
2209,0.02248420524706875,0.0049884940068523065,0.00885768753278171,0.01365806426179006
2210,0.030554004979783177,0.005025518271395413,0.00891717774038625,0.013800447368339519
2211,0.03061701501281911,0.004994013636405725,0.008924063314452724,0.013832245250000597
2212,0.030630226423847832,0.005029151731150705,0.008956512368740732,0.013852369158939837
2213,0.030653184283948226,0.005033347378002873,0.00899253107036202,0.013923179159291976
2214,0.03066733184080637,0.005053267699395292,0.008989780758383858,0.01399388393110712
2215,0.030686213182108166,0.00504333598314588,0.009014117512151643,0.014059704227520342
2216,0.03069681250264674,0.005056398512692795,0.009049038200714676,0.014071187160880072
2217,0.030711839868706056,0.005005978002259326,0.009055227394583198,0.014142538344685818
2218,0.030727028341858083,0.005056323399799112,0.009082342171495839,0.014230468633513738
2219,0.030746476957113633,0.0050657349390803574,0.009086480741871128,0.014329572235283194
2220,0.030760590732717766,0.005052965822471833,0.009118963066612196,0.014373373613807416
2221,0.030783945068417057,0.005036686297898996,0.009147683411470098,0.014337082347992691
2222,0.03079687963591123,0.005082259295363656,0.009154994246785009,0.014452158592348496
2223,0.0308122269835507,0.005050546960205793,0.009160499048732618,0.014461036454349596
2224,0.03081840743203733,0.005049632807185844,0.009192887705467001,0.014549712659572833
2225,0.030839666254169167,0.005058813422920139,0.009211790245444718,0.014650001037352922
2226,0.030854978643667992,0.005041380768489034,0.00922267388432374,0.014712898843072253
2227,0.030873711507043117,0.005064453034719918,0.009247620761243525,0.014738046922957437
2228,0.030889070054499722,0.005052809450489804,0.009297455889623052,0.01476076584481234
2229,0.030904277183664324,0.005094777122849337,0.009297017231801874,0.014811072753673216
2230,0.03091796890131034,0.005075990927849716,0.009312492150570506,0.014911820539964538
2231,0.030938361596558682,0.005049280997582173,0.009343541825046486,0.01490944317197318
2232,0.03095118814513587,0.005067556023163888,0.009354512769732537,0.014931004415075222
2233,0.030967142492403815,0.005091135744805797,0.009372716294819838,0.015016804542256068
2234,0.030983874581040374,0.0050734041110445105,0.009375033872061067,0.015065604225128482
2235,0.03099946546029242,0.0050727342284062615,0.009410590644165495,0.015068311500954223
2236,0.031017238463267705,0.005081436353293611,0.009439495335072934,0.015221078604099603
2237,0.031031023283054064,0.005096997597320296,0.009452537010190554,0.015268584223804282
2238,0.031043529979867326,0.005094616352607773,0.009465059338253923,0.015322623733027285
2239,0.031062730721999075,0.00509579855361153,0.009474379436369418,0.015307544680354113
2240,0.031075870339781785,0.005130326309199518,0.009538629063854387,0.015377206602806837
2241,0.03109516217733074,0.005111104732691274,0.009546360752210603,0.015439024485885966
2242,0.031112666581683608,0.005113214626817353,0.009559704196249186,0.01553301326566725
2243,0.03112644230847013,0.005091068192086823,0.009577829709428443,0.015504051589232404
2244,0.03115128589783753,0.0051170455151350325,0.009619054628728918,0.01575036612848635
2245,0.031150027522423424,0.005116971769325573,0.00961909215675405,0.015632845747859392
2246,0.031168610673583542,0.005140510123169406,0.009639104123948528,0.01583282356136806
2247,0.031192481267491693,0.005100659194567925,0.009679834266762555,0.01589723217136907
2248,0.031206926077634287,0.005092520660809896,0.00968229128375242,0.015888514684547772
2249,0.031215681062616463,0.005101234722815207,0.009686122842822442,0.016056146500886825
2250,0.031235770296460734,0.005101923113670637,0.009719756405957014,0.016090445217287197
2251,0.03125084626180635,0.0051304108467320475,0.009721974532794775,0.016123322365046988
2252,0.03126629415296534,0.00511450796096824,0.009763717883970457,0.016176738029116677
2253,0.03128425947183142,0.005140510492651629,0.009789394783865646,0.016203513507662137
2254,0.03129576258947543,0.0051269569041778595,0.009828983763782162,0.0162705212005676
2255,0.03131846227477864,0.005155566543635359,0.009839164181357773,0.01632051736919493
2256,0.031326774524804396,0.005097552849520071,0.00982248634500138,0.016293741759909608
2257,0.03134963876183498,0.005113285959623681,0.009856996553025965,0.01642189907329339
2258,0.0313581811678931,0.005148285656275675,0.00988692253258705,0.016525647441767433
2259,0.031371447049897964,0.005143921345052149,0.009880401779582826,0.01647325122462462
2260,0.03138749249824028,0.005146160873437111,0.009931248276018323,0.016564526373485933
2261,0.031408908807687964,0.005153278965508434,0.009937749598520895,0.01661603327534067
2262,0.03142361961745187,0.005180567455909113,0.009943995712546894,0.01662620603042342
2263,0.0314414002851654,0.005163382807893413,0.009959976131312942,0.01665416917830953
2264,0.03145628600330323,0.005178920241633023,0.009976369523201356,0.0167682790163326
2265,0.03146773768149243,0.0051809200130037425,0.010007862880456742,0.01678148541373048
2266,0.03148584690686709,0.005192204690729341,0.010020139438893239,0.016966003988727607
2267,0.03149769054406932,0.00519447588658295,0.01004562304274259,0.016909608893911354
2268,0.031505820845058416,0.005131994703333476,0.010035859224899468,0.016952994849361858
2269,0.031529913040106924,0.00514928525490177,0.010062615160677524,0.017087752240740883
2270,0.031545587270804996,0.005202482498134486,0.010064672397902541,0.017117701321467393
2271,0.03155339951128173,0.005161068645520572,0.010092764084390637,0.01710995333610299
2272,0.031575646348877245,0.005162436599448483,0.01013578848017005,0.01728377716290197
2273,0.03159254167654053,0.0052038333819837135,0.010146187469217693,0.017255018570949687
2274,0.03160703170959301,0.005172066312297829,0.01017824497324682,0.01747993630374367
2275,0.03161689035005122,0.005190702245272405,0.010166669551381347,0.017537139046908123
2276,0.03164057231173904,0.005188996192373452,0.010207904239223353,0.017520526233738565
2277,0.03165006934543408,0.005177083407659211,0.010212604644266321,0.0176447602314056
2278,0.03167386553421838,0.005212239955199038,0.010223215718951906,0.01767481340948507
2279,0.03168634507217204,0.005220331320288096,0.010259520581712422,0.017766050075351814
2280,0.03170754909116129,0.0052102098493378435,0.010274421629219432,0.0178551688634343
2281,0.0317181578837574,0.005209923159554819,0.010295877098087658,0.017820137739477104
2282,0.031732591042931184,0.005199735784344739,0.010323662314704052,0.017900873342568957
2283,0.03174717524791711,0.005226065502483834,0.0103239645056874,0.01787476718675407
2284,0.031764281511497836,0.005198895058811104,0.010339478504306499,0.018022484863422505
2285,0.031776360114970544,0.005225833251643053,0.010350661102620506,0.01823388354296185
2286,0.031799073429946687,0.005211075777822316,0.010375126441886096,0.01819097759039323
2287,0.03181394870337335,0.005224397261827107,0.010373196329283019,0.018198026606341955
2288,0.03182055213222763,0.00522236956044253,0.01042297682829485,0.018298522678605877
2289,0.03183900064626937,0.005237735564378454,0.010427156308878693,0.018371077419487847
2290,0.031851801023518485,0.005229661923067397,0.01046813923579748,0.018258255744285634
2291,0.03187712256598424,0.005234439635160015,0.010475004569343582,0.018586329184699935
2292,0.031885882802413765,0.0052572471076928196,0.01051930968429815,0.018537941201657304
2293,0.03189975732831082,0.00523524325899416,0.010503444502774073,0.018585765769785212
2294,0.03191134754077633,0.005244408077942353,0.010529539440540248,0.018616631916756887
2295,0.031941496448802606,0.005264629839984991,0.010546102544140012,0.018675620714247998
2296,0.031946785521838765,0.005250607961215792,0.010549310184160277,0.018832709679372783
2297,0.031965019514370314,0.005270391062595081,0.010577968612324185,0.01867009659690666
2298,0.03197924381794776,0.005265461146564121,0.010575414546565298,0.018798720100221544
2299,0.03199768005005611,0.005276599881653965,0.010610069250560628,0.018943470524845907
2300,0.03200141974178271,0.005274255636322778,0.010606340202912179,0.019006509370456115
