year,model_p05,model_p50,model_p95,CSIRO_Recons
1995,-0.26725695874729294,-0.20714595163549532,-0.15738705047593873,-0.258
1996,-0.12292022946489993,-0.06677192040478719,-0.018793726393561163,0.1519999999999999
1997,0.013637141351498572,0.08371447680419068,0.15084699778962868,0.8520000000000001
1998,0.14055463777448973,0.23707963304343413,0.3337343014313455,-0.13800000000000012
1999,0.26654056052499286,0.4005524820513007,0.5310744292296682,0.712
2000,0.40594610643977663,0.575619396847404,0.7383422419594027,0.8419999999999999
2001,0.5581701758100847,0.7603712117061114,0.9555678858063145,1.3920000000000001
2002,0.7163102905446798,0.9503958346888813,1.1792041124265487,1.632
2003,0.8717467358747719,1.1415898474857573,1.4093809773624806,2.5520000000000005
2004,1.0226838984809863,1.3331616622826339,1.6373609589286688,2.5120000000000005
2005,1.1743653781593746,1.5258459257711523,1.8689310755487436,2.5219999999999994
2006,1.324682801420304,1.7159655056420458,2.098312201694077,2.952
2007,1.4729214167268556,1.905735669968359,2.332264856500621,3.1419999999999995
2008,1.6240109043837887,2.0998049196168393,2.568706718951819,4.0120000000000005
2009,1.7829509762592997,2.2968234297019814,2.8090514374011413,4.592
2010,1.9446765751809234,2.499676260256789,3.0531733982971296,5.362
2011,2.108845596706958,2.7084418866353634,3.301146287982308,5.521999999999999
2012,2.2793456818023756,2.924860198741906,3.566158697925613,6.401999999999999
2013,2.4525343722333734,3.145593359325704,3.83370628066404,5.562
2014,2.635350835329434,3.3766751208407753,4.108976037470719,
2015,2.8156332792934085,3.6114107868230723,4.396302093379381,
2016,3.0092060718482325,3.8542274769212375,4.699630599420923,
2017,3.2011305603256597,4.101704300299986,4.999808124788107,
2018,3.3996950558327352,4.3547058119428135,5.303752984759479,
2019,3.6058242719989346,4.611355554143897,5.611984154981229,
2020,3.8250558866911972,4.886482233441636,5.948986387907096,
2021,4.1085269244907465,5.225658319038029,6.349222042606704,
2022,4.365645000827202,5.5376839750880285,6.724707882339369,
2023,4.60726040656074,5.833409623177976,7.088724470167762,
2024,4.860618834999237,6.143139471525124,7.470332712526693,
2025,5.1238065747696995,6.458783980133067,7.852078078965609,
2026,5.40789059550888,6.798501144517054,8.27206379604167,
2027,5.681544176066379,7.128722943339643,8.68676294215524,
2028,5.961614949825781,7.459244254290541,9.10646472799995,
2029,6.250829859957039,7.803639866229842,9.529579716723285,
2030,6.562650270073645,8.173212109851686,9.991677978624507,
2031,6.871308738901547,8.544070284867077,10.443332325077531,
2032,7.167874494238921,8.907541776673417,10.909077827762847,
2033,7.453613284724054,9.261626778639899,11.35094798363299,
2034,7.79421716535701,9.655274941007765,11.851301986832565,
2035,8.11046397156346,10.043785118821976,12.344504867149974,
2036,8.407196557576572,10.40497873145668,12.82073549438362,
2037,8.717726199501163,10.797187122358801,13.3086823395547,
2038,9.12535630601208,11.283215587073684,13.914602048353226,
2039,9.451664585129961,11.696372382949493,14.470740344268801,
2040,9.828176267137263,12.162104301957703,15.111595071770747,
2041,10.194787064972793,12.620861495020893,15.744342600736115,
2042,10.534406434434558,13.052692946640777,16.377990231910466,
2043,10.891578591414678,13.516919920020507,17.07267757451013,
2044,11.241438208957758,13.973167027635272,17.765803669221878,
2045,11.612776041477373,14.44309953753149,18.490591254571477,
2046,11.980840191075652,14.92222265902337,19.270653614507932,
2047,12.370087131645835,15.433522823787703,20.184570508245805,
2048,12.745301276340731,15.947138772726815,21.15300187900103,
2049,13.150631102069502,16.487210114749274,22.227853919926908,
2050,13.569686199044208,17.061888654624454,23.398054477670154,
2051,13.9864577794403,17.637383916219623,24.709048398727322,
2052,14.392701817179148,18.211213869467862,26.074383816326293,
2053,14.799155456248835,18.78881580745744,27.550458865275985,
2054,15.194351867433465,19.34727465026567,28.936515270148366,
2055,15.59193481301025,19.932379000108895,30.577612442863668,
2056,15.961671792114181,20.502726670619495,32.239701399235976,
2057,16.355614022737214,21.0980337914135,33.91034501040822,
2058,16.7445521568481,21.70143664037059,35.72579550287363,
2059,17.131545639424537,22.317476855394872,37.49901763611957,
2060,17.522896642970817,22.955607341195208,39.260671582241194,
2061,17.920318292376976,23.605016880669563,41.083682820112266,
2062,18.331301464321847,24.27406158002605,42.84542623012952,
2063,18.704159957749553,24.916934180180217,44.80598867015608,
2064,19.08352002984371,25.58670748797458,46.73505580604765,
2065,19.463016309555677,26.261847595916496,48.695441584267634,
2066,19.841744871113736,26.931952992710638,50.57536921790668,
2067,20.22864154449026,27.650235338936618,52.488254697964756,
2068,20.5750922279258,28.332987218679374,54.49265528092008,
2069,20.993433134998014,29.107067170082203,56.57538043876362,
2070,21.389825116947303,29.890122167628874,58.59606951434216,
2071,21.75060031283199,30.624302413083935,60.71327055080444,
2072,22.162366062120274,31.449380493556077,62.794353391811875,
2073,22.560268400731562,32.25442120670885,64.84984228917746,
2074,22.94840329744259,33.07439815385328,66.97652696813432,
2075,23.362024749075463,33.92717204185026,69.1662865637322,
2076,23.743741481895498,34.77636781167934,71.36357794272175,
2077,24.07772869043124,35.63387721154635,73.43210802192839,
2078,24.500306731444176,36.56317717212065,75.6519463662216,
2079,24.94352188798409,37.42043711984684,77.82184953018337,
2080,25.358600980503667,38.35966814890572,80.09196297280668,
2081,25.78912465764513,39.40748842628127,82.38154734165397,
2082,26.192354932752163,40.43196968182802,84.68451655268845,
2083,26.556131115450228,41.394212942381905,86.88770113783843,
2084,26.97793317459471,42.37545327508711,89.22848734696959,
2085,27.393475055466205,43.47112928047027,91.64974634603809,
2086,27.81049673573573,44.49714424187439,94.00836788712081,
2087,28.192258119267812,45.610567463729716,96.31494458229379,
2088,28.55820920002219,46.72038363534537,98.6802687238851,
2089,28.964344899460233,47.89467779356511,101.09079158597056,
2090,29.360323321675732,49.07812154404245,103.5395618995606,
2091,29.771249837368927,50.21262810005659,105.98938979815277,
2092,30.137368672631727,51.3850878079634,108.60753198221978,
2093,30.488655433423656,52.57751625743945,111.02981657296772,
2094,30.908832741254184,53.90688783457223,113.51419169838142,
2095,31.315469437702383,55.23516422064719,116.01025966692461,
2096,31.733771092154274,56.57584514904366,118.56050624499392,
2097,32.0890981876365,57.89607358959993,121.09891217070604,
2098,32.474301479411714,59.19972870331441,123.83339248826356,
2099,32.884988319653516,60.75236726458504,126.55859648072082,
2100,33.257961230404135,62.048607543551874,129.1475749136553,
