year,V_total,V_emissions,V_climate,V_internal,V_brick,mean,f_emissions,f_climate,f_internal,f_brick,p5,p50,p95
2048,21.445114340722544,1.0393303012657547,16.220352844170176,0.4698237025917132,3.7156074926948994,17.08579818722393,0.0484646658792651,0.7563658829913084,0.02190819293975765,0.1732612581896689,11.536509196502987,16.526930230874086,25.096017267006623
2049,25.16094908695235,1.291952998747293,18.787229843275206,0.5197572636105346,4.562008981319314,18.24300721767795,0.05134754632198107,0.7466820817588973,0.020657299604014693,0.1813130723151069,11.992509250912647,18.02107283909998,26.66656080595971
2050,28.881029942544465,1.5426190744826125,21.259942448541718,0.5686614743819084,5.509806945138225,19.427409068775983,0.0534128830430036,0.7361213395379584,0.019689792071584562,0.19077598534745335,12.481548148637206,19.49316270811265,28.222470259923725
2051,33.028590062993274,1.8631993076825912,24.01652725302828,0.6247418528089758,6.524121649473422,20.604597174260157,0.05641171191773651,0.7271435809770603,0.0189151838336861,0.1975295232715169,12.908035875116823,20.963907931988235,29.76414862327994
2052,37.03322799926758,2.245972570119102,26.53276291713485,0.6686261066771507,7.5858664053364775,21.86230393997412,0.06064749662555803,0.716458282212385,0.018054761704552853,0.2048394594575041,13.382768406901796,22.46839488749171,31.351297518407616
2053,41.66425844681632,2.685056212684106,29.563287216968494,0.7364984169631126,8.679416600200602,23.06104290806102,0.06444507385416526,0.7095599038371342,0.01767698368862702,0.20831803862007342,13.835419055737948,23.94932285841088,32.89402505333384
2054,46.453885394681095,3.1888235254278747,32.62280516595704,0.8006744357327124,9.841582267563478,24.30962012763797,0.06864492600209908,0.7022621442488061,0.017235898115518847,0.21185703163357625,14.283634732172384,25.41980923354633,34.47955225381725
2055,51.163559849286216,3.7750507949839536,35.49674250937931,0.8493901402992319,11.042376404623713,25.57753658303828,0.07378397449482045,0.693789537200753,0.01660146680178826,0.2158250215026382,14.733240209806272,26.914262550608704,36.04030574140362
2056,56.11032313603535,4.454639890220166,38.49504816184313,0.8852759081052596,12.275359175866795,26.889509386197275,0.07939073669955918,0.6860599977033588,0.015777415966024173,0.21877184963105792,15.203342961388344,28.42424242965882,37.640274058060285
2057,61.111616363297486,5.199165214875914,41.37440221627685,0.9529978692284501,13.585051062916282,28.18045652194283,0.08507654557797685,0.6770300751057463,0.015594381656722193,0.22229899765955485,15.640087412769986,29.864665135957267,39.19970006549378
