year,V_total,V_emissions,V_climate,V_internal,V_brick,mean,f_emissions,f_climate,f_internal,f_brick,p5,p50,p95
2098,0.01708672328974306,0.00016468325330220868,0.00022120447657996106,0.002779321928348585,0.013921513631512306,0.020842219846853006,0.009638082768102525,0.012945985770879034,0.1626597376933573,0.8147561937676612,0.004251591198340066,0.006331423349834608,0.007486388926523091
2099,0.017149053756576108,0.00016738565138174638,0.0002126441608441183,0.0028136512879211534,0.01395537265642909,0.020965366360092632,0.009760634829053432,0.012399760585191245,0.16407035209404536,0.81376925249171,0.00428874480534347,0.006384571534695738,0.007561637504522878
2100,0.017153360012455113,0.00016766618365763962,0.00021187183170228384,0.002807101946732029,0.01396672005036316,0.02102182838568978,0.009774538838798733,0.012351622746123383,0.1636473521627123,0.8142264862523656,0.004324859427725869,0.006436654520328489,0.007637547119074384
2101,0.017380896066898383,0.0001850316862931887,0.0002645074815802043,0.0028291659335463824,0.014102190965478606,0.021155395694291694,0.010645693155347632,0.01521828797330848,0.1627744578102898,0.8113615610610541,0.004361621828351758,0.006489322837524014,0.007711105317198985
2102,0.017604134038158994,0.00018978983723869327,0.0002987093119366782,0.0028484014824239024,0.01426723340655972,0.021380736098481297,0.010780981150637792,0.016968134376231812,0.16180298765333548,0.810447896819795,0.004394893161659752,0.006541684841934625,0.007787523534929619
2103,0.01766436264394818,0.00018814821818837976,0.00031264244355904227,0.002840712495843465,0.014322859486357292,0.021482361452619742,0.01065128824519686,0.01769905033432688,0.16081601997775416,0.8108336414427221,0.004428184951478897,0.006594103416787789,0.007862079745478923
2104,0.017733926120877572,0.00019078640979547086,0.0003085467768159829,0.0028519188558744557,0.014382674078391663,0.021599943059189986,0.010758272505199187,0.0173986727311749,0.16081711609912397,0.8110259386645019,0.004464194837964897,0.00664414019345827,0.007936802164451251
2105,0.01775761244570579,0.00019318282702544872,0.0003050163632299769,0.002862374588100275,0.01439703866735009,0.021678623046449942,0.010878873926104007,0.01717665390899648,0.16119140998555043,0.8107530621793491,0.004498790705426359,0.0066953663298647825,0.008010252553802388
2106,0.017801199604445785,0.0001930675851264078,0.00030431110244826323,0.002844054975634107,0.014459765941237006,0.02176308430792828,0.010845762612435954,0.017094977260536007,0.15976760211844457,0.8122916580085834,0.0045324846252441375,0.006745841946184328,0.008084759385994289
2107,0.017942280685523698,0.00019245874307197592,0.00032021875331173194,0.0029065184057867613,0.014523084783353228,0.02196361723644012,0.010726548449732852,0.017847159952752985,0.16199269517234877,0.8094335964251653,0.004566000325240793,0.006794806843203105,0.008157031754876698
2108,0.017982904283655177,0.00019242005569045827,0.00031943047498192217,0.002895278542686684,0.014575775210296113,0.022044392273300534,0.010700165704899546,0.017763008129463013,0.16100172124689718,0.8105351049187403,0.00459715010568118,0.006843054078061073,0.008232489097935058
