year,r01,r02,r03,r04,r05,r06,r07,r08,r09,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19
1982,0.15914,-0.55600,0.05038,0.16355,0.21681,0.02977,0.30485,0.72912,0.23268,0.84507,0.79827,-0.24199,0.66040,-0.31904,-0.04566,0.38744,0.81466,0.24884,0.34261
1983,0.88279,0.50139,0.61184,-0.16765,-0.54772,-0.27074,0.70533,1.00829,1.25675,1.53233,0.82427,0.12218,0.50880,-0.31019,-0.19096,0.72033,0.75811,-0.14565,0.49021
1984,0.62173,0.32003,0.18908,0.24184,0.14977,0.21640,1.69613,1.09623,2.46649,0.39838,0.12043,0.22111,0.09165,-0.03896,0.20883,0.39906,0.28868,0.44671,0.54964
1985,0.41306,-0.12613,0.91776,2.22478,1.24988,0.14179,1.02262,-0.52738,1.42689,0.53907,0.11124,0.31511,0.51187,0.34864,0.31001,0.30899,0.88390,0.73198,0.65250
1986,0.81249,0.83237,-0.05571,0.42383,0.70746,-0.01096,0.67244,0.25827,0.63292,0.92616,0.36252,0.44720,0.45481,-0.27081,0.06739,0.36927,0.66760,0.71778,0.44422
1987,0.95384,1.54302,0.29290,1.21562,0.78628,0.40446,0.40216,-0.44612,0.07081,0.01502,0.33126,0.15517,0.90536,0.60201,0.61781,0.80417,0.95347,0.39986,0.42591
1988,0.68656,1.03613,2.32810,1.64215,1.11179,0.04539,-0.02185,0.90224,0.39762,1.34709,0.84623,0.14069,0.97788,0.80300,0.64721,0.67210,0.60117,0.41809,0.51247
1989,0.80979,0.57093,0.73366,0.10850,0.05986,0.00966,0.70628,1.95504,0.79524,1.54520,1.14498,0.31689,0.65123,-0.31595,0.11576,0.37774,0.92365,0.85861,0.45545
1990,0.46175,0.58189,1.17137,0.12722,0.76029,0.25458,1.94135,1.94323,1.57440,1.80079,1.29863,0.38824,1.14375,0.36456,0.23608,0.58419,0.62814,0.70496,0.59500
1991,0.85442,0.78007,1.24489,0.97348,1.09705,0.51863,1.40440,1.28233,1.10403,1.55916,0.33562,0.34181,0.89131,-0.01852,0.22127,0.54644,0.50494,0.08007,0.73691
1992,0.41775,1.20630,0.65987,-0.40603,0.16967,-0.01418,1.20123,1.47787,0.53914,0.89482,0.94555,-0.72031,0.53794,-0.20271,-0.09520,0.43504,0.54654,-0.25584,0.46452
1993,1.67482,0.86820,1.69381,0.16363,0.16489,-0.09538,0.95102,0.81104,1.29662,1.15257,0.60791,-0.14327,0.50096,0.32576,0.26199,0.52379,0.73095,-0.11740,0.32937
1994,0.66934,1.08878,1.31949,1.02146,0.68824,0.18488,0.94660,0.76858,0.90357,1.13115,1.60948,0.78710,1.06914,0.23714,0.62566,0.46972,0.91726,0.09375,0.35728
1995,1.00382,1.00808,2.02908,1.83603,0.88849,-0.04877,0.99383,1.05472,2.38860,2.35309,0.93275,0.74416,0.85569,0.03643,0.51074,0.67409,0.68725,0.30741,0.30876
1996,0.62203,0.30276,2.16455,2.00809,1.51131,0.57515,1.04667,0.49869,1.40945,1.11492,0.25106,0.81277,0.63250,-0.01429,0.42611,0.57614,0.67103,0.40463,0.70131
1997,1.53807,1.25885,1.26105,1.49859,1.13086,0.78639,0.80143,1.08238,1.01942,1.79225,1.03315,0.34033,1.18276,-0.27789,-0.12684,0.76712,1.03042,0.28948,0.46223
1998,1.36175,1.94130,3.66169,2.83256,1.73010,0.75202,1.03368,0.70787,-0.18367,0.97922,1.05047,1.38334,1.73282,0.61854,0.91810,1.12549,1.01540,0.92408,0.52638
1999,-0.04602,1.21313,1.69082,2.24458,1.11928,0.59178,1.52311,1.35921,1.27370,1.00468,1.26881,1.56197,1.78899,0.91408,1.06259,0.55957,0.69592,1.13403,0.29956
2000,0.93920,0.93041,1.70412,2.13249,1.50281,0.66924,1.46051,1.87105,1.97663,1.22695,1.60368,1.00487,1.27289,0.80799,0.49817,0.55869,0.40188,0.53314,0.35728
2001,0.88586,1.34943,1.91356,2.65739,1.65816,0.95298,1.57142,1.10497,1.68750,1.30267,1.21652,1.61566,1.62779,0.93700,0.87925,0.70018,0.64548,0.88407,0.59899
2002,1.59407,0.80121,2.25314,1.43306,1.86958,1.07541,1.94866,1.55117,1.30249,1.86161,1.49564,1.16849,1.72233,0.99271,0.98731,0.81381,0.46647,0.56841,0.71852
2003,1.63313,1.38246,2.11884,2.51520,2.51648,1.60253,1.40705,1.50934,1.08583,1.89987,1.53397,0.96045,1.25547,0.34521,0.88555,0.85547,0.82098,0.40175,0.57255
2004,1.53557,0.80053,0.20957,1.03941,1.83618,1.36362,1.91065,1.60071,1.52934,1.47403,1.04424,1.06694,1.77670,1.19209,0.84728,0.72028,0.95228,0.00648,0.47523
2005,1.74440,1.44673,2.55221,2.71494,2.50838,0.95343,2.25531,1.85685,2.75726,2.05869,0.80194,1.06924,1.43437,0.29169,0.91083,0.89772,0.65748,0.75531,0.55206
2006,0.78587,1.74318,3.71584,3.59072,2.16892,1.13572,2.31201,1.85514,2.51583,1.29172,1.36629,1.15688,2.06619,0.89212,1.36885,0.80759,0.96755,0.31299,0.45135
2007,0.98840,1.04945,2.73075,1.88940,2.13905,1.17997,2.23283,1.92715,3.01064,2.69086,1.58705,1.12603,2.15995,0.94262,1.06633,0.76324,0.23386,0.37160,0.61770
2008,0.26385,0.56389,2.56967,1.96037,1.86591,1.08335,1.88021,1.99031,2.46968,2.30059,1.38246,1.23328,1.59969,0.71466,0.78445,0.71988,1.01247,0.43001,0.39116
2009,0.66863,0.64119,2.81092,2.59324,1.93523,1.14613,1.89216,1.52675,1.94043,1.30142,1.44067,1.22246,1.90142,1.07945,1.55471,0.93734,0.86332,0.25891,0.67319
2010,1.08662,1.55753,4.38756,5.18359,3.21939,1.30762,1.89480,0.55247,2.25186,1.37870,0.74057,2.59097,1.85684,1.20603,1.41013,1.09658,0.42866,0.67165,0.57085
2011,0.85804,0.84585,3.31883,2.31369,1.98045,0.91704,2.39369,2.06117,3.87859,2.21443,1.61618,0.74281,1.44406,0.78096,0.83084,0.75085,0.62780,0.63402,0.64931
2012,0.00492,1.46472,3.30057,2.87313,2.42514,1.06574,2.62302,1.21753,4.10206,1.76253,1.50092,1.45715,1.10095,0.27684,0.78632,0.80590,0.93089,0.41656,0.48427
2013,1.21359,0.96325,1.64148,1.96758,1.89319,0.79054,2.27904,1.97266,2.62689,1.97082,1.23031,1.32303,1.98024,0.79144,0.98302,0.87738,0.97607,0.89537,0.70746
2014,2.30519,1.40449,2.50076,2.10957,2.42042,1.45342,2.58402,2.41032,2.65582,2.03266,2.12105,1.73557,1.37949,0.42050,1.06716,0.89706,0.75310,0.59344,0.46695
2015,2.26217,2.27831,2.76976,0.76522,1.33999,0.36599,2.71995,2.45715,3.51009,2.55882,2.05740,1.77078,2.04810,0.73590,1.17633,1.13129,0.90502,0.55774,0.32776
2016,2.81291,2.21001,4.37333,2.71122,3.22851,0.88634,3.44941,2.20386,4.25567,2.46676,1.71708,1.69364,2.29450,1.42360,1.57374,1.22964,0.99318,1.04203,0.55783
2017,1.81373,1.58456,2.83297,2.55305,2.07813,0.86506,2.47986,1.84068,3.26033,2.74719,1.71840,1.70427,2.05295,1.05246,1.46426,1.02855,0.99573,0.84246,0.70797
2018,2.22378,1.20987,2.57206,1.19766,1.83335,0.56249,2.61247,2.02637,3.13891,2.23484,2.15074,2.41818,1.35517,1.28970,1.01099,0.88251,0.71507,1.23013,0.83897
2019,2.94575,1.06695,3.83107,3.00650,2.76396,1.02851,2.25446,1.75305,2.91666,2.76000,2.09691,1.83024,1.59062,0.66002,0.90951,1.15184,0.60081,1.17045,0.74636
2020,1.55641,1.38139,3.20118,2.73985,2.21678,0.65485,2.48125,2.60357,4.54770,3.56410,2.14436,1.87876,1.31947,0.50466,0.68941,1.16916,0.94287,0.85012,0.79123
2021,0.97873,1.51825,3.90794,3.61110,2.96294,0.77747,2.50360,1.54044,2.49371,2.15458,1.49041,2.25315,1.68969,1.17920,1.01835,0.94774,0.85899,1.04100,0.56322
2022,1.68338,1.24328,3.03704,2.50346,2.06507,0.91006,2.68506,2.06914,3.60201,2.73672,2.52894,1.86222,2.00328,1.41869,0.89319,0.88132,0.61733,1.29077,0.81019
2023,1.77377,2.27016,4.34620,3.04069,2.21507,1.03039,2.54448,1.78905,3.24435,2.74252,2.59717,2.33449,2.18895,1.12632,1.15682,1.29690,1.10269,1.33931,0.97270
2024,1.53105,2.32093,4.40354,3.82913,2.21168,0.74601,2.72636,2.46440,3.33674,2.85859,2.72424,2.36832,2.13720,1.31506,1.36556,1.43134,0.73017,0.91676,0.95661
