year,gmst_control_spliced,gmst_tant12p0_spliced,gmst_tant14p5_spliced
2285,7.437580958016404,12.722488,15.807954
2286,7.44447375785462,12.625248,15.739314
2287,7.444262457715933,12.62968,15.704303
2288,7.443507288348442,12.7023,15.709166
2289,7.443830003663494,12.717099,15.720619
2290,7.450734473618776,12.788996,15.677958
2291,7.452253396770384,12.669336,15.810911
2292,7.455016358737552,12.695974,15.753767
2293,7.452878628116129,12.636795,15.847155
2294,7.454580327593074,12.729369,15.675379
2295,7.462917348942109,12.735751,15.926912
2296,7.46551324668946,12.765711,15.769401
2297,7.480334069080986,12.750224,15.897799
2298,7.480585771213185,12.778326,15.89142
2299,7.490148770300169,12.903202,15.91268
2300,7.498358103251911,12.869869,15.952466
