year,ohc_1e22J
2134,231.2575014066586
2135,231.8449524063254
2136,232.6773090651592
2137,233.72383474431797
2138,233.79757962528308
2139,234.73159359347122
2140,237.1221964834732
2141,239.18363935901408
2142,240.96595322169108
2143,242.16248300741483
2144,242.32702258070694
2145,242.80455461172434
2146,244.65039434750258
2147,246.88187433920004
2148,247.5097154371028
2149,249.14816826725607
2150,251.1550191441388
2151,251.59513608578584
2152,252.10862108643911
2153,253.5193203393868
2154,254.16937306421113
2155,255.74985916208024
2156,257.5128337728683
2157,259.15014174323545
2158,260.2824281072507
2159,260.7623435115433
2160,261.49810875213655
2161,261.75872129751934
2162,262.89425788976183
2163,262.31904032964735
2164,262.58408569635304
2165,263.1563900478396
2166,265.42899915277843
2167,265.1735120844209
2168,264.8581802382137
2169,265.76208979011477
2170,267.2226636780792
2171,267.23460250679324
2172,268.71596684740666
2173,268.4226943542044
2174,271.3161281552888
2175,273.2682471359638
2176,273.5062175402532
2177,273.9283920540015
2178,276.90388195526845
2179,278.62098465803155
2180,279.1804760109407
2181,281.7671340886364
2182,283.62809785768974
2183,284.96586268105506
2184,287.65763700205247
2185,287.3812248991301
2186,287.99054692762985
2187,289.31328585633315
2188,289.8179131874485
2189,290.40178332368174
2190,290.7807773668873
2191,292.3676527549107
2192,291.56669880501806
2193,291.48679370499303
2194,291.19279480223355
2195,292.00227401851646
2196,294.56177321172447
2197,293.58308308653505
2198,294.9993668922682
2199,296.0747321003567
2200,295.37144838586016
2201,297.30660256510515
2202,297.24136901896253
2203,298.9790532492053
2204,301.6320152737673
2205,302.16424158064575
2206,302.6712860508057
2207,302.80317932545046
2208,305.11268800747325
2209,306.21653292505266
2210,306.71694602207396
2211,308.07398670999373
2212,310.36740557131355
2213,310.49986239911306
2214,310.937799258195
2215,310.3124493562458
2216,311.66013490484033
2217,313.0543571174941
2218,313.9030282448985
2219,314.571987197692
2220,314.0584945287203
2221,315.38596867630474
2222,316.3115243293214
2223,315.5945545934062
2224,316.3895365756241
2225,316.30429361202
2226,318.2565525345831
2227,318.505296774972
2228,318.9603532963984
2229,319.91981825338985
2230,321.0419661121427
2231,324.2143619178633
2232,324.0799072664129
2233,326.21097988321867
2234,326.3123605968274
2235,327.6621200237992
2236,329.1410826862575
2237,330.43357538764485
2238,331.42702795627713
2239,332.07667257419826
2240,331.2663839288379
2241,332.3591439932903
2242,330.6309261220269
2243,332.0255177046393
2244,330.5038243328168
2245,332.2258558495753
2246,332.7735200199027
2247,333.0153196088359
2248,332.4014506640857
2249,334.46706626617646
2250,336.523073365042
2251,339.00427769198785
2252,340.31309308329975
2253,341.3531119471558
2254,342.50069943031644
2255,344.7386900730301
2256,345.11373170919154
2257,347.10955881761885
2258,347.6394009684625
2259,347.4622193629326
2260,348.68630164484006
2261,347.63158773341314
2262,348.95010655794397
2263,349.15195732422654
2264,351.4162537643479
2265,351.9332556485925
2266,352.87274262415167
2267,354.10445215079466
2268,354.0633671533756
2269,355.6951568372951
2270,357.5654252325054
2271,357.4549571370234
2272,359.87868022420173
2273,359.6487846740652
2274,360.59000692574295
2275,361.40968105460803
2276,360.82626669669844
2277,361.45977228295726
2278,361.77687447621645
2279,361.8606768654291
2280,364.2154442410579
2281,364.65867800234497
2282,365.14221768105676
2283,363.9182825538371
2284,364.109328270524
2285,363.3450618689019
2286,363.76996702097136
2287,365.84868926560443
2288,366.89129716447513
2289,367.95253810301193
2290,369.32133283529134
2291,368.03283165074333
2292,368.9694478917186
2293,369.36706435815336
2294,371.071794664495
2295,372.70205343490665
2296,374.1368328244152
2297,373.9177252147867
2298,374.01213593454156
2299,373.57225536798705
2300,373.27600426173564
