year,ohc_1e22J
1947,10.093796798468524
1948,10.434005799103268
1949,10.828215959244028
1950,11.284913068364286
1951,11.677471353490793
1952,11.992449612126803
1953,12.295917131273013
1954,12.606294211605345
1955,12.936123676810121
1956,13.255616712494476
1957,13.460891509627311
1958,13.782780274140402
1959,14.236185373385645
1960,14.649139089475218
1961,15.029572036185671
1962,15.365093686898343
1963,15.681716870311911
1964,14.854095035843896
1965,14.346694705920692
1966,14.701718052172238
1967,15.203878216418467
1968,15.773969635780393
1969,16.187532024276194
1970,16.506623150639708
1971,16.98808664550727
1972,17.50612821581611
1973,18.0481822676526
1974,18.52929090292603
1975,19.046917908550018
1976,19.601091678692455
1977,20.123868781861777
1978,20.716836573627752
1979,21.399038528688056
1980,22.132178149405444
1981,22.77866432027451
1982,23.427567968625294
1983,23.60965503772634
1984,23.273553060795834
1985,23.600348050486282
1986,24.310916095834497
1987,25.00422903954109
1988,25.81018460004196
1989,26.73595103636118
1990,27.779283636049122
1991,28.78676828955175
1992,28.789334862760988
1993,27.199799698930576
1994,27.32429528011077
1995,28.466231440062145
1996,29.705293283414715
1997,30.949939563286424
1998,32.208527457289605
1999,33.524163093450724
2000,34.89620598923175
2001,36.31039295447126
2002,37.65996094644131
2003,39.023711145679236
2004,40.234602963617206
2005,41.386611930352444
2006,42.43928725461881
2007,43.51263286951556
2008,44.6115998783822
2009,45.78384772428475
2010,47.025341521678286
2011,48.36928362672171
2012,49.702095342822375
2013,51.13206307739618
2014,52.63128710095627
2015,54.15999310271753
2016,55.71573119994899
2017,57.24482303534573
2018,58.79785485351732
2019,60.37163548525868
2020,61.85206864588288
2021,63.44040291688145
2022,65.05860498491225
2023,66.74428459016447
2024,68.48703623715124
2025,70.24256346685965
2026,71.99048450289897
2027,73.63901387408838
2028,75.23561721947999
2029,76.84934322300184
2030,78.44533253187959
2031,80.05870858844585
2032,81.65448093686709
2033,83.29635111358007
2034,84.99074662745537
2035,86.7477489095183
2036,88.5332830069006
2037,90.33898454019872
2038,92.18724091731274
2039,94.04890639299254
2040,95.85421799764845
2041,97.67813805128031
2042,99.51139004311746
2043,101.37555830748606
2044,103.28154153767429
2045,105.21446276040426
2046,107.22468880605834
2047,109.26957178194192
2048,111.33714162328532
2049,113.42285914080603
2050,115.51279513656226
2051,117.60224633320902
2052,119.71811373157968
2053,121.84159254929628
2054,123.98297467890362
2055,126.15415736386319
2056,128.3467279936717
2057,130.6165000717105
2058,132.95241189030628
2059,135.31177600969247
2060,137.68528232919255
2061,140.06005531499653
2062,142.40986329864978
2063,144.77893932322345
2064,147.16794348253768
2065,149.5708827050939
2066,152.00855010615203
2067,154.4528349204334
2068,156.9526190434303
2069,159.51285874187488
2070,162.13151560946181
2071,164.77590522043664
2072,167.43906127131854
2073,170.13877516353355
2074,172.8085129170396
2075,175.49647906170426
2076,178.18693443584365
2077,180.89269836380768
2078,183.6213303712997
2079,186.3741691347749
2080,189.21096734532662
2081,192.12246196187107
2082,195.08946022402833
2083,198.08834020493632
2084,201.04970908441211
2085,203.97932963985764
2086,206.91063042318208
2087,209.8526372203012
2088,212.82193261562674
2089,215.82920890816084
2090,218.87051122053228
2091,221.96630764452195
2092,225.14045816607725
2093,228.3361317310955
2094,231.56442284580282
2095,234.835744759446
2096,238.0811476601371
2097,241.27639856426688
2098,244.49590155557374
2099,247.74480229285828
2100,251.02501816491798
2101,254.3451103562481
2102,257.7329266480282
2103,261.1940191255054
2104,264.6397685090443
2105,268.10226562567044
2106,271.5792847107383
2107,275.05543272048106
2108,278.4935628230351
2109,281.938314919619
2110,285.37852883743574
2111,288.8512932946185
2112,292.3402907481305
2113,295.8626698755829
2114,299.447538070369
2115,303.0197328468782
2116,306.61854239897497
2117,310.21867479367285
2118,313.7796650777112
2119,317.31715875793213
2120,320.8543286366707
2121,324.39456397954206
2122,327.9434629224446
2123,331.5303034819035
2124,335.158821489096
2125,338.80845966066073
2126,342.42813294358643
2127,346.07283908649976
2128,349.7073749508765
2129,353.3195063318177
