year,ais,ais_lo,ais_hi,gsic,gsic_lo,gsic_hi,gis,gis_lo,gis_hi,steric,steric_lo,steric_hi,lws,lws_lo,lws_hi,dang,dang_sig,dang_lo,dang_hi,dang_closure_sig
1943,-0.40063289729031654,-0.7544271641681495,-0.04683863041248354,-3.319212683764371,-4.313180887218147,-2.3252444803105954,-1.775259572809393,-2.1331590391401902,-1.4173601064785957,-2.8022913455963137,-3.56307732739636,-2.0415053637962672,1.7434332885525443,0.919861833698513,2.5670047434065757,-7.195089099762248,1.8944017585284527,-10.311379992541553,-4.078798206982943,1.5235655419434
1944,-0.3952644738284025,-0.7424014924310827,-0.048127455225722315,-3.203119620409878,-4.186949626050333,-2.2192896147694237,-1.7251830881292172,-2.0776378771956665,-1.3727282990627676,-2.6818834781646728,-3.4128819816476783,-1.9508849746816672,1.8817536391995173,1.059470780192382,2.7040364982066527,-6.940120632661161,1.8824319487955672,-10.036721188429869,-3.843520076892453,1.4831142132823323
1945,-0.3898103627291593,-0.7305297128051809,-0.049091012653137756,-3.10310283574191,-4.07574516243582,-2.1304605090480004,-1.720994169061834,-2.0690836301584348,-1.3729047079652332,-2.6717501163482664,-3.3862872454556667,-1.9572129872408661,1.7591020622036675,0.9398002876821576,2.5784038367251774,-7.064113984469863,1.8701108286979031,-10.140446297677913,-3.987781671261812,1.473565417266234
1946,-0.3843481930819425,-0.7186231516797216,-0.050073234484163454,-3.0097617712887854,-3.974430299956363,-2.0450932426212076,-1.70151384527033,-2.0456177121902126,-1.3574099783504474,-2.6829302310943604,-3.475468082204736,-1.8903923799839846,1.7744174995205624,0.9621675643149037,2.586667434726221,-6.7264434873824115,1.8562912164541332,-9.780042538449461,-3.6728444363153625,1.4556886298608411
1947,-0.3789894970980558,-0.7067494531939462,-0.051229541002165424,-2.905828818407925,-3.8614925545207712,-1.950165082295079,-1.649337751215155,-1.9886783954618723,-1.3099971069684377,-2.7342485904693605,-3.492316778460978,-1.976180402477743,1.7023434676907283,0.8926545619710535,2.512032373410403,-6.723254636996462,1.8406589753522824,-9.751138651450965,-3.695370622541957,1.4120823459886225
1948,-0.37351922121914943,-0.6948142549667935,-0.05222418747150531,-2.814448508349333,-3.762733836495046,-1.8661631802036198,-1.5536521738225768,-1.8856047387895156,-1.221699608855638,-2.8385199069976803,-3.609620019857825,-2.0674197941375354,1.6731734313748103,0.8641003400566389,2.4822465226929817,-6.29570893822944,1.8236127751115871,-9.295551953288001,-3.2958659231708793,1.4165550575495138
1949,-0.36812314120205974,-0.6829474668129254,-0.05329881559119404,-2.7524962988766752,-3.6964801152663274,-1.8085124824870231,-1.4421209161931818,-1.769529229359434,-1.1147126030269296,-2.8981478214263916,-3.6245693921628845,-2.1717262506898987,1.6944575347683644,0.8888647591164043,2.5000503104203244,-5.795047387289413,1.8094364650015504,-8.771570372216964,-2.818524402361863,1.414024413566092
1950,-0.36264223185452554,-0.671048952262048,-0.054235511447003115,-2.6413558569821447,-3.5815482842586377,-1.7011634297056515,-1.3604312723333192,-1.6832409648358215,-1.0376215798308168,-2.815257120132446,-3.567564859210826,-2.0629493810540662,1.5629315414211964,0.7646623868112409,2.361200696031152,-5.985805844939225,1.795969498188071,-8.940175669458602,-3.0314360204198487,1.3889801647087054
1951,-0.3572604569521817,-0.6592645450757528,-0.055256368828610625,-2.5635623541745276,-3.506044760508831,-1.621079947840224,-1.291308576410467,-1.6071790758192828,-0.9754380770016513,-2.7181330204010004,-3.482982184692716,-1.9532838561092847,1.7742937125942924,0.9779792345857181,2.570608190602867,-5.4950770375657925,1.7838425925950097,-8.429498102384583,-2.5606559727470017,1.4106688304000985
1952,-0.3518108281222257,-0.6475251514965805,-0.05609650474787087,-2.4708892432126133,-3.423440505130082,-1.5183379812951445,-1.244715864008123,-1.556155375680701,-0.9332763523355452,-2.6388128757476808,-3.399544067307214,-1.8780816841881474,1.8001307525418024,1.0117390438812206,2.588522461202384,-5.224996184831158,1.7715811599702944,-8.139247192982292,-2.310745176680024,1.4009826066852151
1953,-0.34638618555935946,-0.6357192700917946,-0.05705310102692435,-2.3708160010251134,-3.2987759440593947,-1.442856057990832,-1.1987132852727718,-1.5047845663615496,-0.892642004183994,-2.6377714633941642,-3.4216800113373287,-1.8538629154509998,1.7001955070278862,0.9226385193685798,2.4777524946871927,-5.3352413439159,1.7555185625558356,-8.22306937932025,-2.4474133085115506,1.35965296928289
1954,-0.34098810282620523,-0.6239704802806313,-0.05800572537177917,-2.2891849127682775,-3.210558040001994,-1.367811785534561,-1.16956976110285,-1.47094394573561,-0.8681955764700899,-2.6217352390289306,-3.3858748915297725,-1.8575955865280886,1.7123559036038134,0.9375654840173256,2.4871463231903013,-5.127941677618937,1.7380182306496017,-7.986981667037531,-2.268901688200342,1.295634828813551
