year,ais,ais_lo,ais_hi,gsic,gsic_lo,gsic_hi,gis,gis_lo,gis_hi,steric,steric_lo,steric_hi,lws,lws_lo,lws_hi,dang,dang_sig,dang_lo,dang_hi,dang_closure_sig
1955,-0.33553046313199136,-0.6122616785227737,-0.05879924774120904,-2.2426900473507967,-3.168183562920392,-1.317196531781201,-1.146664029901678,-1.4415929677000419,-0.851735092103314,-2.6249311923980714,-3.3515875774785493,-1.8982748073175935,1.5093209304592825,0.7528074732253899,2.2658343876931752,-5.472432942739919,1.7210343556374397,-8.303534457763508,-2.6413314277163313,1.3057197820877902
1956,-0.33016361323269944,-0.6006403480303195,-0.059686878435079416,-2.152102049914274,-3.0876318572493293,-1.2165722425792183,-1.1088739221746269,-1.400443258056899,-0.8173045862923546,-2.6001024723052977,-3.3417767206131748,-1.8584282239974204,1.2446906127712942,0.4942384620161454,1.995142763526443,-5.659138423447326,1.7089484359318607,-8.470358600555237,-2.8479182463394146,1.2466642272611594
1957,-0.3247422131625089,-0.5889804842211784,-0.06050394210383936,-2.053627547350797,-2.9556068083487395,-1.151648286352854,-1.036597234552557,-1.3243446027407708,-0.748849866364343,-2.548732614517211,-2.995287942891871,-2.102177286142551,1.2703041114590385,0.5274095309495063,2.013198691968571,-5.107489815830466,1.6915125886010722,-7.890028024079229,-2.324951607581702,1.236562539356591
1958,-0.3192844781008634,-0.577271502367344,-0.06129745383438273,-1.9792344656857574,-2.8493496545912524,-1.1091192767802625,-0.9685359781438658,-1.2527407830897483,-0.6843311731979833,-2.0671160221099854,-2.463238698072804,-1.6709933461471664,1.4463461913845754,0.716922279541911,2.17577010322724,-5.097668094673679,1.677494450905892,-7.857146466413871,-2.3381897229334867,1.1172517449753945
1959,-0.31389617052945223,-0.5657281934130792,-0.06206414764582524,-1.9245202628048985,-2.7721752862410907,-1.0768652393687064,-0.94980486089533,-1.2274133795534854,-0.6721963422371746,-2.270864725112914,-2.697389980589334,-1.8443394696364943,1.3861695327542043,0.6723271061723095,2.100011959336099,-4.9727829336889435,1.6634658507552376,-7.70918425818131,-2.236381609196578,1.1229199501601717
1960,-0.3084096821871671,-0.554177952222172,-0.06264141215216215,-1.8498691168698396,-2.664636575814069,-1.0351016579256103,-0.881216985529119,-1.1547459703308047,-0.6076880007274331,-1.997335672378541,-2.3544769133082992,-1.6401944314487826,1.324306014992974,0.636112582112822,2.012499447873126,-4.939828278424672,1.6508979687228504,-7.655555436973762,-2.224101119875583,1.0572935261216818
1961,-0.30309595194729894,-0.5427614402356308,-0.0634304636589671,-1.7750989523800937,-2.5626191441339254,-0.9875787606262622,-0.8129214113408869,-1.0838363708449785,-0.5420064518367954,-1.8097164630889897,-2.1728960772287347,-1.446536848949245,1.2891678848049857,0.6030976005438711,1.9752381690661003,-4.833232625878124,1.635188730720234,-7.523118087912909,-2.1433471638433392,1.0423759448138283
1962,-0.29754404154690833,-0.5312253649166516,-0.06386271817716505,-1.6921268072995277,-2.460064135677494,-0.9241894789215612,-0.7267779176885429,-0.9949727308464129,-0.45858310453067297,-1.6807960987091066,-2.0370890767369114,-1.3245031206813018,1.21245565793731,0.5358391755731018,1.8890721403015183,-4.6839244378786695,1.6196360557432135,-7.3482257495762555,-2.0196231261810835,1.0059554498538426
1963,-0.29218482104214755,-0.519961744516878,-0.0644078975674171,-1.6561305609616364,-2.3936018590271804,-0.9186592628960926,-0.7027726953679869,-0.9638970159675788,-0.44164837476839497,-1.8142593860626226,-2.2066981966803834,-1.421820575444862,1.2127272643826223,0.5474419855783683,1.8780125431868764,-4.793041086951737,1.6046645844768572,-7.432714328416167,-2.153367845487307,1.0099962633331325
1964,-0.28678678599270907,-0.5085776513617354,-0.06499592062368278,-1.6563836661252114,-2.371197911646734,-0.9415694206036888,-0.6994616335088559,-0.9570299807879243,-0.44189328622978746,-2.048475503921509,-2.356293417748054,-1.7406575900949635,1.1920999564907768,0.5541630055503001,1.8300369074312535,-4.473911095272729,1.588633306457865,-7.087212884395917,-1.8606093061495406,0.9977551033020173
1965,-0.281308260830966,-0.4972696552912066,-0.06534686637072537,-1.6436187354001133,-2.345496523940816,-0.9417409468594105,-0.656011277979071,-0.9108339407895848,-0.4011886151685572,-2.089956521987914,-2.2348842166505056,-1.9450288273253227,1.084722904183648,0.479436859002754,1.6900089493645418,-4.245484458237755,1.5729522503946176,-6.832990910136901,-1.6579780063386087,0.9581928224604515
1966,-0.27591704455288973,-0.48606044818668837,-0.06577364091909113,-1.6075242606076325,-2.29573644986867,-0.919312071346595,-0.5829888170415709,-0.8357007144835377,-0.33027691959960415,-2.034507989883423,-2.2845372933654935,-1.7844786864013522,1.0077950992367484,0.4162271023226015,1.5993630961508951,-4.285064238141662,1.5574978496221843,-6.847148200770155,-1.722980275513169,0.9627615098862726
1967,-0.2704956444826994,-0.4750147888694981,-0.06597650009590075,-1.5743239966305826,-2.240000137050913,-0.9086478562102521,-0.5461797540838069,-0.7975720281244975,-0.2947874800431164,-2.1567160129547114,-2.5504460542062595,-1.7629859717031633,0.9117425956509331,0.34466734759328843,1.4788178437085777,-4.569899013233658,1.5417268487003972,-7.106039679345812,-2.0337583471215046,0.9447665459073614
1968,-0.2649793061343107,-0.46389812970904737,-0.06606048255957403,-1.5531613913449376,-2.2097456058265683,-0.8965771768633066,-0.4902192896062678,-0.7377242620868649,-0.24271431712567068,-2.3616812229156494,-2.6766810387762567,-2.046681407055042,0.731750444390557,0.198151832037185,1.2653490567439292,-4.540422925162573,1.5223554334399818,-7.044697613171342,-2.0361482371538027,0.9118006104953881
1969,-0.2596308144656095,-0.4528936858943227,-0.06636794303689625,-1.5060065833005045,-2.1480809683524242,-0.8639321982485848,-0.4493830507451839,-0.6917238907572981,-0.2070422107330697,-2.2940184116363525,-2.5588186993324022,-2.0292181239403027,0.790403894402764,0.2752485697221073,1.3055592190834209,-4.056282556672161,1.5069396031960998,-6.535198203929745,-1.577366909414577,0.8967346188922474
1970,-0.25425337878140536,-0.4420132740485757,-0.06649348351423504,-1.4767449942502116,-2.1036624935129393,-0.8498274949874838,-0.43406332189386587,-0.668835872010163,-0.1992907717775687,-2.2299360752105715,-2.431905823104117,-2.027966327317026,0.6782726325772026,0.1914800093500632,1.165065255804342,-4.213299142025142,1.489913946914713,-6.664207584699845,-1.7623906993504392,0.8945796853187227
