year,tas_global,tas_R19,tas_SLOWP,tas_FAST,tas_AGG,member,scenario
1942,287.7749265287697,271.28239853706697,261.28052785203926,276.55869685802065,270.44112154874153,r1i1p1f1,historical
1943,287.7778983287312,270.8174067134136,262.0227316144518,276.8702365448668,270.7329504121896,r1i1p1f1,historical
1944,287.76383293434156,270.94785308459217,260.92572804255894,276.5668064235479,270.25878446587757,r1i1p1f1,historical
1945,287.81648711801125,271.12004391353025,260.59462033758797,276.5227745046077,270.1652971802182,r1i1p1f1,historical
1946,287.8656098754004,271.1000327374074,262.31984974531844,276.9097510453987,270.90762560572784,r1i1p1f1,historical
1947,287.73685763715287,271.126748786024,261.3014060855346,276.9098886961907,270.5784831444927,r1i1p1f1,historical
1948,287.6895510809503,271.1594275463254,260.8960944663677,276.4867995521125,270.2558892833976,r1i1p1f1,historical
1949,287.7703791062225,271.001994586663,262.4360706448527,276.5095562340857,270.7399232611424,r1i1p1f1,historical
1950,287.77727755558254,271.11607521482233,262.1695009146333,276.20119165850275,270.5330279587415,r1i1p1f1,historical
1951,287.8002909394656,270.935109144555,261.57163927261666,277.12597110436866,270.72769050661725,r1i1p1f1,historical
1952,287.8690800501874,271.13662587148167,262.53586598271016,276.9069131866626,270.98491225778804,r1i1p1f1,historical
1953,287.93010134203126,271.51691934377857,261.97348876880704,277.23475561448925,271.0310391833181,r1i1p1f1,historical
1954,287.8030233451313,271.19840273602114,259.679607786214,276.8787557064952,270.045857122834,r1i1p1f1,historical
1955,287.93852060343994,271.3765600523006,260.39553319702037,277.4760539855698,270.5951018029799,r1i1p1f1,historical
1956,287.8624114884533,271.3270153893406,261.48302523495477,276.69970080402254,270.5823206486066,r1i1p1f1,historical
1957,287.86957483022275,271.34705772773657,261.96813750410604,276.95043993840636,270.86218628672884,r1i1p1f1,historical
1958,287.8354172538134,271.4993124592057,261.7653244619359,276.47926935256237,270.6086930799646,r1i1p1f1,historical
1959,287.8016704161043,271.1170673216109,261.55956776631245,276.8710236580922,270.643309213256,r1i1p1f1,historical
1960,287.8806094863466,271.0187701736256,260.6480294495158,277.146199009433,270.4508597707127,r1i1p1f1,historical
1961,287.8736695189242,271.0722225614086,260.91405730968916,277.0037343646199,270.483350673358,r1i1p1f1,historical
1962,287.77565559806845,271.0913266871724,261.52162275670696,277.2101244333464,270.7827092356462,r1i1p1f1,historical
1963,287.7265249268085,271.01136130824824,260.4894133041973,276.5107773494496,270.10258343400824,r1i1p1f1,historical
1964,287.47029993578224,271.10866459251577,260.1585082330471,276.2677829644819,269.9013650648518,r1i1p1f1,historical
1965,287.4702274547332,270.8076944439765,260.5868277174169,276.19830878451995,269.94743571115,r1i1p1f1,historical
1966,287.6259947270754,270.6952463366696,261.670362525013,276.5397434386993,270.43853249833023,r1i1p1f1,historical
1967,287.5694770633692,270.5617553456417,261.9950334829022,276.72028960057725,270.6012334604565,r1i1p1f1,historical
1968,287.522605021818,270.5202174530379,261.51369339084334,276.4192175428492,270.2948076498461,r1i1p1f1,historical
1969,287.60133605859266,270.7111296945441,261.44408723417735,276.97674012975705,270.57006178392635,r1i1p1f1,historical
1970,287.62876838156706,271.0348274350109,260.6182299258726,276.81869951785916,270.29256036811967,r1i1p1f1,historical
1971,287.6896469317927,271.22913426588207,261.0566979583728,276.83140095381236,270.48292303156705,r1i1p1f1,historical
1972,287.8065595736692,271.19151846390906,261.48569129741156,276.6901329709899,270.5506215818854,r1i1p1f1,historical
1973,287.65822270097107,271.028881807776,261.0859241354579,276.60607116976297,270.34647177655427,r1i1p1f1,historical
1974,287.7449653015189,270.79102802495396,261.4800606205271,276.4301814259495,270.34507681755593,r1i1p1f1,historical
1975,287.944464351241,271.07811268973757,262.4926888031955,277.1897048891387,271.08967975636904,r1i1p1f1,historical
1976,287.83803779151737,271.0938729154782,261.6575220839371,276.86560632084206,270.66817747332175,r1i1p1f1,historical
1977,287.64780538606647,271.16388064194746,260.47405656446807,276.4861402531652,270.1177878162102,r1i1p1f1,historical
1978,287.7729244214297,271.4808792118423,260.0578176484555,276.75832201445075,270.17299838872907,r1i1p1f1,historical
1979,287.8478830876238,271.51007954215396,260.441518588975,276.2004173375953,270.04651967904636,r1i1p1f1,historical
1980,287.8737493727754,271.6824927431956,260.6972337232167,276.90801145204705,270.4944405612649,r1i1p1f1,historical
1981,287.95244935429594,271.62821524390404,260.6467070214117,276.79297375011475,270.41322554781317,r1i1p1f1,historical
1982,288.00353841134006,271.4897706412888,260.5931820703152,276.94664570674524,270.4381279531403,r1i1p1f1,historical
1983,287.8612181612563,271.34398915721556,261.02481548262244,276.7602206588169,270.46329462546146,r1i1p1f1,historical
1984,287.7502820320275,271.4175906224352,261.50238453133255,276.5637323067633,270.54445483852726,r1i1p1f1,historical
1985,287.6873522767306,271.18581784884225,260.6408103570452,276.3566500572392,270.1171185304017,r1i1p1f1,historical
1986,287.8563463175536,271.14100602631095,261.11578931316905,276.71405557043255,270.4296387324954,r1i1p1f1,historical
1987,288.05625212012893,271.3917474083881,261.7839360513931,277.02867413408535,270.847193531129,r1i1p1f1,historical
1988,288.171335826975,271.3741504349677,261.7403894018988,277.40494630813373,271.00367742758357,r1i1p1f1,historical
1989,288.33004675151426,271.65228658171276,262.4874292358598,277.29805540207116,271.2574277407398,r1i1p1f1,historical
1990,287.94314298769007,271.47026295501126,261.844238910471,276.7917085438139,270.77345556798554,r1i1p1f1,historical
1991,287.91890907293964,271.24532131467436,262.5801571966744,277.1368723174117,271.12866025084844,r1i1p1f1,historical
1992,287.9273782687133,271.63358116774174,262.2066111810127,276.8386098420505,270.9482267073218,r1i1p1f1,historical
1993,287.881999812878,271.4590507545824,262.92383835622286,276.91569932604654,271.1834691463569,r1i1p1f1,historical
1994,287.9082728434466,271.33687341447023,262.81689068088997,277.36602446150573,271.33172812841946,r1i1p1f1,historical
1995,287.9328886762112,271.1630388874495,262.62463661350705,276.8211072517262,270.9797934466085,r1i1p1f1,historical
1996,288.08781629207334,271.4358778859013,263.0820792192324,276.82117350364496,271.186844058275,r1i1p1f1,historical
1997,288.28797287922896,271.504484367552,262.9893305434827,277.14338615049314,271.3199942726135,r1i1p1f1,historical
1998,288.41706481355186,271.46782946598626,263.47284424696346,277.6539663065322,271.7080304359963,r1i1p1f1,historical
1999,288.40559662522145,271.32957266841015,264.1615129498684,278.16905543480357,272.1444897136648,r1i1p1f1,historical
2000,288.42881536866895,271.53505407022664,263.43565794194984,278.39079808206736,272.0513872719141,r1i1p1f1,historical
2001,288.58997794021656,271.67667608423005,264.44461330114825,278.32705262563445,272.38288012589385,r1i1p1f1,historical
2002,288.57006791726747,271.6734995861405,263.7294584188435,278.08246295404473,272.03375497333195,r1i1p1f1,historical
2003,288.45336633697457,271.7195610709992,263.1388615044272,278.03378849950735,271.8266291550214,r1i1p1f1,historical
2004,288.49998731560146,271.73292695910385,264.16098587678977,278.03621958398395,272.1664964326616,r1i1p1f1,historical
2005,288.46022748384314,271.5139697409374,264.8670414129566,277.5791321759048,272.1411789861883,r1i1p1f1,historical
2006,288.59827500516997,271.8361109084961,264.77839794201014,277.7884148343388,272.2759736066285,r1i1p1f1,historical
2007,288.5445697837152,271.99547183010617,264.2452121723242,277.9261067573679,272.1976533451356,r1i1p1f1,historical
2008,288.6013189668749,271.96679644601505,264.48119759003737,278.33009587761615,272.45656701563166,r1i1p1f1,historical
2009,288.62481629418124,271.82775441438207,264.5251520399615,278.3536638614863,272.4530657139721,r1i1p1f1,historical
2010,288.60898636666064,272.03074027071784,263.9383204599443,278.0431744139016,272.1583811204548,r1i1p1f1,historical
2011,288.72827675014634,272.01429577737855,263.50782894861715,278.2270340124408,272.09870995391975,r1i1p1f1,historical
2012,288.9141084023022,272.06639469020337,264.256201911636,277.8832144484309,272.1961083010889,r1i1p1f1,historical
2013,288.853862831613,271.92160230293507,265.00578704773443,278.3699686167139,272.63809606250913,r1i1p1f1,historical
2014,288.8642713025458,271.92951927827266,264.5113234129976,278.52744617364243,272.55022548241755,r1i1p1f1,historical
2015,288.90959218706917,271.64006325041487,264.6819830053279,278.4313413995912,272.50164972351246,r1i1p1f1,ssp245
2016,288.97609729137906,271.9887426834661,264.054189979899,278.2493224961126,272.28332149565995,r1i1p1f1,ssp245
2017,288.7685603160502,271.872765801875,263.2835672971685,278.02367589935534,271.9013212151436,r1i1p1f1,ssp245
2018,288.632996775265,271.6696990931246,264.41048636918543,277.8528295313077,272.15034892903344,r1i1p1f1,ssp245
2019,288.84906379296996,272.0416292286345,263.97614914628053,278.5055476784063,272.3874475161399,r1i1p1f1,ssp245
2020,288.88018633000866,271.7328414568313,264.6752597539682,278.32428462535853,272.46907268486,r1i1p1f1,ssp245
2021,288.6491070434492,271.72613888858933,263.98640998329097,277.9097998980801,272.0490927608557,r1i1p1f1,ssp245
2022,288.63831621499935,271.54947949056447,262.1123793241905,277.6015693707501,271.2535199718505,r1i1p1f1,ssp245
2023,289.0007251543702,271.674686367397,264.5547275484302,278.7528467007042,272.61607235635944,r1i1p1f1,ssp245
2024,288.9629541043157,272.12808901655865,263.6650536697839,278.20591167462294,272.16422761101376,r1i1p1f1,ssp245
2025,288.615817186368,271.6715901292351,264.41621790747337,277.7901099492501,272.12354676049574,r1i1p1f1,ssp245
2026,288.7765365091769,271.793947593075,264.40384423175414,278.02984453762423,272.25603892768476,r1i1p1f1,ssp245
2027,289.10141151258404,272.0361837804908,264.7890138999448,278.318847654057,272.56693888838123,r1i1p1f1,ssp245
2028,288.9992106138018,271.97266180624115,264.6072776650205,278.18426739238345,272.43161590707865,r1i1p1f1,ssp245
2029,288.879550692391,272.125867582402,264.56542133422096,278.26218287997216,272.48579929228146,r1i1p1f1,ssp245
2030,288.8919773635657,271.8702016016333,265.22083829704025,278.58451319397636,272.79757678989967,r1i1p1f1,ssp245
2031,289.05592378004195,272.05435441078333,265.04135987598653,278.7669503385642,272.86141138834193,r1i1p1f1,ssp245
2032,289.2517200612625,272.01683487400555,265.52499622122207,278.66056211103034,272.963262033814,r1i1p1f1,ssp245
2033,288.998575895441,271.92021923014846,265.3644720409232,278.51390481531723,272.8224392386649,r1i1p1f1,ssp245
2034,289.04297340412387,271.97610749485074,265.1180943403781,279.09045842330795,273.0203721152011,r1i1p1f1,ssp245
2035,289.17144992344504,271.80718803790916,265.752648708283,278.9754158837382,273.1405273532281,r1i1p1f1,ssp245
2036,289.0734537451719,271.87805015993786,264.55018658139323,278.3609502268928,272.4751177735147,r1i1p1f1,ssp245
2037,289.0749113857312,271.82412804840897,265.60727799875485,278.43430891973037,272.84538866832247,r1i1p1f1,ssp245
2038,289.1169500130184,271.88987937811294,265.1384954174299,278.4131010787267,272.6951257830845,r1i1p1f1,ssp245
2039,289.3742069492281,272.11434407912293,266.19837547396,279.1000737928184,273.4086185520878,r1i1p1f1,ssp245
2040,289.362991455259,271.9741107373089,266.0071600603526,278.94151179233654,273.2431300453898,r1i1p1f1,ssp245
2041,289.38815547118423,272.0677932518079,266.4751754197299,278.9572095392747,273.4236966404437,r1i1p1f1,ssp245
2042,289.33160711473556,272.0196481759957,266.39944778128745,278.7389975204848,273.28763691819285,r1i1p1f1,ssp245
2043,289.34496119815776,272.0699878808896,266.54454583420954,279.1386981440352,273.5310978494779,r1i1p1f1,ssp245
2044,289.17497191448814,272.0477362824328,265.70701450519323,278.9396257573636,273.1588903374032,r1i1p1f1,ssp245
2045,289.34412298221633,272.25858107747257,266.1547794140681,278.9135451970854,273.33776277337023,r1i1p1f1,ssp245
2046,289.38465351465993,271.9200638583843,266.3483831276538,278.9840361554279,273.36377885649716,r1i1p1f1,ssp245
2047,289.60091896547965,272.28877841249863,267.20265048134337,279.4865236874814,273.9541122904909,r1i1p1f1,ssp245
2048,289.6364592554933,271.9884178198612,267.3497992486855,279.99756475477903,274.177036312322,r1i1p1f1,ssp245
2049,289.4379970824735,271.7137882070404,266.76437266556957,279.5627114613035,273.72596531815367,r1i1p1f1,ssp245
2050,289.4398268059797,272.02668650157653,266.2104368810373,279.3382206486639,273.5047911842164,r1i1p1f1,ssp245
2051,289.685789736459,272.2214535597905,266.91039638527826,279.51268238401866,273.8561968965048,r1i1p1f1,ssp245
2052,289.5337368343858,272.0051971050336,265.89551996520163,279.2916221768722,273.37521306090514,r1i1p1f1,ssp245
2053,289.43233883958436,272.18282718166154,266.3072935078088,279.5187378435385,273.65274738587294,r1i1p1f1,ssp245
2054,289.57205868530593,272.3813548766374,266.13514610910016,279.40884931528535,273.5864454232462,r1i1p1f1,ssp245
2055,289.6370359201976,272.37308304273427,267.6136711675375,279.7112723903275,274.2109203238523,r1i1p1f1,ssp245
2056,289.6210072362959,272.14218014154886,267.41166836883735,278.87767443895336,273.71008797100865,r1i1p1f1,ssp245
2057,289.9622560815413,272.5478771226303,267.3780895445542,279.6477360302083,274.1403294724299,r1i1p1f1,ssp245
2058,289.85765768163895,272.78516976721335,267.21065459332306,279.80334934686573,274.2067221381167,r1i1p1f1,ssp245
2059,289.6132470811691,272.6687862262579,266.6852772221693,279.03918171903484,273.6555720768362,r1i1p1f1,ssp245
2060,289.6128984572213,272.1521089470564,267.36316350585525,279.34542998545913,273.9130731941716,r1i1p1f1,ssp245
2061,289.77211687331254,272.4630932470037,266.80652678068736,279.74357413254984,273.97928726302257,r1i1p1f1,ssp245
2062,289.71866414366343,272.5227335316632,265.9294916918433,279.8006909669875,273.7298796425941,r1i1p1f1,ssp245
2063,289.6627691819911,272.2130606114981,266.84354125538107,279.65112296583777,273.8966645996012,r1i1p1f1,ssp245
2064,289.91830582595514,272.3231429000376,266.6021149572578,280.0478392566719,274.0241014199901,r1i1p1f1,ssp245
2065,289.81982783564223,272.3493646615752,266.4879653902858,280.06480619768536,273.9998933805496,r1i1p1f1,ssp245
2066,289.84443624680995,272.43507625635215,266.13100617504006,279.9405279459521,273.8427444971213,r1i1p1f1,ssp245
2067,290.0318927896436,272.6059053100872,267.3281777891844,280.27231716272007,274.42555069185,r1i1p1f1,ssp245
2068,290.07134828185644,273.03130655491714,268.00392504865334,280.37637443127744,274.7842533960699,r1i1p1f1,ssp245
2069,289.8788177998902,272.9258367326402,268.09382837347545,279.20100395899965,274.2469610732866,r1i1p1f1,ssp245
2070,290.08576086294397,272.68909515632777,267.6242198406127,280.10514930334017,274.4626295765402,r1i1p1f1,ssp245
2071,290.17766582235726,272.70123758760246,268.2915714222555,280.1697517563473,274.714456332552,r1i1p1f1,ssp245
2072,290.0334512772792,272.7111625189316,268.6605959518001,280.39011287852986,274.9399794704441,r1i1p1f1,ssp245
2073,290.14998668581137,272.8504138450213,268.683980435825,280.19773317225486,274.8873915134276,r1i1p1f1,ssp245
2074,290.15885404395664,272.731799014627,269.3095890964032,280.2257809696139,275.08139467283644,r1i1p1f1,ssp245
2075,290.18894673640943,272.81449716047416,269.86940862819677,280.59171516928865,275.4522362180298,r1i1p1f1,ssp245
2076,290.22328607257117,272.89668783878125,269.90846631847825,280.34580290891284,275.36813040569035,r1i1p1f1,ssp245
2077,290.41067586816393,272.9079066519951,270.59783923043375,280.2432992765558,275.54952786649045,r1i1p1f1,ssp245
2078,290.3583440314499,272.86403787176624,270.2762936654311,280.93118928961457,275.7536556431318,r1i1p1f1,ssp245
2079,289.9945191069941,272.93543605146783,269.2289737829932,280.5758966367594,275.25951233554605,r1i1p1f1,ssp245
2080,290.11995890920383,272.8236321835974,269.2985691727249,280.04759070280153,275.0142293287246,r1i1p1f1,ssp245
2081,290.4159333102661,272.74058291269023,269.94488345538315,280.82189533051235,275.56841289325007,r1i1p1f1,ssp245
2082,290.5104082766398,272.8105361265614,269.65704701010213,280.86846424289695,275.5099217028821,r1i1p1f1,ssp245
2083,290.455621034645,272.7087890724869,270.1202302667665,280.61285580351813,275.5225278171236,r1i1p1f1,ssp245
2084,290.4021193537223,273.0507567012156,270.1116348277687,280.49948959522493,275.53816075334043,r1i1p1f1,ssp245
2085,290.4657090999402,272.9278044111769,269.73654279559804,280.6315743570014,275.45057540971237,r1i1p1f1,ssp245
2086,290.5810962331138,272.85295337628764,270.1493334943358,280.8811733544289,275.6864338490418,r1i1p1f1,ssp245
2087,290.51998944917636,272.8448840872043,270.4107086004221,280.793672422314,275.73010180037045,r1i1p1f1,ssp245
2088,290.4800400074966,272.702699654275,269.7012430083814,280.40301414075674,275.2862560173604,r1i1p1f1,ssp245
2089,290.5403629928712,272.7018538257761,270.0611328018884,281.0023567707655,275.68224775446413,r1i1p1f1,ssp245
2090,290.5557936195268,272.69923861842574,270.5242828254374,280.52227868566195,275.611358923818,r1i1p1f1,ssp245
2091,290.6019245388419,272.7570387654972,270.3488207899366,280.77938154052197,275.6848907015907,r1i1p1f1,ssp245
2092,290.48252145191196,272.71051420477266,270.48355523953046,280.9083214515436,275.77929551431595,r1i1p1f1,ssp245
2093,290.56869277738684,272.5116535063556,270.59646661913587,280.59626869185814,275.630432429258,r1i1p1f1,ssp245
2094,290.6601821493007,272.7561492698448,270.1436177696662,280.7750368040783,275.6152429700624,r1i1p1f1,ssp245
2095,290.73613547295827,272.8985285147332,270.7908049610961,281.32584268430077,276.1129083283017,r1i1p1f1,ssp245
2096,290.44057069105133,272.93570446303335,269.8670966796403,280.8965804026827,275.6179933856083,r1i1p1f1,ssp245
2097,290.5206300675478,272.86844777695404,270.1265829555378,280.5966770675981,275.55027216115593,r1i1p1f1,ssp245
