year,tas_global,tas_R19,tas_SLOWP,tas_FAST,tas_AGG,member,scenario
1911,286.86127842585364,267.8492465481993,258.5796436321645,275.8060197912566,268.49141417547474,r10i1p1f2,historical
1912,286.7691305886826,267.61057978952044,258.15608386221703,275.5357668429314,268.1773301463348,r10i1p1f2,historical
1913,286.761668205776,267.8675304905759,258.83398767502695,275.8838072831114,268.61487699537906,r10i1p1f2,historical
1914,286.7463376605884,267.8348904603045,259.13315281406585,275.5469054903611,268.5502332791856,r10i1p1f2,historical
1915,286.7624206392472,267.572573530534,259.1920450497275,275.6712732378296,268.57277469619333,r10i1p1f2,historical
1916,286.7836505187147,267.76624194741146,258.42944576624626,275.56315025718914,268.31220517443484,r10i1p1f2,historical
1917,286.74370204691036,267.9760274591466,256.141889070129,274.8059452364253,267.25280588881293,r10i1p1f2,historical
1918,286.8069876052756,268.37161854182915,257.8079189532029,274.9325012905181,267.94124714253434,r10i1p1f2,historical
1919,286.8194565634434,267.91354705269845,258.23342322582823,275.27567703285246,268.14508400482094,r10i1p1f2,historical
1920,286.84095339754015,268.0107577588111,258.9111616329157,275.01927102844104,268.2691616663816,r10i1p1f2,historical
1921,286.78979798696315,268.0418598722769,257.81631579384316,275.1485898939432,267.97570981966027,r10i1p1f2,historical
1922,286.9664729098777,267.8024211462976,259.42815485964326,275.0949150724453,268.43089787427476,r10i1p1f2,historical
1923,286.7948233266707,267.5915356883197,259.4328734244467,274.9914498470355,268.3406832453039,r10i1p1f2,historical
1924,286.7766986891329,267.52835411600626,258.8185473539225,275.4347056295713,268.33114528509526,r10i1p1f2,historical
1925,286.65760248921316,267.40822615564844,257.7637224390137,275.10184793803637,267.8051613590531,r10i1p1f2,historical
1926,286.82408427483887,267.3947502567305,258.4426493168842,275.0678053098427,268.00973750604925,r10i1p1f2,historical
1927,286.76966897044423,267.44108087066786,258.53085197266836,275.18926300635576,268.10466245349016,r10i1p1f2,historical
1928,286.901179327092,267.80273413105573,260.2841617578155,275.09156640444394,268.71077317287404,r10i1p1f2,historical
1929,286.80947996751576,268.06991239795354,259.8799574353112,275.1296027982116,268.6510356763015,r10i1p1f2,historical
1930,286.9480705023721,267.9616379306684,260.1291829066376,275.27013917393555,268.7756253353149,r10i1p1f2,historical
1931,286.8455989443681,267.6262255984507,260.70675074965646,275.2511976224624,268.88702849825114,r10i1p1f2,historical
1932,286.8384257464034,267.9776723347605,259.62763345691206,274.9978292538285,268.4878482822847,r10i1p1f2,historical
1933,286.803945514835,267.9109665025346,259.23391497111066,275.3669313747098,268.51571041801867,r10i1p1f2,historical
1934,286.9774439472542,268.02137352976087,258.47445968590114,275.5867669724802,268.3909350123787,r10i1p1f2,historical
1935,286.89254938893004,267.83191403839055,258.1558229408602,275.2055562359584,268.0701139494753,r10i1p1f2,historical
1936,286.88367465900467,267.87115393883323,259.4506694545942,275.96893933261833,268.8577979701324,r10i1p1f2,historical
1937,286.79365399121815,267.82040779685826,257.13162642786614,275.40801395891003,267.82494477965093,r10i1p1f2,historical
1938,286.87890508115794,268.65171634802505,257.33564192988985,274.53443649419194,267.65962729797633,r10i1p1f2,historical
1939,287.0719982649195,268.3787994307595,259.35020085862834,275.48098209428537,268.70396781068075,r10i1p1f2,historical
1940,286.92057250617273,268.0025300367715,259.21585751931366,275.17509320006616,268.4398482898694,r10i1p1f2,historical
1941,286.8865453425084,267.8152613461862,259.6139005082413,275.1723413776634,268.53051494133285,r10i1p1f2,historical
1942,287.06178556743015,268.3928012528834,259.31261121568645,276.0006244744074,268.9354430438684,r10i1p1f2,historical
