year,tas_global,tas_R19,tas_SLOWP,tas_FAST,tas_AGG,member,scenario
1920,287.42381745086067,266.4973829876209,260.45073767741246,277.6772862646509,269.69325797901274,r10i1p1f1,historical
1921,287.3557723300569,266.425819931566,260.85805626825635,277.4640127500025,269.7133981188552,r10i1p1f1,historical
1922,287.3928389550419,266.5473975806822,261.7026096796244,277.62371374703025,270.090287513773,r10i1p1f1,historical
1923,287.3325357488204,266.52499524296786,260.3059547701013,277.2469087377082,269.4518665735197,r10i1p1f1,historical
1924,287.33275494244833,266.4251514174746,259.7881240603869,277.4075003461497,269.3353798836855,r10i1p1f1,historical
1925,287.4386038601082,266.67053821652013,261.4298161447161,277.68448726511264,270.0543722595405,r10i1p1f1,historical
1926,287.5644910270101,266.84367601495177,261.05713025069684,278.090529375682,270.1560839150356,r10i1p1f1,historical
1927,287.2715659655871,266.4089628447561,260.6760089456378,277.350345991763,269.59736022035304,r10i1p1f1,historical
1928,287.35503768317426,266.61237082583904,260.31548530859425,277.20991689450824,269.455994377766,r10i1p1f1,historical
1929,287.33504224621464,266.5136958950544,260.1655156111033,277.76609738339,269.64407116038933,r10i1p1f1,historical
1930,287.214057032155,266.15727973889915,260.7222766290323,277.30752937949603,269.5404484185244,r10i1p1f1,historical
1931,287.238936240877,266.34174865174856,260.94211334070144,277.0445285009726,269.52908115363476,r10i1p1f1,historical
1932,287.28086325243476,266.458027097793,260.4755077703442,277.73404767188435,269.7195428554381,r10i1p1f1,historical
1933,287.2720595550282,266.6741115009197,260.1452466198963,276.93998993479414,269.28771351157854,r10i1p1f1,historical
1934,287.2146458856523,266.4371722833024,260.66959279142395,277.21613502083056,269.53888520028386,r10i1p1f1,historical
1935,287.3786884151943,266.5700361268446,260.1782062745555,277.11031266176127,269.3559002233436,r10i1p1f1,historical
1936,287.28222059575705,266.27028104502307,259.71454120028545,277.4104347224122,269.2803914141473,r10i1p1f1,historical
1937,287.1936017671258,266.32780727807034,259.9935432744273,276.90020006614685,269.1474829455596,r10i1p1f1,historical
1938,287.2690694442308,266.6239173915598,260.4591420915472,276.4797226747557,269.1670698107101,r10i1p1f1,historical
1939,287.2097483480441,266.254685209873,260.34896558406956,277.1520603301453,269.3658922989147,r10i1p1f1,historical
1940,287.30997005669894,266.26951663662874,260.8648467969867,277.56141133532884,269.72832680460766,r10i1p1f1,historical
1941,287.2513742858633,266.25339977885824,260.38511749973395,277.5187076881278,269.54749763713886,r10i1p1f1,historical
1942,287.36602215128727,266.46128496240107,261.36078612990934,277.59976498250546,269.94894583930756,r10i1p1f1,historical
1943,287.46157422135656,266.4601424764464,260.77825245147903,277.4152867326107,269.6717042427638,r10i1p1f1,historical
1944,287.461782577546,266.6889779940718,261.8891510732953,277.22533384921553,269.9963033923159,r10i1p1f1,historical
1945,287.26858292441835,266.2508115712928,261.48514602106536,277.6988093965719,269.99203190812165,r10i1p1f1,historical
1946,287.27724131548047,266.1951089124146,261.57565672857885,277.52353023339805,269.9289489623077,r10i1p1f1,historical
1947,287.1720864053567,266.50399348825755,259.7416948897863,276.99409911406707,269.1448265350527,r10i1p1f1,historical
1948,287.14428413815443,266.56960741101705,259.36392357327685,277.3595078737628,269.20369762799834,r10i1p1f1,historical
1949,287.2859876687969,266.5047981630779,260.59036296369055,277.4488724368136,269.63479173086967,r10i1p1f1,historical
1950,287.298028687084,266.6175105432542,259.8297372165829,276.9132101488867,269.15983739824236,r10i1p1f1,historical
1951,287.30878105192824,266.82675167345934,259.27387025971035,276.9343530634817,269.03038507026406,r10i1p1f1,historical
1952,287.5428680448299,267.0596588081698,259.7053250115062,277.6670659361386,269.5602791891658,r10i1p1f1,historical
1953,287.42877959658665,266.7644922532813,260.11167786086963,277.4207339052909,269.51833788476733,r10i1p1f1,historical
1954,287.403164263163,266.6648651988475,260.3622799725986,277.537695938612,269.6342460741629,r10i1p1f1,historical
1955,287.4271575945084,266.7572652278291,260.6144361114205,277.1708436760222,269.56623265771896,r10i1p1f1,historical
1956,287.3741025325178,266.8759748141004,260.42228643083655,277.564292185927,269.7101429542372,r10i1p1f1,historical
1957,287.38889685677896,266.7298264737538,259.96571359649414,277.3161519157924,269.4146737638448,r10i1p1f1,historical
1958,287.25880850269556,266.7076810346448,260.37143175333006,276.9781762440341,269.38673478833937,r10i1p1f1,historical
1959,287.3294590641773,266.71930856100556,261.44689402896296,276.9330189379019,269.721709307606,r10i1p1f1,historical
1960,287.48015277873475,266.9800779726305,260.8989640225078,277.56288711840125,269.8877914617673,r10i1p1f1,historical
1961,287.36082849442437,266.54136625647635,261.34370611484945,277.6770910083239,269.9958135318786,r10i1p1f1,historical
1962,287.3626821194151,266.78184387707284,261.3618054167498,277.3313188137208,269.89139296331234,r10i1p1f1,historical
1963,287.4789094988755,266.8084470301532,261.38215895982347,277.40910530730923,269.93967215076566,r10i1p1f1,historical
1964,287.16165916989934,266.2208992926103,260.2886105746695,277.2489234303878,269.3839463875295,r10i1p1f1,historical
1965,287.1064766494413,266.33309153556553,259.6210016200004,276.29363418088633,268.7449054616873,r10i1p1f1,historical
1966,287.1435221758035,266.5276822353936,259.0516046785296,277.1092034847647,268.976284862911,r10i1p1f1,historical
1967,286.9374405208091,266.45578469238075,259.96937948412585,276.3215419876163,268.89783391845606,r10i1p1f1,historical
