year,member,tas_global,tas_gis_south,tas_gis_all,scenario
1963,r1i1p1f1,287.28786005639853,258.5652266421253,254.0266519434517,historical
1964,r1i1p1f1,287.18729282213695,259.1175175059921,254.24350334578696,historical
1965,r1i1p1f1,287.19619572579285,257.5545380409195,253.14971612976578,historical
1966,r1i1p1f1,287.15597641619325,259.1886143501413,254.99485243665484,historical
1967,r1i1p1f1,287.051748341077,259.3592840773647,254.70317278955153,historical
1968,r1i1p1f1,287.30530424330465,260.3758609612184,255.44589991285912,historical
1969,r1i1p1f1,287.4512763871612,257.5740514076078,253.3873787601406,historical
1970,r1i1p1f1,287.3722727904875,256.76948116683843,251.9906319270962,historical
1971,r1i1p1f1,287.1062385712262,259.3083209058535,254.39163245786304,historical
1972,r1i1p1f1,287.1745862575876,258.81858777562803,253.8972100410121,historical
1973,r1i1p1f1,287.1235797344633,258.4464704236705,253.66812396036173,historical
1974,r1i1p1f1,287.26193947186124,258.6668147910954,254.57767576883532,historical
1975,r1i1p1f1,287.1046253607311,259.3308618205099,254.34293121262772,historical
1976,r1i1p1f1,287.2814307980781,258.8588462858296,253.8439059274623,historical
1977,r1i1p1f1,287.38476759403665,258.0108131960775,253.88964624336379,historical
1978,r1i1p1f1,287.14274695512165,258.8805185153922,254.75332578925526,historical
1979,r1i1p1f1,287.38670169656,258.8590635399087,254.53203774645283,historical
1980,r1i1p1f1,287.31184403143817,258.23919633219305,254.03024488049795,historical
1981,r1i1p1f1,287.3923482297866,258.34348850437607,253.86948233586065,historical
1982,r1i1p1f1,287.2876705366888,260.36170864470574,256.0001872520636,historical
1983,r1i1p1f1,287.29779821544145,259.11662126358266,254.6047198227399,historical
1984,r1i1p1f1,287.30926860941787,259.27011869822513,254.5427179477784,historical
1985,r1i1p1f1,287.3647965746158,259.2902735511115,254.79962953093062,historical
1986,r1i1p1f1,287.4094638952769,258.8766603248844,254.2778627887722,historical
1987,r1i1p1f1,287.51245187266966,260.0564183606792,255.74235879273795,historical
1988,r1i1p1f1,287.3785300668535,257.0446441085725,252.68581764062012,historical
1989,r1i1p1f1,287.61839784776487,258.3287067854612,254.0776170538734,historical
1990,r1i1p1f1,287.65340518264577,259.43971271443087,254.6675578359374,historical
1991,r1i1p1f1,287.48517128601594,259.15817172871954,254.72017956813966,historical
1992,r1i1p1f1,287.31884870885915,258.55399741114417,254.13699955226696,historical
1993,r1i1p1f1,287.3277598329439,259.3242093011258,255.051694690489,historical
1994,r1i1p1f1,287.56863283350407,258.296540388726,253.7014338533336,historical
1995,r1i1p1f1,287.69574068275216,258.67835382022514,254.76875187652405,historical
1996,r1i1p1f1,287.8026495137202,258.54292059117944,254.34315779205278,historical
1997,r1i1p1f1,287.57547935104503,259.9393629844935,255.21983333382627,historical
1998,r1i1p1f1,287.7240599370485,259.4597070106754,255.21775711567562,historical
1999,r1i1p1f1,287.68085716747,259.5994178892647,254.98228850442078,historical
2000,r1i1p1f1,287.9082934170901,258.5484878615764,254.2924884440639,historical
2001,r1i1p1f1,287.9286807689517,260.0404299777277,255.50139416406373,historical
2002,r1i1p1f1,287.9004751534764,260.6291654044139,256.5381410993359,historical
2003,r1i1p1f1,288.0169502460757,261.9349652779566,256.95078546131424,historical
2004,r1i1p1f1,288.03257132362796,260.71492100359376,256.40020910359686,historical
2005,r1i1p1f1,287.8863366651563,260.90506746665284,255.9866990795721,historical
2006,r1i1p1f1,287.97246473004566,259.86036787295103,255.3807960472557,historical
2007,r1i1p1f1,288.13496856243796,259.1935373661363,255.20190467525734,historical
2008,r1i1p1f1,288.1283743954622,259.1814308454664,255.10137302222176,historical
2009,r1i1p1f1,288.1767416343612,259.33530969025605,255.36130857608808,historical
2010,r1i1p1f1,288.1939562862082,260.9617406898581,256.3920617940163,historical
2011,r1i1p1f1,287.99514470840177,258.92842556100334,254.99536020525687,historical
2012,r1i1p1f1,288.1056642257548,260.56591346179556,256.27940308866835,historical
2013,r1i1p1f1,288.0801007216404,260.2143647872285,255.52464998881328,historical
2014,r1i1p1f1,288.1060071350439,259.5007450412555,255.3228127538686,historical
2015,r1i1p1f1,288.1486269418373,259.1434641047338,255.00295312664977,ssp126
2016,r1i1p1f1,288.1655319676351,259.25033699533554,254.97362145583932,ssp126
2017,r1i1p1f1,288.1799961868737,259.6373136766024,255.06950012858368,ssp126
2018,r1i1p1f1,288.28734306341624,260.25230393624423,256.00240083812815,ssp126
2019,r1i1p1f1,288.33423476516174,259.860349126472,255.62395062440382,ssp126
2020,r1i1p1f1,288.3033287576692,261.04049644604004,256.7099659315869,ssp126
2021,r1i1p1f1,288.48364856115603,261.09060002575995,256.5063261921512,ssp126
2022,r1i1p1f1,288.5692366973786,260.0829086269909,255.37350744636362,ssp126
2023,r1i1p1f1,288.54796805754285,259.5994952820834,255.0468511097466,ssp126
2024,r1i1p1f1,288.394730781855,260.1120306037964,255.82206485200103,ssp126
2025,r1i1p1f1,288.433365160439,260.321830367887,256.2397408402015,ssp126
2026,r1i1p1f1,288.6839302388058,262.0568492818369,257.4777053910203,ssp126
2027,r1i1p1f1,288.7002171314387,261.8196893350016,257.7128173554655,ssp126
2028,r1i1p1f1,288.3115856508746,260.4859298641318,256.8909379038717,ssp126
2029,r1i1p1f1,288.3439353222395,260.9554443359114,256.7575776283422,ssp126
2030,r1i1p1f1,288.39843824127865,260.0989147686036,256.29711759049064,ssp126
2031,r1i1p1f1,288.50624043789895,260.4163326255752,256.1680185336722,ssp126
2032,r1i1p1f1,288.50365902909925,261.9059631623205,257.33264019974445,ssp126
2033,r1i1p1f1,288.5765778031708,260.6836053188738,256.16884149175377,ssp126
2034,r1i1p1f1,288.4741917140125,261.62579713275943,257.38853516602785,ssp126
2035,r1i1p1f1,288.65932438073185,262.77376083680707,258.1914236582033,ssp126
2036,r1i1p1f1,288.7267541703726,260.69391173409394,256.74468057055486,ssp126
2037,r1i1p1f1,288.7360673019219,260.93945278806007,256.74993997711897,ssp126
2038,r1i1p1f1,288.745538747777,261.78723829379857,257.446673250695,ssp126
2039,r1i1p1f1,288.9744420360235,260.38718895048197,256.4184308389119,ssp126
2040,r1i1p1f1,288.6189570169712,260.32382495138035,256.08999491763166,ssp126
2041,r1i1p1f1,288.60055683349464,260.6286348670019,256.63239934571146,ssp126
2042,r1i1p1f1,288.81561558630506,260.9013385748679,256.35809393636305,ssp126
2043,r1i1p1f1,288.95615515590237,261.6061333933387,257.1091486883539,ssp126
2044,r1i1p1f1,288.80843357014095,261.7919294909809,257.76818270285867,ssp126
2045,r1i1p1f1,288.7627105926751,260.7342719462087,256.7375006997707,ssp126
2046,r1i1p1f1,289.02994995341453,260.9272944525593,256.8567598832006,ssp126
2047,r1i1p1f1,288.77844116395096,260.9893428552273,257.38910969362087,ssp126
2048,r1i1p1f1,288.78669016708517,260.5323333545986,256.47732545713154,ssp126
2049,r1i1p1f1,288.9435796848964,261.30312046836667,257.14088063542636,ssp126
2050,r1i1p1f1,288.8557315096578,261.87410621000714,257.163850446347,ssp126
2051,r1i1p1f1,288.72715902002415,261.5812232906942,257.4977585782524,ssp126
2052,r1i1p1f1,288.8376103874981,260.52724990173294,256.50390652723735,ssp126
2053,r1i1p1f1,288.8974351933358,261.3239955096032,256.9952792220865,ssp126
2054,r1i1p1f1,288.8800253529775,260.63861284359143,256.48005597853245,ssp126
2055,r1i1p1f1,289.02924006312725,261.1888981719999,257.35054208321225,ssp126
2056,r1i1p1f1,288.8216123900549,261.7881263014469,258.1381014673412,ssp126
2057,r1i1p1f1,288.870560145792,260.85547573974685,256.99611721274545,ssp126
2058,r1i1p1f1,288.9574467241401,261.68802897370483,257.3968683345095,ssp126
2059,r1i1p1f1,288.91978690354296,262.04676365007043,258.2137272395524,ssp126
2060,r1i1p1f1,289.13131068509813,262.7567522111596,258.3639232496908,ssp126
2061,r1i1p1f1,288.980551608211,260.9473966147567,256.95208185172254,ssp126
2062,r1i1p1f1,288.8371830599808,261.21498552862954,257.2185908303718,ssp126
2063,r1i1p1f1,288.79330253007953,260.55927599161635,256.63747729899933,ssp126
2064,r1i1p1f1,288.84829541700077,259.64997145240045,255.9466356482234,ssp126
2065,r1i1p1f1,288.98125642257565,261.5498877530234,257.6063340817897,ssp126
2066,r1i1p1f1,289.0159669242563,261.4948515736033,257.1334897143484,ssp126
2067,r1i1p1f1,288.91979494735244,261.01239874442194,257.4347613471582,ssp126
2068,r1i1p1f1,288.8578211679653,260.6076639406505,256.29181984356404,ssp126
2069,r1i1p1f1,288.84920561863646,260.46282165698403,256.3812825924672,ssp126
2070,r1i1p1f1,289.00514481575385,260.71485180624427,256.9149973842261,ssp126
2071,r1i1p1f1,289.1545480795194,261.2617205645814,257.31022091303026,ssp126
2072,r1i1p1f1,288.9564540874197,260.0382662303578,256.4297459153086,ssp126
2073,r1i1p1f1,289.04744050006053,261.69421939653205,257.7768662807058,ssp126
2074,r1i1p1f1,288.9899432261367,262.6440979997173,258.18573912185525,ssp126
2075,r1i1p1f1,288.945593204904,261.17974238729283,256.75066464451737,ssp126
2076,r1i1p1f1,289.10091476129764,261.89307094515976,257.832679519505,ssp126
2077,r1i1p1f1,288.9190383353712,262.25412062642084,257.902753871625,ssp126
2078,r1i1p1f1,288.86515183431806,262.327342784377,257.9723057671386,ssp126
2079,r1i1p1f1,288.71142114771146,261.85611919713705,257.2918185993841,ssp126
2080,r1i1p1f1,288.9252929509823,261.41156427289076,257.1374038039587,ssp126
2081,r1i1p1f1,289.0824247962598,260.6490985058496,256.89187774604267,ssp126
2082,r1i1p1f1,288.9527291332425,262.28154934146403,258.31542189203026,ssp126
2083,r1i1p1f1,288.9068218583013,262.3973058354692,258.0043135119496,ssp126
2084,r1i1p1f1,289.0922462011384,261.3403516144189,256.9846888843422,ssp126
2085,r1i1p1f1,288.98126039252435,260.9481569456594,256.6772595655894,ssp126
2086,r1i1p1f1,288.98369539232846,260.7085975508545,256.5587779222383,ssp126
2087,r1i1p1f1,288.93530346110157,259.94329269670015,255.94495277873872,ssp126
2088,r1i1p1f1,288.87890731869606,260.4735584909081,256.70799014100095,ssp126
2089,r1i1p1f1,288.84144284836987,260.7747622188382,256.80440166482083,ssp126
2090,r1i1p1f1,288.967823052924,260.43781566996336,256.6489160401083,ssp126
2091,r1i1p1f1,288.89594023518373,261.1544578095617,256.7330952768931,ssp126
2092,r1i1p1f1,288.69100611780635,261.19535634867003,256.56363365828537,ssp126
2093,r1i1p1f1,288.7203249235815,261.46734705610294,257.0953535194373,ssp126
2094,r1i1p1f1,288.7812208352911,260.80484041443503,256.782593185723,ssp126
2095,r1i1p1f1,288.97613435339355,261.19133302120775,256.94739887483894,ssp126
2096,r1i1p1f1,288.79592331140987,260.42900358458303,256.15539446013594,ssp126
2097,r1i1p1f1,288.6963408990758,260.9963384768836,257.1916393009673,ssp126
2098,r1i1p1f1,288.7565743755158,261.4889342519785,257.02711907149165,ssp126
2099,r1i1p1f1,288.76927318511935,261.0583902200027,257.13352842303607,ssp126
2100,r1i1p1f1,288.74865654668776,260.52996979376195,256.10806734492706,ssp126
2015,r1i1p1f1,288.09425153606225,259.8216398708944,255.4845787358231,ssp245
2016,r1i1p1f1,288.23065047912587,259.27830693098775,255.24475919344337,ssp245
2017,r1i1p1f1,288.27031983998495,260.40363408454306,256.3249107939186,ssp245
2018,r1i1p1f1,288.3971412568446,259.45945344266283,255.01204424905606,ssp245
2019,r1i1p1f1,288.3757080918277,260.7149609035627,256.3142853710308,ssp245
2020,r1i1p1f1,288.25466709179915,260.0938248306264,255.50017901272673,ssp245
2021,r1i1p1f1,288.4145566796647,260.40528926341716,255.4320233851898,ssp245
2022,r1i1p1f1,288.5657492877525,261.17117208888794,256.5123339969196,ssp245
2023,r1i1p1f1,288.55909457466134,260.1697084593241,255.71086017300658,ssp245
2024,r1i1p1f1,288.52502060041735,259.326801953625,255.6983354806659,ssp245
2025,r1i1p1f1,288.47797561397795,260.7776952912115,256.6759379248227,ssp245
2026,r1i1p1f1,288.51681916249464,260.30628342062744,256.5541854218547,ssp245
2027,r1i1p1f1,288.5522812705819,259.2958432706714,255.42540218220475,ssp245
2028,r1i1p1f1,288.5372305504422,261.3049664182679,256.80065749371545,ssp245
2029,r1i1p1f1,288.63740451308297,260.2245760127484,256.12270757968287,ssp245
2030,r1i1p1f1,288.66324355868005,260.7714433251002,256.5273864818866,ssp245
2031,r1i1p1f1,288.6270806556751,261.88449847860676,257.50981285746406,ssp245
2032,r1i1p1f1,288.73839174893874,261.0374312555249,256.9899303447683,ssp245
2033,r1i1p1f1,288.6734618908243,260.4977762716956,256.46625223822787,ssp245
2034,r1i1p1f1,288.57834113360184,259.6700647784241,255.5857345852495,ssp245
2035,r1i1p1f1,288.639474232561,261.536654514768,257.35182831744555,ssp245
2036,r1i1p1f1,288.7770053412214,260.8057681311055,256.4633785177536,ssp245
2037,r1i1p1f1,288.6245891692286,261.5243458201286,257.0495475890151,ssp245
2038,r1i1p1f1,288.9058280204407,261.6026476718715,257.69537755221,ssp245
2039,r1i1p1f1,289.00311850300193,261.80007845153716,258.232934191408,ssp245
2040,r1i1p1f1,288.9235634691204,260.47790632546344,256.6519950082743,ssp245
2041,r1i1p1f1,288.88214532615024,261.9263311846351,257.70577357642225,ssp245
2042,r1i1p1f1,288.92332641398866,261.5819774347397,257.36817809023785,ssp245
2043,r1i1p1f1,288.916707443991,260.53314048634036,256.4701052255579,ssp245
2044,r1i1p1f1,288.9632995352201,260.37676040295275,256.51131325507396,ssp245
2045,r1i1p1f1,289.1190300765038,259.9439290272417,256.0895719515015,ssp245
2046,r1i1p1f1,289.01076290408406,260.970337991096,256.73264033107654,ssp245
2047,r1i1p1f1,288.9793808578157,260.7341240560144,256.9031114474821,ssp245
2048,r1i1p1f1,289.2840941346133,261.5077274852571,257.11474058554467,ssp245
2049,r1i1p1f1,289.16138369444093,260.7789262440986,256.811042671862,ssp245
2050,r1i1p1f1,289.0273174512912,261.476714758221,257.48787421874283,ssp245
2051,r1i1p1f1,289.1188393145708,261.042271270796,256.75821873211765,ssp245
2052,r1i1p1f1,289.23894904878114,262.8233212330994,258.7473315168769,ssp245
2053,r1i1p1f1,289.3220461251425,263.65872166388345,259.4759365707639,ssp245
2054,r1i1p1f1,289.43131968338474,260.59348660439537,256.88494208318303,ssp245
2055,r1i1p1f1,289.47514575450293,260.66244946459506,256.82849163780753,ssp245
2056,r1i1p1f1,289.29880146983294,260.8166542378117,256.9167122413791,ssp245
2057,r1i1p1f1,289.4417470336302,261.2074739727412,257.6213852958921,ssp245
2058,r1i1p1f1,289.323593595655,261.641789623397,257.587748047432,ssp245
2059,r1i1p1f1,289.2788583055263,262.81052573582485,259.29254875739804,ssp245
2060,r1i1p1f1,289.3942569241448,261.4801263222448,257.14693889852725,ssp245
2061,r1i1p1f1,289.3010600837871,260.9545871800946,256.8583538397174,ssp245
2062,r1i1p1f1,289.3522860641068,261.2347658340443,257.2695459315746,ssp245
2063,r1i1p1f1,289.3767424154794,261.98179945023537,258.00775062792275,ssp245
2064,r1i1p1f1,289.6339653008269,263.29545222178393,259.29089186698803,ssp245
2065,r1i1p1f1,289.63079260541735,262.60264276924124,258.55787369596624,ssp245
2066,r1i1p1f1,289.50966884617327,261.2756088937274,257.62983959666974,ssp245
2067,r1i1p1f1,289.72019523006867,262.22743940635024,258.0507215803919,ssp245
2068,r1i1p1f1,289.41467681183417,261.2516244800705,257.44941612933957,ssp245
2069,r1i1p1f1,289.5146981759017,260.33057084009755,256.5186567161955,ssp245
2070,r1i1p1f1,289.60577495989935,260.93119422081435,256.9272847393082,ssp245
2071,r1i1p1f1,289.7359449024022,261.20613322733647,257.61008820999155,ssp245
2072,r1i1p1f1,289.5867249205504,261.70707160198054,257.5550982721919,ssp245
2073,r1i1p1f1,289.4312526419033,261.051141554231,257.46026130338856,ssp245
