,gcm,period_scenario,temp_ch_ipcc,region
165,gfdl-esm4,2041-2060_ssp126,3.0616108893415537,RGI09_glacier
166,gfdl-esm4,2061-2080_ssp126,4.16185164609082,RGI09_glacier
167,gfdl-esm4,2081-2100_ssp126,3.914785496586275,RGI09_glacier
168,gfdl-esm4,2021-2040_ssp370,2.691764738521336,RGI09_glacier
169,gfdl-esm4,2041-2060_ssp370,4.3529126490882515,RGI09_glacier
170,gfdl-esm4,2061-2080_ssp370,6.939516032167663,RGI09_glacier
171,gfdl-esm4,2081-2100_ssp370,8.40903866469498,RGI09_glacier
172,gfdl-esm4,2021-2040_ssp585,3.2234612911374936,RGI09_glacier
173,gfdl-esm4,2041-2060_ssp585,4.705482544138961,RGI09_glacier
174,gfdl-esm4,2061-2080_ssp585,6.937710635100235,RGI09_glacier
175,gfdl-esm4,2081-2100_ssp585,9.260927906385477,RGI09_glacier
176,gfdl-esm4,1851-1870_hist,0.8018024565547237,RGI10_glacier
177,gfdl-esm4,1901-1920_hist,0.4796439345040917,RGI10_glacier
178,gfdl-esm4,1951-1970_hist,0.627957581371835,RGI10_glacier
179,gfdl-esm4,1995-2014_hist,1.1514609208172844,RGI10_glacier
180,gfdl-esm4,2021-2040_ssp126,2.129934689523832,RGI10_glacier
181,gfdl-esm4,2041-2060_ssp126,2.3406872692463607,RGI10_glacier
182,gfdl-esm4,2061-2080_ssp126,2.4889543365944395,RGI10_glacier
183,gfdl-esm4,2081-2100_ssp126,2.350583215895129,RGI10_glacier
184,gfdl-esm4,2021-2040_ssp370,1.8204569957460035,RGI10_glacier
185,gfdl-esm4,2041-2060_ssp370,2.746913373203411,RGI10_glacier
186,gfdl-esm4,2061-2080_ssp370,3.7999598887884605,RGI10_glacier
187,gfdl-esm4,2081-2100_ssp370,4.727723618843367,RGI10_glacier
188,gfdl-esm4,2021-2040_ssp585,2.05532794963372,RGI10_glacier
189,gfdl-esm4,2041-2060_ssp585,2.9365279014664556,RGI10_glacier
190,gfdl-esm4,2061-2080_ssp585,4.203365737552334,RGI10_glacier
191,gfdl-esm4,2081-2100_ssp585,5.640837649002997,RGI10_glacier
192,gfdl-esm4,1851-1870_hist,0.8421110304161226,RGI11_glacier
193,gfdl-esm4,1901-1920_hist,0.8613679477013867,RGI11_glacier
194,gfdl-esm4,1951-1970_hist,0.7586598922632897,RGI11_glacier
195,gfdl-esm4,1995-2014_hist,1.4037520524511247,RGI11_glacier
196,gfdl-esm4,2021-2040_ssp126,2.2759536495097556,RGI11_glacier
197,gfdl-esm4,2041-2060_ssp126,2.2796766408321782,RGI11_glacier
198,gfdl-esm4,2061-2080_ssp126,2.5185225376600235,RGI11_glacier
199,gfdl-esm4,2081-2100_ssp126,2.020972800451522,RGI11_glacier
200,gfdl-esm4,2021-2040_ssp370,2.1749495707704223,RGI11_glacier
201,gfdl-esm4,2041-2060_ssp370,3.087604027079507,RGI11_glacier
202,gfdl-esm4,2061-2080_ssp370,3.792485905942439,RGI11_glacier
203,gfdl-esm4,2081-2100_ssp370,4.873657135474474,RGI11_glacier
204,gfdl-esm4,2021-2040_ssp585,2.0572616635155576,RGI11_glacier
205,gfdl-esm4,2041-2060_ssp585,3.129199959279426,RGI11_glacier
206,gfdl-esm4,2061-2080_ssp585,4.067193736440455,RGI11_glacier
207,gfdl-esm4,2081-2100_ssp585,5.367175366160174,RGI11_glacier
208,gfdl-esm4,1851-1870_hist,0.685746764158136,RGI12_glacier
209,gfdl-esm4,1901-1920_hist,0.8007305454489988,RGI12_glacier
210,gfdl-esm4,1951-1970_hist,0.19270533738402318,RGI12_glacier
211,gfdl-esm4,1995-2014_hist,0.9943036196373606,RGI12_glacier
212,gfdl-esm4,2021-2040_ssp126,1.939753452142096,RGI12_glacier
213,gfdl-esm4,2041-2060_ssp126,2.401016526343002,RGI12_glacier
214,gfdl-esm4,2061-2080_ssp126,2.0311377915765485,RGI12_glacier
215,gfdl-esm4,2081-2100_ssp126,2.1321948596426945,RGI12_glacier
216,gfdl-esm4,2021-2040_ssp370,2.0169650968273,RGI12_glacier
217,gfdl-esm4,2041-2060_ssp370,2.6633621510663428,RGI12_glacier
218,gfdl-esm4,2061-2080_ssp370,3.5066650042948933,RGI12_glacier
219,gfdl-esm4,2081-2100_ssp370,4.427863110787893,RGI12_glacier
220,gfdl-esm4,2021-2040_ssp585,2.0666180380370087,RGI12_glacier
221,gfdl-esm4,2041-2060_ssp585,2.8280796467881255,RGI12_glacier
222,gfdl-esm4,2061-2080_ssp585,3.7346964654599355,RGI12_glacier
223,gfdl-esm4,2081-2100_ssp585,4.997333454538261,RGI12_glacier
224,gfdl-esm4,1851-1870_hist,0.1640002613545497,RGI13_glacier
225,gfdl-esm4,1901-1920_hist,0.33089065533126183,RGI13_glacier
226,gfdl-esm4,1951-1970_hist,0.28870938587004025,RGI13_glacier
227,gfdl-esm4,1995-2014_hist,0.9438654118367586,RGI13_glacier
228,gfdl-esm4,2021-2040_ssp126,1.6657313996284038,RGI13_glacier
229,gfdl-esm4,2041-2060_ssp126,1.9735379067256296,RGI13_glacier
230,gfdl-esm4,2061-2080_ssp126,2.144917696369813,RGI13_glacier
231,gfdl-esm4,2081-2100_ssp126,1.959194976057443,RGI13_glacier
