year,ais,gsic,gis,te,total,lws_budget
2006,0.17146439552215842,0.44977477543999417,0.2948736097575573,0.8363411249160312,1.9313688497859722,0.17891494415023101
2007,0.19982458813048165,0.5274922557208059,0.34566580444453443,0.9558548995504585,2.1317108769872037,0.10287332914092326
2008,0.22815628075606442,0.604980644380107,0.39663198663733645,1.080055800844582,2.436029993854045,0.12620528123595495
2009,0.2565140453782089,0.6821702030422829,0.44775266040718087,1.213428957532207,2.8285409375776767,0.22867507121779704
2010,0.28492323316920976,0.7602471006134772,0.49935969392576673,1.3506913891064838,3.174395009360707,0.2791735925457694
2011,0.31336772206325136,0.8389920627282985,0.5514025635265103,1.4959503830388559,3.198904233906348,-0.000808497450568435
2012,0.3418797327628065,0.9186494869494688,0.6039621234766042,1.6443847085292511,3.9144745290600427,0.405598477341912
2013,0.37044559233921914,0.9997173011026012,0.6572002093457048,1.797887866772194,4.197048883685421,0.37179791412570257
2014,0.39908979780004517,1.0817889035974193,0.7110155611517239,1.9657962383902665,4.413701555672038,0.2560110547325828
2015,0.4278966466466638,1.1655576053972703,0.7656407404230965,2.1296408554213215,5.155066022312783,0.6663301744244315
2016,0.4567662681274065,1.2506553704871997,0.8209886225071745,2.2853103764258536,5.640993771757527,0.8272731342098929
2017,0.48564678375430104,1.3359970005050834,0.8767291056481614,2.453446999095048,5.759262581737572,0.6074426927349784
2018,0.5146787464028524,1.421905324463292,0.9329750136725163,2.625612195144461,6.027616475813181,0.5324451961300589
