arm,anchor_ssp,anchor_horizon,lambda_rescale,ssp,horizon,med_cm,spread_cm,vs_n0_med,domain
n0p25,ssp585,2100,1.6448649644721096,ssp585,2300,379.73632699926316,371.2972662442801,98.54680262327645,ok
n0p25,ssp585,2150,1.3286627713684387,ssp126,2100,4.403186231159361,2.0304424846299027,0.0,ok
n0p25,ssp585,2150,1.3286627713684387,ssp126,2150,6.770474117406273,3.251156930554645,0.0,ok
n0p25,ssp585,2150,1.3286627713684387,ssp126,2300,13.46796868902489,6.556878366354805,0.0,ok
n0p25,ssp585,2150,1.3286627713684387,ssp245,2100,5.558809990829379,22.994926897413542,-0.025519403506527816,ok
n0p25,ssp585,2150,1.3286627713684387,ssp245,2150,11.544791843610831,69.25800616040158,-0.36057306816939416,ok
n0p25,ssp585,2150,1.3286627713684387,ssp245,2300,84.41727979473148,222.81914060160037,-46.931337389366945,ok
n0p25,ssp585,2150,1.3286627713684387,ssp585,2100,31.263291323794846,46.825678747629844,-5.809732504231036,ok
n0p25,ssp585,2150,1.3286627713684387,ssp585,2150,94.10872485078269,99.8458444621034,-0.23972621354189982,ok
n0p25,ssp585,2150,1.3286627713684387,ssp585,2300,320.7047899998946,306.31412441683744,39.51526562390791,ok
n0p25,ssp585,2300,1.1357740565068468,ssp126,2100,4.403186231159361,2.028483789279011,0.0,ok
n0p25,ssp585,2300,1.1357740565068468,ssp126,2150,6.770474117406273,3.249358331449301,0.0,ok
n0p25,ssp585,2300,1.1357740565068468,ssp126,2300,13.46796868902489,6.556878366354805,0.0,ok
n0p25,ssp585,2300,1.1357740565068468,ssp245,2100,5.55052524062144,19.778900369797732,-0.03380415371446688,ok
n0p25,ssp585,2300,1.1357740565068468,ssp245,2150,11.45361922162585,59.15592627600676,-0.45174569015437527,ok
n0p25,ssp585,2300,1.1357740565068468,ssp245,2300,75.51550072195988,192.366493049304,-55.83311646213855,ok
n0p25,ssp585,2300,1.1357740565068468,ssp585,2100,27.746317121681372,40.18987131160851,-9.32670670634451,ok
n0p25,ssp585,2300,1.1357740565068468,ssp585,2150,83.28275435632271,86.34356822796971,-11.06569670800188,ok
n0p25,ssp585,2300,1.1357740565068468,ssp585,2300,285.0187874773104,265.0425456478026,3.829263101323704,ok
n0p5,ssp245,2300,5.803802053744999,ssp126,2100,4.403186231159361,2.028483789279011,0.0,UNVERIFIED
n0p5,ssp245,2300,5.803802053744999,ssp126,2150,6.770474117406273,3.249358331449301,0.0,UNVERIFIED
n0p5,ssp245,2300,5.803802053744999,ssp126,2300,13.46796868902489,6.556878366354805,0.0,UNVERIFIED
n0p5,ssp245,2300,5.803802053744999,ssp245,2100,5.56138912944839,48.21563579386364,-0.022940264887516548,UNVERIFIED
n0p5,ssp245,2300,5.803802053744999,ssp245,2150,11.575017313735096,163.29842470173872,-0.3303475980451296,UNVERIFIED
n0p5,ssp245,2300,5.803802053744999,ssp245,2300,132.2666662665016,588.7904483533933,0.9180490824031722,UNVERIFIED
n0p5,ssp245,2300,5.803802053744999,ssp585,2100,74.02721604581187,145.91442163538454,36.95419221778599,UNVERIFIED
n0p5,ssp245,2300,5.803802053744999,ssp585,2150,277.83269816952884,358.8211167951999,183.48424710520425,UNVERIFIED
n0p5,ssp245,2300,5.803802053744999,ssp585,2300,1060.5031959882167,1185.8293925915668,779.31367161223,UNVERIFIED
n0p5,ssp585,2100,2.5935668529093108,ssp126,2100,4.403186231159361,2.022877546246719,0.0,ok
n0p5,ssp585,2100,2.5935668529093108,ssp126,2150,6.770474117406273,3.249358331449301,0.0,ok
n0p5,ssp585,2100,2.5935668529093108,ssp126,2300,13.46796868902489,6.556878366354805,0.0,ok
n0p5,ssp585,2100,2.5935668529093108,ssp245,2100,5.530311767314293,22.0443886363476,-0.05401762702161328,ok
n0p5,ssp585,2100,2.5935668529093108,ssp245,2150,11.292855709285543,74.7890878213889,-0.6125092024946817,ok
n0p5,ssp585,2100,2.5935668529093108,ssp245,2300,71.40025777555041,264.766164914228,-59.948359408548015,ok
n0p5,ssp585,2100,2.5935668529093108,ssp585,2100,37.23744810637748,66.40429059213568,0.16442427835159634,ok
n0p5,ssp585,2100,2.5935668529093108,ssp585,2150,134.63526981930588,162.9984637025879,40.28681875498128,ok
n0p5,ssp585,2100,2.5935668529093108,ssp585,2300,515.3640988210317,544.2215663598702,234.17457444504498,ok
n0p5,ssp585,2150,1.6984912563809442,ssp126,2100,4.403186231159361,2.022877546246719,0.0,ok
n0p5,ssp585,2150,1.6984912563809442,ssp126,2150,6.770474117406273,3.249358331449301,0.0,ok
n0p5,ssp585,2150,1.6984912563809442,ssp126,2300,13.46796868902489,6.556878366354805,0.0,ok
n0p5,ssp585,2150,1.6984912563809442,ssp245,2100,5.515048678798114,14.932552404105332,-0.06928071553779258,ok
n0p5,ssp585,2150,1.6984912563809442,ssp245,2150,11.135954406037857,50.005140340736,-0.7694105057423677,ok
n0p5,ssp585,2150,1.6984912563809442,ssp245,2300,54.824666336018666,178.2441538817893,-76.52395084807976,ok
n0p5,ssp585,2150,1.6984912563809442,ssp585,2100,26.838232622230997,43.70358010475125,-10.234791205794885,ok
n0p5,ssp585,2150,1.6984912563809442,ssp585,2150,94.69275971035219,109.22257489598371,0.34430864602759925,ok
n0p5,ssp585,2150,1.6984912563809442,ssp585,2300,362.8702072819964,365.12418416103856,81.68068290600968,ok
n0p5,ssp585,2300,1.2305908595094621,ssp126,2100,4.403186231159361,2.022877546246719,0.0,ok
n0p5,ssp585,2300,1.2305908595094621,ssp126,2150,6.770474117406273,3.249358331449301,0.0,ok
n0p5,ssp585,2300,1.2305908595094621,ssp126,2300,13.46796868902489,6.556878366354805,0.0,ok
n0p5,ssp585,2300,1.2305908595094621,ssp245,2100,5.485552359249205,11.239876798455404,-0.09877703508670166,ok
n0p5,ssp585,2300,1.2305908595094621,ssp245,2150,10.998557125343236,37.2037565245438,-0.906807786436989,ok
n0p5,ssp585,2300,1.2305908595094621,ssp245,2300,45.65933018045611,132.25510679982958,-85.68928700364232,ok
n0p5,ssp585,2300,1.2305908595094621,ssp585,2100,21.43178652567122,32.25128372527904,-15.64123730235466,ok
n0p5,ssp585,2300,1.2305908595094621,ssp585,2150,73.82243409071849,80.80238774941213,-20.526016973606104,ok
n0p5,ssp585,2300,1.2305908595094621,ssp585,2300,282.51131509127435,278.0293957727872,1.3217907152876478,ok
n1p0,ssp245,2300,35.43432769950742,ssp126,2100,4.403186231159361,2.022877546246719,0.0,UNVERIFIED
n1p0,ssp245,2300,35.43432769950742,ssp126,2150,6.770474117406273,3.249358331449301,0.0,UNVERIFIED
n1p0,ssp245,2300,35.43432769950742,ssp126,2300,13.464612100456147,6.556878366354805,-0.0033565885687423247,UNVERIFIED
