quantity,basin,python,julia,absdiff,tol,window,ssp,tap_onset_K,in_lit_bracket,first_fire_year,cm2100_med,cm2100_q05,cm2100_q95,m2300_med,m2300_q05,m2300_q95,lit_lo,lit_hi,in_band,ratio_med,ratio_q05,ratio_q95,g4_cm_med,tap_V_m,tap_tau,within_inventory,m2300_SSP1-2.6_med,tap2100_SSP1-2.6_m,m2300_SSP2-4.5_med,tap2100_SSP2-4.5_m,m2300_SSP5-8.5_med,tap2100_SSP5-8.5_m,g4_rel_to_base,headroom_bind_frac,bands_ok,ratio_ok,g4_ok,all_pass
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,6.059217830761154,5.529788888328412,6.790125519731439,7.423287698047115,1.0,200.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.0737943417166453,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,4.755907020331364,4.460448925673023,5.163201478388416,7.423287698047115,1.0,400.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,0.8424585856081146,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,10.935143177666879,9.51894602161199,12.89007659123801,7.423287698047115,1.5,50.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.9399377478152589,0.0,1.0,0.0,True,True,True,True
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,9.765488049950898,8.564928162169972,11.432204228857094,7.423287698047115,1.5,100.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.733173327714471,0.0,1.0,0.0,True,True,True,True
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,7.7269463046226186,6.8906097815198075,8.873612286006837,7.423287698047115,1.5,200.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.370625516422634,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,5.777850235432833,5.300036106033433,6.4399692446772345,7.423287698047115,1.5,400.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.0236218822598375,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,13.67451701772883,11.754951133195137,16.329189297469075,7.423287698047115,2.0,50.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,2.4265396663187895,0.0,1.0,0.0,True,True,True,True
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,12.119836490464685,10.4870816095116,14.379885488113793,7.423287698047115,2.0,100.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,2.1508537728510717,0.0,1.0,0.0,True,True,True,True
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,9.397234299162163,8.260676515186558,10.969024022441904,7.423287698047115,2.0,200.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.6674566911286224,0.0,1.0,0.0,False,True,True,False
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,6.794819706229846,6.131074170421369,7.706547800431137,7.423287698047115,2.0,400.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.2047851789115607,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,16.41471314381515,13.983310721343747,19.763053837107655,7.423287698047115,2.5,50.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,2.91314158482232,0.0,1.0,0.0005,True,True,True,True
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,14.475409441393388,12.402030072768467,17.328802252764856,7.423287698047115,2.5,100.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,2.568534217987673,0.0,1.0,0.0005,True,True,True,True
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,11.071932078238397,9.63088523101678,13.061818878476952,7.423287698047115,2.5,200.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.9642878658346108,0.0,1.0,0.0005,True,True,True,True
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,7.813790417698691,6.962779639414752,8.982900027315631,7.423287698047115,2.5,400.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.3859484755632838,0.0,1.0,0.0005,False,False,True,False
tap_cell,high,,,,,,,5.5,True,,,,,,,,,,,5.428539962644756,5.011749149901269,6.003100410460085,7.423287698047115,0.5,50.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,0.9616001849876765,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,5.5,True,,,,,,,,,,,4.987787481790838,4.650552012913748,5.4501353585003205,7.423287698047115,0.5,100.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,0.8835720351484995,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,5.5,True,,,,,,,,,,,4.294636487571856,4.073749978333654,4.589258763404809,7.423287698047115,0.5,200.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,0.7602331595466334,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,5.5,True,,,,,,,,,,,3.6712385675346457,3.521720799434912,3.8242092055361656,7.423287698047115,0.5,400.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,0.648480749402693,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,5.5,True,,,,,,,,,,,8.132431578858569,7.225956017551163,9.3867251427833,7.423287698047115,1.0,50.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.4430683776706845,0.0,1.0,0.0,False,True,True,False
tap_cell,high,,,,,,,5.5,True,,,,,,,,,,,7.25750223184288,6.508221882126135,8.280123604264435,7.423287698047115,1.0,100.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.2870120779923304,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,5.5,True,,,,,,,,,,,5.871173402494144,5.376597771056056,6.5547890320410485,7.423287698047115,1.0,200.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.0403343267885983,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,5.5,True,,,,,,,,,,,4.61085744657071,4.341088175503255,4.979383604800623,7.423287698047115,1.0,400.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,0.8168295065007176,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,5.5,True,,,,,,,,,,,10.847446896917472,9.448145722920195,12.781134566162654,7.423287698047115,1.5,50.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.9245365703536925,0.0,1.0,0.0,True,True,True,True
tap_cell,high,,,,,,,5.5,True,,,,,,,,,,,9.525703806449453,8.367139622933566,11.131099083368522,7.423287698047115,1.5,100.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.6904521208361614,0.0,1.0,0.0,False,True,True,False
tap_cell,high,,,,,,,5.5,True,,,,,,,,,,,7.444743015412175,6.660445281061338,8.515553369764511,7.423287698047115,1.5,200.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.3204354940305634,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,5.5,True,,,,,,,,,,,5.560642362254388,5.121948404436291,6.171857971798881,7.423287698047115,1.5,400.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,0.9851782635987423,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,5.5,True,,,,,,,,,,,13.558952042553424,11.660716625323989,16.1841115512682,7.423287698047115,2.0,50.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,2.4060047630367007,0.0,1.0,0.0,True,True,True,True
tap_cell,high,,,,,,,5.5,True,,,,,,,,,,,11.798296525622295,10.226444345023026,13.976986076269855,7.423287698047115,2.0,100.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,2.0938921636799925,0.0,1.0,0.0,True,True,True,True
tap_cell,high,,,,,,,5.5,True,,,,,,,,,,,9.020445333471905,7.952423031174132,10.501354378403164,7.423287698047115,2.0,200.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.6005366612725282,0.0,1.0,0.0,False,True,True,False
tap_cell,high,,,,,,,5.5,True,,,,,,,,,,,6.506558344541494,5.896527846039315,7.345067293779694,7.423287698047115,2.0,400.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.153527020696767,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,5.5,True,,,,,,,,,,,16.270468611039533,13.8653881594955,19.581734727087238,7.423287698047115,2.5,50.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,2.8874729557197094,0.0,1.0,0.0005,True,True,True,True
