year,ssp_label,component,p05,p50,p95
2100,SSP2-4.5,ais,7.3552904497409815,43.05312306622717,73.20849585541544
2100,SSP2-4.5,gsic,5.736268580672711,6.270734519493066,7.317747721822909
2100,SSP2-4.5,gis,5.183536794455205,7.416791047449118,10.645344938407131
2100,SSP2-4.5,te,17.06980037221315,18.453586086674726,19.71206401072423
2100,SSP2-4.5,lws,2.4206389123761967,2.4206389123761967,2.4206389123761967
2000,SSP4-6.0,ais,-0.17658596720474934,-0.1653777945122093,-0.15576036718501676
2000,SSP4-6.0,gsic,-0.371227949538791,-0.33809378305117155,-0.3122446668359534
2000,SSP4-6.0,gis,-0.30886421709498274,-0.2581121142758658,-0.21466509527132266
2000,SSP4-6.0,te,-0.6641222549530192,-0.6217226768939361,-0.5751013343211828
2000,SSP4-6.0,lws,0.0,0.0,0.0
2010,SSP4-6.0,ais,0.17062017990293865,0.18075427150047252,0.19216850905989732
2010,SSP4-6.0,gsic,0.37458444980549604,0.4040427694414733,0.4409650735234245
2010,SSP4-6.0,gis,0.2596556514038876,0.3098647184633908,0.3674925891618094
2010,SSP4-6.0,te,0.6739525592657557,0.7285874058017986,0.7782748303292275
2010,SSP4-6.0,lws,0.0,0.0,0.0
2020,SSP4-6.0,ais,0.5964484367533097,0.6343154459537848,0.6775470583522424
2020,SSP4-6.0,gsic,1.0628121870009541,1.1510934292742845,1.2666482613127439
2020,SSP4-6.0,gis,0.749311391726599,0.9153358004557763,1.1139681445864629
2020,SSP4-6.0,te,2.0931771710296685,2.2628633187260982,2.4171836507408364
2020,SSP4-6.0,lws,0.09385972231300435,0.09385972231300435,0.09385972231300435
2030,SSP4-6.0,ais,1.1002865367432957,1.1719883641582034,1.2519637025997508
2030,SSP4-6.0,gsic,1.7545915861222015,1.9058616805099098,2.11550483902567
2030,SSP4-6.0,gis,1.2568502002577406,1.5687427730763703,1.9582773401280769
2030,SSP4-6.0,te,3.6431355863551276,3.9384711421505703,4.207062784101484
2030,SSP4-6.0,lws,0.4531578703830876,0.4531578703830876,0.4531578703830876
2040,SSP4-6.0,ais,1.6811047972988367,1.7968722634010597,1.922073696610381
2040,SSP4-6.0,gsic,2.4312302450239347,2.644097315560318,2.9584398579675244
2040,SSP4-6.0,gis,1.779942862669771,2.271764272562873,2.9038719399833552
2040,SSP4-6.0,te,5.363856226774994,5.798684254003681,6.194136719877866
2040,SSP4-6.0,lws,0.7080858226014781,0.7080858226014781,0.7080858226014781
2050,SSP4-6.0,ais,2.3635791248522753,2.5462649888105604,6.38829248450009
2050,SSP4-6.0,gsic,3.0871673537086477,3.3626803327220527,3.7907908563632287
2050,SSP4-6.0,gis,2.3219223069094417,3.031035027887214,3.9683272851542295
2050,SSP4-6.0,te,7.299677148839235,7.891435033435725,8.42960667834007
2050,SSP4-6.0,lws,0.9245651352694719,0.9245651352694719,0.9245651352694719
2060,SSP4-6.0,ais,3.175122451691244,3.49545420625421,19.925775423758065
2060,SSP4-6.0,gsic,3.713705088137603,4.04947190715666,4.606450329582485
2060,SSP4-6.0,gis,2.8829076975665155,3.8532961829986316,5.17426349230876
2060,SSP4-6.0,te,9.407422562120644,10.17004758804402,10.863613614504768
2060,SSP4-6.0,lws,1.2062826410858545,1.2062826410858545,1.2062826410858545
2070,SSP4-6.0,ais,4.160541199448556,10.551988452859321,33.538871187491004
2070,SSP4-6.0,gsic,4.303350356941131,4.697281459254797,5.385042240742992
2070,SSP4-6.0,gis,3.4551951869204443,4.732595219008027,6.516027570479344
2070,SSP4-6.0,te,11.665397061139638,12.611067745900787,13.471103853916082
2070,SSP4-6.0,lws,1.5035601826017377,1.5035601826017377,1.5035601826017377
2080,SSP4-6.0,ais,5.390825859049392,24.256649782751694,47.254344780387754
2080,SSP4-6.0,gsic,4.852098925519645,5.299337981006924,6.134750092483307
2080,SSP4-6.0,gis,4.0487574798469135,5.6725759938622335,7.985096874789007
2080,SSP4-6.0,te,14.013517436259994,15.149541573321436,16.18269380400154
2080,SSP4-6.0,lws,1.8377209794114082,1.8377209794114082,1.8377209794114082
2090,SSP4-6.0,ais,8.272295232056774,38.04418803686626,61.05185369702644
2090,SSP4-6.0,gsic,5.357633420563472,5.856764424393591,6.828658091515559
2090,SSP4-6.0,gis,4.652845967189944,6.661650633592061,9.58901749952171
2090,SSP4-6.0,te,16.43244941681327,17.764567441673933,18.976056409218234
2090,SSP4-6.0,lws,2.1314770767442055,2.1314770767442055,2.1314770767442055
2100,SSP4-6.0,ais,22.323419187680887,51.90855683515976,74.92377745751972
2100,SSP4-6.0,gsic,5.814333620753063,6.367948380715036,7.478469962179748
2100,SSP4-6.0,gis,5.261881825481242,7.694600810716256,11.274119551618424
2100,SSP4-6.0,te,18.851214009320948,20.37941235244978,21.769225716107027
2100,SSP4-6.0,lws,2.380585460653729,2.380585460653729,2.380585460653729
2000,SSP3-7.0,ais,-0.17658596720474934,-0.1653777945122093,-0.15576036718501676
2000,SSP3-7.0,gsic,-0.371227949538791,-0.33809378305117155,-0.3122446668359534
2000,SSP3-7.0,gis,-0.30886421709498274,-0.2581121142758658,-0.21466509527132266
2000,SSP3-7.0,te,-0.6641222549530192,-0.6217226768939361,-0.5751013343211828
2000,SSP3-7.0,lws,0.0,0.0,0.0
