post_idx,ais_1850,ais_1900,ais_2018,ais_2024,gis_1850,gis_1900,gis_2018,gis_2024,gsic_1850,gsic_1900,gsic_2018,gsic_2024,te_1850,te_1900,te_2018,te_2024,lws_1850,lws_1900,lws_2018,lws_2024,total_1850,total_1900,total_2018,total_2024
39,-2.3158240888642116,-2.1996130957905202,0.4537267121584865,0.6137854011490695,0.2689864593740765,-0.06368835664405381,0.754570540290711,1.239044017222568,-3.576345500475167,-3.175857479429166,1.3794108532138847,1.9757657172335505,-1.4116858344595962,-1.5580060405866385,1.004307689341749,1.1546404054856032,0.0,0.0,0.0,0.08491570176669638,-7.034868964424899,-6.997164972450379,3.59201579500483,5.068151242857488
40,-6.314049368376094,-5.116997331720185,0.4799183431799414,0.5562831980843286,-0.02227404318277948,-0.08069647349699949,0.8297984681919779,1.4074545093847313,-3.6823083573515687,-3.2692286800935473,1.415300233257069,2.0260588740519863,-1.567911211268936,-1.7304240636484398,1.1154502278372163,1.2824196379628692,0.0,0.0,0.0,0.08491570176669638,-11.586542980179376,-10.197346548959171,3.840467272466208,5.357131921250616
41,-7.43752350623866,-4.7204283281049975,0.579308925696953,0.7205580699228942,-0.20572279564854412,0.04297133552055854,0.8553448250621543,1.5171591244113714,-3.5884697826345797,-3.186745848119197,1.3842584473843567,1.9826254532615273,-1.4022049329218875,-1.5475424505261668,0.99756274504622,1.1468858245946894,0.0,0.0,0.0,0.08491570176669638,-12.633921017443672,-9.411745291229803,3.8164749431896836,5.45214417395718
42,-2.3685072907693505,-4.383802440670181,0.7008734361404367,0.9146813871097947,-0.30428208830972636,-0.2999807252852982,0.7004013718658442,1.1631778012074712,-3.2653790101590183,-2.901694098421052,1.2703503312651563,1.8214866612689549,-1.8504197473185147,-2.0422144032115104,1.3164336818986413,1.513487884632853,0.0,0.0,0.0,0.08491570176669638,-7.788588136556611,-9.627691667588042,3.9880588211700765,5.497749435985769
43,-5.461725927562246,-3.8402513796458426,0.6154265920109148,0.805141038261048,-0.34143119394256516,-0.17063291706227446,0.7883649969368633,1.3577564682822008,-3.8811279852480833,-3.4464108255281998,1.495150909156552,2.1409265371908557,-1.6419613252053185,-1.8121494178333357,1.1681312826495331,1.3429864096160573,0.0,0.0,0.0,0.08491570176669638,-11.326246431958213,-9.269444540069651,4.067073780753863,5.731726155116862
44,-12.366342307425993,-5.5672892496625215,0.7327600885307151,1.1605129423497673,-1.2254793431639932,-1.1197808320289049,0.6479973736276179,0.9682528072143981,-3.523587910701874,-3.1340617527424794,1.3869097360864395,1.9914622958304384,-1.4078209082155038,-1.553740517558971,1.0015580866674645,1.1514792205415334,0.0,0.0,0.0,0.08491570176669638,-18.523230469507364,-11.374872351992876,3.7692252849122365,5.356622967702837
45,-4.643883363823982,-4.5286583484796195,0.7752815704121341,1.024549589762347,-0.10502687089779528,0.035588476459658125,0.903129924975854,1.5817176835655644,-3.3237516493424595,-2.959313705473407,1.3255538886066967,1.9065602830210873,-1.4505728787825023,-1.6009236986637567,1.0319728799074808,1.1864467405277948,0.0,0.0,0.0,0.08491570176669638,-9.523234762846743,-9.053307276157128,4.035938263902161,5.784189998643488
46,-8.919485196865793,-5.675992662364848,0.6296778873296605,0.7661752198506178,3.6852990613573056,1.7488898446897494,0.8358596423597042,1.4028931883503404,-3.6926295795344877,-3.282731338333923,1.44331457690847,2.0704866849473382,-1.5726567686685191,-1.735661494607952,1.1188263329664705,1.2863011052032118,0.0,0.0,0.0,0.08491570176669638,-10.499472483711495,-8.945495650616971,4.027678439564306,5.610771900118207
47,-13.579206586185972,-6.480877851077549,0.8182375891950477,1.0271310456782423,-0.011835100376700325,0.20822162617299966,0.8341713335723533,1.5004084752164637,-3.443359861548924,-3.0626331604455768,1.354973931207687,1.9455498382650218,-1.5537596470593682,-1.7148057001400374,1.1053824603460736,1.2708448474263896,0.0,0.0,0.0,0.08491570176669638,-18.58816119517096,-11.050095085490163,4.11276531432116,5.828849908352818
48,2.341402845016577,-1.6903313681833398,0.5929775009319793,0.8530958060068539,0.910898042452235,0.3690672345703305,0.7332334206902935,1.233309323759535,-3.683376440329468,-3.2716013517155758,1.424120966392945,2.040319533440361,-1.4815686940079917,-1.6351322075085772,1.0540240578739233,1.2117987131740424,0.0,0.0,0.0,0.08491570176669638,-1.9126442468686486,-6.227997692837162,3.804355945889141,5.423439078147489
49,-3.568051396029295,-3.6478046208902937,0.5510308498987482,0.7131650242501397,0.09484074507080109,0.14358840916193216,0.9067001007136533,1.5893780011912106,-3.787095824281999,-3.363634810323203,1.4626937486113822,2.0950691446896235,-1.7204803828269304,-1.8988069184538463,1.2239916528567956,1.407208401731805,0.0,0.0,0.0,0.08491570176669638,-8.980786858067425,-8.76665794050541,4.1444163520805795,5.889736273629473
50,-0.9741270081179566,-3.7009281202891153,0.46619545655433026,0.5868549215563901,-0.3417576303031744,-0.3307326873624561,0.6926686114273828,1.1462504618192426,-3.528544645517942,-3.1369418319844673,1.379551648047149,1.9790629674568807,-1.4136564993964096,-1.5601809635054495,1.0057096683804592,1.1562522438324736,0.0,0.0,0.0,0.08491570176669638,-6.258085783335485,-8.72878360314149,3.544125384409319,4.953336296431682
