name,index,comp,mu,sigma,lo,hi,prior_form,note,provenance,p05,p50,p95,mean,description,units
gis_slow_w,12,likelihood_only,0.9328151097655012,1000.0,0.0,1.0,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.0499753103510051,0.44158721853199956,0.9256335823336472,0.46008290979189986,Slow (discharge) channel: temperature-dependent fraction of the rate,–
gis_amp,13,likelihood_only,1.9221976385152952,0.3181243343729514,1.5101657793813976,2.2846646737809513,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,1.5776555758952415,1.910623008634968,2.2307123361308405,1.909940355311187,Southern-Greenland/global warming ratio,–
gis_s_high,14,greenland_icesheet,0.0,0.5,-2.0,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,-0.7758318101912133,-0.5573315728113283,-0.3611950881616381,-0.5613897211628861,log₁₀ rate scale of the high basin (NO+NE) relative to the active basin,log₁₀(–)
thermal_alpha,15,thermal_expansion,0.16,1000.0,0.05,0.3,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.14866246388794863,0.16688169790326635,0.18596545989554614,0.16696864240391251,Thermal expansion coefficient α,kg m⁻³ °C⁻¹
gic_a_R19,16,glaciers_small_icecaps,0.069,0.018,0.01,0.141,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.038940758649138506,0.06732813930853371,0.09573475685485493,0.06743081757371205,"Committed-loss scale a, RGI 19",m SLE
gic_b_R19,17,glaciers_small_icecaps,0.768973947986,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.19126118262555855,0.7194207500130008,2.4589238622536427,0.9380472168036793,"Equilibrium temperature sensitivity b, RGI 19",K⁻¹ (glacier frame)
gic_T_off_R19,18,glaciers_small_icecaps,0.162195920935,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,-3.2399496353173274,-0.16053607797069075,0.702893475179427,-0.5689865419971599,"Equilibrium temperature offset T_off, RGI 19","K rel. 1850–1900, glacier frame"
gic_log10_kappa_R19,19,glaciers_small_icecaps,-2.7735015084073384,0.114,-3.906900780980522,-1.6567771449058029,"N(k10c(gic_amp_R19), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.774,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,-3.001688203739766,-2.782777786412274,-2.5660927721804185,-2.782949354068739,"log₁₀ of the response-rate constant κ, RGI 19",log₁₀(yr⁻¹ K⁻ν)
gic_a_SLOWP,20,glaciers_small_icecaps,0.145920024267,0.0327892146787,0.0332566214715,0.2770768829818,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.09193495560773703,0.1324444345908603,0.1767770241276696,0.13306673006255623,"Committed-loss scale a, SLOWG",m SLE
gic_b_SLOWP,21,glaciers_small_icecaps,0.269493082055,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.11410215708749599,0.1714476361225723,0.28699533215540673,0.1822672929866554,"Equilibrium temperature sensitivity b, SLOWG",K⁻¹ (glacier frame)
gic_T_off_SLOWP,22,glaciers_small_icecaps,0.342896725929,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,-3.874972996444026,-2.7374013468014033,-0.9816609039991291,-2.625355562085603,"Equilibrium temperature offset T_off, SLOWG","K rel. 1850–1900, glacier frame"
gic_log10_kappa_SLOWP,23,glaciers_small_icecaps,-3.4077329224195196,0.114,-4.748442048628195,-2.1692365340734474,"N(k10c(gic_amp_SLOWP), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -3.408,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,-3.6964869793022714,-3.4850850977349412,-3.259763039054179,-3.4806027702430993,"log₁₀ of the response-rate constant κ, SLOWG",log₁₀(yr⁻¹ K⁻ν)
