scenario,component,module,year,med,p05,p17,p83,p95,n,unit
ssp245,lws,ssp-lws,2040,0.5353607416152955,-0.36272907257080084,0.022298642531037347,0.990573947906494,1.3657657575607298,200,cm rel 2005
ssp245,lws,ssp-lws,2050,0.9088268756866456,-0.20825464248657222,0.2953150315284731,1.5110720510482787,1.9083002376556384,200,cm rel 2005
ssp245,lws,ssp-lws,2060,1.3167989730834964,-0.0017596749932272014,0.5611396880149843,2.051528366088867,2.633675041198731,200,cm rel 2005
ssp245,lws,ssp-lws,2070,1.7685068130493165,0.21956522822380067,0.8349948797225952,2.6770476989746093,3.3040460586547846,200,cm rel 2005
ssp245,lws,ssp-lws,2080,2.220581817626953,0.4195270454883576,1.1203073663711551,3.2577320823669433,4.000606842041016,200,cm rel 2005
ssp245,lws,ssp-lws,2090,2.6663787841796878,0.6403943729400637,1.4158745260238648,3.8816912956237792,4.641501712799072,200,cm rel 2005
ssp245,lws,ssp-lws,2100,3.1142893791198736,0.808569600582123,1.7047377243041995,4.498165267944336,5.28630916595459,200,cm rel 2005
ssp245,lws,ssp-lws,2110,3.533946609497071,0.9713318920135501,1.974380859375,5.072295124053955,5.933432922363281,200,cm rel 2005
ssp245,lws,ssp-lws,2120,3.9656139373779298,1.1327778339385988,2.2312867488861086,5.626837230682374,6.58329532623291,200,cm rel 2005
ssp245,lws,ssp-lws,2130,4.402167510986328,1.294134945869446,2.491724657058716,6.196926460266114,7.212662315368653,200,cm rel 2005
ssp245,lws,ssp-lws,2140,4.8072753906250005,1.4531981563568117,2.7816267642974855,6.736857116699219,7.838072471618652,200,cm rel 2005
ssp245,lws,ssp-lws,2150,5.196758460998535,1.611032886505127,3.063929901123047,7.269112739562988,8.485459442138673,200,cm rel 2005
ssp245,total,wf1e,2020,5.456344985961914,4.462195262908936,4.8653711967468265,6.105791091918945,6.579567031860352,200,cm rel 2005
ssp245,total,wf1e,2030,9.527403640747071,7.966227836608887,8.50085897064209,10.804689857482911,11.84691864013672,200,cm rel 2005
ssp245,total,wf1e,2040,14.04690933227539,11.389854278564455,12.414278694152832,15.926032012939453,17.5385610961914,200,cm rel 2005
ssp245,total,wf1e,2050,19.452057647705082,15.728682174682618,17.054171340942386,22.684923721313478,24.775177001953125,200,cm rel 2005
ssp245,total,wf1e,2060,25.194644165039065,19.990090942382814,21.87126969909668,29.040617248535156,31.624246520996092,200,cm rel 2005
ssp245,total,wf1e,2070,31.516087341308598,22.821375961303712,26.127093872070315,36.351233489990236,40.73472854614256,200,cm rel 2005
ssp245,total,wf1e,2080,37.25993041992187,27.393200378417973,32.271218597412116,43.56392752075195,49.397136535644535,200,cm rel 2005
ssp245,total,wf1e,2090,43.84269714355469,32.07221328735351,36.74325576782227,52.517020446777344,59.096737976074216,200,cm rel 2005
ssp245,total,wf1e,2100,51.179089355468754,33.33651962280274,42.06135549926758,61.87601055908203,66.97105834960938,200,cm rel 2005
ssp245,total,wf1f,2020,5.894384384155273,4.806719512939454,5.212236404418945,6.618924575805664,7.310803337097167,200,cm rel 2005
ssp245,total,wf1f,2030,9.718478393554689,7.630501365661622,8.424803054809571,11.193699577331543,12.488203659057616,200,cm rel 2005
ssp245,total,wf1f,2040,13.972206115722656,10.640089111328127,11.914461280822755,16.25300390625,18.29447120666504,200,cm rel 2005
ssp245,total,wf1f,2050,19.095095062255858,14.294473800659182,16.00539358520508,22.118364135742187,24.910524139404295,200,cm rel 2005
ssp245,total,wf1f,2060,24.38133926391602,18.081000137329102,20.456275650024416,28.573088653564454,32.15125915527343,200,cm rel 2005
ssp245,total,wf1f,2070,30.17792510986328,21.978283309936526,24.86417041015625,35.473691162109375,40.086015624999995,200,cm rel 2005
ssp245,total,wf1f,2080,36.18439483642578,26.007669830322268,29.361969512939456,42.78086679077148,48.69250640869141,200,cm rel 2005
ssp245,total,wf1f,2090,42.451303100585946,30.555881195068363,33.85244845581055,50.31291226196289,57.79963592529297,200,cm rel 2005
ssp245,total,wf1f,2100,48.682986450195315,34.788538513183596,39.00409555053711,58.14907543945313,66.78571228027344,200,cm rel 2005
ssp245,total,wf1f,2110,54.844494628906254,38.91446884155273,43.47490063476563,65.96883245849608,75.78152404785156,200,cm rel 2005
ssp245,total,wf1f,2120,60.992712402343756,42.68402618408203,47.8151962890625,74.16604034423828,84.87314178466796,200,cm rel 2005
ssp245,total,wf1f,2130,67.3433624267578,46.753398284912116,52.49630114746094,82.40088323974611,94.0750796508789,200,cm rel 2005
ssp245,total,wf1f,2140,73.75241394042969,50.5132667541504,57.09612066650391,90.80802014160157,103.61257995605469,200,cm rel 2005
ssp245,total,wf1f,2150,80.04207153320314,54.00584899902344,61.94434643554688,99.30250323486328,113.41796997070313,200,cm rel 2005
ssp245,total,wf2e,2020,5.536162185668946,4.40562126159668,4.870397464752197,6.55143743133545,7.89234794616699,200,cm rel 2005
ssp245,total,wf2e,2030,9.955164337158205,7.848960762023926,8.596367248535158,11.939499542236328,14.863618469238281,200,cm rel 2005
ssp245,total,wf2e,2040,14.93569793701172,10.730959205627443,12.659993339538575,18.340658126831055,22.891549987792963,200,cm rel 2005
ssp245,total,wf2e,2050,21.149982452392578,15.786430511474611,17.40265090942383,26.25435583496094,33.86474411010742,200,cm rel 2005
ssp245,total,wf2e,2060,27.524096679687503,20.364418716430663,22.675928756713873,34.136611419677735,43.00880523681641,200,cm rel 2005
ssp245,total,wf2e,2070,34.10664367675781,25.041767883300782,28.33207196044922,43.008305053710934,53.99618621826171,200,cm rel 2005
ssp245,total,wf2e,2080,41.53971252441407,29.549595489501957,34.73644131469727,52.421600097656246,68.43325561523433,200,cm rel 2005
ssp245,total,wf2e,2090,48.754963684082036,34.5286849975586,40.54761254882813,65.22240307617187,83.67619659423826,200,cm rel 2005
ssp245,total,wf2e,2100,57.095062255859375,38.07895309448243,45.63274832153321,74.46622088623047,94.73683807373044,200,cm rel 2005
ssp245,total,wf2f,2020,6.195199394226075,4.906466884613037,5.381291076660157,7.239772430419922,8.668542900085448,200,cm rel 2005
ssp245,total,wf2f,2030,10.277005767822267,7.946681289672852,8.929691864013673,12.519210021972656,15.054517898559565,200,cm rel 2005
ssp245,total,wf2f,2040,15.081673431396485,11.393099861145021,12.856691787719729,18.865370819091797,23.157574768066407,200,cm rel 2005
ssp245,total,wf2f,2050,20.760713958740237,15.671528396606446,17.44999418640137,26.164091461181638,32.961738739013676,200,cm rel 2005
ssp245,total,wf2f,2060,27.039794921875,20.28009803771973,22.534817321777346,34.68375,43.29031433105468,200,cm rel 2005
