draw,obs_iid_ais,obs_iid_gsic,obs_iid_gis,obs_iid_steric,obs_iid_fit,obs_iid_total,ar1_prof_ais,ar1_prof_ais_sd,ar1_prof_ais_rho,ar1_prof_gsic,ar1_prof_gsic_sd,ar1_prof_gsic_rho,ar1_prof_gis,ar1_prof_gis_sd,ar1_prof_gis_rho,ar1_prof_steric,ar1_prof_steric_sd,ar1_prof_steric_rho,ar1_prof_fit,ar1_prof_total,model
191,93.19320251814746,-22.99413732878935,-45.37695326563609,-1160.962799786263,-1136.140687862541,-170.57995194103265,113.5393982266081,0.017557617325621045,0.9828770512067894,-5.542172678904166,0.04940920982688378,0.9899999999212219,101.37081037985435,0.026599251200953283,0.9871417872243444,7.813885231847351,0.0801112663036491,0.9899999869755788,217.18192115940565,-167.58613279718003,ladrillo
196,30.09379295933961,2.0928432460385977,-14.870999765701285,-302.7061168204016,-285.3904803807246,-166.87152185648958,111.58563345736555,0.02169304652260164,0.9899999999881941,3.079803330350572,0.014356833910533261,0.9453363520748046,103.46571993346804,0.023869527654073523,0.9870409056835812,10.608594343972484,0.07072177836752536,0.9899999998682292,228.7397510651566,-166.54735941426472,ladrillo
201,-4.158672868484288,4.041785580911366,-135.3642554864,-972.9674691228569,-1108.4486118968298,-165.9854056831789,110.12046649427124,0.02399175306455847,0.9899999999751019,5.3324854469619964,0.018214457945241073,0.9726712682804003,99.81745341939522,0.02890315139640842,0.9899999998942242,8.460974250533397,0.07810000018071922,0.9896819970598678,223.73137961116186,-165.7844051956395,ladrillo
206,97.34967595524508,-24.337123505341367,-120.38230695281918,-561.2121526498186,-608.5819071527341,-167.9982512723955,114.81315672516261,0.018042606175098678,0.9612265621417315,-5.033735108698735,0.048601105022645,0.9899999999968654,100.6553661548444,0.027017999408230207,0.9899999999133977,9.870452789845771,0.07325045117897745,0.9899999995022544,220.30524056115405,-166.8942903981104,ladrillo
211,100.84278804892311,6.132218817862125,-277.33419020931194,-928.3567215613903,-1098.715904903917,-163.4771799803167,114.38027689969091,0.01869000795818313,0.9410773589111985,6.132218817862125,1.2210086763401857e-09,0.14466796875000087,97.45707574213513,0.03128578869136726,0.989999999938381,8.615639404730388,0.07760952654523866,0.9896240362937896,226.58521086441854,-163.4694728754885,ladrillo
216,82.4999087689341,-23.677319284526703,-296.69371301251755,-225.9118847645122,-463.78300829262236,-168.51463393228863,114.21108414316838,0.01864245493481888,0.9749915048493829,1.2543973230446852,0.03839854172046878,0.9899999999954101,98.35803806080268,0.030740820666668757,0.9899999999794769,10.720324637776386,0.07037110266448958,0.9899999999247688,224.54384416479212,-166.1957752574598,ladrillo
221,91.53206336267304,-2.4008138755633865,-141.8500514472235,-1869.7766044781567,-1922.4954064382705,-199.7322456359026,113.7540410666059,0.017483959539731624,0.9819851443226666,3.076312678558992,0.029170803528732674,0.9871230004151377,99.44878132607711,0.029360086825967337,0.9899999999786369,5.496814217995777,0.08749295305086785,0.9899999997361693,221.77594928923776,-171.56212206127893,ladrillo
226,44.23856268159257,-1.7378016001899255,-100.17885991332538,-948.609751536009,-1006.2878503679317,-171.07000727667946,111.65633156379438,0.021092421720926832,0.9899999999835283,2.083113253782841,0.022166436297175903,0.9646659339967422,101.12084352068577,0.02684356173506798,0.9899999997521375,8.545397741353455,0.07783355613925294,0.9896471894008245,223.40568607961643,-167.52369576551882,ladrillo
231,91.36418903960869,4.420077484173547,-34.38667752847833,-623.197126754786,-561.7995377594822,-163.18642083138838,114.55700945385293,0.01923110362364766,0.9520782902089622,5.671431378556832,0.018268500710800786,0.9760354553873656,102.7780897847682,0.024560131804618815,0.9899999994784301,9.664775700692374,0.07395285016027656,0.9899999886921156,232.67130631787035,-163.18642083138838,ladrillo
236,75.86162318206114,-6.438420909746156,-21.961458397548128,-731.2839936747015,-683.8222497999346,-172.74591818682364,113.82725971002255,0.01873066260060209,0.9814178900315788,2.7314320743424503,0.031062552579427253,0.9895523295540569,101.18105247096797,0.02674190039578866,0.9855835881756126,9.297386767649229,0.07530774863280787,0.9896971297545414,227.03713102298218,-167.94256748127924,ladrillo
241,72.29148068564926,-2.398320042366379,-108.67240601518388,-1103.8130370970568,-1142.5922824689578,-163.97628428408441,113.55023806285054,0.018688730623079998,0.9855017567558846,3.2616975635777834,0.025746347597349666,0.9681667131034271,98.9627280924244,0.02992193712987448,0.9874270535018925,8.009501492143698,0.07948540163867898,0.9899645852884124,223.7841652109964,-163.9741783372025,ladrillo
246,47.467304058908,-29.841450913538694,-172.38692797551107,-590.1473751854104,-744.9084500155521,-167.22161995297742,111.62827393610131,0.02099741016746284,0.9899999999982313,-5.887957365427951,0.05043437290878826,0.9899999998901725,98.05838840648924,0.031140155617617078,0.9899999999328603,9.775079529405659,0.07358266009676934,0.9899999850148492,213.57378450656824,-167.07656135874902,ladrillo
251,-33.63691074627103,-5.346059965102825,-97.21138842771218,-497.2413627118209,-633.4357218509069,-179.67455520613623,105.87188318654857,0.028556747889509307,0.9899999999934216,-1.6537007667071748,0.036231195385025936,0.9899999999970417,100.18788890743154,0.028391568023844686,0.987390462117495,10.076029723477774,0.07254570789493599,0.9899999994392972,214.4821010507507,-170.8985303635104,ladrillo
256,58.79325459672752,0.5220220928143249,-164.63368172570398,-569.586529919199,-674.9049349553612,-163.1762021269463,111.28616194070015,0.02079681362139323,0.9899999999888287,4.156077137869659,0.025587764258804317,0.9868133210704451,100.70810282589797,0.02793414682889245,0.9899999999703202,9.84297942965462,0.07334611018430043,0.9899999989875368,225.9933213341224,-163.1762021269463,ladrillo
261,89.0229083325216,-3.552774492712402,-51.77578992707781,-704.7015049301393,-671.007161017408,-163.53203608931784,114.64625185764426,0.01889032855958663,0.9615074797709457,2.4169639792142874,0.030585804073994916,0.9865037709871444,102.97345667327933,0.024734321337724317,0.9874083190403998,9.388448644273637,0.07497923281020051,0.9897560714539237,229.4251211544115,-163.53203608931784,ladrillo
266,58.35413208169378,-0.23820306111903733,-217.71297116135418,-1236.268447896854,-1395.8654900376334,-163.2016749027106,112.08861165318417,0.02016226893106575,0.9899999996073743,0.6126275419311185,0.02446228579221189,0.9899999999098799,99.56590185430672,0.02966174353337646,0.9899999999767786,7.557795744322135,0.08094127926424832,0.9899999999510467,219.82493679374414,-163.2016749027106,ladrillo
271,-40.81687775937492,-6.83438241557252,-318.2876289455435,-403.4003528377824,-769.3392419582733,-162.87461962974342,108.00732764337538,0.026737939073203692,0.9899999999913138,-2.721390205704907,0.03911103242745692,0.9899999999998267,98.21498488729254,0.031318899315141355,0.9899999999492942,10.357372689636733,0.07157796719619766,0.9899999999244065,213.85829501459978,-162.87461962974342,ladrillo
