year,dt_glob,secant,slope,model,scenario
2065.5,1.5652935176373737,1.5997663173178256,1.5977816046634392,INM-CM4-8,ssp126
2066.5,1.5640684840098875,1.6383318424822026,1.6343236624099653,INM-CM4-8,ssp126
2067.5,1.5622141296634349,1.6488444489222471,1.644594210490359,INM-CM4-8,ssp126
2068.5,1.5649687777313053,1.6433818286143949,1.6392588811032542,INM-CM4-8,ssp126
2069.5,1.565605223214292,1.6107143546023055,1.6071008664677813,INM-CM4-8,ssp126
2070.5,1.5637060002621335,1.6549277177017312,1.6495633277989785,INM-CM4-8,ssp126
2071.5,1.5627091684951704,1.7061668830293457,1.6984212958014395,INM-CM4-8,ssp126
2072.5,1.5609811905042534,1.7418206739766817,1.7344969306922602,INM-CM4-8,ssp126
2073.5,1.5574530558135848,1.7543435517663657,1.7464425089574858,INM-CM4-8,ssp126
2074.5,1.55431379450006,1.7641260471946523,1.7576419233369276,INM-CM4-8,ssp126
2075.5,1.5488835540858361,1.7508598334526073,1.7445869778639538,INM-CM4-8,ssp126
2076.5,1.5435663532500408,1.7525351927187638,1.7458089198630846,INM-CM4-8,ssp126
2077.5,1.5397395367697149,1.7521461956845468,1.7474311775227256,INM-CM4-8,ssp126
2078.5,1.5337695358913492,1.724813449615982,1.7197435370954952,INM-CM4-8,ssp126
2079.5,1.5296359602802283,1.727405966436515,1.7219591513043635,INM-CM4-8,ssp126
2080.5,1.5246874185365848,1.6894776240689282,1.6858034537660986,INM-CM4-8,ssp126
2081.5,1.5195852907073497,1.7078796886895118,1.7028757413599702,INM-CM4-8,ssp126
2082.5,1.5130962035714883,1.7354920629272736,1.7307067319306269,INM-CM4-8,ssp126
2083.5,1.5083096048484834,1.711918600656737,1.705911163102639,INM-CM4-8,ssp126
2084.5,1.5033385493999238,1.6945198638311347,1.6907965440993014,INM-CM4-8,ssp126
2085.5,1.4999560183857625,1.6674630927906011,1.6664497417148194,INM-CM4-8,ssp126
1988.5,0.5163459196584143,1.3471892157870335,1.3046935305281149,INM-CM4-8,ssp245
1989.5,0.5400886120970786,1.3739292533052165,1.371417841750624,INM-CM4-8,ssp245
1990.5,0.5572677059807745,1.3899218550963228,1.3817659778067968,INM-CM4-8,ssp245
1991.5,0.5742392699048385,1.4517045229304695,1.4369284820760175,INM-CM4-8,ssp245
1992.5,0.5910444702806539,1.4641957438102233,1.4364475946974802,INM-CM4-8,ssp245
1993.5,0.608587837896016,1.394073285351553,1.3557016609671153,INM-CM4-8,ssp245
1994.5,0.6241907660717004,1.5220377328251793,1.461461615185721,INM-CM4-8,ssp245
1995.5,0.6432624868380894,1.53076588083217,1.4714484646573411,INM-CM4-8,ssp245
1996.5,0.6608767950845447,1.5692799136164581,1.5013750339857346,INM-CM4-8,ssp245
1997.5,0.6782307057349707,1.5010242775694946,1.43107677583607,INM-CM4-8,ssp245
1998.5,0.7107967196787627,1.5060690043330676,1.4509697336994192,INM-CM4-8,ssp245
1999.5,0.731732655075361,1.4019220231730103,1.3567074766756293,INM-CM4-8,ssp245
2000.5,0.7484000298760918,1.2844020496470423,1.2689492108717315,INM-CM4-8,ssp245
2001.5,0.7637473031116107,1.4495917522384674,1.4153196333582228,INM-CM4-8,ssp245
2002.5,0.7820229965905621,1.4717089104432861,1.4451057168816037,INM-CM4-8,ssp245
2003.5,0.7965035077634297,1.4616962959865845,1.4280014749396628,INM-CM4-8,ssp245
2004.5,0.810615479565765,1.4844001741012325,1.4565936893544622,INM-CM4-8,ssp245
2005.5,0.8216375652967827,1.4496042563981468,1.4120512206488542,INM-CM4-8,ssp245
2006.5,0.8345151100663334,1.462871650955588,1.4338826156014757,INM-CM4-8,ssp245
2007.5,0.8634053012437467,1.428908494222833,1.3981558694773397,INM-CM4-8,ssp245
2008.5,0.8933408211373148,1.4182396849726555,1.3686511249739968,INM-CM4-8,ssp245
2009.5,0.9248576841926914,1.4368633373716555,1.4434040128343717,INM-CM4-8,ssp245
2010.5,0.9508440430493427,1.4001478262079312,1.4417884262084495,INM-CM4-8,ssp245
2011.5,0.9741570173401176,1.419232179233055,1.4427106201054039,INM-CM4-8,ssp245
2012.5,0.994749886401316,1.320926545526647,1.3342089657277747,INM-CM4-8,ssp245
2013.5,1.0141540296340394,1.367966867232708,1.3808591797349288,INM-CM4-8,ssp245
2014.5,1.033134316661606,1.373083625483245,1.3779961341842348,INM-CM4-8,ssp245
2015.5,1.0505131857445291,1.3491658775964026,1.3360938066824746,INM-CM4-8,ssp245
2016.5,1.0682140223373267,1.3257444744001299,1.319098496879552,INM-CM4-8,ssp245
