transient,anchor,phi,tau_s,kappa,nu,rmax,sigma,rho,logJ,ll_flow,ll_prior,flow_win,flow_win_deficit,rate_modern_mm_yr,flow_1900_1919,flow_1920_1949,flow_1950_1979,flow_1980_1999,flow_2000_2023,S1900_mm,inv_z,S2020_mm,com1p2,com1p5,com2p0,com3p0,sens_mm,ds126,ds245,ds585,spread,g_s1900,g_inv,g_lad,g_spread,npass,feasible,arm,kappa_f,kappa_s
P,pub,0.50000,150.00000,0.00785,0.50000,,0.04525,0.99000,-35.56491,-31.20438,-9.74397,39.66557,13.15545,1.03576,-35.61940,-31.42259,-4.71724,13.10741,25.24587,26.66654,0.23786,97.27291,45.08624,52.95326,63.64116,78.28444,72.37803,9.70115,11.12978,13.38224,3.68109,True,True,True,False,3,False,P_grid,,
P,pub,0.50000,150.00000,0.00610,1.00000,,0.05593,0.99000,-38.73189,-34.55031,-9.73615,36.64180,16.17922,1.14423,-35.64805,-31.66504,-5.19084,12.29671,22.92460,23.61777,0.31842,94.01435,45.70544,53.48376,64.05114,78.52930,72.37803,10.34580,12.18948,15.28318,4.93738,True,True,True,True,4,False,P_grid,,
P,pub,0.50000,150.00000,0.00446,1.50000,,0.06536,0.99000,-41.93848,-37.65140,-9.89033,33.99638,18.82464,1.24629,-35.75026,-31.93397,-5.62177,11.59768,20.89961,20.96449,0.39261,91.04893,46.25692,53.95623,64.41628,78.74738,72.37803,10.80723,12.94605,16.55450,5.74728,True,True,True,True,4,False,P_grid,,
P,pub,0.50000,300.00000,0.01271,0.50000,,0.05102,0.99000,-37.98570,-34.02908,-9.33463,39.77441,13.04662,0.99790,-38.25245,-32.98179,-5.25512,12.58355,25.74840,26.42667,0.32588,91.29884,46.21088,53.91679,64.38579,78.72918,72.37803,8.71541,10.16484,12.41994,3.70452,True,True,True,False,3,False,P_grid,,
P,pub,0.50000,300.00000,0.01059,1.00000,,0.06103,0.99000,-40.56759,-36.84621,-9.27178,36.46791,16.35312,1.11866,-37.60611,-32.75781,-5.70079,11.84941,23.11009,22.98501,0.40165,88.65898,46.69330,54.33009,64.70521,78.91995,72.37803,9.17281,10.95417,13.83809,4.66529,True,True,True,True,4,False,P_grid,,
P,pub,0.50000,300.00000,0.00850,1.50000,,0.07030,0.99000,-43.41772,-39.65768,-9.33821,33.30156,19.51946,1.23423,-37.00024,-32.62250,-6.09801,11.16269,20.57933,20.05167,0.46449,86.81717,47.02478,54.61409,64.92469,79.05103,72.37803,9.48658,11.48127,14.68808,5.20151,True,True,True,True,4,False,P_grid,,
P,pub,0.50000,463.00000,0.01505,0.50000,,0.05849,0.99000,-40.56912,-36.72540,-9.20699,39.03259,13.78843,0.95890,-39.85632,-34.15628,-6.01824,11.90441,25.59992,26.32104,0.39029,86.73710,47.03910,54.62636,64.93417,79.05670,72.37803,8.01250,9.45731,11.68244,3.66994,True,True,True,False,3,False,P_grid,,
P,pub,0.50000,463.00000,0.01288,1.00000,,0.06609,0.99000,-42.47009,-38.86728,-9.13261,36.25993,16.56109,1.08039,-39.14285,-33.77231,-6.31552,11.37674,23.31532,22.82428,0.46267,84.37543,47.45794,54.98519,65.21148,79.22233,72.37803,8.40116,10.14421,12.92230,4.52115,True,True,True,True,4,False,P_grid,,
P,pub,0.50000,463.00000,0.01063,1.50000,,0.07394,0.99000,-44.84933,-41.21913,-9.17973,33.30263,19.51840,1.19425,-38.36492,-33.45409,-6.61027,10.81305,20.88668,19.82148,0.52218,82.79416,47.73470,55.22230,65.39473,79.33177,72.37803,8.66333,10.59457,13.64850,4.98517,True,True,True,True,4,False,P_grid,,
P,pub,0.50000,700.00000,0.01657,0.50000,,0.06555,0.99000,-43.23195,-39.05317,-9.53616,37.98358,14.83744,0.92333,-40.86602,-34.97063,-6.68399,11.28895,25.11205,26.10493,0.44412,82.87293,47.72098,55.21055,65.38564,79.32634,72.37803,7.44688,8.88210,11.07711,3.63023,True,True,True,False,3,False,P_grid,,
