draw,cfg,avoided_glaciers_2050_cm,avoided_glaciers_2100_cm,avoided_glaciers_2150_cm,avoided_glaciers_2200_cm,avoided_glaciers_2300_cm,avoided_gis_2050_cm,avoided_gis_2100_cm,avoided_gis_2150_cm,avoided_gis_2200_cm,avoided_gis_2300_cm,avoided_ais_2050_cm,avoided_ais_2100_cm,avoided_ais_2150_cm,avoided_ais_2200_cm,avoided_ais_2300_cm,avoided_te_2050_cm,avoided_te_2100_cm,avoided_te_2150_cm,avoided_te_2200_cm,avoided_te_2300_cm,avoided_lws_2050_cm,avoided_lws_2100_cm,avoided_lws_2150_cm,avoided_lws_2200_cm,avoided_lws_2300_cm,avoided_total_2050_cm,avoided_total_2100_cm,avoided_total_2150_cm,avoided_total_2200_cm,avoided_total_2300_cm
1158,cfg_0409,0.010660196257671117,0.05362091217068965,0.08618763397588936,0.11208353903254675,0.14998932798439668,0.007938693108505035,0.05323550134245103,0.10956474416795459,0.16869164274853077,0.2495361820505586,0.004072415194233514,0.04388811835593742,0.1164225668840686,0.21047060987430655,0.4179769085694147,0.019807701470782924,0.07736205740095592,0.148546398239791,0.22933936979241665,0.41748145019916194,0.0,0.0,0.0,0.0,0.0,0.04247900603119348,0.22810658927002692,0.4607213432676929,0.7205851614477865,1.2349838688035106
1159,cfg_0401,0.007268863215813326,0.03948833760807524,0.07201275226001691,0.10199261753203359,0.1559883678787024,0.005629837645116709,0.031536385332975314,0.06207467317470616,0.09703681931679853,0.1807831519395542,0.0032322164797315978,0.028357251215194168,0.7269633407756775,0.7825887314999136,0.9436245311058471,0.019173922173063573,0.08729700739240442,0.17688383402730423,0.2791209068533185,0.5024263121986934,0.0,0.0,0.0,0.0,0.0,0.03530483951372787,0.1866789815486456,1.0379346002377048,1.2607390752020535,1.7828223631228184
1160,cfg_0680,0.008421324182656065,0.050640902281017475,0.09265733640107143,0.1297145394593855,0.1870354165419954,0.007198104962473195,0.054456944609576396,0.1274705043068387,0.22072226650437443,0.4399374364706361,0.003430018206562746,0.0442119186431853,0.1399057938645285,0.2984016684116,0.777788172566602,0.029735883890717574,0.15663067194333635,0.3456387708126769,0.5726092810045103,1.1025966820954878,0.0,0.0,0.0,0.0,0.0,0.04878533124240647,0.30594043747709065,0.7056724053851156,1.2214477553798702,2.507357707674714
1161,cfg_0351,0.0067718854913536575,0.03924268766538219,0.07712839818580797,0.11604855033133532,0.18930209211283966,0.005474348763769399,0.02936881169700456,0.05508704043434243,0.08250102053762909,0.15546866880062282,0.002768353982651739,0.023021675979361333,0.06271053131335869,0.12320860893902896,0.2968319126898429,0.019764252189675702,0.10077616681698842,0.214833142969848,0.3479341224962056,0.6450834050678083,0.0,0.0,0.0,0.0,0.0,0.03477884042744961,0.19240934215872585,0.40975911290335887,0.669692302304199,1.2866860786711385
1162,cfg_0236,0.008213654996833242,0.04464243168323456,0.0788336300599255,0.1082708629715512,0.1516927638551877,0.007844111859796499,0.043247868683073065,0.08150230600959674,0.12531460529656613,0.2117808336000948,0.002619889491051186,0.022395660282480634,0.05823783161348395,0.1068014011015741,0.23166249213749524,0.016065495348446035,0.05290665985037535,0.09686887345834272,0.14728131461045457,0.2667427081201019,0.0,0.0,0.0,0.0,0.0,0.03474315169612652,0.16319262049916006,0.31544264114134535,0.4876681839801478,0.8618787977128761
1163,cfg_0570,0.005205082975379582,0.02691775330255375,0.05082932319942124,0.07310698257549575,0.11903378049370872,0.006748692547656532,0.04117985196523399,0.08754983298966934,0.1347985436435586,0.23701199378519178,0.0019047193806853713,0.016068128679703086,0.043552316922479406,0.0812954741117089,0.19036058977814818,0.018659211987205993,0.09672433031406413,0.21251341381601918,0.3557748247299912,0.7094817580104618,0.0,0.0,0.0,0.0,0.0,0.03251770689092126,0.18089006426156118,0.3944448869275732,0.6449758250607545,1.2558881220675175
1164,cfg_0203,0.012138483889900797,0.060677344442176206,0.10158775658732466,0.13286157702053814,0.1823638514131929,0.008448679402706105,0.04925018993165331,0.12716925487801944,0.21695015881680035,0.41844093976385466,0.0030039386617826125,0.028772904458485016,0.08341252958885548,0.1678673285385912,0.4178038921205882,0.025693237577499417,0.14273566911067803,0.32249798807578856,0.5450473935821591,1.0860720215280821,0.0,0.0,0.0,0.0,0.0,0.049284339531887156,0.28143610794299434,0.634667529130013,1.0627264579580924,2.104680704825739
1165,cfg_0037,0.004737847693784936,0.02585083470059324,0.04805890128809409,0.06951836237923814,0.11153662215712679,0.007055835893034157,0.04661625585919893,0.09410786700279417,0.14563756765624447,0.27573218608088723,0.0027605164617527933,0.026745058354585183,0.07516834650313342,0.14579010734587428,0.33594598877385806,0.022424034044044916,0.11460744004011403,0.25112151951672956,0.41846647238462253,0.8264951788289778,0.0,0.0,0.0,0.0,0.0,0.03697823409262213,0.21381958895447895,0.468456634310769,0.7794125097660185,1.5497099758408694
1166,cfg_0300,0.00898002634940287,0.03935909180967556,0.06538367736896156,0.08686679214062565,0.12302376710364449,0.006974616771067588,0.04572512862097078,0.09621749780203892,0.14935649396246475,0.25538123922877887,0.003515861657144015,1.2280559338667905,1.2559719527695279,2.4867447651450547,4.921697131415556,0.020581822315968168,0.10133779742260529,0.2194153133568122,0.362037841490249,0.6914804502053684,0.0,0.0,0.0,0.0,0.0,0.04005232709358353,1.4144779517200448,1.6369884412973335,3.085005892738394,5.99158258795336
1167,cfg_0740,0.011653543637216046,0.05074835925444887,0.0749985459303204,0.09177818681438765,0.11591613159706782,0.006185213826773506,0.04645811299808145,0.11529321613160803,0.1977769585915361,0.38465048568198057,0.003814848570737439,0.03981609457920143,0.11444364847815791,0.22483299100699128,0.5321807199359796,0.02523203114935413,0.11929242761293324,0.252464840821645,0.4089084042359943,0.7602759986909504,0.0,0.0,0.0,0.0,0.0,0.046885637184082896,0.2563149944446792,0.5572002513617349,0.9232965406489484,1.7930233359059002
