year,arm,component,gmst,med,p05,p17,p83,p95,n_finite,tap_onset_K,tap_V_m,tap_tau
2243,spliced,gis,13.035982560272299,267.5276193390339,249.05166095683143,255.54668064945363,281.2968396162191,292.98718480882815,2000,6.5,2.0,50.0
2244,spliced,gis,13.029875874654277,268.03424352926896,249.48118654376356,256.0331749678275,281.8230905923583,293.59016051240985,2000,6.5,2.0,50.0
2245,spliced,gis,13.01537778956121,268.52529335448713,249.86132596215612,256.4882555332013,282.37370596429173,294.15923026125637,2000,6.5,2.0,50.0
2246,spliced,gis,13.046149899166362,268.96656871349967,250.22550475133093,256.91358331650343,282.913272968294,294.7158486067726,2000,6.5,2.0,50.0
2247,spliced,gis,13.018534126460416,269.39905547235423,250.5957803246038,257.3250095200212,283.43487445789395,295.27562640284873,2000,6.5,2.0,50.0
2248,spliced,gis,13.07189081834931,269.8006394838573,250.93853848270464,257.6892261817225,283.9600150064313,295.7984983647867,2000,6.5,2.0,50.0
2249,spliced,gis,13.128679039088242,270.3224924982683,251.2941589698531,258.13466961837895,284.490604760735,296.34616719008125,2000,6.5,2.0,50.0
2250,spliced,gis,13.149169988869197,270.80415008873274,251.66387114307713,258.5854360468127,284.9703863545101,296.94411423564924,2000,6.5,2.0,50.0
2251,spliced,gis,13.083627197981798,271.22660655668756,252.0298782615237,258.9999097631091,285.4602622906538,297.5311749114437,2000,6.5,2.0,50.0
2252,spliced,gis,13.020353634846972,271.63458259162803,252.3569785508274,259.346917038338,285.90826045852583,298.00519745991903,2000,6.5,2.0,50.0
2253,spliced,gis,13.198555117840273,271.97379537121117,252.64069701579683,259.6847565739141,286.35127229282364,298.4985771167509,2000,6.5,2.0,50.0
2254,spliced,gis,13.195179853070066,272.41119104586585,253.0008480225919,260.06883220106545,286.8609586568055,299.16810076335656,2000,6.5,2.0,50.0
2255,spliced,gis,13.18321799161487,272.8576677704392,253.3444948411104,260.4481967088212,287.3357790407669,299.81017527893096,2000,6.5,2.0,50.0
2256,spliced,gis,13.186862152742323,273.23248513083314,253.6820288356291,260.7875411735498,287.77732957869034,300.31418271828875,2000,6.5,2.0,50.0
2257,spliced,gis,13.26557518986359,273.6427838608927,254.02682990101687,261.1192254447646,288.19278068419544,300.8039333260808,2000,6.5,2.0,50.0
2258,spliced,gis,13.151936692797719,274.0501715179861,254.35872055494704,261.49723957691776,288.63791715169936,301.31753029129004,2000,6.5,2.0,50.0
2259,spliced,gis,13.226057710854949,274.4099473718029,254.59862958593186,261.83269221734054,289.03735865669034,301.7608814158147,2000,6.5,2.0,50.0
2260,spliced,gis,13.339461590532004,274.82211326873517,254.89784707623795,262.18342968216507,289.47282847036325,302.22788233061266,2000,6.5,2.0,50.0
2261,spliced,gis,13.284003418728524,275.231084041245,255.23981138967568,262.5465005291027,289.93440053794956,302.7349068261505,2000,6.5,2.0,50.0
2262,spliced,gis,13.317275543899408,275.60004165339706,255.53976717851597,262.8768100675742,290.36622307817134,303.20029588361587,2000,6.5,2.0,50.0
2263,spliced,gis,13.344624942080962,275.985875383835,255.8761328271298,263.22894010721427,290.80232021552484,303.624237635285,2000,6.5,2.0,50.0
2264,spliced,gis,13.282242443398617,276.33026190414387,256.2394701762821,263.5554695716304,291.23552103990164,304.0474948360976,2000,6.5,2.0,50.0
2265,spliced,gis,13.321657606116824,276.62724253132126,256.53984147919937,263.8287050720301,291.61389290205625,304.46068087620495,2000,6.5,2.0,50.0
2266,spliced,gis,13.270656200883575,276.9554783213239,256.8675232222775,264.10162754339206,292.080044331748,304.88146258941447,2000,6.5,2.0,50.0
2267,spliced,gis,13.383164865066554,277.26550791658514,257.13863616918144,264.3961156301677,292.42991364208297,305.2912304922293,2000,6.5,2.0,50.0
2268,spliced,gis,13.473052911950901,277.64125576643437,257.46208227116193,264.7364131143311,292.8356900346935,305.8052112204428,2000,6.5,2.0,50.0
2269,spliced,gis,13.401926865561508,278.00765025492774,257.7757219608355,265.0613678930253,293.2910757448614,306.3237502951024,2000,6.5,2.0,50.0
2270,spliced,gis,13.357714647154697,278.31216086179586,258.0701789417371,265.31576207785486,293.65191629752223,306.82130647628736,2000,6.5,2.0,50.0
2271,spliced,gis,13.399960094469257,278.61108836534476,258.3680945167678,265.55461719135053,294.0257591397138,307.28396245184035,2000,6.5,2.0,50.0
2272,spliced,gis,13.436722225158576,278.93595913252074,258.7133473702533,265.83492902601677,294.40631091195615,307.68588239794684,2000,6.5,2.0,50.0
2273,spliced,gis,13.343748033927552,279.28481205668186,258.9513373763438,266.12186558973104,294.8295401389281,308.0898667855197,2000,6.5,2.0,50.0
2274,spliced,gis,13.380848084739892,279.57751682896105,259.22471848559604,266.3434182223236,295.14286453207234,308.44206841245585,2000,6.5,2.0,50.0
2275,spliced,gis,13.363272995146627,279.84386321639374,259.50989956660965,266.602781697447,295.54144767557807,308.79413476660983,2000,6.5,2.0,50.0
2276,spliced,gis,13.384729349196961,280.11861374242903,259.7288216094733,266.80985608455205,295.8416689360864,309.1379269301939,2000,6.5,2.0,50.0
2277,spliced,gis,13.419137511567763,280.3798023913075,259.9194139808405,267.0133038070243,296.14319932605315,309.46947614438557,2000,6.5,2.0,50.0
2278,spliced,gis,13.358757384466744,280.6540119427093,260.1224994930419,267.2945625796322,296.4768468930758,309.81198306829697,2000,6.5,2.0,50.0
2279,spliced,gis,13.434501248438174,280.9100311443252,260.31589756743176,267.5520922057714,296.79160551081395,310.122383368486,2000,6.5,2.0,50.0
2280,spliced,gis,13.467873063454343,281.1683151110615,260.5550723020221,267.83721460015744,297.16315762622975,310.4546149519128,2000,6.5,2.0,50.0
2281,spliced,gis,13.372148886850766,281.4313808729802,260.77398976843006,268.1073580488749,297.50230797651807,310.7914625325356,2000,6.5,2.0,50.0
2282,spliced,gis,13.365779152553083,281.66612574430144,260.92642199099464,268.2773515614691,297.8600476325844,311.0831751498388,2000,6.5,2.0,50.0
2283,spliced,gis,13.52522196622744,281.8565810609567,261.072747439307,268.5200185396009,298.08639202102097,311.3661696332888,2000,6.5,2.0,50.0
2284,spliced,gis,13.46473022716729,282.16179972302706,261.28028563590976,268.7917014221192,298.4630586714002,311.71592148657976,2000,6.5,2.0,50.0
2285,spliced,gis,13.492945586372667,282.4164380858847,261.45393041549534,269.01193685090476,298.7685287787143,312.03843864851734,2000,6.5,2.0,50.0
2286,spliced,gis,13.587094972254745,282.66049834469936,261.6327760756814,269.2512323599207,299.0792036133463,312.3653929063687,2000,6.5,2.0,50.0
2287,spliced,gis,13.584923419961079,282.9610383574488,261.8555417270252,269.496639054668,299.41383646469563,312.70185736704013,2000,6.5,2.0,50.0
2288,spliced,gis,13.561726172835051,283.248224672372,262.1352951574293,269.7294051559316,299.74452344707265,313.0462125776126,2000,6.5,2.0,50.0
2289,spliced,gis,13.65126814372997,283.51423600830884,262.3643059842746,269.93323714583454,300.0659775309447,313.38349021282437,2000,6.5,2.0,50.0
2290,spliced,gis,13.611307694012398,283.79833811170533,262.5842441440825,270.17513704972833,300.3852900182783,313.74404101613277,2000,6.5,2.0,50.0
2291,spliced,gis,13.59818823933074,284.03088334825884,262.7840045817157,270.3824280188882,300.66780224697385,314.06661209782635,2000,6.5,2.0,50.0
2292,spliced,gis,13.58658962216678,284.30445884057167,262.99568529006325,270.6327112733222,300.9838198454282,314.3671965322704,2000,6.5,2.0,50.0
2293,spliced,gis,13.563881403085912,284.5214422909564,263.1591522264295,270.80087368716335,301.3031761730685,314.6525832483042,2000,6.5,2.0,50.0
2294,spliced,gis,13.626504566719065,284.74581196805354,263.30675695663905,271.00657691590413,301.6082976259438,314.9868580611603,2000,6.5,2.0,50.0
2295,spliced,gis,13.659302821727088,284.9732262319744,263.5060753033273,271.1838176039373,301.87579135354554,315.3095285341014,2000,6.5,2.0,50.0
2296,spliced,gis,13.611148992202574,285.1915948537774,263.7109468321021,271.36962186299826,302.1279574783552,315.62230181736845,2000,6.5,2.0,50.0
2297,spliced,gis,13.643336232067064,285.39023937136176,263.86407081661997,271.5327701827397,302.40806123080097,315.93893087548304,2000,6.5,2.0,50.0
2298,spliced,gis,13.596670319253274,285.59358739773796,264.0271519526669,271.72469795321814,302.72843080766273,316.21962962932815,2000,6.5,2.0,50.0
2299,spliced,gis,13.630491039650112,285.76887260905835,264.20347580277,271.87154686262477,302.9733600656982,316.4613154654571,2000,6.5,2.0,50.0
2300,spliced,gis,13.62944252948637,285.9358893729684,264.4032063869446,272.04607967467206,303.2478458052003,316.773788849021,2000,6.5,2.0,50.0
1990,raw,gis,0.6800401844632992,-0.5251011312769265,-0.5412376382648065,-0.5334983288612554,-0.5173651677244222,-0.5116888061709345,2000,6.5,2.0,50.0
1991,raw,gis,0.5866564744842625,-0.5271780290407504,-0.5422308490719894,-0.5351162555419522,-0.5201766547806177,-0.5142760460034504,2000,6.5,2.0,50.0
1992,raw,gis,0.5182203365158861,-0.50322140857469,-0.5179696587236496,-0.5108810214406839,-0.49622899148310273,-0.49061957586547544,2000,6.5,2.0,50.0
