name,index,comp,mu,sigma,lo,hi,prior_form,note,provenance,p05,p50,p95,mean,description,units
gic_T_off_SLOWP,22,glaciers_small_icecaps,0.342896725929,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,-3.869739029233515,-2.722568690326545,-0.97525790611373,-2.620874585440866,"Equilibrium temperature offset T_off, SLOWG","K rel. 1850–1900, glacier frame"
gic_log10_kappa_SLOWP,23,glaciers_small_icecaps,-3.4077329224195196,0.114,-4.748442048628195,-2.1692365340734474,"N(k10c(gic_amp_SLOWP), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -3.408,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,-3.6922578714445247,-3.4789922735996646,-3.2557163825478157,-3.4764131903138202,"log₁₀ of the response-rate constant κ, SLOWG",log₁₀(yr⁻¹ K⁻ν)
gic_a_FAST,24,glaciers_small_icecaps,0.139935475733,0.0242107853213,0.08091770565225,0.2367786170182,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,0.1210683478339005,0.15108879370933836,0.18259630150840253,0.15133960219384573,"Committed-loss scale a, FASTG",m SLE
gic_b_FAST,25,glaciers_small_icecaps,0.368982026346,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,0.25091023643297994,0.334538961345456,0.4595408720732971,0.34235393328753594,"Equilibrium temperature sensitivity b, FASTG",K⁻¹ (glacier frame)
gic_T_off_FAST,26,glaciers_small_icecaps,-1.21396297595,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,-2.1807940617850847,-1.514780127936965,-0.9189404200105651,-1.5273328285183498,"Equilibrium temperature offset T_off, FASTG","K rel. 1850–1900, glacier frame"
gic_log10_kappa_FAST,27,glaciers_small_icecaps,-2.583191353176445,0.114,-3.774659554587068,-1.5210935581243517,"N(k10c(gic_amp_FAST), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.583,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,-2.766372297596034,-2.61047806546834,-2.458367169107517,-2.6104986642143873,"log₁₀ of the response-rate constant κ, FASTG",log₁₀(yr⁻¹ K⁻ν)
gic_amp_R19,28,likelihood_only,0.72,0.15,0.58,0.88,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,0.6000036388545447,0.7264913530231905,0.8595293404678048,0.7280890182515084,"Regional/global warming ratio, RGI 19",–
gic_amp_SLOWP,29,likelihood_only,2.5,0.45,1.8,3.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,2.075612199474302,2.630578788026771,3.188287251201146,2.6327528734488754,"Regional/global warming ratio, SLOWG",–
gic_amp_FAST,30,likelihood_only,1.45,0.15,1.33,1.82,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,1.347187528081936,1.4663839292388678,1.6601540394913328,1.48033734632355,"Regional/global warming ratio, FASTG",–
gic_u_unch,31,likelihood_only,28.15,1000.0,14.5,41.8,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,20.706989937498314,33.208790412760216,40.810135400233904,32.34534489438975,Uncharted-ice content of the Frederikse glacier target,mm SLE
d2_steric_1,32,likelihood_only,0.0,0.5,-2.5,2.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,0.00539415643913391,0.20880188516703047,0.3938809287765056,0.20633653434718918,"Thermal-expansion discrepancy, basis coefficient 1",cm (RMS)
d2_steric_2,33,likelihood_only,0.0,0.5,-2.5,2.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,-0.052428889801197004,0.0691971406025695,0.20173878043373183,0.07100568064470775,"Thermal-expansion discrepancy, basis coefficient 2",cm (RMS)
antarctic_kappa,34,antarctic_icesheet,0.05877084,0.016584998,0.025000414,0.084999464,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,0.03396043174640006,0.0569810467784234,0.0787052042628906,0.05665736909778835,Exponential dependence of precipitation on Antarctic temperature κ_DAIS,°C⁻¹
ais_gmst_amp,35,antarctic_icesheet,1.09,0.18,0.55,1.63,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,0.7954086224779495,1.0870112624117425,1.3777742537218904,1.0869067242653365,Antarctic/global warming ratio,–
ais_mu,36,antarctic_icesheet,10.803983219053745,1.8146745536450215,7.050094127655029,13.64998722076416,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,8.321538999349045,10.836856737147299,13.084831653201045,10.78917649115336,Profile parameter µ,m¹ᐟ²
ais_bedheight0,37,antarctic_icesheet,780.0119260199738,22.981432678137423,740.0018920898438,819.9996337890625,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,749.1476470781597,780.5802396126965,811.5152146557049,780.4267450292346,Bed height at the continent centre b₀,m
ais_slope,38,antarctic_icesheet,0.0006282574195086,6.241869534698466e-05,0.0004504189419094,0.000749991624616,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,0.00057445694128557,0.000618358503549,0.0006708261714961649,0.0006201940038199053,Bed slope,–
