model,component,year,p5,p50,p95
BRICK2.0,ais,1968,-1.4088370138627178,-1.0538142221929707,-0.7346762267599224
BRICK2.0,ais,1969,-1.360078880460741,-1.0144852894441976,-0.7005483668469864
BRICK2.0,ais,1970,-1.3090818329995453,-0.97387678438779,-0.6718995528332864
BRICK2.0,ais,1971,-1.260843929894468,-0.9349650126961966,-0.6468190215174732
BRICK2.0,ais,1972,-1.212698537552752,-0.8978157237573563,-0.6209348860961833
BRICK2.0,ais,1973,-1.1653172325662955,-0.8605871796978144,-0.5912610164887562
BRICK2.0,ais,1974,-1.1157103083809616,-0.8258060888422198,-0.5610271534737242
BRICK2.0,ais,1975,-1.0712171009821292,-0.7875739043783003,-0.5317391040406632
BRICK2.0,ais,1976,-1.0271911942443237,-0.7507052671215906,-0.5044778794913476
BRICK2.0,ais,1977,-0.9805646972071593,-0.7119949162449286,-0.47832544130193594
BRICK2.0,ais,1978,-0.9351182842483515,-0.6752517438951888,-0.4487117206575697
BRICK2.0,ais,1979,-0.8908062346387148,-0.6378941642450644,-0.4212778719186584
BRICK2.0,ais,1980,-0.8467796526526735,-0.6032900021252146,-0.39279834809546776
BRICK2.0,ais,1981,-0.8030850190299965,-0.5696016074939361,-0.36842116958003934
BRICK2.0,ais,1982,-0.759712013694345,-0.5378367404450808,-0.3463855748845785
BRICK2.0,ais,1983,-0.7164750902640762,-0.5053522885006112,-0.3283164329489356
BRICK2.0,ais,1984,-0.6722916807910617,-0.4717492056903039,-0.3087557616194163
BRICK2.0,ais,1985,-0.6264578498787096,-0.43802289484386003,-0.28357734411431584
BRICK2.0,ais,1986,-0.582085074120599,-0.40533149127279433,-0.26000232495637515
BRICK2.0,ais,1987,-0.538185008288075,-0.37257110987384623,-0.23611656630686703
BRICK2.0,ais,1988,-0.4947706747640482,-0.3407081319195031,-0.21559690894687955
BRICK2.0,ais,1989,-0.45176821380213317,-0.3100223785026972,-0.19611916709461996
BRICK2.0,ais,1990,-0.40930441657615985,-0.2813451892978245,-0.17787319977232244
BRICK2.0,ais,1991,-0.36756193780285285,-0.25332974185990276,-0.16187644310180893
BRICK2.0,ais,1992,-0.32634830161490935,-0.22600508442107792,-0.14594063169914767
BRICK2.0,ais,1993,-0.2844070321044409,-0.1980973575447087,-0.12844374500657982
BRICK2.0,ais,1994,-0.24265639344444337,-0.1678324884197271,-0.10679646116705736
BRICK2.0,ais,1995,-0.20049700280716753,-0.1376505086592683,-0.08414143966456837
BRICK2.0,ais,1996,-0.15915061530288005,-0.1090376172641081,-0.06385508036279916
BRICK2.0,ais,1997,-0.12061673785584981,-0.08203073534365712,-0.04419860689871711
BRICK2.0,ais,1998,-0.08109290885066475,-0.056795780789066,-0.027164713042651778
BRICK2.0,ais,1999,-0.04813333505208233,-0.030098112185259485,-0.009358096443304873
BRICK2.0,ais,2000,-0.03419883081764943,0.0006529620425475002,0.00786366915971488
BRICK2.0,ais,2001,-0.016549521291675886,0.025762159288022612,0.041895005785137544
BRICK2.0,ais,2002,0.0033486451654611816,0.04811216519442585,0.08021242378317991
BRICK2.0,ais,2003,0.03815569322414532,0.08277705475129293,0.12130211302408223
BRICK2.0,ais,2004,0.057669295821125746,0.12284716032878995,0.1649223894830671
BRICK2.0,ais,2005,0.0784907481607922,0.1616463032075881,0.21009688044363112
BRICK2.0,ais,2006,0.10148539393175597,0.2034183609993958,0.26599661479799785
BRICK2.0,ais,2007,0.12953322733262235,0.24463290474510924,0.3261126681313488
BRICK2.0,ais,2008,0.1546468401597653,0.28836128679114825,0.38558041125286724
BRICK2.0,ais,2009,0.20150722191722623,0.330897295347778,0.4474208274178829
BRICK2.0,ais,2010,0.24682637954659234,0.37058102171783514,0.5074973104172577
BRICK2.0,ais,2011,0.28864329971402647,0.414093672927506,0.5702049077411981
BRICK2.0,ais,2012,0.32338647289260414,0.4595130288227427,0.634772124034534
BRICK2.0,ais,2013,0.3555845657000965,0.5045894507148847,0.6969624747413895
BRICK2.0,ais,2014,0.3918494254602243,0.5455681174823004,0.7593432154210525
BRICK2.0,ais,2015,0.42490140666294146,0.5912176083950689,0.8208983635470214
BRICK2.0,ais,2016,0.45740376526556964,0.6345921444910969,0.8875152079107134
BRICK2.0,ais,2017,0.4813534731514457,0.6809957575705488,0.9526175114407518
BRICK2.0,ais,2018,0.5081205305094468,0.7267386037982204,1.01568761315707
BRICK2.0,ais,2019,0.5298198145486991,0.7712901654162856,1.0777771550708977
BRICK2.0,ais,2020,0.5553112563902333,0.8166152550495105,1.1423759795279538
BRICK2.0,ais,2021,0.5771074751288003,0.8620624646049513,1.2114811279942503
BRICK2.0,ais,2022,0.60015757065714,0.9042971031191551,1.2814399002211303
BRICK2.0,ais,2023,0.6226978492176943,0.9482624801838528,1.3513734210645456
BRICK2.0,ais,2024,0.644444491452942,0.9923489498922247,1.429562327997072
BRICK2.0,ais,2025,0.6662357901373703,1.0404583674390397,1.4986178928666152
BRICK2.0,gis,1850,-8.030256732031871,-7.093508537679018,-6.162501558939226
BRICK2.0,gis,1851,-7.976286275099035,-7.045912787734242,-6.120451843096474
BRICK2.0,gis,1852,-7.922149834446243,-6.997466532045934,-6.078326796750737
BRICK2.0,gis,1853,-7.867847130061913,-6.949428195805012,-6.0361262408202485
BRICK2.0,gis,1854,-7.813463817828774,-6.9012484336039295,-5.993931302075377
BRICK2.0,gis,1855,-7.758530197416533,-6.853734188795685,-5.951713520874443
BRICK2.0,gis,1856,-7.703746626872233,-6.806331604257982,-5.909606928364259
BRICK2.0,gis,1857,-7.6494169333583,-6.759811067896667,-5.868597927251739
BRICK2.0,gis,1858,-7.595291402341938,-6.713921310554193,-5.834634272888408
BRICK2.0,gis,1859,-7.542238436326942,-6.667091644388348,-5.800357586871342
BRICK2.0,gis,1860,-7.489256985211814,-6.619848610205729,-5.76179159640083
BRICK2.0,gis,1861,-7.436083498594758,-6.571865738935486,-5.721515280787965
BRICK2.0,gis,1862,-7.382702724667085,-6.524567152769168,-5.6810433222820205
BRICK2.0,gis,1863,-7.329490647258849,-6.476727382741477,-5.640715012589882
BRICK2.0,gis,1864,-7.276100840233532,-6.428639559799709,-5.60052394204707
BRICK2.0,gis,1865,-7.22362118886312,-6.380457283247054,-5.561304341591261
BRICK2.0,gis,1866,-7.173545336257033,-6.334721658451208,-5.522417002753582
BRICK2.0,gis,1867,-7.118941248356157,-6.289931098520827,-5.483051409056277
BRICK2.0,gis,1868,-7.065920960239593,-6.243168534488396,-5.44329865923146
BRICK2.0,gis,1869,-7.012783334036567,-6.1958548040305885,-5.403359288329651
BRICK2.0,gis,1870,-6.9595693587277045,-6.148495707482926,-5.363328708871401
BRICK2.0,gis,1871,-6.906106169825217,-6.100826972465123,-5.323031187522958
BRICK2.0,gis,1872,-6.852548839617881,-6.053105864006625,-5.282624054251511
BRICK2.0,gis,1873,-6.7988894539292914,-6.00541196081711,-5.242099141762929
BRICK2.0,gis,1874,-6.745129741457466,-5.957802965920957,-5.201458093672234
BRICK2.0,gis,1875,-6.691655431297672,-5.910309515600577,-5.161094015612094
BRICK2.0,gis,1876,-6.6381750448007475,-5.8628169317665915,-5.1207099776269525
BRICK2.0,gis,1877,-6.584706758198127,-5.816441147168977,-5.080324497550742
BRICK2.0,gis,1878,-6.531223217853166,-5.770667622989928,-5.03990973567337
BRICK2.0,gis,1879,-6.477897742255994,-5.72356980321336,-4.999642154667577
BRICK2.0,gis,1880,-6.424932706262731,-5.676887197700427,-4.959345482986493
BRICK2.0,gis,1881,-6.374632910426936,-5.632596911061336,-4.919203063808802
BRICK2.0,gis,1882,-6.324117082840319,-5.586778035574108,-4.87899157395722
BRICK2.0,gis,1883,-6.271477881600226,-5.5403284156744945,-4.838799385382392
BRICK2.0,gis,1884,-6.216756229484172,-5.494368591914235,-4.798586908076957
BRICK2.0,gis,1885,-6.162053048276733,-5.449943138101855,-4.759105083297471
BRICK2.0,gis,1886,-6.1132982759311085,-5.4059518733974645,-4.722986384114931
BRICK2.0,gis,1887,-6.0640961083904825,-5.3632345541991935,-4.6860702215923205
BRICK2.0,gis,1888,-6.0111904295644285,-5.3186611568729685,-4.648525243970242
BRICK2.0,gis,1889,-5.958232575724396,-5.273209766319564,-4.610437968421604
BRICK2.0,gis,1890,-5.906601662552284,-5.227496389436624,-4.571921261549311
BRICK2.0,gis,1891,-5.854505615561734,-5.181546218418489,-4.534376849015382
BRICK2.0,gis,1892,-5.801803301673227,-5.136765810384729,-4.4967029276502135
BRICK2.0,gis,1893,-5.7476050131118495,-5.093715459157259,-4.460491871387178
BRICK2.0,gis,1894,-5.693413076076527,-5.0490068763962,-4.423619961140784
BRICK2.0,gis,1895,-5.63911023221995,-5.003416656835045,-4.386179801338499
BRICK2.0,gis,1896,-5.5847399585553195,-4.958404377478006,-4.3483437327368755
BRICK2.0,gis,1897,-5.532366062055662,-4.913174990885336,-4.310151355195528
BRICK2.0,gis,1898,-5.483243065836491,-4.8678076162752415,-4.271216937661422
BRICK2.0,gis,1899,-5.433979547400102,-4.822356029584727,-4.231202989111311
BRICK2.0,gis,1900,-5.3811915337527925,-4.776846944026767,-4.191736584727395
BRICK2.0,gis,1901,-5.327742518585776,-4.730395138623149,-4.153174600486096
BRICK2.0,gis,1902,-5.274363723523445,-4.684036202450463,-4.113110132807003
BRICK2.0,gis,1903,-5.221074034922106,-4.637387044818874,-4.072861975489042
BRICK2.0,gis,1904,-5.171197109344416,-4.592853518532612,-4.032904024896864
BRICK2.0,gis,1905,-5.123554585801418,-4.549132341795756,-3.9942182650224
BRICK2.0,gis,1906,-5.072973180193565,-4.503849929666623,-3.9557524629061525
BRICK2.0,gis,1907,-5.021648885690661,-4.456879866426585,-3.916688573785565
BRICK2.0,gis,1908,-4.970109412702083,-4.409688148445498,-3.877207052671705
BRICK2.0,gis,1909,-4.918724148812256,-4.363559169265651,-3.837842376715075
BRICK2.0,gis,1910,-4.867201734504642,-4.316415759528857,-3.7983385059882058
BRICK2.0,gis,1911,-4.815511202989934,-4.269701470033407,-3.7586647602130863
BRICK2.0,gis,1912,-4.763807907358516,-4.223757955986031,-3.71960346434376
BRICK2.0,gis,1913,-4.712053396870187,-4.178696476340805,-3.683114261288089
BRICK2.0,gis,1914,-4.660988908769797,-4.132658340394713,-3.645780615286191
BRICK2.0,gis,1915,-4.610259318246847,-4.0874538901254684,-3.6101779978441675
