quantity,basin,python,julia,absdiff,tol,window,ssp,tap_onset_K,in_lit_bracket,first_fire_year,k_c,cm2100_med,cm2100_q05,cm2100_q95,m2300_med,m2300_q05,m2300_q95,lit_lo,lit_hi,in_band,ratio_med,ratio_q05,ratio_q95,g4_cm_med,tap_V_m,tap_tau,within_inventory,m2300_SSP1-2.6_med,tap2100_SSP1-2.6_m,m2300_SSP2-4.5_med,tap2100_SSP2-4.5_m,m2300_SSP5-8.5_med,tap2100_SSP5-8.5_m,g4_rel_to_base,headroom_bind_frac,bands_ok,ratio_ok,g4_ok,all_pass
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,7.958314593224459,7.027016456115741,9.125200167900193,10.767958779639677,1.5,200.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.4575476886098095,0.033347939721605824,1.448637163110548,0.0,False,True,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,5.985563442194211,5.444858382334463,6.6894742527485915,9.116967358276012,1.5,400.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.0972715609114259,0.016838025507969166,1.2265256582368134,0.0,False,False,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,12.123394691196683,10.338693144340347,14.293470925605053,22.118565890776033,1.75,50.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,2.21987350698667,0.14685401083296937,2.9756592869460925,0.0,True,True,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,11.043461964617688,9.47698399456383,12.952666727356467,15.064271644763519,1.75,100.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,2.021919106176924,0.07631106837284425,2.0266295763557083,0.0,True,True,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,8.830372369184815,7.718483958225975,10.200773200615256,11.323757774999773,1.75,200.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.617342905267083,0.0389059296752068,1.5234100236289723,0.0,False,True,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,6.531126739654985,5.88523634730566,7.365923108190593,9.397601116742166,1.75,400.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.1970207562856352,0.019644363092630696,1.2642799346096156,0.0,False,False,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,13.46214168338858,11.415621618150066,15.95858070116753,24.216480331247023,2.0,50.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,2.465744523889599,0.16783315523767928,3.2578963279383912,0.0,True,True,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,12.23060940478839,10.424660894789918,14.426495459288304,16.154429764375582,2.0,100.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,2.2395109229641745,0.08721264956896486,2.1732909444065243,0.0,True,True,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,9.704847692120403,8.415692135905642,11.286598710787947,11.879556770359873,2.0,200.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.7771381219243563,0.04446391962880777,1.5981828841473973,0.0,True,True,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,7.080216759700719,6.319615304382629,8.036447645140433,9.678234875208316,2.0,400.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.296769951659844,0.022450700677292223,1.3020342109824175,0.0,False,False,False,False
