year,ais_p5,ais_p50,ais_p95,gsic_p5,gsic_p50,gsic_p95,gis_p5,gis_p50,gis_p95,te_p5,te_p50,te_p95,total_p5,total_p50,total_p95,ais_obs,gsic_obs,gis_obs,te_obs,total_obs
1971,-0.26176717189252485,-0.23073525504706632,-0.16595665409403607,-2.057846068104034,-1.9102224367053722,-1.7910575576386991,-1.5174748026185136,-1.3752762989309961,-1.2417011017579542,-2.0297262670716147,-1.9026816314251418,-1.7601460276031708,-5.0425652465366015,-4.880005929103763,-4.7168574214567425,-0.2487426194277677,-1.4299668875607576,-0.3854952638799498,-2.01857705116272,-4.148213316415467
1972,-0.25475311289819985,-0.2239302643027837,-0.159367707938875,-1.9928374388662236,-1.8497619644454941,-1.7340508712204277,-1.4681308433543572,-1.3300713638445476,-1.2006680657736422,-1.9980145838000503,-1.8729548459756789,-1.7326461650627976,-4.881273897778855,-4.721930946288067,-4.5623770925950575,-0.24328188029202552,-1.4258151617917147,-0.41572569066828,-1.9049362659454347,-4.720875082199328
1973,-0.24789723070144584,-0.21719314049630684,-0.15289242649706705,-1.9297734453894306,-1.7906904150812648,-1.6787583383523836,-1.4187093457529236,-1.2851757339839274,-1.1601058414152063,-1.9498404801399258,-1.8277960560287312,-1.6908703558976306,-4.876938157975226,-4.721588763647404,-4.56797068834993,-0.23790487376126385,-1.3984220114621255,-0.4206208055669609,-1.8290678501129145,-5.196610427802097
1974,-0.24086893448205413,-0.210435008094391,-0.14631423575902555,-1.866285145423491,-1.7314695983481176,-1.6230908353371878,-1.36938838202578,-1.2404046357666272,-1.1190882852231643,-1.8807764636895483,-1.7630548948069453,-1.630979149788919,-5.224806075126533,-5.07390385276395,-4.926829968019076,-0.2324612530795011,-1.3576064673337074,-0.39651621038263496,-1.7317896366119383,-4.549964100429307
1975,-0.23364982958702074,-0.20350197665313757,-0.13975882389507113,-1.8019740965356492,-1.6710603291989208,-1.5660563632412512,-1.3199295912900346,-1.1953189190698401,-1.078063896665126,-1.8306009569156858,-1.7160199735789652,-1.5874677559799362,-4.859129645793437,-4.7122504315348,-4.569337152028335,-0.2270876320925626,-1.3260503378781405,-0.39089840108698093,-1.4828915119171144,-3.6841547154152776
1976,-0.22640443416891243,-0.1965577005524532,-0.133188219792079,-1.7372252703506845,-1.610649277605071,-1.5091507384183458,-1.2703283059083217,-1.1502253779599036,-1.037290262759555,-1.8139142600330356,-1.700377730502718,-1.572997320380662,-4.687170181662944,-4.5423888240785475,-4.403774199006023,-0.22159060564908123,-1.3133924094113434,-0.4085678880864929,-1.5214472293853758,-4.681656538177072
1977,-0.21931786321055435,-0.1898804533402531,-0.12677580947973163,-1.673882099927034,-1.5515091091409972,-1.453653596497744,-1.220595715705988,-1.1052493170519213,-0.9960588409550712,-1.7558221316799807,-1.645921704909071,-1.5226207594549532,-4.430873529480365,-4.289737658835236,-4.155956334160083,-0.21624631014737222,-1.2574727621945465,-0.40815065557306496,-1.4027002811431886,-4.218181979996186
1978,-0.21198149325631424,-0.182898246133119,-0.12052581618367145,-1.610232026195723,-1.4918271106127512,-1.3971271401262981,-1.171115956338296,-1.0599935152606448,-0.9550272562461831,-1.6760254406634527,-1.5711196487358983,-1.4534223502964325,-4.541932818866047,-4.404860140089632,-4.2761870904533845,-0.2107981118288908,-1.1968986121090972,-0.40049865896051595,-1.3702120304107668,-4.685784089362705
1979,-0.20436420676829867,-0.1756730387768019,-0.11414266035346177,-1.5442628395843827,-1.4301893722856798,-1.3392022880560996,-1.1211679509987693,-1.0143200174654459,-0.9137395982242147,-1.584817442387292,-1.4856205418984618,-1.3743282387130815,-4.393490605818294,-4.26127208989927,-4.138775719176175,-0.20536288348111248,-1.1345557776364417,-0.389603788202459,-1.4052307605743404,-3.6974944138835655
1980,-0.1963363382328221,-0.16827452849630992,-0.10789984860525693,-1.4765178634910272,-1.3667069718833116,-1.279274243367645,-1.0708304925993983,-0.9681594036160681,-0.8717768707312661,-1.493510347084898,-1.400028540716304,-1.2951481917797758,-3.985248670491442,-3.8578484807120805,-3.739964428160942,-0.19993166056546302,-1.0903853979977698,-0.3607046907598319,-1.0921608448028564,-3.9276538985542118
1981,-0.18797850467624136,-0.16068129196457762,-0.10210184921802475,-1.4055533587118216,-1.3005604794959422,-1.2170573558036897,-1.019418443379009,-0.9213879574932402,-0.829437563500158,-1.4091404715167721,-1.3209395447795758,-1.221983990409478,-3.866156699026671,-3.7439457300305397,-3.631612566575271,-0.19452041712674234,-1.0451837149533363,-0.3079829996282405,-1.1296556949615475,-2.2095708662028803
1982,-0.1794745720658245,-0.1530171408397659,-0.09634839515517843,-1.3335711073852876,-1.233464271738085,-1.1540602835539973,-0.9676579664528806,-0.8743633423058672,-0.7869428153746456,-1.3225277749078077,-1.239748110466694,-1.1468748506454174,-3.6954933969503823,-3.5788740423690806,-3.4718776835983833,-0.1890497597781095,-1.0073812094601715,-0.2692658250982112,-1.2615566730499266,-3.034656955629597
1983,-0.17074331268948054,-0.14526509792597087,-0.09064167855328117,-1.2609978280108363,-1.1658150527892472,-1.0903683140303826,-0.9157441189000672,-0.8271779812571992,-0.7444383335948539,-1.3009346772978636,-1.2195065681195647,-1.128149663117236,-3.4614778826898434,-3.3488935382820317,-3.2461984114846927,-0.1837081822482023,-0.9826043692502114,-0.2925846880132503,-1.4041773319244384,-2.6952381332198456
1984,-0.1625621676770336,-0.1379572774317837,-0.08526763169539499,-1.1909817590674474,-1.1006123957070708,-1.0292653735480737,-0.8642295415738083,-0.7802649765859447,-0.7022691710019577,-1.336976827536918,-1.2532927679285928,-1.1594048370777503,-3.4709494763310156,-3.360264641280997,-3.26079404899976,-0.17819761362942788,-0.9233422842892735,-0.30610683614557455,-1.3752907276153565,-2.7272790545117447
1985,-0.15507896341387345,-0.13117798829489186,-0.07972998616210882,-1.1250759909451722,-1.0394849396935109,-0.9714960272964968,-0.8135043954469054,-0.7339998145493514,-0.6602924120171424,-1.2969569976874866,-1.2157778594492685,-1.124700283228497,-3.3957171508361044,-3.2885677671136357,-3.192272869753799,-0.1728599938479337,-0.8694018927487465,-0.2849181955510921,-1.2075136661529546,-3.2898149564817416
1986,-0.14699510000187854,-0.12394496698614277,-0.07405387914204284,-1.0589395153933108,-0.9778656714058822,-0.9138143668474703,-0.7625819300826958,-0.6875760305804904,-0.6179336892930216,-1.2149635943699812,-1.1389165876013505,-1.0535969204350546,-3.2290131166028995,-3.1268463713906245,-3.0348010380217594,-0.16734274950894445,-0.8345355597409335,-0.2674289529973811,-1.0398712635040286,-2.5597005227912426
1987,-0.1384561437306592,-0.11625936942589277,-0.06835833487343664,-0.9896348185856861,-0.913578338009019,-0.8533080974596073,-0.7109026699409404,-0.6405600315398919,-0.575298930703683,-1.1314832185860937,-1.0606614158743608,-0.9812040789949998,-2.730981305338376,-2.6342690659371213,-2.547872627800402,-0.16192802515896887,-0.8025719252499665,-0.2675323312932796,-1.0571058750152584,-2.81647471615318
1988,-0.1296178417013807,-0.10845297418516321,-0.06288263330942528,-0.9181189843685209,-0.8473914451173292,-0.7910140031691576,-0.6586775450289709,-0.5931518690805486,-0.532388735789623,-1.0358334309252815,-0.9709985401534341,-0.8982581189788431,-2.5697403857360777,-2.4790478711698367,-2.398325271793988,-0.15648268786343666,-0.7562198248776525,-0.24032619649713705,-0.9519709110260006,-3.0787532276555245
1989,-0.12038124335296448,-0.10038449242618054,-0.05757095858283255,-0.8449989053564895,-0.7794765991285091,-0.7274915696106571,-0.6058147828754027,-0.5451609192949257,-0.48896768224936116,-0.9237299570309538,-0.8659118474017955,-0.8010437864569026,-2.530752373674887,-2.447148301807288,-2.3730137583573887,-0.15115498629483315,-0.7032585707577795,-0.2040105646306819,-0.9955696582794187,-2.3659954497370173
1990,-0.1106178677314407,-0.0920780875605891,-0.05242079276078026,-0.7695188203253199,-0.7094062181457792,-0.6618146536628504,-0.5521449295322536,-0.49664518003093117,-0.44527890156166344,-0.7950544995070163,-0.7452904446944993,-0.6894584958267804,-2.2638248443057902,-2.1879544494960843,-2.120902109354797,-0.14561819163235762,-0.6167625037106604,-0.18309095556085775,-0.9834099292755125,-2.0397483331288306
1991,-0.10021151873753681,-0.08345311600933651,-0.04753759251622681,-0.6903094584377607,-0.636219845108088,-0.5935934461918401,-0.497539519026489,-0.4474068847254813,-0.40086847822101646,-0.67297170152422,-0.6308490537526648,-0.5835902536927696,-1.940488397804246,-1.872949416183552,-1.8131920817785778,-0.14028843966397375,-0.5496396628293124,-0.16452606374567214,-0.7139692783355716,-2.7960979502417294
1992,-0.08950928331456076,-0.07464044474968669,-0.04291670889379637,-0.6096883651693413,-0.5615552875962395,-0.5236030166159257,-0.4421927143255626,-0.3976268858163289,-0.3562331676697063,-0.6761559307111498,-0.6338339756519908,-0.5863515661146851,-1.6324846791983822,-1.5708935687477632,-1.516779296519096,-0.15604604807767014,-0.5325298872860994,-0.188701326196844,-0.7196871280670165,-2.860248378703343
1993,-0.07990257512122134,-0.06670005706267308,-0.03852448606705068,-0.5336537794675312,-0.49129154751889476,-0.45788497434270325,-0.3878589184392208,-0.3486139309325308,-0.31225512219161816,-0.8464960036804677,-0.793512122007134,-0.7340677422526375,-1.9234884233027278,-1.8616192758329266,-1.8051569098113638,-0.1528996380892667,-0.45768133076754547,-0.1796168153936214,-0.7577068805694576,-2.7631012243920487
1994,-0.07237640527747675,-0.06011202322443254,-0.03416954930137551,-0.46924140079558074,-0.4316601728491756,-0.40171551090284474,-0.33640721120223815,-0.30159129757738845,-0.26954973533846666,-0.8454402449409185,-0.7925224453233638,-0.7331522052259597,-1.8175906031977451,-1.757460538529918,-1.702804630570471,-0.11916503039273352,-0.38806482228365835,-0.15549810582941237,-0.6639641284942628,-2.479301133767911
1995,-0.06385901578524757,-0.052656964803075246,-0.029248066057504355,-0.40442098912809227,-0.3706404002860292,-0.3440194870877829,-0.284604679371175,-0.25423748354856457,-0.22647422217267754,-0.7390427100440615,-0.6927845454097776,-0.640885971382682,-1.4717962489095602,-1.4176993562902809,-1.3690637976236493,-0.09468263712796304,-0.3054947462948887,-0.1020575826818294,-0.7604019641876225,-1.389075711313935
1996,-0.0541056912856441,-0.044345406340000254,-0.024192077062209504,-0.3340378273480572,-0.304771536882531,-0.28204397463434977,-0.23153569680782296,-0.20579979703795465,-0.18257529379656165,-0.6014051068278901,-0.5637619556737641,-0.5215288519129275,-1.2236008853296751,-1.1776768061600225,-1.137313522622958,-0.0823554429140958,-0.27952066334811143,-0.13944633657282057,-0.4555838108062744,-1.8475789875262159
1997,-0.04336695802884527,-0.035523015387127405,-0.01949150634788161,-0.25761507019739394,-0.23413950805083322,-0.216184887022548,-0.1764811453237173,-0.15614733507681028,-0.13800940763770003,-0.45434494333099273,-0.42590658259253655,-0.3940006394652519,-1.0260189088376268,-0.9899581794566491,-0.958672451370197,-0.06694213477048011,-0.21014877232638285,-0.1368076151067561,-0.42439217567443843,-0.4926071275084549
1998,-0.031969866441650924,-0.026376868623188224,-0.015121525000166672,-0.177713419581937,-0.16052933218640014,-0.14767692980466193,-0.12026872197615175,-0.1056298160062627,-0.09292066652721788,-0.3231947936564179,-0.302965383676837,-0.2802693355380905,-0.6546926185697037,-0.6283495229101057,-0.6058003784461141,-0.04962514964017012,-0.11813374432650492,-0.09964726621454423,-0.4012865543365476,-0.4479664077419372
1999,-0.020260694756623798,-0.01712157017442961,-0.011029850821511079,-0.09552787645556754,-0.08529102170886926,-0.07780554269128034,-0.06323076180501402,-0.05463638085151275,-0.04743290993777072,-0.18273365175615014,-0.17129598620275363,-0.1584636886588906,-0.45480242849708474,-0.43923368014067576,-0.42616560793459834,-0.020642057332125596,-0.05839463147250101,-0.07188237363641925,-0.19428448677062948,-0.13817459041483904
2000,-0.008460896599231417,-0.0077195344448660955,-0.006590640202268664,-0.012385271834053635,-0.008906377255721298,-0.006450077858608101,-0.00588656810657763,-0.003187197363238581,-0.001170125167546458,-0.016120552603135913,-0.015111534902025221,-0.013979484370626356,-0.2664596681999922,-0.26207254362093935,-0.2587695334663077,0.0017998782071199648,-0.008508881655606482,-0.04322274381464186,-0.23769707679748553,0.078731716114536
2001,-0.0037798215342572505,0.0022173936714139746,0.004706048639892224,0.0647230037613955,0.06924710382828769,0.07499816913599577,0.0439693831678337,0.04886732622907085,0.05414731911243961,0.1356145300404606,0.14659651597981552,0.15638496437396363,0.26079473856934826,0.2712385641562578,0.2816802491571804,0.017449840632351943,0.050670758160677676,-0.014422828500921137,0.051730203628540306,0.2772563730914053
2002,-0.0004415712920412611,0.012398173688962528,0.0180865643562912,0.13918611054528116,0.150113412963869,0.16403734404686812,0.09072965043162735,0.10190966887093644,0.1141595490571976,0.2791677582449794,0.3017746012938251,0.3219245011170643,0.7334032530288606,0.7553537973137909,0.7790810878101373,0.028250106898221106,0.11278390017422735,0.04990450685674486,0.3840820789337158,1.2582765951071893
2003,0.0024826235683475003,0.022775146407902087,0.0319550578340629,0.21469039319530203,0.23237356967070744,0.2553979192242489,0.13764268458107023,0.15559191143597675,0.17557948889537156,0.4120168819894373,0.4453817699806798,0.47512051542092204,1.0903788967614523,1.1241657720019753,1.1613346247051328,0.05935688885775481,0.2030654343691738,0.11952950304204757,0.6563944816589355,1.6371162723718082
2004,0.03646635776146817,0.05627250547007301,0.06622731120291035,0.2905079336616487,0.31494988666724844,0.34744857650315114,0.18483216219055545,0.209493346839313,0.23751286568290036,0.5307084127838286,0.5736848720566706,0.6119905898092209,1.111648465101553,1.1535876266595735,1.20272565363135,0.10739208134737882,0.28052343455227924,0.18753883188421067,0.6542348861694336,0.2190256575806253
2005,0.06998246307843657,0.09026040545103046,0.1011474695908721,0.36609221377296275,0.3973877494407349,0.43913795173087883,0.23207885669775086,0.2636452558674153,0.2999490224587519,0.6516203882697625,0.7043882291466997,0.7514211874974769,1.5599742068176408,1.610734277944281,1.671985981506007,0.0999986258420077,0.33315791216763563,0.2505139047449285,0.727204418182373,0.8449962102398123
2006,0.10292439263610924,0.1245017936619762,0.13657379348606777,0.44111381425681867,0.47938056938078566,0.5303420975052676,0.2793290893008518,0.31787769694153134,0.3624334302987061,0.7638272567201091,0.8256815446853718,0.8808134223847427,1.8646683684762249,1.9244845407240445,1.998365210830879,0.07396980198946862,0.41394039717587544,0.3268577749078923,0.8508980751037598,2.0212823064405514
2007,0.13535224567542087,0.15889595716160532,0.17237330835057926,0.5156418663214657,0.5607362933676446,0.6211684518527839,0.3266388119027064,0.3721492372903985,0.42543875061944264,0.8729787451494813,0.9436720573021478,1.0066823217150704,2.06774455463999,2.1364752762148953,2.2230856985198026,0.1307688561352816,0.4806521686640651,0.4076969320123845,0.755551528930664,1.4383634158129923
2008,0.16745246656721374,0.19350541462913648,0.20872848662781435,0.5898133399916522,0.6417773188693674,0.7112305703554165,0.3740009469284785,0.4266304144303602,0.48850712681159547,0.9864109690248528,1.066289956837033,1.1374875848702575,2.3742680519397212,2.4527834368140065,2.5512901791534826,0.2120167461308566,0.5334999713030728,0.4865355665033513,0.9397127628326416,2.19080364095714
2009,0.19963292578851283,0.22841124056863277,0.24544053851581235,0.6636998563547493,0.7222680302928428,0.800668158939378,0.42137010425146265,0.48129830193644685,0.5519462727393721,1.1082201798334663,1.1979632068454658,1.2779528365438233,2.7682828018063796,2.856876267652523,2.9683132192843464,0.20756623419848352,0.597413119944659,0.5546272212808782,1.10294189453125,2.3954532835933744
2010,0.23211584198955929,0.26389882035250534,0.2829466793941785,0.7378336404933583,0.8032390525381836,0.8907420533938634,0.4689486677965675,0.5362887542551806,0.616029970127988,1.233581451014096,1.333476161013417,1.4225141746364935,3.115544000594243,3.2144739406782965,3.3392986893067107,0.2918349829587069,0.6887768204239281,0.6660145530646496,1.0581675529479981,2.84131350532681
2011,0.26463270169441244,0.2998590691813322,0.32127765201638936,0.8121115647815819,0.8846484436278335,0.9815186999794342,0.5168063976853525,0.591694364575979,0.6807414049471882,1.3662459530262703,1.476883757407252,1.5754972909343832,3.1404522808961937,3.2504930397253275,3.3893982973445667,0.32411767813292414,0.7517698141661556,0.797527819330042,1.172118040919304,2.408460211666581
2012,0.2975149668684167,0.336423249827716,0.3603364138239994,0.8869683090285079,0.9664213060412361,1.0731565370273417,0.5649068951802633,0.6475195744769575,0.7462164857941387,1.5018104736084807,1.6234262141919114,1.731824586507338,3.856634517610928,3.9775526385510958,4.13051357016932,0.3536951062354174,0.7784274610606106,0.9165590698068791,1.3359959244728088,4.347672827324512
2013,0.3310070224785077,0.37366005921632217,0.40025961193909165,0.9624244441924309,1.0490729757552233,1.165947183459264,0.6130641827552341,0.7039949174478082,0.8127004076418178,1.6420043403997995,1.7749728989550717,1.8934902491547518,4.139005026210653,4.271662242743886,4.4395026346083775,0.42340410622683433,0.8651102813807399,1.020487349683588,1.5293026685714721,3.764943729563674
2014,0.36492119262487566,0.4116092798068985,0.44109410178093605,1.0382980347038444,1.132475869209462,1.2593701971795377,0.6614402813825232,0.7608111656170327,0.8797915017851577,1.795354435298277,1.940741195542346,2.070327119955303,4.354319997598746,4.499730003525989,4.683167388129554,0.49241209897128013,0.9391456994143397,1.061065118963068,1.685045337677002,4.314819923943622
2015,0.39939585519209586,0.4505264614418444,0.48284281916106886,1.114993175009857,1.2169252781121631,1.3545524790219214,0.7102956383157123,0.8183370470690683,0.9481687188310298,1.944993118159595,2.1024975320995942,2.24288414670791,5.094402807071493,5.25258936902115,5.451772881788145,0.5855627861889925,1.0176314267245203,1.1191089803522283,1.892512035369873,4.914878408430701
2016,0.43439219462044687,0.4901807954396789,0.5254639551582687,1.192031912953073,1.3020607411985088,1.4508923644438114,0.7594840664508334,0.8766678674766986,1.0180257638063752,2.0871655160501845,2.2561829682622108,2.4068313680893305,5.579233390075102,5.750253174555296,5.96594114100555,0.5666000691327181,1.0881678494540126,1.1942859823053533,1.8652884483337402,5.522112567780768
2017,0.4696945992079298,0.5302571667938032,0.5686735935909376,1.2694218772628378,1.3871739263232832,1.5468973358377447,0.8089436909492302,0.9351513322942518,1.088691928328416,2.240724071789613,2.4221766067283577,2.583908627151934,5.695331701364847,5.880024070344955,6.112921148195139,0.5806488362225619,1.176957455548373,1.25936729257757,2.0228739261627195,6.3637311253748585
2018,0.5054568297182119,0.5709933417881528,0.612652552405684,1.346544606778469,1.4723811778957139,1.643760903525736,0.8582450193396222,0.9940835687950802,1.1597812826365188,2.3979619087001267,2.592147472419568,2.7652286783009776,5.96153392274336,6.159755467161231,6.409745399502819,0.696409138766202,1.205569210919467,1.2730523759668522,2.074393606185913,6.691498117289738
2019,0.5417348999764072,0.6125915355882099,0.6576013954150391,1.424122948422511,1.5583737905167803,1.7417958472796062,0.9081958118984823,1.0536795011237872,1.2316656838616686,2.554032771147024,2.7608568627323473,2.9452030236479683,6.303170850669369,6.515566611586774,6.783993639986753,0.6917651205871491,1.3547506622539354,1.3214496367767197,2.41505758715868,6.393971366552439
2020,0.5783020183013831,0.6547709060883519,0.7030367919212068,1.5018602389755742,1.644418628057258,1.839484255683978,0.9579606132117564,1.113464706343338,1.3044779869357748,2.6963449697639383,2.914693420602974,3.109311457339009,6.631475885070055,6.857171097811131,7.142938578992919,0.7446601482114583,1.466640003590078,1.4331107785815083,2.38475758715868,6.6621335287146
2021,0.6150982407813681,0.6971470210577222,0.7487094439532707,1.5788444568609663,1.7294859764812112,1.9363415867869003,1.0076174661209372,1.173287959828925,1.3771216869025253,2.8537245011507957,3.084817455106991,3.290794904590434,6.974685185027926,7.214491027776035,7.518922460999353,0.7701859309002244,1.526782642969841,1.4787376202021343,2.56855758715868,7.102458956182884
2022,0.6528092689132947,0.740449101975024,0.7956266800058187,1.656349884375597,1.8151063628482538,2.03391047860656,1.057561819851211,1.2336141048846005,1.4513586338586515,3.006394682618861,3.2498507792688427,3.4668477278589047,7.314194686856455,7.568670824435628,7.891773252268202,0.7131118056700219,1.653937039208228,1.5219252353034234,2.71155758715868,7.36390763117527
2023,0.6904859014126018,0.7841663879741496,0.84289981607895,1.7334992312340283,1.900743246046091,2.131595656333114,1.1075207016048905,1.2945782676980122,1.525369556489709,3.1520384565019004,3.4072887014371807,3.6347979938310946,7.647367831442146,7.9159511744964615,8.259163841355797,0.7013054060383461,1.8053251912104726,1.5741034120990034,2.90135758715868,7.9441335287146
2024,0.7286353703462937,0.8283816360637706,0.8905112546885169,1.81051157266535,1.9860793789179778,2.2292403719489045,1.158177842054072,1.3557692087595232,1.6006792585653544,3.3042582700402514,3.571835187135739,3.8103314717711356,7.987891422241425,8.270884788160505,8.633187302143382,0.7646276896479223,,1.6184183292260754,3.0108575871586805,8.284011907092978
2025,0.7673386060042395,0.8735549545301248,0.9392505759378047,1.8876406318278385,2.0716286067224323,2.327160472681033,1.20894362661316,1.4172136560408695,1.6772273228643038,3.4608050153418026,3.7410589970205654,3.9908545851833868,8.333271355075908,8.631914876331274,9.013592489718997,0.7663673305319003,,1.6502983936827973,3.2329575871586798,
2026,0.8066741204811712,0.9191680878345674,0.9883885064606095,1.9648036865171248,2.1572477510717376,2.4255672008913733,1.2599132751218352,1.479072244260933,1.7540929697018837,3.616177984059911,3.9090139785754183,4.170024148875485,8.679506348397743,8.993308711167792,9.395327303096785,,,,,
