gmt_K,pchip,linear,saturating,logistic2
5.19,7.32720034,7.42,6.69347161,7.40639199
5.2,7.32816943,7.42,6.70590345,7.40671143
5.21,7.3291494,7.42,6.71832367,7.40702338
5.22,7.33013874,7.42,6.73073229,7.40732801
5.23,7.33113593,7.42,6.74312932,7.40762551
5.24,7.33213947,7.42,6.75551477,7.40791604
5.25,7.33314783,7.42,6.76788864,7.40819976
5.26,7.33415951,7.42,6.78025095,7.40847682
5.27,7.33517299,7.42,6.79260172,7.40874739
5.28,7.33618675,7.42,6.80494094,7.40901162
5.29,7.3371993,7.42,6.81726864,7.40926965
5.3,7.33820911,7.42,6.82958482,7.40952163
5.31,7.33921467,7.42,6.84188949,7.40976771
5.32,7.34021447,7.42,6.85418267,7.41000801
5.33,7.34120699,7.42,6.86646436,7.41024268
5.34,7.34219073,7.42,6.87873458,7.41047184
5.35,7.34316416,7.42,6.89099333,7.41069563
5.36,7.34412578,7.42,6.90324064,7.41091416
5.37,7.34507408,7.42,6.91547649,7.41112757
5.38,7.34600753,7.42,6.92770092,7.41133598
5.39,7.34692463,7.42,6.93991393,7.41153949
5.4,7.34782387,7.42,6.95211553,7.41173823
5.41,7.34870372,7.42,6.96430572,7.41193231
5.42,7.34956269,7.42,6.97648453,7.41212183
5.43,7.35039925,7.42,6.98865196,7.41230691
5.44,7.35121189,7.42,7.00080802,7.41248764
5.45,7.3519991,7.42,7.01295273,7.41266413
5.46,7.35275937,7.42,7.02508609,7.41283648
5.47,7.35349119,7.42,7.03720811,7.41300478
5.48,7.35419303,7.42,7.04931881,7.41316913
5.49,7.35486339,7.42,7.06141819,7.41332963
5.5,7.35550076,7.42,7.07350627,7.41348636
5.51,7.35610362,7.42,7.08558305,7.4136394
5.52,7.35667046,7.42,7.09764856,7.41378886
5.53,7.35719976,7.42,7.10970279,7.41393481
5.54,7.35769002,7.42,7.12174575,7.41407732
5.55,7.35814834,7.42,7.13377747,7.4142165
5.56,7.35859218,7.42,7.14579795,7.4143524
5.57,7.35902261,7.42,7.15780719,7.41448512
5.58,7.35944014,7.42,7.16980522,7.41461472
5.59,7.35984531,7.42,7.18179204,7.41474127
5.6,7.36023861,7.42,7.19376765,7.41486485
5.61,7.36062059,7.42,7.20573208,7.41498553
5.62,7.36099176,7.42,7.21768533,7.41510338
5.63,7.36135264,7.42,7.22962742,7.41521846
5.64,7.36170375,7.42,7.24155835,7.41533084
5.65,7.36204561,7.42,7.25347813,7.41544057
5.66,7.36237875,7.42,7.26538677,7.41554773
5.67,7.36270369,7.42,7.27728429,7.41565237
5.68,7.36302094,7.42,7.28917069,7.41575456
5.69,7.36333103,7.42,7.30104599,7.41585434
5.7,7.36363448,7.42,7.31291019,7.41595178
5.71,7.36393181,7.42,7.32476331,7.41604693
5.72,7.36422354,7.42,7.33660535,7.41613985
5.73,7.36451019,7.42,7.34843633,7.41623058
5.74,7.36479229,7.42,7.36025626,7.41631918
5.75,7.36507036,7.42,7.37206515,7.4164057
5.76,7.36534491,7.42,7.383863,7.41649019
5.77,7.36561646,7.42,7.39564983,7.41657269
5.78,7.36588555,7.42,7.40742565,7.41665325
5.79,7.36615268,7.42,7.41919046,7.41673192
5.8,7.36641839,7.42,7.42,7.41680875
5.81,7.36668319,7.42,7.42,7.41688376
5.82,7.3669476,7.42,7.42,7.41695702
5.83,7.36721215,7.42,7.42,7.41702855
5.84,7.36747735,7.42,7.42,7.4170984
5.85,7.36774373,7.42,7.42,7.41716661
5.86,7.3680118,7.42,7.42,7.41723322
5.87,7.3682821,7.42,7.42,7.41729826
5.88,7.36855513,7.42,7.42,7.41736178
5.89,7.36883143,7.42,7.42,7.4174238
5.9,7.36911151,7.42,7.42,7.41748436
5.91,7.3693959,7.42,7.42,7.4175435
5.92,7.3696851,7.42,7.42,7.41760126
5.93,7.36997966,7.42,7.42,7.41765765
5.94,7.37028008,7.42,7.42,7.41771272
5.95,7.37058689,7.42,7.42,7.41776649
5.96,7.37090061,7.42,7.42,7.417819
5.97,7.37121962,7.42,7.42,7.41787028
5.98,7.37153945,7.42,7.42,7.41792035
5.99,7.3718599,7.42,7.42,7.41796924
6,7.37218095,7.42,7.42,7.41801699
6.01,7.37250257,7.42,7.42,7.41806361
6.02,7.37282471,7.42,7.42,7.41810914
6.03,7.37314736,7.42,7.42,7.41815359
6.04,7.37347049,7.42,7.42,7.418197
6.05,7.37379406,7.42,7.42,7.41823939
6.06,7.37411804,7.42,7.42,7.41828079
6.07,7.3744424,7.42,7.42,7.41832121
6.08,7.37476711,7.42,7.42,7.41836068
6.09,7.37509215,7.42,7.42,7.41839923
6.1,7.37541747,7.42,7.42,7.41843686
6.11,7.37574306,7.42,7.42,7.41847362
6.12,7.37606887,7.42,7.42,7.41850951
6.13,7.37639489,7.42,7.42,7.41854455
6.14,7.37672108,7.42,7.42,7.41857877
6.15,7.3770474,7.42,7.42,7.41861219
6.16,7.37737383,7.42,7.42,7.41864482
6.17,7.37770034,7.42,7.42,7.41867669
6.18,7.3780269,7.42,7.42,7.4187078
6.19,7.37835347,7.42,7.42,7.41873818
6.2,7.37868003,7.42,7.42,7.41876785
6.21,7.37900655,7.42,7.42,7.41879683
6.22,7.37933299,7.42,7.42,7.41882512
6.23,7.37965933,7.42,7.42,7.41885274
6.24,7.37998553,7.42,7.42,7.41887972
6.25,7.38031157,7.42,7.42,7.41890606
6.26,7.38063741,7.42,7.42,7.41893178
6.27,7.38096303,7.42,7.42,7.4189569
6.28,7.38128839,7.42,7.42,7.41898143
6.29,7.38161346,7.42,7.42,7.41900538
6.3,7.38193822,7.42,7.42,7.41902877
6.31,7.38226262,7.42,7.42,7.4190516
6.32,7.38258665,7.42,7.42,7.4190739
6.33,7.38291027,7.42,7.42,7.41909568
6.34,7.38323345,7.42,7.42,7.41911695
6.35,7.38355616,7.42,7.42,7.41913771
6.36,7.38387838,7.42,7.42,7.41915799
6.37,7.38420006,7.42,7.42,7.41917779
6.38,7.38452118,7.42,7.42,7.41919712
6.39,7.38484183,7.42,7.42,7.419216
6.4,7.38516231,7.42,7.42,7.41923443
6.41,7.38548262,7.42,7.42,7.41925244
6.42,7.38580277,7.42,7.42,7.41927002
6.43,7.38612274,7.42,7.42,7.41928718
6.44,7.38644255,7.42,7.42,7.41930394
6.45,7.3867622,7.42,7.42,7.41932031
6.46,7.38708167,7.42,7.42,7.41933629
6.47,7.38740098,7.42,7.42,7.4193519
6.48,7.38772012,7.42,7.42,7.41936714
6.49,7.38803909,7.42,7.42,7.41938202
6.5,7.38835789,7.42,7.42,7.41939656
6.51,7.38867653,7.42,7.42,7.41941075
6.52,7.38899499,7.42,7.42,7.4194246
6.53,7.38931329,7.42,7.42,7.41943813
6.54,7.38963142,7.42,7.42,7.41945135
6.55,7.38994938,7.42,7.42,7.41946425
6.56,7.39026717,7.42,7.42,7.41947685
6.57,7.39058479,7.42,7.42,7.41948915
6.58,7.39090225,7.42,7.42,7.41950116
6.59,7.39121953,7.42,7.42,7.41951289
6.6,7.39153665,7.42,7.42,7.41952435
6.61,7.39185359,7.42,7.42,7.41953553
6.62,7.39217036,7.42,7.42,7.41954645
6.63,7.39248697,7.42,7.42,7.41955712
6.64,7.3928034,7.42,7.42,7.41956753
6.65,7.39311967,7.42,7.42,7.4195777
6.66,7.39343576,7.42,7.42,7.41958763
6.67,7.39375169,7.42,7.42,7.41959733
6.68,7.39406744,7.42,7.42,7.4196068
6.69,7.39438302,7.42,7.42,7.41961605
6.7,7.39469843,7.42,7.42,7.41962508
6.71,7.39501367,7.42,7.42,7.41963389
6.72,7.39532874,7.42,7.42,7.4196425
6.73,7.39564364,7.42,7.42,7.41965091
6.74,7.39595837,7.42,7.42,7.41965912
6.75,7.39627292,7.42,7.42,7.41966713
6.76,7.39658731,7.42,7.42,7.41967496
6.77,7.39690152,7.42,7.42,7.41968261
6.78,7.39721556,7.42,7.42,7.41969007
6.79,7.39752943,7.42,7.42,7.41969736
6.8,7.39784312,7.42,7.42,7.41970448
6.81,7.39815664,7.42,7.42,7.41971143
6.82,7.39846999,7.42,7.42,7.41971821
6.83,7.39878317,7.42,7.42,7.41972484
6.84,7.39909618,7.42,7.42,7.41973131
6.85,7.39940901,7.42,7.42,7.41973763
6.86,7.39972167,7.42,7.42,7.4197438
6.87,7.40003415,7.42,7.42,7.41974982
6.88,7.40034647,7.42,7.42,7.41975571
6.89,7.40065861,7.42,7.42,7.41976145
6.9,7.40097057,7.42,7.42,7.41976706
6.91,7.40128236,7.42,7.42,7.41977254
6.92,7.40159398,7.42,7.42,7.41977789
6.93,7.40190543,7.42,7.42,7.41978311
6.94,7.4022167,7.42,7.42,7.41978821
6.95,7.40252779,7.42,7.42,7.41979319
6.96,7.40283871,7.42,7.42,7.41979806
6.97,7.40314946,7.42,7.42,7.4198028
6.98,7.40346003,7.42,7.42,7.41980744
6.99,7.40377043,7.42,7.42,7.41981197
7,7.40408065,7.42,7.42,7.41981639
7.01,7.4043907,7.42,7.42,7.41982071
7.02,7.40470057,7.42,7.42,7.41982493
7.03,7.40501027,7.42,7.42,7.41982904
7.04,7.40531979,7.42,7.42,7.41983306
7.05,7.40562913,7.42,7.42,7.41983699
7.06,7.4059383,7.42,7.42,7.41984082
7.07,7.4062473,7.42,7.42,7.41984457
7.08,7.40655611,7.42,7.42,7.41984822
7.09,7.40686475,7.42,7.42,7.41985179
7.1,7.40717322,7.42,7.42,7.41985528
7.11,7.40748151,7.42,7.42,7.41985868
7.12,7.40778962,7.42,7.42,7.419862
7.13,7.40809756,7.42,7.42,7.41986525
7.14,7.40840531,7.42,7.42,7.41986842
7.15,7.4087129,7.42,7.42,7.41987151
7.16,7.4090203,7.42,7.42,7.41987453
7.17,7.40932753,7.42,7.42,7.41987748
7.18,7.40963458,7.42,7.42,7.41988037
7.19,7.40994145,7.42,7.42,7.41988318
7.2,7.41024815,7.42,7.42,7.41988593
7.21,7.41055466,7.42,7.42,7.41988861
7.22,7.410861,7.42,7.42,7.41989123
7.23,7.41116716,7.42,7.42,7.41989379
7.24,7.41147314,7.42,7.42,7.41989628
7.25,7.41177895,7.42,7.42,7.41989872
7.26,7.41208457,7.42,7.42,7.4199011
7.27,7.41239002,7.42,7.42,7.41990343
7.28,7.41269529,7.42,7.42,7.4199057
7.29,7.41300038,7.42,7.42,7.41990792
7.3,7.41330529,7.42,7.42,7.41991008
7.31,7.41361002,7.42,7.42,7.4199122
7.32,7.41391457,7.42,7.42,7.41991426
7.33,7.41421895,7.42,7.42,7.41991628
7.34,7.41452314,7.42,7.42,7.41991825
7.35,7.41482715,7.42,7.42,7.41992017
7.36,7.41513099,7.42,7.42,7.41992205
7.37,7.41543464,7.42,7.42,7.41992388
7.38,7.41573811,7.42,7.42,7.41992567
7.39,7.41604141,7.42,7.42,7.41992742
7.4,7.41634452,7.42,7.42,7.41992913
7.41,7.41664745,7.42,7.42,7.41993079
7.42,7.4169502,7.42,7.42,7.41993242
7.43,7.41725277,7.42,7.42,7.41993401
7.44,7.41755516,7.42,7.42,7.41993556
7.45,7.41785737,7.42,7.42,7.41993708
7.46,7.4181594,7.42,7.42,7.41993856
7.47,7.41846125,7.42,7.42,7.41994
7.48,7.41876291,7.42,7.42,7.41994141
7.49,7.41906439,7.42,7.42,7.41994279
7.5,7.41936569,7.42,7.42,7.41994414
7.51,7.41966681,7.42,7.42,7.41994545
7.52,7.41996775,7.42,7.42,7.41994673
7.53,7.42,7.42,7.42,7.41994799
7.54,7.42,7.42,7.42,7.41994921
7.55,7.42,7.42,7.42,7.4199504
7.56,7.42,7.42,7.42,7.41995157
7.57,7.42,7.42,7.42,7.41995271
7.58,7.42,7.42,7.42,7.41995382
7.59,7.42,7.42,7.42,7.41995491
7.6,7.42,7.42,7.42,7.41995597
7.61,7.42,7.42,7.42,7.419957
7.62,7.42,7.42,7.42,7.41995801
7.63,7.42,7.42,7.42,7.419959
7.64,7.42,7.42,7.42,7.41995997
7.65,7.42,7.42,7.42,7.41996091
7.66,7.42,7.42,7.42,7.41996183
7.67,7.42,7.42,7.42,7.41996272
7.68,7.42,7.42,7.42,7.4199636
7.69,7.42,7.42,7.42,7.41996446
7.7,7.42,7.42,7.42,7.41996529
7.71,7.42,7.42,7.42,7.41996611
7.72,7.42,7.42,7.42,7.41996691
7.73,7.42,7.42,7.42,7.41996768
7.74,7.42,7.42,7.42,7.41996844
7.75,7.42,7.42,7.42,7.41996919
7.76,7.42,7.42,7.42,7.41996991
7.77,7.42,7.42,7.42,7.41997062
7.78,7.42,7.42,7.42,7.41997131
7.79,7.42,7.42,7.42,7.41997198
7.8,7.42,7.42,7.42,7.41997264
7.81,7.42,7.42,7.42,7.41997329
7.82,7.42,7.42,7.42,7.41997391
7.83,7.42,7.42,7.42,7.41997453
7.84,7.42,7.42,7.42,7.41997513
7.85,7.42,7.42,7.42,7.41997571
7.86,7.42,7.42,7.42,7.41997628
7.87,7.42,7.42,7.42,7.41997684
7.88,7.42,7.42,7.42,7.41997739
7.89,7.42,7.42,7.42,7.41997792
7.9,7.42,7.42,7.42,7.41997844
7.91,7.42,7.42,7.42,7.41997894
7.92,7.42,7.42,7.42,7.41997944
7.93,7.42,7.42,7.42,7.41997992
7.94,7.42,7.42,7.42,7.41998039
7.95,7.42,7.42,7.42,7.41998086
7.96,7.42,7.42,7.42,7.41998131
7.97,7.42,7.42,7.42,7.41998175
7.98,7.42,7.42,7.42,7.41998217
7.99,7.42,7.42,7.42,7.41998259
8,7.42,7.42,7.42,7.419983
