year,ssp,gmst,gsic_med,gsic_lo,gsic_hi
2133,SSP4-6.0,3.5450664041460893,15.822241050038077,12.92872888488228,17.952987552504485
2134,SSP4-6.0,3.5623867453750786,15.912856882785622,13.010688241896524,18.059858534367542
2135,SSP4-6.0,3.568183073090674,16.001093282280962,13.09234276065396,18.15061316098222
2136,SSP4-6.0,3.574189546084293,16.087038253913384,13.1734818346525,18.234976201185667
2137,SSP4-6.0,3.576628260403378,16.171742722756754,13.254115571640776,18.318310970199732
2138,SSP4-6.0,3.5793863383034923,16.260771532705903,13.33418464192982,18.40669520296654
2139,SSP4-6.0,3.5897348243007476,16.348476164584802,13.400935662070827,18.500316177215957
2140,SSP4-6.0,3.5950022721304817,16.436554604299126,13.465667042895188,18.592337568988615
2141,SSP4-6.0,3.6006967126664553,16.524430580582248,13.52971556509309,18.683610207646865
2142,SSP4-6.0,3.6054855641608867,16.6046105013419,13.593102578778261,18.768042570885523
2143,SSP4-6.0,3.6212083208637735,16.684031966778733,13.655814851396652,18.851652016556738
2144,SSP4-6.0,3.632880423809906,16.759921911014235,13.718349017841103,18.93517292503072
2145,SSP4-6.0,3.640370326895691,16.83552358767288,13.781149202512482,19.01813880020924
2146,SSP4-6.0,3.6475330624731446,16.907628929614887,13.852934040854812,19.099558607626886
2147,SSP4-6.0,3.6550118516990353,16.985783634876547,13.924414329482165,19.177799978700865
2148,SSP4-6.0,3.6632952232688303,17.064076828477262,13.993425796891144,19.261436107461144
2149,SSP4-6.0,3.6662693389968397,17.141769606438757,14.056282958005717,19.341320842024185
2150,SSP4-6.0,3.6722856493021854,17.21880729718319,14.118531369833027,19.416563527384792
2151,SSP4-6.0,3.680854098096901,17.29580511693402,14.180256136351082,19.500579850702437
2152,SSP4-6.0,3.6860568585028806,17.371394064117197,14.241528203874621,19.580703564490534
2153,SSP4-6.0,3.6932769814822484,17.445738613342435,14.29805238924213,19.659881067219356
2154,SSP4-6.0,3.709103699834304,17.52221798593686,14.352122249249579,19.749686399312605
2155,SSP4-6.0,3.7245997028102416,17.597553899836115,14.40417532886685,19.832572392689677
2156,SSP4-6.0,3.733110634337445,17.67404010320385,14.455890921995868,19.92542489644486
2157,SSP4-6.0,3.7427864193506863,17.74264207356719,14.51605437835662,20.01607253419155
2158,SSP4-6.0,3.748456506430759,17.822105414245566,14.58551542251799,20.10767761244164
2159,SSP4-6.0,3.7509719811494344,17.89639599939376,14.654556584650194,20.201181479084656
2160,SSP4-6.0,3.757053293796652,17.97004546418995,14.713462138994597,20.285145995187317
2161,SSP4-6.0,3.761567182479234,18.046854690070766,14.770352895403573,20.359986764856558
2162,SSP4-6.0,3.76060601103307,18.116675247751736,14.827243243470589,20.439097333674372
2163,SSP4-6.0,3.773043354139785,18.187478478213137,14.883800752893166,20.514774432426844
2164,SSP4-6.0,3.7848969591554575,18.253448963373962,14.940078037762204,20.592165370299224
2165,SSP4-6.0,3.7957689006638504,18.322269028501125,14.99606430603326,20.660852791038145
2166,SSP4-6.0,3.8096713569516263,18.394528633088946,15.05174004070752,20.722816460109918
2167,SSP4-6.0,3.8205307717159207,18.462787525855255,15.107178256365867,20.805876917548268
2168,SSP4-6.0,3.8214682748118856,18.533563743630097,15.162311397941536,20.875649057489518
2169,SSP4-6.0,3.822433350470976,18.603852237767654,15.216918210445709,20.94211774049911
2170,SSP4-6.0,3.819970298432546,18.669672373555812,15.271008015244043,21.02569411724916
2171,SSP4-6.0,3.8276322051116463,18.727312671525944,15.32371214145568,21.09708866494931
2172,SSP4-6.0,3.828211827198007,18.79051196980895,15.377210132101137,21.18384573479438
2173,SSP4-6.0,3.837551174507363,18.854710416399346,15.42929962174442,21.26062818942321
2174,SSP4-6.0,3.8460046876003338,18.917307327584428,15.481089339356158,21.341153243873965
2175,SSP4-6.0,3.853402577897858,18.977440963622776,15.532563085633608,21.416831083877838
2176,SSP4-6.0,3.8711238061368562,19.03193003401465,15.583928613201074,21.4735774830094
2177,SSP4-6.0,3.8762480242495743,19.08638292675658,15.635530305122217,21.54705604466142
2178,SSP4-6.0,3.8818876151235306,19.14045483306405,15.686754379457996,21.614005312967276
2179,SSP4-6.0,3.8870205387047965,19.196472206018697,15.740991645205904,21.683482767967792
2180,SSP4-6.0,3.8855221511569016,19.26142653225045,15.798062209086277,21.752469239378815
2181,SSP4-6.0,3.8902892610061675,19.322782836791873,15.853979335231601,21.82076316329574
2182,SSP4-6.0,3.8895388126654957,19.38704395317908,15.909909421791347,21.89489826782939
2183,SSP4-6.0,3.888664597907019,19.446911966493353,15.96073508364665,21.963172064240283
