tag,shift,block,scenario,window,horizon,metric,value
L15,-0.12,H,,1950-1992,0,cov90,1.0
L15,-0.12,H,,1950-1992,0,band_cm,0.2029412805754173
L15,-0.12,H,,1993-2026,0,bias_cm,-0.04074752171541189
L15,-0.12,H,,1993-2026,0,bias_sigma,-0.24334983592213533
L15,-0.12,H,,1993-2026,0,rmse_cm,0.08076475099755527
L15,-0.12,H,,1993-2026,0,cov90,0.5151515151515151
L15,-0.12,H,,1993-2026,0,band_cm,0.10757214387120081
L15,-0.12,P,ssp126,,2100,ais_med,5.519320063463569
L15,-0.12,P,ssp126,,2100,ais_p05,4.504968220354934
L15,-0.12,P,ssp126,,2100,ais_p95,6.530102235919827
L15,-0.12,P,ssp126,,2100,tipped_frac,0.0045
L15,-0.12,P,ssp126,,2150,ais_med,8.592565326069671
L15,-0.12,P,ssp126,,2150,ais_p05,6.995530346680185
L15,-0.12,P,ssp126,,2150,ais_p95,10.17980428489947
L15,-0.12,P,ssp126,,2150,tipped_frac,0.0015
L15,-0.12,P,ssp126,,2300,ais_med,17.123672513921626
L15,-0.12,P,ssp126,,2300,ais_p05,13.908994038488842
L15,-0.12,P,ssp126,,2300,ais_p95,20.194671662893267
L15,-0.12,P,ssp126,,2300,tipped_frac,0.0015
L15,-0.12,P,ssp245,,2100,ais_med,11.170808404491119
L15,-0.12,P,ssp245,,2100,ais_p05,5.890526284673101
L15,-0.12,P,ssp245,,2100,ais_p95,52.52830743119601
L15,-0.12,P,ssp245,,2100,tipped_frac,0.532
L15,-0.12,P,ssp245,,2150,ais_med,57.19939081992209
L15,-0.12,P,ssp245,,2150,ais_p05,11.52136529166679
L15,-0.12,P,ssp245,,2150,ais_p95,121.9564487162814
L15,-0.12,P,ssp245,,2150,tipped_frac,0.74
L15,-0.12,P,ssp245,,2300,ais_med,198.03455696321026
L15,-0.12,P,ssp245,,2300,ais_p05,29.895526675515903
L15,-0.12,P,ssp245,,2300,ais_p95,341.0059650547621
L15,-0.12,P,ssp245,,2300,tipped_frac,0.8275
L15,-0.12,P,ssp585,,2100,ais_med,47.46014726239106
L15,-0.12,P,ssp585,,2100,ais_p05,26.931009071178803
L15,-0.12,P,ssp585,,2100,ais_p95,78.0209420557517
L15,-0.12,P,ssp585,,2100,tipped_frac,1.0
L15,-0.12,P,ssp585,,2150,ais_med,114.93592860649468
L15,-0.12,P,ssp585,,2150,ais_p05,70.84152233792129
L15,-0.12,P,ssp585,,2150,ais_p95,171.86012180773864
L15,-0.12,P,ssp585,,2150,tipped_frac,1.0
L15,-0.12,P,ssp585,,2300,ais_med,345.3735749300803
L15,-0.12,P,ssp585,,2300,ais_p05,219.01378965021618
L15,-0.12,P,ssp585,,2300,ais_p95,506.0259108776497
L15,-0.12,P,ssp585,,2300,tipped_frac,1.0
L15,-0.16,H,,full,0,bias_cm,-0.06739266617348179
L15,-0.16,H,,full,0,bias_sigma,-0.40247832420858815
L15,-0.16,H,,full,0,rmse_cm,0.08644433696906471
L15,-0.16,H,,full,0,cov90,0.8968253968253969
L15,-0.16,H,,full,0,band_cm,0.3642305449944675
L15,-0.16,H,,1920-1949,0,bias_cm,-0.10618077184977277
L15,-0.16,H,,1920-1949,0,bias_sigma,-0.6341262565167198
L15,-0.16,H,,1920-1949,0,rmse_cm,0.10695793541000624
L15,-0.16,H,,1920-1949,0,cov90,1.0
L15,-0.16,H,,1920-1949,0,band_cm,0.5369577921314022
L15,-0.16,H,,1950-1992,0,bias_cm,-0.0848615698939312
L15,-0.16,H,,1950-1992,0,bias_sigma,-0.5068050335432339
L15,-0.16,H,,1950-1992,0,rmse_cm,0.09106189319564376
L15,-0.16,H,,1950-1992,0,cov90,1.0
L15,-0.16,H,,1950-1992,0,band_cm,0.2514556121288497
L15,-0.16,H,,1993-2026,0,bias_cm,-0.04059456233740778
L15,-0.16,H,,1993-2026,0,bias_sigma,-0.24243634135920164
L15,-0.16,H,,1993-2026,0,rmse_cm,0.0803649588103284
L15,-0.16,H,,1993-2026,0,cov90,0.6060606060606061
L15,-0.16,H,,1993-2026,0,band_cm,0.12466213180346906
L15,-0.16,P,ssp126,,2100,ais_med,5.495028089697277
L15,-0.16,P,ssp126,,2100,ais_p05,4.483220338054918
L15,-0.16,P,ssp126,,2100,ais_p95,6.4428261981928765
L15,-0.16,P,ssp126,,2100,tipped_frac,0.003
L15,-0.16,P,ssp126,,2150,ais_med,8.555425733249638
L15,-0.16,P,ssp126,,2150,ais_p05,6.967698605543843
L15,-0.16,P,ssp126,,2150,ais_p95,10.027320885627885
L15,-0.16,P,ssp126,,2150,tipped_frac,0.001
L15,-0.16,P,ssp126,,2300,ais_med,17.039036322853775
L15,-0.16,P,ssp126,,2300,ais_p05,13.778035647646345
L15,-0.16,P,ssp126,,2300,ais_p95,19.946082336631537
L15,-0.16,P,ssp126,,2300,tipped_frac,0.0015
L15,-0.16,P,ssp245,,2100,ais_med,8.7620089686638
L15,-0.16,P,ssp245,,2100,ais_p05,5.814226067503638
L15,-0.16,P,ssp245,,2100,ais_p95,50.90883428099775
L15,-0.16,P,ssp245,,2100,tipped_frac,0.5
L15,-0.16,P,ssp245,,2150,ais_med,53.6863580600454
L15,-0.16,P,ssp245,,2150,ais_p05,11.445609981066646
L15,-0.16,P,ssp245,,2150,ais_p95,119.45292770395709
L15,-0.16,P,ssp245,,2150,tipped_frac,0.7145
L15,-0.16,P,ssp245,,2300,ais_med,192.68619468421136
L15,-0.16,P,ssp245,,2300,ais_p05,29.783217198364703
L15,-0.16,P,ssp245,,2300,ais_p95,337.1351326298052
L15,-0.16,P,ssp245,,2300,tipped_frac,0.809
L15,-0.16,P,ssp585,,2100,ais_med,46.51728634746745
L15,-0.16,P,ssp585,,2100,ais_p05,26.194140982281287
L15,-0.16,P,ssp585,,2100,ais_p95,77.36069181747118
L15,-0.16,P,ssp585,,2100,tipped_frac,1.0
L15,-0.16,P,ssp585,,2150,ais_med,114.12036500576582
L15,-0.16,P,ssp585,,2150,ais_p05,70.2756173335793
L15,-0.16,P,ssp585,,2150,ais_p95,170.51415241736726
L15,-0.16,P,ssp585,,2150,tipped_frac,1.0
L15,-0.16,P,ssp585,,2300,ais_med,343.8300707457382
L15,-0.16,P,ssp585,,2300,ais_p05,218.29160080520288
L15,-0.16,P,ssp585,,2300,ais_p95,502.9336706392582
L15,-0.16,P,ssp585,,2300,tipped_frac,1.0
L15,-0.2,H,,full,0,bias_cm,-0.07764786153542481
L15,-0.2,H,,full,0,bias_sigma,-0.46372376941892524
L15,-0.2,H,,full,0,rmse_cm,0.09505475468575399
L15,-0.2,H,,full,0,cov90,0.9285714285714286
L15,-0.2,H,,full,0,band_cm,0.43773730281052065
L15,-0.2,H,,1920-1949,0,bias_cm,-0.12308530780710777
L15,-0.2,H,,1920-1949,0,bias_sigma,-0.7350824835061365
L15,-0.2,H,,1920-1949,0,rmse_cm,0.12368689518733872
L15,-0.2,H,,1920-1949,0,cov90,1.0
L15,-0.2,H,,1920-1949,0,band_cm,0.6457360085596087
L15,-0.2,H,,1950-1992,0,bias_cm,-0.09181419702902592
L15,-0.2,H,,1950-1992,0,bias_sigma,-0.5483270844883139
L15,-0.2,H,,1950-1992,0,rmse_cm,0.09860282636274384
L15,-0.2,H,,1950-1992,0,cov90,1.0
L15,-0.2,H,,1950-1992,0,band_cm,0.3017292275478968
L15,-0.2,H,,1993-2026,0,bias_cm,-0.04001965529995211
L15,-0.2,H,,1993-2026,0,bias_sigma,-0.23900291700980364
L15,-0.2,H,,1993-2026,0,rmse_cm,0.07968039940088818
L15,-0.2,H,,1993-2026,0,cov90,0.7272727272727273
L15,-0.2,H,,1993-2026,0,band_cm,0.14327169276042825
L15,-0.2,P,ssp126,,2100,ais_med,5.471560455840928
L15,-0.2,P,ssp126,,2100,ais_p05,4.441103573642161
L15,-0.2,P,ssp126,,2100,ais_p95,6.431846911753249
L15,-0.2,P,ssp126,,2100,tipped_frac,0.002
L15,-0.2,P,ssp126,,2150,ais_med,8.517507831971837
L15,-0.2,P,ssp126,,2150,ais_p05,6.910432535335687
L15,-0.2,P,ssp126,,2150,ais_p95,10.015537617135573
L15,-0.2,P,ssp126,,2150,tipped_frac,0.001
L15,-0.2,P,ssp126,,2300,ais_med,16.952989530333106
L15,-0.2,P,ssp126,,2300,ais_p05,13.769843020935568
L15,-0.2,P,ssp126,,2300,ais_p95,19.91352861182868
L15,-0.2,P,ssp126,,2300,tipped_frac,0.001
L15,-0.2,P,ssp245,,2100,ais_med,7.949400604722344
L15,-0.2,P,ssp245,,2100,ais_p05,5.7924017777266545
L15,-0.2,P,ssp245,,2100,ais_p95,48.925912076009226
L15,-0.2,P,ssp245,,2100,tipped_frac,0.461
L15,-0.2,P,ssp245,,2150,ais_med,49.64582681864748
L15,-0.2,P,ssp245,,2150,ais_p05,11.378078782679319
L15,-0.2,P,ssp245,,2150,ais_p95,116.76772632287772
L15,-0.2,P,ssp245,,2150,tipped_frac,0.6855
L15,-0.2,P,ssp245,,2300,ais_med,187.93243981891044
L15,-0.2,P,ssp245,,2300,ais_p05,29.65346449205319
L15,-0.2,P,ssp245,,2300,ais_p95,333.4234873280057
L15,-0.2,P,ssp245,,2300,tipped_frac,0.7885
L15,-0.2,P,ssp585,,2100,ais_med,45.652414944866415
L15,-0.2,P,ssp585,,2100,ais_p05,25.799111235621492
L15,-0.2,P,ssp585,,2100,ais_p95,75.87697799581144
L15,-0.2,P,ssp585,,2100,tipped_frac,1.0
L15,-0.2,P,ssp585,,2150,ais_med,113.2195660334597
L15,-0.2,P,ssp585,,2150,ais_p05,69.78129496271782
L15,-0.2,P,ssp585,,2150,ais_p95,169.15547139608125
L15,-0.2,P,ssp585,,2150,tipped_frac,1.0
L15,-0.2,P,ssp585,,2300,ais_med,342.37100944923134
L15,-0.2,P,ssp585,,2300,ais_p05,217.52345791034438
L15,-0.2,P,ssp585,,2300,ais_p95,499.98702008523435
L15,-0.2,P,ssp585,,2300,tipped_frac,1.0
L15,-0.3,H,,full,0,bias_cm,-0.10123392969609957
L15,-0.3,H,,full,0,bias_sigma,-0.6045830309228609
L15,-0.3,H,,full,0,rmse_cm,0.11934150752564908
L15,-0.3,H,,full,0,cov90,0.9682539682539683
L15,-0.3,H,,full,0,band_cm,0.6262324603252707
L15,-0.3,H,,1920-1949,0,bias_cm,-0.16317022562802475
L15,-0.3,H,,1920-1949,0,bias_sigma,-0.974475157318319
L15,-0.3,H,,1920-1949,0,rmse_cm,0.1633306768443966
L15,-0.3,H,,1920-1949,0,cov90,1.0
L15,-0.3,H,,1920-1949,0,band_cm,0.928467559776638
L15,-0.3,H,,1950-1992,0,bias_cm,-0.11018930883919328
L15,-0.3,H,,1950-1992,0,bias_sigma,-0.6580657938823589
L15,-0.3,H,,1950-1992,0,rmse_cm,0.11845893997615546
L15,-0.3,H,,1950-1992,0,cov90,1.0
L15,-0.3,H,,1950-1992,0,band_cm,0.42562421758577296
L15,-0.3,H,,1993-2026,0,bias_cm,-0.03710872309101224
L15,-0.3,H,,1993-2026,0,bias_sigma,-0.22161842721497893
L15,-0.3,H,,1993-2026,0,rmse_cm,0.07651748549168516
L15,-0.3,H,,1993-2026,0,cov90,0.8787878787878788
L15,-0.3,H,,1993-2026,0,band_cm,0.19231674788832012
L15,-0.3,P,ssp126,,2100,ais_med,5.415899328033085
L15,-0.3,P,ssp126,,2100,ais_p05,4.333936083265782
L15,-0.3,P,ssp126,,2100,ais_p95,6.524503704385957
L15,-0.3,P,ssp126,,2100,tipped_frac,0.0015
L15,-0.3,P,ssp126,,2150,ais_med,8.428033239624533
L15,-0.3,P,ssp126,,2150,ais_p05,6.74507300180787
L15,-0.3,P,ssp126,,2150,ais_p95,10.138505311541731
L15,-0.3,P,ssp126,,2150,tipped_frac,0.0
L15,-0.3,P,ssp126,,2300,ais_med,16.769178014793233
L15,-0.3,P,ssp126,,2300,ais_p05,13.399807967234917
L15,-0.3,P,ssp126,,2300,ais_p95,20.06313465511493
L15,-0.3,P,ssp126,,2300,tipped_frac,0.001
L15,-0.3,P,ssp245,,2100,ais_med,7.419515234869073
L15,-0.3,P,ssp245,,2100,ais_p05,5.674422109243914
L15,-0.3,P,ssp245,,2100,ais_p95,43.71035681222391
L15,-0.3,P,ssp245,,2100,tipped_frac,0.3715
L15,-0.3,P,ssp245,,2150,ais_med,36.72412322843881
L15,-0.3,P,ssp245,,2150,ais_p05,11.11718325118825
L15,-0.3,P,ssp245,,2150,ais_p95,109.49982031727332
L15,-0.3,P,ssp245,,2150,tipped_frac,0.611
L15,-0.3,P,ssp245,,2300,ais_med,173.02480783442513
