year,ssp,gmst,gsic_med,gsic_lo,gsic_hi
2046,SSP3-7.0,1.824504478997142,4.715437546209907,4.1333012780391805,5.477665913740249
2047,SSP3-7.0,1.8594725646849268,4.8597391300125095,4.257245056365874,5.6497648373023175
2048,SSP3-7.0,1.8986273954408164,5.006331150444508,4.386611894530374,5.824460473926257
2049,SSP3-7.0,1.9274750583448477,5.155327520539007,4.51829500792626,6.0020100799806375
2050,SSP3-7.0,1.9580647968734004,5.305657875190267,4.651349021280294,6.175815668023778
2051,SSP3-7.0,1.9831368941494265,5.456978395124613,4.784908380159566,6.347903055553884
2052,SSP3-7.0,2.010409694021903,5.613507883927719,4.921870428818275,6.520986413818039
2053,SSP3-7.0,2.03593496385507,5.769668054875932,5.060069297740725,6.699960620128648
2054,SSP3-7.0,2.063421241888673,5.923428902520923,5.195880017193324,6.878137409922028
2055,SSP3-7.0,2.089620693076098,6.080651433472031,5.334899673345506,7.05934681558499
2056,SSP3-7.0,2.1198868944728497,6.238320677180258,5.475102306069213,7.244635700371382
2057,SSP3-7.0,2.151975041028225,6.397710444846842,5.617632484843563,7.426681043308479
2058,SSP3-7.0,2.1866620976382363,6.556833928893669,5.762749277838797,7.612940739958458
2059,SSP3-7.0,2.2242308320113713,6.7207098899952715,5.909327023747219,7.801798788177744
2060,SSP3-7.0,2.2570887694261144,6.887677475495806,6.057358933172646,7.9938372453325055
2061,SSP3-7.0,2.291580585082201,7.0532182182117245,6.2023436261013245,8.184429216076733
2062,SSP3-7.0,2.316273642293222,7.221046736025294,6.353045205277083,8.37065733708348
2063,SSP3-7.0,2.3451503998328205,7.3909561446516,6.504554426929866,8.568931856365403
2064,SSP3-7.0,2.3758368574160302,7.560446717558888,6.651985358999855,8.768646926914483
2065,SSP3-7.0,2.4064484467640703,7.731367704616943,6.799419418723647,8.969917169713792
2066,SSP3-7.0,2.441716533809567,7.902343569078008,6.952056132615255,9.172704826493723
2067,SSP3-7.0,2.479154213549632,8.073557115290473,7.106059536514051,9.376897548942292
2068,SSP3-7.0,2.51739294766391,8.247707432421624,7.259794104977884,9.58022351362836
2069,SSP3-7.0,2.5559050016831555,8.424831151605883,7.414093364410287,9.78596527031512
