year,ais_p05,ais_p50,ais_p95,ais_pred_p05,ais_pred_p95,ais_obs,glaciers_p05,glaciers_p50,glaciers_p95,glaciers_pred_p05,glaciers_pred_p95,glaciers_obs,gis_p05,gis_p50,gis_p95,gis_pred_p05,gis_pred_p95,gis_obs,te_p05,te_p50,te_p95,te_pred_p05,te_pred_p95,te_obs,total_p05,total_p50,total_p95,total_pred_p05,total_pred_p95,total_obs,glaciers_obs_delta_corrected
1958,-0.3620471520121626,-0.3239417454074291,-0.2870082922110735,-0.5880109449034069,-0.054420402956982646,-0.3192844781008634,-2.2792666017036782,-2.081942291177835,-1.8582491371811016,-2.93671483575721,-1.148146384012106,-1.97923446569,-1.0235374978002605,-0.9723120569368944,-0.9239280982795904,-1.2713527852649613,-0.6808245521862273,-0.9685359781438658,-2.3282001347445855,-2.1790947593310186,-1.9845550759121764,-2.821338908397921,-1.5461933892504398,-2.0671160221099854,-4.674639627202739,-4.203605505640723,-3.871706249710886,NaN,NaN,-5.097668094673679,-1.9311172736672888
1959,-0.35546674545693335,-0.31815823393674597,-0.28151180194027964,-0.5662330044236384,-0.06362704051180976,-0.31389617052945223,-2.197980946415751,-2.008072156222526,-1.7927326876861671,-2.8573357145925637,-1.1652107435367725,-1.9245202628,-0.9731386234289839,-0.921896933941742,-0.8733752098265644,-1.2196925529854383,-0.6229336487332229,-0.94980486089533,-2.2612021170766425,-2.1163875087785233,-1.9274460438943783,-2.7379643032886523,-1.4748166296065401,-2.270864725112914,-4.531295706915578,-4.06977017605775,-3.7449611520713377,NaN,NaN,-4.9727829336889435,-1.9004616667886443
1960,-0.34852699971148016,-0.312004863553171,-0.27617399848508256,-0.5589716756829539,-0.06523670260344362,-0.3084096821871671,-2.135765519778585,-1.9513919778664404,-1.7417968262189771,-2.7837665844354667,-1.1162619843055759,-1.84986911687,-0.9416227444464829,-0.8902783981735864,-0.8426594348536308,-1.1680860179508237,-0.616413972519808,-0.881216985529119,-2.2013414610605446,-2.0603605204332514,-1.8764208906133817,-2.6557763921562345,-1.4601825742270815,-1.997335672378541,-4.434297906539336,-3.9789885911464915,-3.661296903252113,NaN,NaN,-4.939828278424672,-1.84986911687
1961,-0.3422148971896296,-0.30616427774451693,-0.27076377072256586,-0.5572221601425048,-0.05881209666955261,-0.30309595194729894,-2.0608712277379544,-1.8833646507035806,-1.6821254107657706,-2.714857265578157,-1.0796332967421058,-1.77509895238,-0.8566427379473394,-0.804942197773332,-0.7560547531338317,-1.0843643014860376,-0.508273405251586,-0.8129214113408869,-2.1457406525213902,-2.008320565321948,-1.8290268263469498,-2.5812436758704886,-1.4032709574616593,-1.8097164630889897,-4.2501209405899045,-3.802630769302266,-3.4950861330938046,NaN,NaN,-4.833232625878124,-1.77509895238
1962,-0.3349862363686884,-0.29981093838007106,-0.2649561620938441,-0.5295567648825912,-0.06438405553683359,-0.29754404154690833,-2.0079001926093936,-1.8340513720213552,-1.64000060573815,-2.6754790754054265,-1.0280660502637335,-1.6921268073,-0.8184984261020157,-0.7666925763143198,-0.7190035477163734,-1.0454116890977925,-0.47848109368127306,-0.7267779176885429,-2.0995102030391872,-1.9650508615345466,-1.7896200451976685,-2.540435412359095,-1.3735823080884568,-1.6807960987091066,-4.176132404613596,-3.7409301178380012,-3.438346241754329,NaN,NaN,-4.6839244378786695,-1.6921268073
1963,-0.32896936612652167,-0.29411301604610673,-0.25952608298722674,-0.52634679440549,-0.06162498458813414,-0.29218482104214755,-1.937886866667742,-1.7707717339038433,-1.5837489657429442,-2.5197454079618242,-1.00591435659816,-1.65613056096,-0.760706131421926,-0.7084923035332316,-0.660808231463511,-0.9753220749580654,-0.4363681531663256,-0.7027726953679869,-2.0848018911944926,-1.951284516974612,-1.7770826973580722,-2.564834445987664,-1.33285162029639,-1.8142593860626226,-4.024438281561999,-3.5981560415542972,-3.300872042935695,NaN,NaN,-4.793041086951737,-1.65613056096
1964,-0.32291115200999365,-0.2880585164218433,-0.2539620824893087,-0.512129116291428,-0.05937862278544907,-0.28678678599270907,-1.8648850970022237,-1.7035837441700425,-1.5233746465353437,-2.4530629977717626,-0.966741632894438,-1.65638366613,-0.7190683803956034,-0.6673097716190473,-0.6189639108699325,-0.9382019200143372,-0.38839962800984645,-0.6994616335088559,-2.216592615257483,-2.0746349419867673,-1.8894209566400824,-2.604108479005736,-1.498302831435376,-2.048475503921509,-4.0450858928013895,-3.62857881892299,-3.330893479590926,NaN,NaN,-4.473911095272729,-1.65638366613
1965,-0.318900829215462,-0.28391053907161795,-0.2496082276106808,-0.5099009698429264,-0.06662840312416601,-0.281308260830966,-1.8229163657028729,-1.6643518331000213,-1.4910440563642864,-2.4114768251273735,-0.9095909121764978,-1.6436187354,-0.675510519215484,-0.6232538386253408,-0.5752088948733654,-0.8993720769755287,-0.35600553987850214,-0.656011277979071,-2.289372982754078,-2.1427542222098204,-1.9514588568990163,-2.605425580484591,-1.6314559599851826,-2.089956521987914,-4.123308995377158,-3.715027809859421,-3.418796035474341,NaN,NaN,-4.245484458237755,-1.6436187354
1966,-0.3151995674858347,-0.27933945215221323,-0.24485185041502375,-0.495570607374777,-0.0706610766999042,-0.27591704455288973,-1.7649305007382408,-1.6128234087897244,-1.446197637102894,-2.3259876771681873,-0.8979565818103162,-1.60752426061,-0.6214184455207911,-0.5694104389188657,-0.5207043408529751,-0.8210674636364705,-0.3026029486705473,-0.5829888170415709,-2.3022409722472066,-2.154798104541559,-1.9624275161153228,-2.6915572021933896,-1.6299105802651392,-2.034507989883423,-4.09258888493897,-3.694468901682342,-3.3991658399764244,NaN,NaN,-4.285064238141662,-1.60752426061
1967,-0.3105840143446468,-0.2742893648080522,-0.23924995835875557,-0.49320995582678206,-0.06147452393250747,-0.2704956444826994,-1.7160811400658893,-1.5636851183022134,-1.399726212887392,-2.2187282869568548,-0.8515019697901359,-1.57432399663,-0.5951147372024667,-0.5426160161170084,-0.49387175086050794,-0.806758971132652,-0.28191545692855363,-0.5461797540838069,-2.235796840137966,-2.092609266946879,-1.9057906155009183,-2.6804767670180123,-1.4759936363876152,-2.1567160129547114,-4.037716824352864,-3.645189233940567,-3.357925922637004,NaN,NaN,-4.569899013233658,-1.57432399663
1968,-0.30520415068481993,-0.268454219479825,-0.23374032033538822,-0.4714461524053604,-0.06570841164092478,-0.2649793061343107,-1.6597353776777475,-1.5111860983151089,-1.3541837383061894,-2.1711908083047495,-0.8213710213023411,-1.55316139134,-0.5886654955009173,-0.5377555243437406,-0.4898199354682687,-0.8045578039736023,-0.2825789569129572,-0.4902192896062678,-2.211494340827258,-2.069863177340446,-1.8850751934696812,-2.6060678666984844,-1.5197715097892388,-2.3616812229156494,-4.119247810424632,-3.7375093071983776,-3.4546672677194916,NaN,NaN,-4.540422925162573,-1.55316139134
1969,-0.30050500449293166,-0.2634291953215664,-0.2283063017867775,-0.46553557244759736,-0.05563386190058543,-0.2596308144656095,-1.6048671747685508,-1.4608553660321597,-1.3060500447575427,-2.136585202833762,-0.801884957437494,-1.5060065833,-0.5677929838680221,-0.5182222421812397,-0.4686821154446116,-0.7691146002411894,-0.26452830746512696,-0.4493830507451839,-2.165263026946539,-2.026592664513372,-1.8456676755081143,-2.5399548443029727,-1.4802039121322732,-2.2940184116363525,-3.930048648990447,-3.556629662620377,-3.278499219011004,NaN,NaN,-4.056282556672161,-1.5060065833
1970,-0.29554604141241275,-0.2579931116152456,-0.22317907121304084,-0.46061793900270953,-0.06074163538779877,-0.25425337878140536,-1.5377307541393508,-1.3992693695987959,-1.2481520452537394,-2.0564408276239856,-0.7384391215448919,-1.47674499425,-0.5599125168335061,-0.5111267063086702,-0.4627380075032878,-0.7469544816741049,-0.2682327035772619,-0.43406332189386587,-2.104251938631984,-1.9694889212297584,-1.793661895079423,-2.4501707966618897,-1.4457623678264548,-2.2299360752105715,-3.897500482694309,-3.5357650774172873,-3.2665067374382524,NaN,NaN,-4.213299142025142,-1.47674499425
1971,-0.2896210478567118,-0.2522871069048981,-0.21795348770789363,-0.4433663696720298,-0.05866257486060312,-0.2487426194277677,-1.4831315417207884,-1.3481337185966127,-1.2021883957246344,-1.958597333301356,-0.6759775812917352,-1.42996688756,-0.5482049106149622,-0.5007122039097185,-0.4521212666367898,-0.7449836033077437,-0.2594715546158954,-0.3854952638799498,-2.049495973241847,-1.9182397028128682,-1.7469879741265795,-2.37973702697017,-1.4228626606571595,-2.01857705116272,-3.9082186535250893,-3.557158053028294,-3.2960072715083175,NaN,NaN,-4.173902702036516,-1.42996688756
1972,-0.2837797052909518,-0.24664000564574284,-0.2123446026836582,-0.4321066680964096,-0.07007137076698701,-0.24328188029202552,-1.43905555416149,-1.3048669400954114,-1.1621001297629057,-1.9480820441030557,-0.7136515978251051,-1.42581516179,-0.5518433023820138,-0.5088236880418302,-0.4671908446577723,-0.7556502620680756,-0.2679653309709457,-0.41572569066828,-2.017475415482814,-1.8882698438809518,-1.7196936880873777,-2.384375797255109,-1.379569299882142,-1.9049362659454347,-3.808573402954586,-3.4695698300836746,-3.214727564993823,NaN,NaN,-3.9113406376789097,-1.42581516179
1973,-0.2781053815542234,-0.2413918448963998,-0.20717988591024888,-0.4398039992222077,-0.05886640279717892,-0.23790487376126385,-1.4037156463385638,-1.268603364532333,-1.1285226562200918,-1.855756262632464,-0.6581128524691096,-1.39842201146,-0.5529492694815547,-0.5133110663313172,-0.47630083948705854,-0.7335228504808085,-0.2944196962968685,-0.4206208055669609,-1.9688320919629352,-1.842741794218572,-1.6782301759262104,-2.33670007215126,-1.3405148144290862,-1.8290678501129145,-3.868932339382234,-3.5416790969822833,-3.2906356411674604,NaN,NaN,-4.162824001511423,-1.39842201146
1974,-0.2724524267014849,-0.23590657831870032,-0.20200574025872872,-0.41377715269537196,-0.06144878130225601,-0.2324612530795011,-1.351593289698445,-1.2179802238459292,-1.0826808193504127,-1.7814387667075298,-0.6174804172489472,-1.35760646733,-0.5500150858605589,-0.5118713178035059,-0.4763364537278911,-0.7236666135196506,-0.30150309917286133,-0.39651621038263496,-1.8990953861286197,-1.7774712498402052,-1.618786689313721,-2.288618033126339,-1.236200790579851,-1.7317896366119383,-4.262488415346935,-3.9454444755536677,-3.701787064583442,NaN,NaN,-4.361543907751239,-1.35760646733
1975,-0.2664972352686464,-0.2300996396127094,-0.19652982855638523,-0.39790885481875693,-0.06114419283603425,-0.2270876320925626,-1.3139338900340878,-1.177318278759068,-1.042026265295497,-1.7466894766073393,-0.620072734690776,-1.32605033788,-0.521349355110816,-0.4837966341831921,-0.4464848234121894,-0.7019497507337951,-0.2659172556565088,-0.39089840108698093,-1.8484311656587513,-1.730051727925439,-1.5756005669524482,-2.2082838558374553,-1.241751000246498,-1.4828915119171144,-3.9283643525882126,-3.6203958314458857,-3.3827502363484045,NaN,NaN,-4.301519260432482,-1.32605033788
1976,-0.2607397533521846,-0.22428456140359276,-0.19111777232516416,-0.39124309554361225,-0.06271466491311863,-0.22159060564908123,-1.2729545218040845,-1.1382340768993822,-1.0040290441565674,-1.6915231358138534,-0.5566108091286909,-1.31339240941,-0.5154607565986312,-0.48015455952033603,-0.44468993571468585,-0.6949044396337529,-0.2646848773933859,-0.4085678880864929,-1.8315819389317203,-1.7142815795126265,-1.5612383057673755,-2.3051423911858815,-1.0697384372705152,-1.5214472293853758,-3.814258688389955,-3.5136870926753603,-3.28073866012378,NaN,NaN,-3.963633987688109,-1.31339240941
1977,-0.2552813283859371,-0.21893353627592965,-0.18562912280183036,-0.37838008190878786,-0.05766846969570824,-0.21624631014737222,-1.2319606975758728,-1.097712688355056,-0.9635537105654729,-1.6216679433582362,-0.5708836755018047,-1.25747276219,-0.49686471194049103,-0.4616193758215288,-0.42434292019710473,-0.669961416036102,-0.26268562145998203,-0.40815065557306496,-1.7729239883163361,-1.659380271471467,-1.5112383371653904,-2.227351546725484,-1.0718536671585523,-1.4027002811431886,-3.60201277142238,-3.3067061577314485,-3.079174929012747,NaN,NaN,-3.764184937145327,-1.25747276219
1978,-0.24894317504871777,-0.21319771339988636,-0.17999556675756673,-0.3698685388709833,-0.06155530757320298,-0.2107981118288908,-1.160616750143641,-1.0331183370412416,-0.9041781716247138,-1.562488647880964,-0.5244445124364888,-1.19689861211,-0.4377021438766047,-0.4015044034945996,-0.3629938728002316,-0.5938432388306726,-0.19681778457919555,-0.40049865896051595,-1.692350070754364,-1.5839665650302357,-1.4425572239322775,-2.2795670353204964,-0.925784310962914,-1.3702120304107668,-3.677389705035278,-3.398418150591541,-3.1814952498663973,NaN,NaN,-4.152141138121722,-1.19689861211
1979,-0.24185669857195272,-0.20646063177640017,-0.1738335420826927,-0.3627515435510945,-0.05081795823972645,-0.20536288348111248,-1.1112850338778761,-0.9840989359495906,-0.8577719335730902,-1.4896687430537192,-0.4892689401189696,-1.13455577764,-0.4139131983015275,-0.37704090525206757,-0.33587926238437704,-0.5673886448133482,-0.19077228824322745,-0.389603788202459,-1.6002536988312013,-1.4977683390202623,-1.3640543840579646,-2.297902573874811,-0.6760702120164923,-1.4052307605743404,-3.558532581929224,-3.2866135294831635,-3.076656297014562,NaN,NaN,-3.820633753073221,-1.13455577764
1980,-0.23531918843527477,-0.20027413870657834,-0.16770484188048337,-0.3449008331235907,-0.0495326227603664,-0.19993166056546302,-1.0551642140533462,-0.930276965575878,-0.8070629374083976,-1.403028707834271,-0.4254103957102331,-1.090385398,-0.3961933529740138,-0.35840135447237786,-0.3149707019264245,-0.5405188816167115,-0.16793116429044366,-0.3607046907598319,-1.5080572646683557,-1.4114764590761424,-1.2854662512474015,-1.8789165958397933,-0.89634686061135,-1.0921608448028564,-3.178823675047169,-2.918092841129422,-2.7170279775425765,NaN,NaN,-3.3717894669527557,-1.090385398
1981,-0.22841455895643975,-0.193735932007348,-0.16149489570934766,-0.337020805978405,-0.043157203632670574,-0.19452041712674234,-0.9904229964412726,-0.8713494984796397,-0.7528346930631229,-1.3502082324945741,-0.3830112927256265,-1.04518371495,-0.340250786677372,-0.3010830470632606,-0.2559882067705032,-0.48611068776552674,-0.10824112238823112,-0.3079829996282405,-1.422865619348978,-1.331740758917097,-1.212848992266602,-1.8030818000010918,-0.8207447005107875,-1.1296556949615475,-3.041291122813594,-2.795396441461514,-2.605200466391034,NaN,NaN,-3.5930862101710876,-1.04518371495
1982,-0.22190163932556634,-0.18638099692879367,-0.1553838576261199,-0.3318443227024009,-0.04166991695433301,-0.1890497597781095,-0.893878726913945,-0.788865900970487,-0.684036335535932,-1.2407141062511404,-0.33119255013856813,-1.00738120946,-0.33238988974295425,-0.293073062892514,-0.24803823485459292,-0.46395957831399903,-0.1087134936852112,-0.2692658250982112,-1.3354093077214026,-1.24988542891602,-1.1383013343694415,-1.7705339559861226,-0.7130246550863152,-1.2615566730499266,-2.874555896186974,-2.6495397645878835,-2.4727460797198697,NaN,NaN,-3.26564094942428,-1.00738120946
1983,-0.21546633348608932,-0.17951006906708578,-0.14895773417212574,-0.31759606345957014,-0.037962983218550614,-0.1837081822482023,-0.8614098028058328,-0.7561779642081663,-0.6500841632201872,-1.197468286528651,-0.2912044231479047,-0.98260436925,-0.33351208128964116,-0.29913420525815315,-0.25935811217276505,-0.4707798476980249,-0.12813400817981063,-0.2925846880132503,-1.313605891507428,-1.2294783731400367,-1.1197161278513534,-1.8801188659911423,-0.6000320828282335,-1.4041773319244384,-2.7241349310490675,-2.506918838241347,-2.3345387011324723,NaN,NaN,-3.0319987114894285,-0.98260436925
