year,component,med_diff_cm,p05_diff_cm,p95_diff_cm
2039,gis,0.0026473403075613078,0.001837916366952319,0.0037946059815754827
2040,gis,0.00301857537230088,0.0020818118022829066,0.0043480267011287484
2041,gis,0.0033820624348672723,0.0023441642124327976,0.004927500328924417
2042,gis,0.00374523843550012,0.0025769310269144973,0.005485825274475432
2043,gis,0.004083307472217967,0.0027975164709086006,0.0060361454694505936
2044,gis,0.00443139981869578,0.0030322046694219117,0.006564484323362229
2045,gis,0.00476966949572688,0.0032519332983527603,0.007103101702312564
2046,gis,0.005102010601261142,0.003475724158387372,0.00765101329914053
2047,gis,0.005424012038562687,0.003695645791910085,0.00818016040230667
2048,gis,0.005731570446212864,0.0038995453414445436,0.00869443911794976
2049,gis,0.006037608578190579,0.004085023456192616,0.009201520779356008
2050,gis,0.006327805127323671,0.004269195456332931,0.009704653021174712
2051,gis,0.006608137603515196,0.004446743425848343,0.010242617259063636
2052,gis,0.006896379439319311,0.0046323741217014994,0.010729559521818467
2053,gis,0.007173377016384208,0.004816664792156544,0.01119247818389022
2054,gis,0.007467168822195447,0.004993210082646815,0.011639774552055738
2055,gis,0.007732219918904271,0.0051542123012183975,0.012070698292884074
2056,gis,0.007992092033901166,0.005318846547933731,0.012495914978543432
2057,gis,0.008241599563964641,0.005475123988291308,0.012903607674267101
2058,gis,0.008499156620778159,0.0056191379895026644,0.013308527997107154
2059,gis,0.00873145612776316,0.005766303922256277,0.013684481969786865
2060,gis,0.008968769883563432,0.005910454644266049,0.014105493039677786
2061,gis,0.009200925635761692,0.006050655380965431,0.014498969612945877
2062,gis,0.009445338028474914,0.006191492216830241,0.014878814358035708
2063,gis,0.009672307461969787,0.0063243628882497125,0.015259607773053397
2064,gis,0.009910925423774586,0.006472578328899026,0.01561294558007118
2065,gis,0.010121862307111762,0.0066109278054070405,0.015972462876685165
2066,gis,0.010342458718097802,0.006725740198243102,0.016292844115715965
2067,gis,0.01055337996008543,0.006856732504717033,0.016609959080527315
2068,gis,0.010741944805910286,0.006984611039896027,0.016953533424485554
2069,gis,0.010942118316464189,0.007106637487677059,0.017285830102144396
2070,gis,0.011133152159247928,0.0072188950411946175,0.017552856222537196
2071,gis,0.011315514853942332,0.007332843167111492,0.01782656966324891
2072,gis,0.01148525901312869,0.007433108655627052,0.01811503955319944
2073,gis,0.011653129604929369,0.007551276414805752,0.01841473969335885
2074,gis,0.011825775754809698,0.007672503842943712,0.018696002113604494
2075,gis,0.012001046395636372,0.007784534275313071,0.01895776424024058
2076,gis,0.012166587234870185,0.007895944152276435,0.01926259702081845
2077,gis,0.012306570921236215,0.00800113669244773,0.0195432292250131
2078,gis,0.012472836724764846,0.008105719131296495,0.019789181820604452
2079,gis,0.012623761194060279,0.008228373971312753,0.02004390441621693
2080,gis,0.012761654212135376,0.008330315877667171,0.020300003394876052
2081,gis,0.012924893013106953,0.008428043955309227,0.020576547716998572
2082,gis,0.0130906929857586,0.008524593998451914,0.020781112389593126
2083,gis,0.013232022895826034,0.008615734886461458,0.021047692020267128
2084,gis,0.013398351337548853,0.008706660554077494,0.021274600525576833
2085,gis,0.013527493632054188,0.008807708830822226,0.021551820247575824
2086,gis,0.013656549685596708,0.008902239758190333,0.02178776693839026
2087,gis,0.013782849227170324,0.008989034346034064,0.021983555181468703
2088,gis,0.013922940376603243,0.009076376780653473,0.022177973443794657
2089,gis,0.014061466672115941,0.009170122247195244,0.022484426847793147
2090,gis,0.014181015972605238,0.009268285775193253,0.02272853355422999
2091,gis,0.014303279241923761,0.009372118270072161,0.022934522748047834
2092,gis,0.014417020730163266,0.009456641300393455,0.023113223842601015
2093,gis,0.014542899434094814,0.00955152321515973,0.023352801408098322
2094,gis,0.014665465145853318,0.009645788332517747,0.023584491190407595
2095,gis,0.014792144031015475,0.009734754769044686,0.023829483914908862
2096,gis,0.01490290114611792,0.009833026708975633,0.024010841570770575
2097,gis,0.014997978139260404,0.009920660931298286,0.02425143066220121
2098,gis,0.015119317362695561,0.0100071494917767,0.024435587871579928
2099,gis,0.015222180833502463,0.010106760516623403,0.02464410033629924
2100,gis,0.015340403974501093,0.01019871938045105,0.02485129313783085
2101,gis,0.015446591088219108,0.01028934843824878,0.02506721027442884
2102,gis,0.015551995240447702,0.010385187089096614,0.025262510295654114
2103,gis,0.01565285418016593,0.010456030293245622,0.025483259162190207
2104,gis,0.015743403726199645,0.010532935365424479,0.025676364294029152
2105,gis,0.01585709286115211,0.010633882617978329,0.025797475734539783
2106,gis,0.01595744423065426,0.010728306926334063,0.025922558390339294
2107,gis,0.016078759874316173,0.01080479726486665,0.02604012063474909
2108,gis,0.01615679519191282,0.010880773649309816,0.026153535068546487
2109,gis,0.016258315639227305,0.01095669389998175,0.026318674242281667
2110,gis,0.016333871110637332,0.01105401894717506,0.026482586564913823
2111,gis,0.016408283373426258,0.011123946954570928,0.026648794745800505
2112,gis,0.016491768442464583,0.011187557946539162,0.02682154003108321
2113,gis,0.016582089612868778,0.011259158368053246,0.02701168435692764
2114,gis,0.01668120669801265,0.011343967100495877,0.027201823255258342
2115,gis,0.016784998562668463,0.01142506849359979,0.027389631102657564
2116,gis,0.016883429663465677,0.011492317884450286,0.027570399944459815
2117,gis,0.01697005307324506,0.011563908355076967,0.02776133643004739
2118,gis,0.01704959806169004,0.011657064635367398,0.02788646458005761
2119,gis,0.017134778782175175,0.011738828581889838,0.02798334922236449
2120,gis,0.01720782622405448,0.011818926888648475,0.028088889547185483
2121,gis,0.017289532612464242,0.011892747233818212,0.028299870776060748
2122,gis,0.017368730015462575,0.011976127886730482,0.028435625285649375
2123,gis,0.01742878236902179,0.012061013770367878,0.028628150707820054
2124,gis,0.017514511579741487,0.012145364755337163,0.028771723224238065
2125,gis,0.017591399737335145,0.012229587023295263,0.02879633157570475
2126,gis,0.017696815019263568,0.012312885076464664,0.028967861332272266
2127,gis,0.017761398473704837,0.01239312548843472,0.02910696597928499
2128,gis,0.017832329723475482,0.012464596190981326,0.02925531206465992
2129,gis,0.017903252124255253,0.012536089372448433,0.02942509393249697
2130,gis,0.01798352707423323,0.012602402584115867,0.029535388864586218
2131,gis,0.01806713887740763,0.012665107116943198,0.029681841550497266
2132,gis,0.018145623890764462,0.012730474710803286,0.02981101750491231
2133,gis,0.018218714524692814,0.01277886124295371,0.029958052585935403
2134,gis,0.018297155079558536,0.012831578195120395,0.030104690866123107
2135,gis,0.01838265226404001,0.012913331439298582,0.030237423946918352
2136,gis,0.018447757209914428,0.01299479863747468,0.030299222595791514
2137,gis,0.018523801790649053,0.013038462771917024,0.030483924001948815
2138,gis,0.01861671370601936,0.013105807940503932,0.030580365292402684
2139,gis,0.01869914169956921,0.013164149002906545,0.030757192524902697
2140,gis,0.018780803377503652,0.013246007674183337,0.030870546625640392
2141,gis,0.018871247507458833,0.013293314828813506,0.031025534721781333
2142,gis,0.018962171461460287,0.013354720266225417,0.031136469213199548
2143,gis,0.019027203613534382,0.013431654135481618,0.031180025756148838
2144,gis,0.01910909250902204,0.013447465705051355,0.031320632222565516
2145,gis,0.019162333289662214,0.01349087426869584,0.03141448314546675
2146,gis,0.019241797843685404,0.01355224121714329,0.03156974882231473
2147,gis,0.019334508513796145,0.013592190496366462,0.03168359313701447
2148,gis,0.01941236963457893,0.013648828272960944,0.031793881717363706
2149,gis,0.019492235152799964,0.013706331835623064,0.03190480761552674
2150,gis,0.01957539212886772,0.013763744062417605,0.032019625060422906
2151,gis,0.01965306700538605,0.013819344244579933,0.03210628177217698
2152,gis,0.019743196581385902,0.013851774937498985,0.032166913381665725
2153,gis,0.019828086454279692,0.013900256726430272,0.03222007208049024
2154,gis,0.019914530963818677,0.013942434386032331,0.03226693241198823
2155,gis,0.02000420182673146,0.013978610227969047,0.03237274225598447
2156,gis,0.020082422352003526,0.01403365997576813,0.032453992908254924
2157,gis,0.020133161849499537,0.0140715744711418,0.0325212351264259
2158,gis,0.02020601127661248,0.014112808328618609,0.03264827992691268
2159,gis,0.02029676496557986,0.014165815640262735,0.03269545984224179
2160,gis,0.02036502090199921,0.014223009785510322,0.03275763622839544
2161,gis,0.020414856304652673,0.014282527459571348,0.032860447507746124
2162,gis,0.020487590794282973,0.014309904920959227,0.0329903738664469
2163,gis,0.020564167884708162,0.014335257806042988,0.03307713445457363
2164,gis,0.020629675520109636,0.014353008483933038,0.03325115049446783
2165,gis,0.020690615803486523,0.014403060954301506,0.03334427910513487
2166,gis,0.02076660172781608,0.014430865650433765,0.03341794227945325
2167,gis,0.02085733113086974,0.014472735823540805,0.03353362325065827
2168,gis,0.020920872355842057,0.014500103068205927,0.033623588398762824
