year,sum_components,total_target,residual,term_budget_closure,term_reconstruction,frederikse_gmsl,dang_sigma
1973,-3.4882043507966127,-4.162824001511423,0.6746196507148099,1.6850790897443764,-1.0104594390295665,-5.173283440540989,1.4385211301951701
1974,-3.8488965776833624,-4.361543907751239,0.5126473300678764,0.7125600201712565,-0.1999126901033801,-4.561456597854619,1.4237579994586869
1975,-3.355797365036878,-4.301519260432482,0.9457218953956037,0.3355662713267584,0.6101556240688453,-3.6913636363636364,1.4055101434854198
1976,-3.3527262476357547,-3.963633987688109,0.6109077400523542,1.3271800367235493,-0.7162722966711952,-4.679906284359304,1.3879085742103008
1977,-3.085316195813092,-3.764184937145327,0.6788687413322347,1.1510474405505442,-0.47217869921830946,-4.236363636363636,1.3729510909767633
1978,-3.281380393830213,-4.152141138121722,0.8707607442915095,1.3961514085409434,-0.5253906642494339,-4.677531802371156,1.3553797769781797
1979,-3.294339874115857,-3.820633753073221,0.5262938789573641,0.4017391684790006,0.12455471047836353,-3.6960790425948575,1.3379260372785018
1980,-2.7022820499810303,-3.3717894669527557,0.6695074169717254,1.2349906772916972,-0.5654832603199718,-3.9372727272727275,1.3200650858605798
1981,-2.7219216135415167,-3.5930862101710876,0.8711645966295709,-0.5035670004439239,1.3747315970734948,-2.218354613097593,1.3045702065076696
1982,-2.8093309667977415,-3.26564094942428,0.45630998262653844,0.23105037973465548,0.22525960289188296,-3.040381346532397,1.2886567802762074
1983,-2.858176734772596,-3.0319987114894285,0.17382197671683253,-0.1622704546570577,0.3360924313738902,-2.6959062801155382,1.2662181291143246
1984,-2.875325897065076,-2.868843014957873,-0.006482882107202936,-0.16743192407318297,0.16094904196598003,-2.707893972991893,1.2493088687984906
1985,-2.7070739534768204,-2.899009470123441,0.19193551664662056,0.6062087641575271,-0.41427324751090655,-3.3132827176343476,1.2288298596861205
1986,-2.512128618088636,-2.87330639322433,0.36117777513569393,0.021507745547728163,0.33967002958796577,-2.533636363636364,1.2112275084611939
1987,-2.1967561510476195,-2.2641210585903915,0.06736490754277202,0.624100552430261,-0.556735644887489,-2.8208567034778804,1.1947845249924918
1988,-2.068581607666883,-2.365894376670332,0.29731276900344916,1.0050547559694807,-0.7077419869660315,-3.0736363636363637,1.1753802217141511
1989,-2.21444528373805,-2.528762061984929,0.3143167782468792,0.1541910798983137,0.1601256983485655,-2.3686363636363637,1.1538539881264074
1990,-2.0773011949929328,-2.179715392854077,0.10241419786114436,-0.025313357725509356,0.12772755558665372,-2.0519878372674234,1.1355325664497038
1991,-1.6467208174141972,-1.7564531798143612,0.10973236240016404,1.1419155462221664,-1.0321831838220024,-2.7886363636363636,1.1163603676055787
1992,-1.503320601311597,-1.3626232316025886,-0.14069736970900837,1.3512248532338584,-1.4919222229428668,-2.8545454545454554,1.0965534444503997
1993,-1.7120604780587285,-1.3434786406719077,-0.3685818373868208,1.0521979003916913,-1.420779737778512,-2.7642583784504198,1.0759537325819908
1994,-1.5009119776162236,-1.1756852332699044,-0.32522674434631926,0.9656732610157335,-1.2909000053620527,-2.466585238631957,1.0561776495672641
1995,-1.3125666883858775,-1.057131669360948,-0.2554350190249295,0.07094252175703586,-0.32637754078196535,-1.3835092101429134,1.0368943459231819
1996,-1.018181612816724,-0.987533427086492,-0.03064818573023198,0.8254547508196397,-0.8561029365498717,-1.8436363636363637,1.014681688935737
1997,-0.9782195595177737,-0.8148721992149919,-0.16334736030278185,-0.4985251626343649,0.33517780233158306,-0.4796943968834088,0.994775805850231
1998,-0.7025797155770388,-0.7709233996014468,0.06834368402440805,-0.2539433519406751,0.3222870359650831,-0.4486363636363637,0.9755658385895819
1999,-0.4565807369622313,-0.6707032336367553,0.21412249667452404,-0.2972720641484458,0.5113945608229699,-0.15930867281378547,0.9556123430982938
2000,-0.5147490766915411,-0.2893630562230687,-0.22538602046847245,-0.5952036221460871,0.3698176016776147,0.08045454545454599,0.9344700760548963
2001,0.1103053065863521,0.2511141360375259,-0.14080882945117382,-0.1798206219685143,0.03901179251734049,0.2901259285548664,0.9128608218689928
2002,0.7656088205901055,0.6898753433700215,0.07573347722008394,-0.4803002703189849,0.5560337475390689,1.2459090909090904,0.8913661605426557
2003,1.3085427435961634,0.9549218843666174,0.353620859229546,-0.33918452913110997,0.692805388360656,1.6477272727272734,0.8682950068206968
2004,1.2307540866461661,1.213541885887722,0.017212200758444096,1.0212086321007114,-1.0039964313422673,0.20954545454545473,0.8466840132714494
2005,1.5676664325323968,1.4810737354618184,0.08659269707057837,0.72539370525967,-0.6388010081890916,0.8422727272727268,0.8247027358798585
2006,1.844580993327227,1.6682619083154182,0.17631908501180882,-0.18751466989033605,0.36383375490214487,2.032095663217563,0.8015939381727992
2007,1.8775428148833184,1.7704766164571324,0.10706619842618603,0.4489064512469556,-0.3418402528207696,1.4286363636363628,0.7769052994415158
2008,2.2979703280058774,1.9117139587577283,0.3862563692481491,0.10428871897422409,0.281967650273925,2.1936816090316533,0.7526026029945762
2009,2.6912235411730676,2.4151510581692697,0.27607248300379794,0.28940535935488576,-0.013332876351087819,2.401818181818182,0.7274860496182539
2010,2.9839675019410516,2.5053843201221917,0.47858318181885995,0.14168500932047,0.33689817249838994,2.8422824926205816,0.7013132743884194
2011,3.0447248550978574,2.6428689314413556,0.4018559236565018,0.6383612187342216,-0.23650529507771978,2.406363636363636,0.6740540585681503
2012,3.7902760389176278,3.6165069656815896,0.17376907323603819,-0.5669966883550996,0.7407657615911378,4.357272727272727,0.6459151815440146
2013,4.210102319988336,3.9556210652550257,0.2544812547333106,0.43994111202407105,-0.18545985729076042,3.7701612079642652,0.6162566960073902
2014,4.433679309758273,4.286040614239635,0.14763869551863795,0.11231567339463577,0.03532302212400218,4.321363636363637,0.5847046225926643
2015,5.281145403060046,5.164526158751205,0.11661924430884163,0.3688726757873182,-0.25225343147847656,4.912272727272728,0.5507320754835727
2016,5.5416154834357165,5.690410443944824,-0.14879496050910745,0.03402060876946944,-0.1828155692785769,5.507594874666247,0.5139073281506481
2017,5.647290203246203,5.73581602381169,-0.0885258205654873,-0.7035072806712792,0.6149814601057919,6.350797483917482,0.47572567155904605
2018,5.781869527968493,5.965000044906917,-0.18313051693842386,-0.9130289330414012,0.7298984161029773,6.6948984610098945,0.4347573445191967
2019,6.240821291200367,6.746418209247338,-0.5055969180469706,,,,0.3880300727497572
2020,6.476181735813979,6.903546022488269,-0.4273642866742904,,,,0.33358098601751635
2021,6.7766932241692,6.965139749711554,-0.18844652554235353,,,,0.2675021661405806
2022,7.02018276046665,7.305210406917306,-0.28502764645065604,,,,
2023,7.377910259468951,7.885436304456636,-0.507526044987685,,,,
2024,,8.225314682835013,,,,,
2025,,,,,,,
2026,,,,,,,
