rff_idx,fair_cfg_idx,seed_idx,post_idx,axis
204,116,2,1,anova27k_brick
204,116,2,5001,anova27k_brick
204,116,2,10000,anova27k_brick
204,145,0,1,anova27k_brick
204,145,0,5001,anova27k_brick
204,145,0,10000,anova27k_brick
204,145,1,1,anova27k_brick
204,145,1,5001,anova27k_brick
204,145,1,10000,anova27k_brick
204,145,2,1,anova27k_brick
204,145,2,5001,anova27k_brick
204,145,2,10000,anova27k_brick
204,174,0,1,anova27k_brick
204,174,0,5001,anova27k_brick
204,174,0,10000,anova27k_brick
204,174,1,1,anova27k_brick
204,174,1,5001,anova27k_brick
204,174,1,10000,anova27k_brick
204,174,2,1,anova27k_brick
204,174,2,5001,anova27k_brick
204,174,2,10000,anova27k_brick
204,203,0,1,anova27k_brick
204,203,0,5001,anova27k_brick
204,203,0,10000,anova27k_brick
204,203,1,1,anova27k_brick
204,203,1,5001,anova27k_brick
204,203,1,10000,anova27k_brick
204,203,2,1,anova27k_brick
204,203,2,5001,anova27k_brick
204,203,2,10000,anova27k_brick
204,232,0,1,anova27k_brick
204,232,0,5001,anova27k_brick
204,232,0,10000,anova27k_brick
204,232,1,1,anova27k_brick
204,232,1,5001,anova27k_brick
204,232,1,10000,anova27k_brick
204,232,2,1,anova27k_brick
204,232,2,5001,anova27k_brick
204,232,2,10000,anova27k_brick
204,261,0,1,anova27k_brick
204,261,0,5001,anova27k_brick
204,261,0,10000,anova27k_brick
204,261,1,1,anova27k_brick
204,261,1,5001,anova27k_brick
204,261,1,10000,anova27k_brick
204,261,2,1,anova27k_brick
204,261,2,5001,anova27k_brick
204,261,2,10000,anova27k_brick
204,290,0,1,anova27k_brick
204,290,0,5001,anova27k_brick
204,290,0,10000,anova27k_brick
204,290,1,1,anova27k_brick
204,290,1,5001,anova27k_brick
204,290,1,10000,anova27k_brick
204,290,2,1,anova27k_brick
204,290,2,5001,anova27k_brick
204,290,2,10000,anova27k_brick
204,319,0,1,anova27k_brick
204,319,0,5001,anova27k_brick
204,319,0,10000,anova27k_brick
204,319,1,1,anova27k_brick
204,319,1,5001,anova27k_brick
204,319,1,10000,anova27k_brick
204,319,2,1,anova27k_brick
204,319,2,5001,anova27k_brick
204,319,2,10000,anova27k_brick
204,348,0,1,anova27k_brick
204,348,0,5001,anova27k_brick
204,348,0,10000,anova27k_brick
204,348,1,1,anova27k_brick
204,348,1,5001,anova27k_brick
204,348,1,10000,anova27k_brick
204,348,2,1,anova27k_brick
204,348,2,5001,anova27k_brick
204,348,2,10000,anova27k_brick
204,377,0,1,anova27k_brick
204,377,0,5001,anova27k_brick
204,377,0,10000,anova27k_brick
204,377,1,1,anova27k_brick
204,377,1,5001,anova27k_brick
204,377,1,10000,anova27k_brick
204,377,2,1,anova27k_brick
204,377,2,5001,anova27k_brick
204,377,2,10000,anova27k_brick
204,406,0,1,anova27k_brick
204,406,0,5001,anova27k_brick
204,406,0,10000,anova27k_brick
204,406,1,1,anova27k_brick
204,406,1,5001,anova27k_brick
204,406,1,10000,anova27k_brick
204,406,2,1,anova27k_brick
204,406,2,5001,anova27k_brick
204,406,2,10000,anova27k_brick
204,434,0,1,anova27k_brick
204,434,0,5001,anova27k_brick
204,434,0,10000,anova27k_brick
204,434,1,1,anova27k_brick
204,434,1,5001,anova27k_brick
204,434,1,10000,anova27k_brick
204,434,2,1,anova27k_brick
204,434,2,5001,anova27k_brick
204,434,2,10000,anova27k_brick
204,463,0,1,anova27k_brick
204,463,0,5001,anova27k_brick
204,463,0,10000,anova27k_brick
204,463,1,1,anova27k_brick
204,463,1,5001,anova27k_brick
204,463,1,10000,anova27k_brick
204,463,2,1,anova27k_brick
204,463,2,5001,anova27k_brick
204,463,2,10000,anova27k_brick
204,492,0,1,anova27k_brick
204,492,0,5001,anova27k_brick
204,492,0,10000,anova27k_brick
204,492,1,1,anova27k_brick
204,492,1,5001,anova27k_brick
204,492,1,10000,anova27k_brick
204,492,2,1,anova27k_brick
204,492,2,5001,anova27k_brick
204,492,2,10000,anova27k_brick
204,521,0,1,anova27k_brick
204,521,0,5001,anova27k_brick
204,521,0,10000,anova27k_brick
204,521,1,1,anova27k_brick
204,521,1,5001,anova27k_brick
204,521,1,10000,anova27k_brick
204,521,2,1,anova27k_brick
204,521,2,5001,anova27k_brick
204,521,2,10000,anova27k_brick
204,550,0,1,anova27k_brick
204,550,0,5001,anova27k_brick
204,550,0,10000,anova27k_brick
204,550,1,1,anova27k_brick
204,550,1,5001,anova27k_brick
204,550,1,10000,anova27k_brick
204,550,2,1,anova27k_brick
204,550,2,5001,anova27k_brick
204,550,2,10000,anova27k_brick
204,579,0,1,anova27k_brick
204,579,0,5001,anova27k_brick
204,579,0,10000,anova27k_brick
204,579,1,1,anova27k_brick
204,579,1,5001,anova27k_brick
204,579,1,10000,anova27k_brick
204,579,2,1,anova27k_brick
204,579,2,5001,anova27k_brick
204,579,2,10000,anova27k_brick
204,608,0,1,anova27k_brick
204,608,0,5001,anova27k_brick
204,608,0,10000,anova27k_brick
204,608,1,1,anova27k_brick
204,608,1,5001,anova27k_brick
204,608,1,10000,anova27k_brick
204,608,2,1,anova27k_brick
204,608,2,5001,anova27k_brick
204,608,2,10000,anova27k_brick
