forcing,scenario,component,horizon,ladrillo_our_climate_cm,ladrillo_magicc_climate_cm,magicc_slr_cm,module_plus_climate_cm,climate_cm,module_cm,joint_spread_cm,climate_share_of_gap,verdict
spliced,ssp245,ais,2100,9.755004806780034,7.204786997648385,11.22064403950782,1.465639232727785,-2.5502178091316496,4.015857041859435,59.92179126039258,,AGREE
spliced,ssp245,ais,2150,47.00229549833807,45.885855997859025,27.214450363997713,-19.78784513434036,-1.1164395004790464,-18.671405633861312,125.53186219053444,0.05642046887366969,MODULE
spliced,ssp245,ais,2300,166.13648018275825,162.7125439935778,83.45760524881848,-82.67887493393977,-3.423936189180438,-79.25493874475933,333.8698362823203,0.04141246711346949,MODULE
spliced,ssp245,te,2100,20.342715688352097,15.734145387198485,16.622682960777176,-3.720032727574921,-4.6085703011536125,0.8885375735786916,14.25751294355345,1.2388520850884897,CLIMATE
spliced,ssp245,te,2150,29.816360420613197,22.63086053695877,23.229502258212214,-6.586858162400983,-7.185499883654426,0.5986417212534434,23.648077286090157,1.0908842587002407,CLIMATE
spliced,ssp245,te,2300,45.94114032752068,37.04232007365526,36.29622929070888,-9.644911036811799,-8.898820253865416,-0.7460907829463821,49.914381394406334,0.9226440990384699,CLIMATE
spliced,ssp245,lws,2100,2.596380650083528,2.596380650083528,3.0076045676447416,0.4112239175612138,0.0,0.4112239175612138,0.0,0.0,MODULE
spliced,ssp245,lws,2150,4.2307986469202445,4.2307986469202445,4.962999145299118,0.732200498378873,0.0,0.732200498378873,0.0,0.0,MODULE
spliced,ssp245,lws,2300,8.483616077316128,8.483616077316128,10.781041437526657,2.2974253602105286,0.0,2.2974253602105286,0.0,0.0,MODULE
spliced,ssp245,total,2100,52.943022539980674,48.12150327401913,53.24208116859726,0.29905862861658505,-4.821519265961541,5.120577894578126,75.00015057149025,,AGREE
spliced,ssp245,total,2150,108.19437511305756,100.21222064972932,88.11334399624147,-20.081031116816092,-7.982154463328243,-12.09887665348785,149.91835646598133,0.3974972408983467,BOTH
spliced,ssp245,total,2300,263.8040821307034,251.0607729486367,186.77109572937383,-77.0329864013296,-12.743309182066724,-64.28967721926287,382.1797196880734,0.16542665392298453,MODULE
spliced,ssp585,glaciers,2100,13.001465107218026,14.710946373573982,15.296353389250944,2.294888282032918,1.7094812663559562,0.585407015676962,9.215572487863149,0.7449082727642056,BOTH
spliced,ssp585,glaciers,2150,20.51505219479139,22.219202497284986,22.034241712643777,1.5191895178523858,1.704150302493595,-0.18496078464120913,11.48816015301217,1.1217496451020017,CLIMATE
spliced,ssp585,glaciers,2300,26.762497280731896,27.84529077502105,29.100328817015463,2.3378315362835664,1.0827934942891524,1.255038041994414,11.51812812980424,0.463161471425123,BOTH
spliced,ssp585,gis,2100,12.114796755601546,14.633699612584673,13.492279467159022,1.3774827115574766,2.518902856983127,-1.1414201454256503,13.085386921362366,1.8286275652309874,OVERSHOOT
spliced,ssp585,gis,2150,25.67987960724316,32.26312856730437,32.39973979590437,6.719860188661208,6.583248960061212,0.13661122859999608,36.49689644980103,0.9796705251650164,CLIMATE
spliced,ssp585,gis,2300,83.3632092905475,101.14944294162804,113.00767187628573,29.644462585738225,17.786233651080536,11.858228934657689,90.95269613141228,0.5999850258590077,BOTH
spliced,ssp585,ais,2100,38.73814785094347,47.79935341742373,39.104810951831965,0.36666310088849485,9.061205566480261,-8.694542465591766,63.676142713944664,,AGREE
spliced,ssp585,ais,2150,97.57888937860076,110.42957108251224,153.61837432891025,56.039484950309486,12.850681703911476,43.18880324639801,118.60498026559692,0.2293147718132357,MODULE
spliced,ssp585,ais,2300,295.572364942386,328.40240011831827,712.016824210707,416.444459268321,32.83003517593227,383.61442409238873,370.7457040063763,0.07883412648499044,MODULE
spliced,ssp585,te,2100,28.451795208614534,24.883913861807095,27.881872353602873,-0.5699228550116615,-3.5678813468074395,2.997958491795778,20.49845272393292,,AGREE
spliced,ssp585,te,2150,52.65045330979608,44.65134171627491,49.936796976118885,-2.713656333677193,-7.999111593521164,5.285455259843971,40.48091179688103,2.9477246231404,OVERSHOOT
spliced,ssp585,te,2300,105.46895509510564,93.93159280862704,103.49231407449484,-1.9766410206107992,-11.537362286478597,9.560721265867798,101.48873163591018,,AGREE
spliced,ssp585,lws,2100,2.596380650083528,2.596380650083528,3.0076045676447416,0.4112239175612138,0.0,0.4112239175612138,0.0,0.0,MODULE
spliced,ssp585,lws,2150,4.2307986469202445,4.2307986469202445,4.962999145299118,0.732200498378873,0.0,0.732200498378873,0.0,0.0,MODULE
spliced,ssp585,lws,2300,8.483616077316128,8.483616077316128,10.781041437526657,2.2974253602105286,0.0,2.2974253602105286,0.0,0.0,MODULE
spliced,ssp585,total,2100,96.23631712320902,105.38176046051468,97.84996496895424,1.61364784574522,9.145443337305664,-7.531795491560445,83.50716516138316,,AGREE
spliced,ssp585,total,2150,203.0069875767209,215.373049170734,262.9267041247298,59.91971654800889,12.366061594013104,47.55365495399579,164.04213411851808,0.20637717109534662,MODULE
spliced,ssp585,total,2300,519.199242279373,561.884543628393,1015.9817275143184,496.7824852349454,42.68530134901994,454.09718388592546,479.6959468740081,0.08592352310656162,MODULE
convention_spliced_minus_raw,vvVL,glaciers,2100,,,,,-0.004755698430740196,,,,CONVENTION
convention_spliced_minus_raw,vvVL,glaciers,2150,,,,,-0.003593007772941803,,,,CONVENTION
convention_spliced_minus_raw,vvVL,glaciers,2300,,,,,-0.00226471667998851,,,,CONVENTION
convention_spliced_minus_raw,vvVL,gis,2100,,,,,0.0919309370886987,,,,CONVENTION
convention_spliced_minus_raw,vvVL,gis,2150,,,,,0.05467692400608293,,,,CONVENTION
convention_spliced_minus_raw,vvVL,gis,2300,,,,,-0.025616143937041258,,,,CONVENTION
convention_spliced_minus_raw,vvVL,ais,2100,,,,,-0.3322641242514903,,,,CONVENTION
convention_spliced_minus_raw,vvVL,ais,2150,,,,,-0.4781575685951438,,,,CONVENTION
convention_spliced_minus_raw,vvVL,ais,2300,,,,,-1.1602236219505784,,,,CONVENTION
convention_spliced_minus_raw,vvVL,te,2100,,,,,1.7763568394002505e-15,,,,CONVENTION
convention_spliced_minus_raw,vvVL,te,2150,,,,,0.0,,,,CONVENTION
convention_spliced_minus_raw,vvVL,te,2300,,,,,1.7763568394002505e-15,,,,CONVENTION
convention_spliced_minus_raw,vvVL,lws,2100,,,,,0.0,,,,CONVENTION
convention_spliced_minus_raw,vvVL,lws,2150,,,,,0.0,,,,CONVENTION
convention_spliced_minus_raw,vvVL,lws,2300,,,,,0.0,,,,CONVENTION
convention_spliced_minus_raw,vvVL,total,2100,,,,,-0.2922661933781008,,,,CONVENTION
convention_spliced_minus_raw,vvVL,total,2150,,,,,-0.454509866181823,,,,CONVENTION
convention_spliced_minus_raw,vvVL,total,2300,,,,,-1.3413117412658409,,,,CONVENTION
convention_spliced_minus_raw,vvLN,glaciers,2100,,,,,-0.003865512908475921,,,,CONVENTION
convention_spliced_minus_raw,vvLN,glaciers,2150,,,,,-0.0041132208644096835,,,,CONVENTION
convention_spliced_minus_raw,vvLN,glaciers,2300,,,,,0.00033452702493175224,,,,CONVENTION
convention_spliced_minus_raw,vvLN,gis,2100,,,,,0.09770205573468704,,,,CONVENTION
convention_spliced_minus_raw,vvLN,gis,2150,,,,,0.04836767722533608,,,,CONVENTION
convention_spliced_minus_raw,vvLN,gis,2300,,,,,0.03906933665473522,,,,CONVENTION
convention_spliced_minus_raw,vvLN,ais,2100,,,,,-0.35426364782695074,,,,CONVENTION
convention_spliced_minus_raw,vvLN,ais,2150,,,,,-0.5315207106493753,,,,CONVENTION
convention_spliced_minus_raw,vvLN,ais,2300,,,,,-0.6581632217754434,,,,CONVENTION
convention_spliced_minus_raw,vvLN,te,2100,,,,,3.552713678800501e-15,,,,CONVENTION
convention_spliced_minus_raw,vvLN,te,2150,,,,,0.0,,,,CONVENTION
convention_spliced_minus_raw,vvLN,te,2300,,,,,0.0,,,,CONVENTION
convention_spliced_minus_raw,vvLN,lws,2100,,,,,0.0,,,,CONVENTION
convention_spliced_minus_raw,vvLN,lws,2150,,,,,0.0,,,,CONVENTION
convention_spliced_minus_raw,vvLN,lws,2300,,,,,0.0,,,,CONVENTION
convention_spliced_minus_raw,vvLN,total,2100,,,,,-0.3051868237500379,,,,CONVENTION
convention_spliced_minus_raw,vvLN,total,2150,,,,,-0.5799826265918924,,,,CONVENTION
convention_spliced_minus_raw,vvLN,total,2300,,,,,-0.8127440197282532,,,,CONVENTION
convention_spliced_minus_raw,vvL,glaciers,2100,,,,,-0.0030580314601147407,,,,CONVENTION
convention_spliced_minus_raw,vvL,glaciers,2150,,,,,-0.0010940670215049408,,,,CONVENTION
