year,tas_global,tas_ais,scenario,member
80,294.0033274693349,246.78963034330445,abrupt-4xCO2,r1i1p1f1
81,293.939025997711,246.3733796526788,abrupt-4xCO2,r1i1p1f1
82,294.0950804288192,246.61020872984645,abrupt-4xCO2,r1i1p1f1
83,294.0012311277214,247.06309344656663,abrupt-4xCO2,r1i1p1f1
84,294.04316228544604,245.845468373666,abrupt-4xCO2,r1i1p1f1
85,294.00536166005605,246.30500905183595,abrupt-4xCO2,r1i1p1f1
86,293.8829703329538,245.47434431920212,abrupt-4xCO2,r1i1p1f1
87,294.1351445399701,246.1140387889306,abrupt-4xCO2,r1i1p1f1
88,294.2671649943401,246.4850320479752,abrupt-4xCO2,r1i1p1f1
89,294.2423787713575,246.4922612327233,abrupt-4xCO2,r1i1p1f1
90,294.09707049041265,246.43801219285058,abrupt-4xCO2,r1i1p1f1
91,294.13330584623435,246.4760609913337,abrupt-4xCO2,r1i1p1f1
92,294.15526102989895,245.936275531865,abrupt-4xCO2,r1i1p1f1
93,294.3008004634017,246.47327814302363,abrupt-4xCO2,r1i1p1f1
94,294.285002711589,246.36173297533378,abrupt-4xCO2,r1i1p1f1
95,294.14597205958626,246.20568230590504,abrupt-4xCO2,r1i1p1f1
96,294.26599068307087,246.01799211446883,abrupt-4xCO2,r1i1p1f1
97,294.25317284151765,246.7432236548423,abrupt-4xCO2,r1i1p1f1
98,294.122685445449,246.53244665540666,abrupt-4xCO2,r1i1p1f1
99,294.22171568332914,246.75409393175863,abrupt-4xCO2,r1i1p1f1
100,294.3653874267862,247.22329678536624,abrupt-4xCO2,r1i1p1f1
101,294.1699820985613,246.36442063337367,abrupt-4xCO2,r1i1p1f1
102,294.15535986456666,246.38026325446006,abrupt-4xCO2,r1i1p1f1
103,294.22807559452406,246.2718354242722,abrupt-4xCO2,r1i1p1f1
104,294.14866616294756,246.36687838570163,abrupt-4xCO2,r1i1p1f1
105,294.1951206057008,247.035718332994,abrupt-4xCO2,r1i1p1f1
106,294.30099127400655,246.609076367994,abrupt-4xCO2,r1i1p1f1
107,294.3290329639418,246.67127003195822,abrupt-4xCO2,r1i1p1f1
108,294.28874069710673,246.1543193687097,abrupt-4xCO2,r1i1p1f1
109,294.421639833305,247.62565946737166,abrupt-4xCO2,r1i1p1f1
110,294.43877664640837,246.3574079893443,abrupt-4xCO2,r1i1p1f1
111,294.3283842949555,247.53393436163586,abrupt-4xCO2,r1i1p1f1
112,294.3382258331773,246.93045296025608,abrupt-4xCO2,r1i1p1f1
113,294.51892021560843,246.6990147414444,abrupt-4xCO2,r1i1p1f1
114,294.32474380625865,247.2861752903944,abrupt-4xCO2,r1i1p1f1
115,294.47985230278516,246.60164702696213,abrupt-4xCO2,r1i1p1f1
116,294.5893024023863,246.81348299344594,abrupt-4xCO2,r1i1p1f1
117,294.4136024696412,246.58332277491547,abrupt-4xCO2,r1i1p1f1
118,294.3253059666882,247.22357717234902,abrupt-4xCO2,r1i1p1f1
119,294.4992460305366,247.8322038657752,abrupt-4xCO2,r1i1p1f1
