year,tas_sh,tas_nh,scenario
2066,289.5761063180272,292.4695913102628,ssp585
2067,289.67418958086745,292.53579908731024,ssp585
2068,289.53578596770865,292.4761863136845,ssp585
2069,289.5212069418526,292.2958008146304,ssp585
2070,289.71004476811646,292.5564358062039,ssp585
2071,289.9103372753397,292.7084973037753,ssp585
2072,289.6440065731424,292.685125060097,ssp585
2073,289.9365666374525,292.97608804020444,ssp585
2074,289.9241719305578,292.9079600403867,ssp585
2075,289.9599294863832,293.08314101519204,ssp585
2076,290.10420432020067,293.1255544292307,ssp585
2077,290.1322887489653,293.2643485212673,ssp585
2078,290.4272028640694,293.3761801530071,ssp585
2079,290.2808927372352,293.4216388142009,ssp585
2080,290.4164272438226,293.617059470169,ssp585
2081,290.4894281670681,293.50447340326014,ssp585
2082,290.1953758245608,293.5015954672946,ssp585
2083,290.5245737809023,293.5567483105579,ssp585
2084,290.4705566369992,293.8983217670763,ssp585
2085,290.7962402122245,293.85486153872847,ssp585
2086,290.74670949646776,293.81464551839565,ssp585
2087,290.98014082507945,294.03189507066696,ssp585
2088,290.7900986597507,294.00391107291637,ssp585
2089,290.8913241416739,294.1805662478774,ssp585
2090,290.9161948587116,294.2008914067545,ssp585
2091,291.05613264325154,294.170012647819,ssp585
2092,291.2539330323228,294.33858213094385,ssp585
2093,291.28264979852514,294.58290080339356,ssp585
2094,291.4303136722687,294.7149789612143,ssp585
2095,291.4609379537781,294.7534318126249,ssp585
2096,291.48646005172895,294.8601278047379,ssp585
2097,291.4898231346784,294.93666341179596,ssp585
2098,291.4579264208553,294.9499120622081,ssp585
2099,291.6915527204126,295.11669286291766,ssp585
2100,291.8728146906514,295.2589661774978,ssp585
