year,tas_sh,tas_nh,scenario
2051,289.5312881875837,290.2805296168147,ssp585
2052,289.69509567368056,290.3986365983632,ssp585
2053,289.411654316787,290.2942372594934,ssp585
2054,289.3637117975456,290.3325185187002,ssp585
2055,289.4788916940471,290.4075630037704,ssp585
2056,289.6415709608472,290.42172533031106,ssp585
2057,289.6407263869897,290.3911726149958,ssp585
2058,289.6975584015648,290.36679682609434,ssp585
2059,289.84986409750906,290.67697463666855,ssp585
2060,290.12601942897885,290.997962219199,ssp585
2061,289.72555333149256,290.6740536948882,ssp585
2062,289.743341105479,290.76028678032515,ssp585
2063,289.8634420598466,290.85757439949043,ssp585
2064,290.1689654998494,291.0251194044259,ssp585
2065,289.878118651189,290.81712084461356,ssp585
2066,290.0914173704775,290.85207508870155,ssp585
2067,290.32497820389557,291.42093768474933,ssp585
2068,290.3306195417207,291.36107968740725,ssp585
2069,290.0547459425898,291.35742952618955,ssp585
2070,290.33818204199054,291.4591191297875,ssp585
2071,290.5113175454628,291.8031056894051,ssp585
2072,290.19517497747086,291.5309212062277,ssp585
2073,290.18949872157583,291.7444354572902,ssp585
2074,290.53108876348716,291.8942476253269,ssp585
2075,290.7972466835348,292.1503086256939,ssp585
2076,290.5115748025754,291.87556753734566,ssp585
2077,290.332367125758,292.1728103213572,ssp585
2078,290.6668855048185,292.2325350808564,ssp585
2079,290.9420699564261,292.3603076939436,ssp585
2080,290.55678901455894,292.1512362372198,ssp585
2081,290.6415571307224,292.3694033376837,ssp585
2082,291.1848595805614,292.7371636242499,ssp585
2083,291.2583065425574,292.6438987824237,ssp585
2084,290.87539298619265,292.32010962427336,ssp585
2085,291.0839281036761,292.60110911815093,ssp585
2086,291.40969007992817,293.34977597351593,ssp585
2087,291.33714825573315,293.09503068649786,ssp585
2088,291.03681745442,293.02092418872127,ssp585
2089,291.0909360247869,293.1070636557684,ssp585
2090,291.5838077697913,293.2843335332036,ssp585
2091,291.6533735395731,293.46816564827924,ssp585
2092,291.40157009275134,293.34318068605387,ssp585
2093,291.4195879619408,293.3423957510091,ssp585
2094,291.6406582090435,293.83189305723016,ssp585
2095,291.91379979741447,293.8727767072692,ssp585
2096,291.6488374922302,293.68262440664785,ssp585
2097,291.677532625531,294.0414688034574,ssp585
2098,291.752021086584,294.1650227440393,ssp585
2099,292.11320467269684,294.50191183697143,ssp585
2100,292.1008677942748,294.46056962211225,ssp585
